,Date,Open,High,Low,Close
283,2020-12-14,48.67,48.67,47.71,47.73
282,2020-12-11,47.8273,48.18,47.8273,48.18
281,2020-12-10,48.25,48.25,47.5,47.96
280,2020-12-09,48.17,48.26,48.03,48.15
279,2020-12-08,47.95,48.17,47.6791,47.98
278,2020-12-07,48.52,48.5356,48.02,48.125
277,2020-12-04,48.89,48.89,48.19,48.36
276,2020-12-03,48.73,49.08,48.54,48.63
275,2020-12-02,48.39,48.93,47.925,48.93
274,2020-12-01,48.62,48.91,48.51,48.56
273,2020-11-30,49.4,49.4,48.09,48.09
272,2020-11-27,49.86,49.86,49.05,49.18
271,2020-11-25,49.85,50.2,49.66,50.04
270,2020-11-24,49.85,50.05,49.615,50.05
269,2020-11-23,49.28,49.75,49.28,49.64
268,2020-11-20,49.77,49.77,49.19,49.33
267,2020-11-19,49.6,49.82,49.12,49.24
266,2020-11-18,50.28,50.29,49.48,49.55
265,2020-11-17,50.38,52.86,48.23,50.28
264,2020-11-16,49.77,50.8841,49.62,50.66
263,2020-11-13,49.04,49.81,49.04,49.67
262,2020-11-12,49.38,49.38,48.44,48.67
261,2020-11-11,50.21,50.36,49.48,49.65
260,2020-11-10,49.5,50.2,49.1862,50.1
259,2020-11-09,47.94,49.57,47.94,49.1
258,2020-11-06,48.22,48.22,47.42,47.67
257,2020-11-05,48.5,48.94,48.13,48.13
256,2020-11-04,48.2,49.05,48.0,48.06
255,2020-11-03,48.62,48.711,48.115,48.19
254,2020-11-02,47.58,48.18,47.58,48.1
253,2020-10-30,47.52,47.65,46.87,47.58
252,2020-10-29,46.66,47.95,46.61,47.49
251,2020-10-28,47.68,48.27,47.05,47.05
250,2020-10-27,48.19,49.22,47.5,48.67
249,2020-10-26,47.95,48.0,47.37,47.48
248,2020-10-23,47.94,48.08,47.76,48.08
247,2020-10-22,46.715,47.8,46.715,47.48
246,2020-10-21,46.81,47.42,46.81,46.86
245,2020-10-20,46.2,47.13,46.2,46.89
244,2020-10-19,45.85,46.185,45.68,46.02
243,2020-10-16,45.82,46.44,45.63,46.04
242,2020-10-15,45.32,46.22,45.32,45.84
241,2020-10-14,46.79,46.79,45.98,46.41
240,2020-10-13,47.55,47.75,47.0,47.16
239,2020-10-12,47.41,47.6,47.22,47.55
238,2020-10-09,47.4801,47.53,47.04,47.44
237,2020-10-08,46.02,48.98,46.02,47.75
236,2020-10-07,46.3,46.32,45.58,45.63
235,2020-10-06,45.79,46.6,45.7,46.05
234,2020-10-05,45.25,45.805,45.23,45.37
233,2020-10-02,45.002,45.63,44.68,45.51
232,2020-10-01,45.31,45.69,45.02,45.12
231,2020-09-30,45.72,45.8,45.16,45.16
230,2020-09-29,45.56,45.74,45.155,45.265
229,2020-09-28,45.69,45.7265,45.235,45.43
228,2020-09-25,44.3,45.37,44.3,45.3
227,2020-09-24,44.58,45.18,44.3357,44.71
226,2020-09-23,44.46,44.88,44.38,44.88
225,2020-09-22,44.897,44.93,44.4583,44.73
224,2020-09-21,44.41,44.62,43.755,44.3
223,2020-09-18,46.19,46.19,44.38,44.57
222,2020-09-17,46.09,46.26,45.6989,45.86
221,2020-09-16,46.25,47.0,46.25,46.35
220,2020-09-15,46.99,47.1305,46.18,46.25
219,2020-09-14,46.25,47.02,46.25,46.92
218,2020-09-11,46.0313,46.21,46.0313,46.18
217,2020-09-10,46.79,46.79,46.16,46.18
216,2020-09-09,47.0,47.06,46.42,46.73
215,2020-09-08,45.95,46.285,45.95,46.16
214,2020-09-04,46.34,46.69,46.14,46.36
213,2020-09-03,46.89,47.29,46.4,46.66
212,2020-09-02,46.45,46.99,46.26,46.97
211,2020-09-01,46.79,46.79,45.97,46.15
210,2020-08-31,46.7,46.7,46.2,46.2
209,2020-08-28,45.67,46.51,45.57,46.26
208,2020-08-27,45.3,46.23,45.3,46.13
207,2020-08-26,45.81,45.89,45.5,45.64
206,2020-08-25,46.35,46.39,45.89,46.03
205,2020-08-24,45.78,46.36,45.74,46.3
204,2020-08-21,45.65,45.65,45.41,45.52
203,2020-08-20,46.05,46.09,45.449,45.5
202,2020-08-19,45.87,46.06,45.6,46.0
201,2020-08-18,46.0,47.025,45.68,45.79
200,2020-08-17,46.3,46.42,45.645,45.88
199,2020-08-14,46.04,46.58,45.86,46.06
198,2020-08-13,46.33,46.33,45.908,46.16
197,2020-08-12,46.03,46.44,46.03,46.26
196,2020-08-11,46.753,46.78,45.77,45.89
195,2020-08-10,45.77,46.83,45.77,46.28
194,2020-08-07,45.46,46.34,45.46,46.23
193,2020-08-06,45.15,45.49,45.12,45.49
192,2020-08-05,45.54,46.17,45.01,45.22
191,2020-08-04,44.36,45.235,44.36,45.2
190,2020-08-03,44.77,45.24,44.5101,44.52
189,2020-07-31,44.875,45.1,44.58,45.09
188,2020-07-30,44.4,44.95,44.4,44.95
187,2020-07-29,45.0,45.06,44.4,44.87
186,2020-07-28,44.43,45.22,44.43,44.78
185,2020-07-27,44.35,45.35,44.07,44.22
184,2020-07-24,44.6,44.9,44.2301,44.49
183,2020-07-23,44.31,44.62,44.24,44.62
182,2020-07-22,43.02,45.0,43.02,44.38
181,2020-07-21,42.67,43.32,42.67,43.32
180,2020-07-20,43.22,43.605,42.38,42.52
179,2020-07-17,43.23,43.43,42.96,43.43
178,2020-07-16,44.1,44.31,42.45,42.62
177,2020-07-15,42.62,43.405,42.5,42.7
176,2020-07-14,42.63,42.635,42.04,42.5
175,2020-07-13,43.27,43.54,42.69,42.97
174,2020-07-10,42.32,44.95,42.32,42.74
173,2020-07-09,42.66,43.36,41.75,42.5
172,2020-07-08,42.68,42.9,42.63,42.75
171,2020-07-07,42.5,42.8,42.25,42.42
170,2020-07-06,43.843,43.843,42.75,42.75
169,2020-07-02,43.97,43.97,43.24,43.28
168,2020-07-01,42.57,43.5,42.57,43.24
167,2020-06-30,42.35,42.68,42.23,42.32
166,2020-06-29,42.09,42.31,41.67,42.18
165,2020-06-26,41.84,41.84,41.26,41.36
164,2020-06-25,41.45,41.8,41.34,41.58
163,2020-06-24,42.34,42.34,41.08,41.69
162,2020-06-23,42.5,42.5,42.03,42.3
161,2020-06-22,41.75,42.52,41.55,42.23
160,2020-06-19,43.67,43.67,41.68,41.82
159,2020-06-18,42.0,42.77,42.0,42.76
158,2020-06-17,42.42,42.84,42.42,42.7
157,2020-06-16,42.65,43.81,42.5,42.61
156,2020-06-15,41.39,42.07,40.76,41.97
155,2020-06-12,42.3,42.44,41.14,41.69
154,2020-06-11,42.55,42.86,41.09,41.18
153,2020-06-10,44.44,44.44,43.84,44.12
152,2020-06-09,44.79,44.79,43.8,44.64
151,2020-06-08,45.17,45.44,44.88,45.3
150,2020-06-05,44.77,45.32,44.53,44.53
149,2020-06-04,43.66,43.71,43.07,43.28
148,2020-06-03,43.8,44.35,43.44,43.8
147,2020-06-02,42.97,43.41,42.885,43.39
146,2020-06-01,42.65,42.99,42.5,42.59
145,2020-05-29,41.98,42.78,41.86,42.49
144,2020-05-28,42.36,42.68,42.27,42.54
143,2020-05-27,42.12,42.365,41.47,41.93
142,2020-05-26,41.7,42.02,41.52,41.52
141,2020-05-22,40.88,40.88,40.33,40.84
140,2020-05-21,40.46,41.18,40.125,40.48
139,2020-05-20,42.14,42.14,40.85,41.0
138,2020-05-19,41.09,41.19,40.38,41.06
137,2020-05-18,39.97,41.2,39.97,40.98
136,2020-05-15,39.19,39.19,38.48,39.0
135,2020-05-14,38.0,39.28,37.64,39.19
134,2020-05-13,39.32,39.5,38.165,38.65
133,2020-05-12,40.31,40.47,39.46,39.48
132,2020-05-11,40.0,40.26,39.26,39.6
131,2020-05-08,40.25,40.57,40.14,40.46
130,2020-05-07,40.37,41.27,39.54,39.54
129,2020-05-06,41.0,41.0,40.01,40.36
128,2020-05-05,40.66,42.69,40.52,40.66
127,2020-05-04,40.0,40.36,39.77,40.36
126,2020-05-01,40.33,40.96,40.08,40.36
125,2020-04-30,41.52,42.109,40.99,41.8
124,2020-04-29,42.06,43.14,42.01,42.29
123,2020-04-28,41.36,42.056,41.3,41.56
122,2020-04-27,41.34,41.34,40.79,41.04
121,2020-04-24,40.44,41.14,40.12,41.14
120,2020-04-23,40.59,40.9,40.25,40.4
119,2020-04-22,39.93,40.8,39.865,40.56
118,2020-04-21,39.19,39.98,39.19,39.64
117,2020-04-20,40.0,41.03,39.76,40.06
116,2020-04-17,41.83,41.85,40.69,41.85
115,2020-04-16,41.62,41.62,40.2,40.2
114,2020-04-15,40.88,41.75,36.86,41.55
113,2020-04-14,43.0,43.52,42.145,43.14
112,2020-04-13,44.73,46.122,43.0,43.52
111,2020-04-09,41.69,45.01,41.69,44.45
110,2020-04-08,40.19,42.23,39.88,41.84
109,2020-04-07,41.11,41.63,40.04,40.12
108,2020-04-06,38.46,40.03,38.291,40.02
107,2020-04-03,37.8,37.8,36.7,36.87
106,2020-04-02,34.26,38.46,34.26,37.622
105,2020-04-01,36.54,38.48,36.1,36.59
104,2020-03-31,40.75,40.75,37.66,37.66
103,2020-03-30,41.0,43.576,39.9,40.42
102,2020-03-27,39.79,41.61,38.311,40.65
101,2020-03-26,39.9,41.48,39.13,40.66
100,2020-03-25,36.79,40.71,35.13,38.48
99,2020-03-24,36.0,36.01,33.76,36.01
98,2020-03-23,34.43,34.45,29.74,32.0
97,2020-03-20,34.71,35.99,33.095,34.4
96,2020-03-19,29.85,35.59,29.3,34.61
95,2020-03-18,34.01,34.01,28.15,28.15
94,2020-03-17,36.44,37.19,35.13,36.31
93,2020-03-16,35.38,36.39,33.53,34.83
92,2020-03-13,38.52,38.66,36.05,38.64
91,2020-03-12,39.14,39.85,28.0,35.47
90,2020-03-11,42.29,43.15,41.78,41.99
89,2020-03-10,43.75,43.83,41.65,43.59
88,2020-03-09,44.1,44.59,42.06,42.11
87,2020-03-06,45.94,46.72,45.39,46.72
86,2020-03-05,47.3,47.3,46.624,46.78
85,2020-03-04,47.16,47.83,46.44,47.76
84,2020-03-03,47.33,48.26,45.9,46.15
83,2020-03-02,46.0,47.13,45.555,47.1
82,2020-02-28,46.69,46.79,45.02,45.02
81,2020-02-27,49.17,49.17,47.53,47.53
80,2020-02-26,50.03,50.22,49.32,49.32
79,2020-02-25,51.17,51.326,50.05,50.05
78,2020-02-24,51.94,51.94,51.31,51.31
77,2020-02-21,51.58,51.94,51.58,51.86
76,2020-02-20,51.46,51.62,51.41,51.6
75,2020-02-19,51.5,51.87,51.5,51.56
74,2020-02-18,51.7,51.97,51.7,51.8
73,2020-02-14,52.47,52.47,51.56,51.74
72,2020-02-13,51.85,51.85,51.45,51.53
71,2020-02-12,51.6,51.76,51.547,51.6
70,2020-02-11,51.44,51.69,51.44,51.625
69,2020-02-10,51.466,51.57,51.397,51.43
68,2020-02-07,52.45,52.45,51.46,51.53
67,2020-02-06,51.92,51.97,51.67,51.71
66,2020-02-05,51.505,51.76,51.42,51.76
65,2020-02-04,51.46,51.63,51.45,51.46
64,2020-02-03,51.21,51.53,51.21,51.23
63,2020-01-31,51.02,51.43,51.02,51.27
62,2020-01-30,51.0,51.4,51.0,51.4
61,2020-01-29,51.03,51.27,51.03,51.12
60,2020-01-28,51.424,51.424,51.18,51.18
59,2020-01-27,51.41,51.41,51.12,51.14
58,2020-01-24,51.6,51.61,51.22,51.3
57,2020-01-23,51.42,51.68,51.31,51.65
56,2020-01-22,51.61,51.71,51.29,51.328
55,2020-01-21,51.588,51.624,51.37,51.62
54,2020-01-17,51.36,51.65,51.33,51.65
53,2020-01-16,51.25,51.32,51.15,51.26
52,2020-01-15,50.97,51.16,50.85,50.85
51,2020-01-14,50.61,50.69,50.35,50.69
50,2020-01-13,51.265,51.4,51.25,51.31
49,2020-01-10,51.15,51.28,51.1,51.11
48,2020-01-09,51.08,51.32,50.97,51.06
47,2020-01-08,52.0,52.0,50.97,51.12
46,2020-01-07,50.972,51.03,50.825,51.01
45,2020-01-06,51.31,51.34,51.07,51.19
44,2020-01-03,50.5,51.38,50.5,51.27
43,2020-01-02,51.48,51.48,50.89,51.09
42,2019-12-31,51.305,51.42,51.26,51.26
41,2019-12-30,51.14,51.17,51.0,51.115
40,2019-12-27,51.064,51.13,51.0,51.12
39,2019-12-26,51.14,51.14,50.95,51.04
38,2019-12-24,50.8,51.14,50.8,51.01
37,2019-12-23,51.214,51.27,51.0,51.084
36,2019-12-20,51.42,51.56,51.29,51.33
35,2019-12-19,51.42,51.45,51.17,51.39
34,2019-12-18,50.99,51.3,50.99,51.28
33,2019-12-17,50.9,51.3,50.772,51.16
32,2019-12-16,50.421,50.83,50.344,50.83
31,2019-12-13,49.815,50.23,49.7,50.21
30,2019-12-12,49.99,50.09,49.802,49.94
29,2019-12-11,50.0,50.0,49.75,49.97
28,2019-12-10,50.01,50.13,49.9,49.98
27,2019-12-09,50.06,50.13,49.92,50.04
26,2019-12-06,50.08,50.17,49.93,50.095
