,Date,Open,High,Low,Close
5314,2020-12-14,18.16,18.23,18.0602,18.2
5313,2020-12-11,18.1,18.17,17.97,18.09
5312,2020-12-10,18.23,18.23,17.88,18.13
5311,2020-12-09,18.28,18.35,17.94,18.08
5310,2020-12-08,17.98,18.21,17.85,18.17
5309,2020-12-07,18.05,18.0603,17.75,17.83
5308,2020-12-04,17.85,18.04,17.83,18.03
5307,2020-12-03,17.8,17.87,17.68,17.83
5306,2020-12-02,17.7,17.89,17.65,17.75
5305,2020-12-01,17.82,18.03,17.62,17.7
5304,2020-11-30,17.9,17.9137,17.51,17.61
5303,2020-11-27,17.84,18.0,17.69,17.92
5302,2020-11-25,18.11,18.11,17.7,17.78
5301,2020-11-24,18.0,18.12,17.76,17.98
5300,2020-11-23,17.65,17.87,17.57,17.59
5299,2020-11-20,17.57,17.9,17.52,17.56
5298,2020-11-19,17.7,17.7,17.18,17.61
5297,2020-11-18,18.16,18.37,17.77,17.77
5296,2020-11-17,17.8,18.07,17.78,17.94
5295,2020-11-16,17.88,18.15,17.71,17.94
5294,2020-11-13,17.49,17.78,17.49,17.67
5293,2020-11-12,17.54,17.54,17.2,17.39
5292,2020-11-11,17.82,17.83,17.27,17.63
5291,2020-11-10,17.05,18.05,17.03,17.82
5290,2020-11-09,17.12,17.42,16.9,16.9
5289,2020-11-06,16.77,16.9,16.66,16.74
5288,2020-11-05,16.7,16.85,16.65,16.71
5287,2020-11-04,16.67,16.92,16.4,16.64
5286,2020-11-03,16.85,16.88,16.53,16.66
5285,2020-11-02,16.63,16.72,16.4301,16.71
5284,2020-10-30,16.8,16.9433,16.28,16.38
5283,2020-10-29,16.62,16.93,16.36,16.84
5282,2020-10-28,16.08,16.6619,16.0,16.54
5281,2020-10-27,15.84,16.12,15.75,16.0
5280,2020-10-26,15.9,15.915,15.49,15.77
5279,2020-10-23,15.97,16.18,15.85,16.02
5278,2020-10-22,15.87,15.99,15.76,15.89
5277,2020-10-21,15.95,16.05,15.78,15.93
5276,2020-10-20,16.04,16.15,15.9,15.92
5275,2020-10-19,16.2,16.2,15.93,15.94
5274,2020-10-16,15.94,16.11,15.86,16.01
5273,2020-10-15,16.03,16.12,15.91,15.98
5272,2020-10-14,16.0,16.16,15.96,16.11
5271,2020-10-13,15.98,16.1,15.94,16.02
5270,2020-10-12,16.08,16.14,15.92,16.07
5269,2020-10-09,16.39,16.4,16.03,16.09
5268,2020-10-08,15.88,16.35,15.86,16.27
5267,2020-10-07,15.8,15.87,15.65,15.78
5266,2020-10-06,15.75,16.06,15.64,15.67
5265,2020-10-05,15.64,15.78,15.59,15.72
5264,2020-10-02,14.98,15.65,14.98,15.6
5263,2020-10-01,15.24,15.29,15.03,15.29
5262,2020-09-30,15.2,15.43,15.13,15.21
5261,2020-09-29,15.62,15.655,15.08,15.2
5260,2020-09-28,15.32,15.79,15.32,15.61
5259,2020-09-25,15.06,15.31,14.99,15.27
5258,2020-09-24,15.29,15.355,14.52,15.13
5257,2020-09-23,15.74,15.875,15.35,15.36
5256,2020-09-22,15.94,16.0157,15.72,15.79
5255,2020-09-21,16.1,16.1001,15.69,15.83
5254,2020-09-18,16.1,16.32,15.94,16.28
5253,2020-09-17,15.97,16.23,15.78,15.98
5252,2020-09-16,15.84,16.15,15.79,16.06
5251,2020-09-15,15.78,15.925,15.7,15.76
5250,2020-09-14,15.4,15.77,15.23,15.74
5249,2020-09-11,15.5,15.5324,15.04,15.22
5248,2020-09-10,15.78,15.78,15.45,15.48
5247,2020-09-09,15.73,15.96,15.72,15.74
5246,2020-09-08,15.46,15.79,15.23,15.6
5245,2020-09-04,15.52,15.69,15.08,15.49
5244,2020-09-03,15.76,15.84,15.43,15.49
5243,2020-09-02,15.91,15.94,15.61,15.76
5242,2020-09-01,15.89,16.02,15.745,15.87
5241,2020-08-31,15.98,15.98,15.7,15.84
5240,2020-08-28,15.83,16.02,15.705,15.98
5239,2020-08-27,15.81,16.08,15.56,15.74
5238,2020-08-26,16.02,16.0202,15.85,15.92
5237,2020-08-25,16.2,16.29,15.68,15.99
5236,2020-08-24,15.85,16.25,15.7,16.14
5235,2020-08-21,15.93,15.96,15.7,15.76
5234,2020-08-20,15.83,16.1156,15.72,15.9
5233,2020-08-19,15.98,16.16,15.88,16.01
5232,2020-08-18,16.0,16.09,15.83,15.97
5231,2020-08-17,16.25,16.32,15.9421,16.0
5230,2020-08-14,15.68,16.0901,15.51,16.03
5229,2020-08-13,15.24,15.82,15.24,15.68
5228,2020-08-12,15.29,15.5,15.1375,15.28
5227,2020-08-11,15.73,15.95,15.18,15.29
5226,2020-08-10,15.41,15.84,15.34,15.58
5225,2020-08-07,15.05,15.34,14.94,15.34
5224,2020-08-06,15.26,15.43,15.065,15.1
5223,2020-08-05,15.03,15.29,15.03,15.16
5222,2020-08-04,15.17,15.23,14.67,14.96
5221,2020-08-03,15.4,15.417,15.07,15.26
5220,2020-07-31,15.4,15.6,15.1113,15.45
5219,2020-07-30,15.7,15.7,15.33,15.42
5218,2020-07-29,15.48,15.8,15.38,15.73
5217,2020-07-28,15.1,15.38,15.1,15.27
5216,2020-07-27,15.0,15.34,14.98,15.22
5215,2020-07-24,15.38,15.473,15.1,15.1
5214,2020-07-23,15.66,15.66,15.235,15.29
5213,2020-07-22,15.25,15.57,15.11,15.57
5212,2020-07-21,14.98,15.33,14.9,15.33
5211,2020-07-20,14.85,15.02,14.67,14.82
5210,2020-07-17,15.0,15.25,14.88,14.93
5209,2020-07-16,14.67,15.0,14.61,14.98
5208,2020-07-15,14.36,14.88,14.27,14.81
5207,2020-07-14,13.74,14.23,13.68,14.16
5206,2020-07-13,13.84,13.95,13.65,13.66
5205,2020-07-10,13.5,13.73,13.31,13.73
5204,2020-07-09,13.91,13.91,13.42,13.57
5203,2020-07-08,13.72,13.95,13.66,13.93
5202,2020-07-07,13.9,13.98,13.71,13.75
5201,2020-07-06,14.0,14.17,13.72,13.87
5200,2020-07-02,14.37,14.37,13.72,13.75
5199,2020-07-01,14.25,14.56,14.04,14.07
5198,2020-06-30,14.19,14.44,14.03,14.3
5197,2020-06-29,14.01,14.29,13.74,14.18
5196,2020-06-26,14.04,14.18,13.25,13.86
5195,2020-06-25,13.78,14.25,13.72,14.24
5194,2020-06-24,13.91,14.04,13.36,13.79
5193,2020-06-23,14.26,14.56,13.86,14.23
5192,2020-06-22,14.2,14.32,14.01,14.24
5191,2020-06-19,14.54,14.76,14.18,14.33
5190,2020-06-18,14.49,14.72,14.37,14.59
5189,2020-06-17,14.72,14.83,14.51,14.66
5188,2020-06-16,15.0,15.05,14.02,14.54
5187,2020-06-15,13.88,14.72,13.5,14.34
5186,2020-06-12,14.07,14.23,13.41,14.08
5185,2020-06-11,13.75,14.04,12.97,13.43
5184,2020-06-10,15.2,15.2,13.9,14.34
5183,2020-06-09,15.31,15.55,14.89,15.0
5182,2020-06-08,15.0,15.92,15.0,15.74
5181,2020-06-05,14.78,15.45,14.38,14.54
5180,2020-06-04,13.61,14.48,13.57,14.34
5179,2020-06-03,13.37,13.81,13.25,13.65
5178,2020-06-02,13.29,13.4,13.08,13.19
5177,2020-06-01,12.9,13.45,12.71,13.13
5176,2020-05-29,13.15,13.16,12.82,12.86
5175,2020-05-28,13.64,13.64,13.11,13.15
5174,2020-05-27,13.64,13.69,13.0,13.5
5173,2020-05-26,13.44,13.46,13.21,13.37
5172,2020-05-22,12.95,13.12,12.62,12.98
5171,2020-05-21,13.3,13.3,12.74,12.85
5170,2020-05-20,13.31,13.57,13.23,13.39
5169,2020-05-19,12.98,13.35,12.75,13.05
5168,2020-05-18,13.17,13.29,12.54,12.96
5167,2020-05-15,12.34,12.62,12.08,12.49
5166,2020-05-14,11.7,12.34,11.12,12.34
5165,2020-05-13,12.45,12.45,11.5,11.88
5164,2020-05-12,12.82,12.87,12.38,12.42
5163,2020-05-11,13.25,13.31,12.55,12.72
5162,2020-05-08,13.45,13.53,13.12,13.33
5161,2020-05-07,12.92,13.51,12.9,13.21
5160,2020-05-06,13.64,14.15,12.85,12.96
5159,2020-05-05,13.89,14.33,13.63,13.64
5158,2020-05-04,13.52,13.8,13.32,13.55
5157,2020-05-01,14.2,14.2,13.55,13.8
5156,2020-04-30,14.51,14.8,14.11,14.31
5155,2020-04-29,14.79,15.18,14.3,14.78
5154,2020-04-28,13.88,14.45,13.53,14.17
5153,2020-04-27,13.26,13.86,13.07,13.56
5152,2020-04-24,13.39,13.41,12.93,13.26
5151,2020-04-23,13.53,13.95,13.4,13.49
5150,2020-04-22,14.0,14.0,13.26,13.56
5149,2020-04-21,13.25,13.82,13.05,13.74
5148,2020-04-20,13.59,14.35,13.52,13.74
5147,2020-04-17,13.85,14.18,12.39,14.05
5146,2020-04-16,13.38,13.69,12.86,13.12
5145,2020-04-15,13.69,13.82,13.04,13.2
5144,2020-04-14,14.5,14.82,13.16,13.88
5143,2020-04-13,14.15,14.19,13.0,13.95
5142,2020-04-09,13.71,15.25,13.23,14.0
5141,2020-04-08,12.16,13.09,12.0,12.97
5140,2020-04-07,11.12,12.14,10.88,11.05
5139,2020-04-06,10.01,11.24,9.79,10.26
5138,2020-04-03,9.79,9.79,8.59,9.22
5137,2020-04-02,9.34,10.0,9.33,9.94
5136,2020-04-01,9.72,10.0,8.76,9.3
5135,2020-03-31,10.71,11.19,10.38,10.44
5134,2020-03-30,11.85,11.93,10.5,10.8
5133,2020-03-27,12.75,13.15,11.63,11.96
5132,2020-03-26,10.39,15.11,10.39,13.19
5131,2020-03-25,8.71,11.41,8.62,9.79
5130,2020-03-24,11.2,11.28,8.53,8.54
5129,2020-03-23,12.1,12.46,10.14,10.87
5128,2020-03-20,11.07,12.91,11.05,11.84
5127,2020-03-19,9.7,12.84,9.16,11.08
5126,2020-03-18,11.53,11.53,7.04,9.68
5125,2020-03-17,12.12,12.25,10.8,12.03
5124,2020-03-16,11.46,14.07,11.27,11.99
5123,2020-03-13,13.12,13.45,11.69,12.13
5122,2020-03-12,13.92,14.3,12.29,12.38
5121,2020-03-11,15.43,15.58,14.76,14.94
5120,2020-03-10,16.0,16.25,15.23,15.83
5119,2020-03-09,16.36,16.52,14.0,15.58
5118,2020-03-06,17.92,17.96,17.04,17.55
5117,2020-03-05,18.21,18.46,18.02,18.33
5116,2020-03-04,18.48,18.76,18.07,18.55
5115,2020-03-03,18.08,18.62,17.93,18.32
5114,2020-03-02,17.14,18.11,17.12,18.04
5113,2020-02-28,17.34,17.35,16.65,17.1
5112,2020-02-27,18.34,18.35,17.57,17.58
5111,2020-02-26,18.4,18.98,18.32,18.5
5110,2020-02-25,19.01,19.33,18.39,18.51
5109,2020-02-24,19.01,19.27,18.79,19.05
5108,2020-02-21,20.01,20.05,19.46,19.46
5107,2020-02-20,19.94,20.34,19.9,20.17
5106,2020-02-19,19.67,19.97,19.67,19.89
5105,2020-02-18,19.43,19.72,19.3,19.64
5104,2020-02-14,19.01,19.23,18.99,19.19
5103,2020-02-13,18.99,19.12,18.95,19.07
5102,2020-02-12,19.09,19.18,18.94,18.95
