,Date,Open,High,Low,Close
1920,2020-12-14,12.13,12.23,12.05,12.05
1919,2020-12-11,12.13,12.25,12.01,12.14
1918,2020-12-10,12.11,12.15,11.92,12.12
1917,2020-12-09,12.42,12.42,12.02,12.11
1916,2020-12-08,12.2,12.5,12.2,12.37
1915,2020-12-07,12.5,12.5,12.25,12.28
1914,2020-12-04,12.29,12.6,12.26,12.53
1913,2020-12-03,12.25,12.52,12.18,12.2
1912,2020-12-02,12.27,12.405,12.23,12.27
1911,2020-12-01,12.39,12.5125,12.24,12.33
1910,2020-11-30,12.74,12.74,12.18,12.2
1909,2020-11-27,12.68,12.74,12.43,12.74
1908,2020-11-25,12.47,12.53,12.205,12.52
1907,2020-11-24,12.39,12.52,12.24,12.47
1906,2020-11-23,12.03,12.21,11.95,12.06
1905,2020-11-20,11.86,11.99,11.85,11.94
1904,2020-11-19,12.02,12.02,11.63,11.9
1903,2020-11-18,11.98,12.26,11.96,11.97
1902,2020-11-17,11.6,12.09,11.6,11.98
1901,2020-11-16,11.65,11.86,11.6,11.73
1900,2020-11-13,11.6,11.7,11.5365,11.58
1899,2020-11-12,11.79,11.79,11.28,11.45
1898,2020-11-11,11.42,11.88,11.16,11.79
1897,2020-11-10,11.28,11.46,11.2,11.43
1896,2020-11-09,11.45,11.55,11.13,11.13
1895,2020-11-06,11.37,11.37,11.05,11.05
1894,2020-11-05,11.29,11.45,11.22,11.34
1893,2020-11-04,11.03,11.23,10.89,11.13
1892,2020-11-03,10.93,11.17,10.92,11.01
1891,2020-11-02,10.78,10.9586,10.71,10.85
1890,2020-10-30,11.0,11.0,10.56,10.63
1889,2020-10-29,10.9,10.95,10.71,10.95
1888,2020-10-28,11.05,11.12,10.8,10.96
1887,2020-10-27,11.22,11.31,11.0,11.03
1886,2020-10-26,11.4,11.5,11.05,11.15
1885,2020-10-23,11.4,11.51,11.35,11.41
1884,2020-10-22,11.28,11.39,11.28,11.35
1883,2020-10-21,11.28,11.28,11.18,11.22
1882,2020-10-20,11.13,11.23,11.09,11.23
1881,2020-10-19,11.28,11.28,11.09,11.1
1880,2020-10-16,11.2,11.48,11.13,11.23
1879,2020-10-15,11.26,11.26,11.14,11.23
1878,2020-10-14,11.35,11.5099,11.285,11.34
1877,2020-10-13,11.3,11.3,11.13,11.25
1876,2020-10-12,11.26,11.3,11.16,11.3
1875,2020-10-09,11.54,11.54,11.18,11.24
1874,2020-10-08,11.23,11.45,11.08,11.41
1873,2020-10-07,11.07,11.15,10.9,11.13
1872,2020-10-06,11.24,11.312,10.97,11.01
1871,2020-10-05,11.26,11.26,11.12,11.21
1870,2020-10-02,10.98,11.25,10.94,11.21
1869,2020-10-01,11.15,11.16,10.9,11.12
1868,2020-09-30,11.21,11.28,11.05,11.1
1867,2020-09-29,11.32,11.33,11.07,11.2
1866,2020-09-28,11.45,11.79,11.4,11.59
1865,2020-09-25,11.04,11.39,11.04,11.34
1864,2020-09-24,11.05,11.28,10.85,11.04
1863,2020-09-23,11.11,11.43,10.92,11.02
1862,2020-09-22,11.4,11.41,11.11,11.14
1861,2020-09-21,11.7,11.74,11.22,11.29
1860,2020-09-18,11.94,11.99,11.77,11.79
1859,2020-09-17,11.8,11.95,11.78,11.86
1858,2020-09-16,11.7,11.95,11.7,11.88
1857,2020-09-15,11.76,11.905,11.58,11.63
1856,2020-09-14,11.34,11.93,11.2957,11.74
1855,2020-09-11,11.38,11.4,11.04,11.22
1854,2020-09-10,11.46,11.46,11.28,11.32
1853,2020-09-09,11.42,11.52,11.35,11.42
1852,2020-09-08,11.38,11.5,11.22,11.39
1851,2020-09-04,11.73,11.74,11.27,11.32
1850,2020-09-03,11.32,11.62,11.29,11.58
1849,2020-09-02,11.42,11.48,11.29,11.35
1848,2020-09-01,11.1,11.44,11.09,11.39
1847,2020-08-31,11.66,11.69,11.345,11.36
1846,2020-08-28,11.3,11.69,11.19,11.6
1845,2020-08-27,11.47,11.5,11.17,11.22
1844,2020-08-26,11.53,11.53,11.38,11.44
1843,2020-08-25,11.5,11.56,11.3,11.49
