,Date,Open,High,Low,Close
5314,2020-12-14,36.8,36.93,34.71,34.93
5313,2020-12-11,36.15,36.555,35.44,36.27
5312,2020-12-10,34.67,36.61,34.55,36.49
5311,2020-12-09,35.59,36.11,34.025,35.21
5310,2020-12-08,33.96,35.5,33.95,35.42
5309,2020-12-07,34.83,34.87,33.47,34.28
5308,2020-12-04,34.58,35.2,34.13,34.82
5307,2020-12-03,34.53,35.08,33.9,34.08
5306,2020-12-02,33.22,34.5,32.79,34.16
5305,2020-12-01,35.12,35.2,32.09,33.47
5304,2020-11-30,35.44,36.22,33.7001,34.01
5303,2020-11-27,35.23,36.6,35.23,35.44
5302,2020-11-25,35.52,36.14,34.59,34.83
5301,2020-11-24,35.0,37.97,34.76,35.94
5300,2020-11-23,32.3,34.19,31.81,33.94
5299,2020-11-20,30.58,31.71,30.42,31.52
5298,2020-11-19,32.36,33.28,30.4,30.54
5297,2020-11-18,31.45,34.33,31.27,32.59
5296,2020-11-17,30.77,31.9,30.18,31.11
5295,2020-11-16,28.72,31.5325,28.5,31.31
5294,2020-11-13,27.3,27.88,27.08,27.68
5293,2020-11-12,27.88,29.62,26.89,27.0
5292,2020-11-11,27.46,28.1,25.82,28.1
5291,2020-11-10,26.81,28.45,26.39,27.79
5290,2020-11-09,21.06,26.88,21.06,26.37
5289,2020-11-06,19.74,19.75,18.95,19.42
5288,2020-11-05,19.19,19.95,19.18,19.53
5287,2020-11-04,19.77,19.99,18.81,18.96
5286,2020-11-03,19.51,20.04,19.39,19.91
5285,2020-11-02,18.37,19.62,18.37,19.0
5284,2020-10-30,18.31,18.46,17.9,18.06
5283,2020-10-29,18.28,18.68,17.87,18.38
5282,2020-10-28,18.77,18.79,17.83,18.25
5281,2020-10-27,19.78,19.79,19.12,19.26
5280,2020-10-26,19.62,19.78,18.95,19.78
5279,2020-10-23,20.54,20.54,19.56,20.02
5278,2020-10-22,19.31,20.11,19.025,20.07
5277,2020-10-21,19.02,19.4361,19.01,19.32
5276,2020-10-20,19.4,19.775,19.1,19.15
5275,2020-10-19,21.07,21.1699,19.21,19.21
5274,2020-10-16,21.2,21.37,20.86,20.88
5273,2020-10-15,20.74,21.38,20.35,21.25
5272,2020-10-14,21.44,21.7171,21.14,21.17
5271,2020-10-13,21.42,21.64,21.04,21.3
5270,2020-10-12,21.51,21.875,21.14,21.72
5269,2020-10-09,21.59,21.8549,21.2394,21.36
5268,2020-10-08,22.2565,22.2565,21.23,21.33
5267,2020-10-07,20.79,21.55,20.4503,20.97
5266,2020-10-06,22.17,22.35,20.67,20.78
5265,2020-10-05,21.67,22.27,21.53,21.88
5264,2020-10-02,21.23,21.56,20.9,21.35
5263,2020-10-01,20.78,21.95,20.52,21.94
5262,2020-09-30,20.71,21.38,20.48,20.6
5261,2020-09-29,20.41,20.56,19.9483,20.51
5260,2020-09-28,20.3,20.99,20.3,20.48
5259,2020-09-25,19.05,20.06,19.05,19.93
5258,2020-09-24,19.4,19.57,18.71,19.3
5257,2020-09-23,19.56,20.19,19.34,19.425
5256,2020-09-22,19.7,19.94,19.05,19.57
5255,2020-09-21,19.7,19.91,19.11,19.5
5254,2020-09-18,20.84,21.32,20.31,20.38
5253,2020-09-17,19.99,20.79,19.7,20.61
5252,2020-09-16,20.44,20.84,20.33,20.41
5251,2020-09-15,20.22,20.67,20.06,20.365
5250,2020-09-14,19.99,20.18,19.784,20.08
5249,2020-09-11,19.87,20.09,19.51,19.79
5248,2020-09-10,21.09,21.4,19.74,19.77
5247,2020-09-09,21.27,21.81,20.52,20.84
5246,2020-09-08,21.36,21.58,20.68,20.91
5245,2020-09-04,22.22,22.35,21.08,21.67
5244,2020-09-03,22.96,23.27,21.5,21.85
5243,2020-09-02,23.27,23.42,22.48,23.19
5242,2020-09-01,22.77,23.53,22.76,23.32
5241,2020-08-31,24.75,24.75,22.63,23.07
5240,2020-08-28,23.47,24.91,23.08,24.75
5239,2020-08-27,24.34,24.41,23.11,23.18
5238,2020-08-26,25.06,25.115,24.26,24.36
5237,2020-08-25,25.2,25.24,24.61,24.91
5236,2020-08-24,24.84,25.28,24.645,25.2
5235,2020-08-21,25.2,25.3,24.75,24.79
5234,2020-08-20,25.3,25.34,24.85,25.09
5233,2020-08-19,25.55,26.02,25.3,25.55
5232,2020-08-18,26.11,26.11,25.49,25.63
5231,2020-08-17,25.81,26.16,25.48,26.04
5230,2020-08-14,25.45,25.73,25.24,25.72
5229,2020-08-13,25.66,26.49,25.58,25.67
5228,2020-08-12,25.68,25.87,25.11,25.58
5227,2020-08-11,26.59,26.85,25.2,25.22
5226,2020-08-10,26.47,27.07,26.1,26.27
5225,2020-08-07,26.0,27.72,25.51,26.23
5224,2020-08-06,23.33,24.21,22.81,24.02
5223,2020-08-05,23.44,23.68,23.11,23.56
5222,2020-08-04,22.44,23.2,22.32,23.05
5221,2020-08-03,22.2,22.81,21.8503,22.54
5220,2020-07-31,21.67,22.06,21.1201,22.055
5219,2020-07-30,21.36,21.91,20.6,21.8
5218,2020-07-29,20.76,21.93,20.64,21.92
5217,2020-07-28,20.83,21.07,20.52,20.52
5216,2020-07-27,21.17,21.17,19.96,20.94
5215,2020-07-24,22.57,22.57,21.05,21.2
5214,2020-07-23,22.49,23.35,22.43,22.67
5213,2020-07-22,22.84,23.46,22.42,22.65
5212,2020-07-21,22.66,23.37,22.27,22.98
5211,2020-07-20,22.07,22.4,21.85,22.22
5210,2020-07-17,22.0,22.36,21.91,22.08
5209,2020-07-16,21.55,22.37,21.29,22.03
5208,2020-07-15,20.72,21.87,20.59,21.82
5207,2020-07-14,20.33,20.53,19.21,20.13
5206,2020-07-13,20.5,21.33,20.21,20.45
5205,2020-07-10,19.87,20.09,19.55,20.01
5204,2020-07-09,20.9,20.9,19.84,19.93
5203,2020-07-08,20.72,21.1,19.92,20.84
5202,2020-07-07,21.27,21.47,20.68,20.78
5201,2020-07-06,22.11,22.35,21.37,21.64
5200,2020-07-02,22.44,22.68,21.57,21.6
5199,2020-07-01,22.28,22.76,21.73,21.76
5198,2020-06-30,21.78,22.41,21.66,22.36
5197,2020-06-29,21.16,21.99,20.6614,21.89
5196,2020-06-26,21.65,22.05,20.72,20.81
5195,2020-06-25,20.64,22.02,20.64,21.88
5194,2020-06-24,22.97,23.12,20.88,20.93
5193,2020-06-23,23.52,23.56,22.47,23.44
5192,2020-06-22,23.26,23.77,22.56,22.9
5191,2020-06-19,24.48,25.28,23.43,23.44
5190,2020-06-18,23.68,24.07,23.02,24.05
5189,2020-06-17,24.93,24.93,22.65,23.9
5188,2020-06-16,26.21,26.73,24.96,25.09
5187,2020-06-15,23.17,25.4,23.0,24.94
5186,2020-06-12,24.69,25.25,22.97,24.16
5185,2020-06-11,25.35,25.59,22.86,22.98
5184,2020-06-10,29.01,29.51,26.34,26.67
5183,2020-06-09,30.21,30.64,28.73,28.8
5182,2020-06-08,29.5,31.76,29.17,31.01
5181,2020-06-05,28.0,29.38,27.78,28.37
5180,2020-06-04,25.45,27.78,25.44,27.13
5179,2020-06-03,24.63,26.1,24.63,25.83
5178,2020-06-02,23.98,24.49,23.43,24.27
5177,2020-06-01,22.43,23.85,22.19,23.62
5176,2020-05-29,22.42,22.74,21.66,22.41
5175,2020-05-28,22.82,23.04,22.15,22.78
5174,2020-05-27,22.07,22.73,21.04,22.58
5173,2020-05-26,21.49,22.2,21.3,21.47
5172,2020-05-22,20.75,20.75,19.82,20.59
5171,2020-05-21,20.93,21.15,20.5,20.72
5170,2020-05-20,20.69,21.32,20.55,20.99
