,Date,Open,High,Low,Close
562,2020-12-14,18.02,18.36,17.86,18.14
561,2020-12-11,17.93,17.93,17.32,17.61
560,2020-12-10,17.84,18.32,17.68,18.27
559,2020-12-09,18.6,18.9,17.52,18.08
558,2020-12-08,18.43,18.99,18.4,18.65
557,2020-12-07,18.0,18.495,17.8,18.43
556,2020-12-04,17.47,18.145,17.28,18.04
555,2020-12-03,17.35,18.06,17.22,17.32
554,2020-12-02,16.31,17.77,16.19,17.36
553,2020-12-01,17.0,17.2,16.43,16.44
552,2020-11-30,16.8,17.3,16.35,16.77
551,2020-11-27,16.8,17.07,16.34,17.02
550,2020-11-25,16.82,17.02,16.42,16.9
549,2020-11-24,16.93,17.52,16.59,16.99
548,2020-11-23,15.93,16.9058,15.93,16.63
547,2020-11-20,16.21,16.21,15.41,15.56
546,2020-11-19,16.36,16.78,16.14,16.24
545,2020-11-18,15.89,16.96,15.89,16.51
544,2020-11-17,14.71,16.08,14.47,15.73
543,2020-11-16,14.96,15.64,14.44,15.0
542,2020-11-13,12.61,14.14,12.53,14.04
541,2020-11-12,13.04,13.35,12.39,12.6
540,2020-11-11,12.73,12.96,12.14,12.9
539,2020-11-10,13.3,13.64,12.2,12.72
538,2020-11-09,12.56,14.42,12.5,13.38
537,2020-11-06,9.5,10.13,9.06,10.12
536,2020-11-05,9.57,10.6801,9.55,10.36
535,2020-11-04,9.47,9.73,9.195,9.5
534,2020-11-03,9.59,9.87,9.5687,9.63
533,2020-11-02,9.4,9.54,9.165,9.42
532,2020-10-30,9.72,9.755,9.03,9.23
531,2020-10-29,9.64,9.99,9.49,9.81
530,2020-10-28,9.6,9.96,9.34,9.68
529,2020-10-27,9.95,10.01,9.59,9.97
528,2020-10-26,10.3,10.3,9.51,9.99
527,2020-10-23,9.68,10.55,9.61,10.52
526,2020-10-22,9.28,9.66,9.17,9.57
525,2020-10-21,9.21,9.4,9.13,9.28
524,2020-10-20,9.08,9.275,9.01,9.23
523,2020-10-19,9.42,9.53,9.06,9.1
522,2020-10-16,9.56,9.83,9.202,9.41
521,2020-10-15,9.71,9.78,9.52,9.58
520,2020-10-14,10.23,10.48,9.78,9.89
519,2020-10-13,10.19,10.3,10.04,10.16
518,2020-10-12,10.6,10.72,10.18,10.31
517,2020-10-09,10.51,10.64,10.22,10.48
516,2020-10-08,10.24,10.57,10.15,10.49
515,2020-10-07,10.08,10.27,9.935,10.15
514,2020-10-06,10.35,10.6499,9.96,9.98
513,2020-10-05,10.69,10.85,9.881,10.17
512,2020-10-02,10.75,10.99,10.47,10.54
511,2020-10-01,10.92,11.275,10.87,11.13
510,2020-09-30,11.02,11.19,10.69,10.85
509,2020-09-29,10.75,11.25,10.685,11.0
508,2020-09-28,10.58,10.82,10.45,10.55
507,2020-09-25,10.63,10.63,10.18,10.32
506,2020-09-24,10.73,11.065,10.4,10.69
505,2020-09-23,11.72,11.85,10.77,10.8
504,2020-09-22,11.74,11.78,11.31,11.6
503,2020-09-21,11.72,11.85,11.19,11.61
502,2020-09-18,12.75,12.81,11.8662,12.15
501,2020-09-17,12.39,13.06,12.2,12.57
500,2020-09-16,11.85,12.78,11.725,12.4
499,2020-09-15,11.45,11.69,11.26,11.47
498,2020-09-14,11.86,12.01,11.14,11.37
497,2020-09-11,11.86,11.86,11.365,11.75
496,2020-09-10,12.15,12.7,11.61,11.81
495,2020-09-09,11.94,12.46,11.43,12.05
494,2020-09-08,11.25,12.64,11.105,11.97
493,2020-09-04,10.97,11.58,10.576,11.57
492,2020-09-03,11.09,11.26,10.63,10.9
491,2020-09-02,11.09,11.31,10.59,11.22
490,2020-09-01,10.66,11.08,10.52,11.07
489,2020-08-31,11.01,11.11,10.63,10.75
488,2020-08-28,10.5,11.05,10.48,11.01
487,2020-08-27,10.11,10.63,9.97,10.49
486,2020-08-26,10.31,10.37,9.96,10.05
485,2020-08-25,10.24,10.32,10.0,10.3
484,2020-08-24,10.03,10.2,9.75,10.17
483,2020-08-21,10.39,10.5,9.86,9.91
482,2020-08-20,9.64,10.77,9.5501,10.51
481,2020-08-19,9.83,10.02,9.72,9.74
480,2020-08-18,9.83,9.85,9.61,9.78
479,2020-08-17,9.73,9.84,9.41,9.74
478,2020-08-14,9.85,10.17,9.75,9.85
477,2020-08-13,9.68,10.12,9.65,9.91
476,2020-08-12,9.9,10.32,9.58,9.74
475,2020-08-11,9.97,10.14,9.705,9.78
474,2020-08-10,9.2,9.93,9.16,9.8
473,2020-08-07,9.12,9.55,8.95,9.25
472,2020-08-06,8.99,9.09,8.65,8.67
471,2020-08-05,8.95,9.15,8.72,9.05
470,2020-08-04,8.71,8.91,8.61,8.84
469,2020-08-03,8.57,8.82,8.37,8.73
468,2020-07-31,8.59,8.77,8.28,8.52
467,2020-07-30,8.5,8.62,8.18,8.55
466,2020-07-29,8.35,8.6,8.2916,8.56
465,2020-07-28,8.66,8.8,8.21,8.26
464,2020-07-27,8.59,8.8,8.41,8.68
463,2020-07-24,8.47,8.59,8.31,8.54
462,2020-07-23,8.62,8.749,8.38,8.56
461,2020-07-22,8.58,8.65,8.45,8.6
460,2020-07-21,8.92,9.0,8.45,8.57
459,2020-07-20,8.67,8.82,8.45,8.74
458,2020-07-17,9.14,9.24,8.55,8.72
457,2020-07-16,9.2,9.31,8.75,9.16
456,2020-07-15,9.0,9.64,8.75,9.26
455,2020-07-14,8.51,8.92,8.34,8.55
454,2020-07-13,8.93,9.13,8.46,8.52
453,2020-07-10,8.53,8.88,8.36,8.83
452,2020-07-09,9.05,9.09,8.38,8.54
451,2020-07-08,8.62,9.02,8.33,9.0
450,2020-07-07,8.36,8.65,8.26,8.6
449,2020-07-06,8.8,8.86,8.23,8.32
448,2020-07-02,8.94,9.17,8.48,8.55
447,2020-07-01,8.57,9.43,8.41,8.71
446,2020-06-30,8.54,8.73,8.24,8.57
445,2020-06-29,8.06,8.75,7.75,8.61
444,2020-06-26,8.61,8.705,7.9,8.0
443,2020-06-25,8.67,9.53,8.52,8.67
442,2020-06-24,9.15,9.23,8.41,8.42
441,2020-06-23,9.28,9.68,9.07,9.24
440,2020-06-22,9.18,9.21,8.7,9.14
439,2020-06-19,9.6,9.62,8.8305,9.13
438,2020-06-18,9.46,9.62,9.3,9.51
437,2020-06-17,9.83,9.83,9.42,9.51
436,2020-06-16,10.15,10.43,9.72,9.85
435,2020-06-15,9.4,10.0,9.2,9.6
434,2020-06-12,9.95,10.93,9.93,10.27
433,2020-06-11,9.8,10.47,9.75,10.22
432,2020-06-10,11.27,11.27,9.87,10.72
431,2020-06-09,12.07,12.66,11.79,12.52
430,2020-06-08,12.2,12.27,11.46,12.09
429,2020-06-05,10.89,12.36,10.61,11.67
428,2020-06-04,9.57,10.29,9.51,10.08
427,2020-06-03,9.45,9.99,9.31,9.65
426,2020-06-02,9.36,9.74,9.15,9.57
425,2020-06-01,8.68,9.46,8.62,9.21
424,2020-05-29,8.61,8.7599,8.32,8.62
423,2020-05-28,9.08,9.2,8.59,8.66
422,2020-05-27,8.86,9.21,8.26,9.1
421,2020-05-26,8.88,8.94,8.56,8.59
420,2020-05-22,8.68,8.75,8.15,8.5
419,2020-05-21,8.22,8.69,8.08,8.64
418,2020-05-20,8.09,8.465,7.82,8.34
417,2020-05-19,8.17,8.4,7.87,7.88
416,2020-05-18,7.34,8.235,7.245,8.01
415,2020-05-15,6.65,7.1,6.33,6.43
414,2020-05-14,6.87,6.91,6.545,6.65
413,2020-05-13,8.05,8.1,6.79,6.92
412,2020-05-12,9.61,9.65,7.815,8.04
411,2020-05-11,10.07,10.56,9.87,10.53
410,2020-05-08,10.3,10.48,9.9,10.28
409,2020-05-07,9.72,10.185,9.6,10.14
408,2020-05-06,9.71,9.86,9.39,9.62
407,2020-05-05,9.1,10.03,9.09,9.65
406,2020-05-04,8.39,9.02,8.26,8.97
405,2020-05-01,9.07,9.1,8.34,8.56
404,2020-04-30,9.78,9.92,8.96,9.12
403,2020-04-29,9.8,10.0,9.38,9.91
402,2020-04-28,9.38,9.48,8.89,9.34
401,2020-04-27,9.0,9.39,8.9,9.12
400,2020-04-24,8.53,8.9727,8.5,8.85
399,2020-04-23,8.37,8.78,8.37,8.62
398,2020-04-22,8.72,8.79,8.33,8.36
