,Date,Open,High,Low,Close
5314,2020-12-14,39.3,39.96,37.99,38.0
5313,2020-12-11,40.4,41.0,38.54,38.98
5312,2020-12-10,39.19,40.63,38.3084,40.52
5311,2020-12-09,38.84,39.91,38.3,39.58
5310,2020-12-08,37.8,38.61,37.8,38.56
5309,2020-12-07,37.58,38.2,37.05,37.88
5308,2020-12-04,36.8,38.205,36.76,37.75
5307,2020-12-03,36.38,37.26,36.03,36.68
5306,2020-12-02,36.39,36.82,35.19,36.29
5305,2020-12-01,35.0,36.14,34.62,36.03
5304,2020-11-30,33.61,34.65,32.94,34.14
5303,2020-11-27,34.53,34.84,33.57,33.74
5302,2020-11-25,35.96,35.96,34.48,34.66
5301,2020-11-24,35.71,36.65,35.49,35.81
5300,2020-11-23,32.87,35.27,32.1921,35.15
5299,2020-11-20,32.2,32.85,32.13,32.47
5298,2020-11-19,33.38,33.38,32.2,32.68
5297,2020-11-18,32.4,34.7,31.595,33.77
5296,2020-11-17,30.85,31.8,30.41,31.53
5295,2020-11-16,31.21,31.91,30.5,31.32
5294,2020-11-13,30.42,30.72,29.73,30.5
5293,2020-11-12,31.4,31.71,29.79,30.0
5292,2020-11-11,32.66,33.2,31.2,31.74
5291,2020-11-10,31.57,32.73,30.39,32.46
5290,2020-11-09,33.49,34.3,31.37,31.45
5289,2020-11-06,32.12,32.84,31.07,31.34
5288,2020-11-05,32.4596,33.2,32.14,32.72
5287,2020-11-04,31.54,33.485,30.91,32.54
5286,2020-11-03,32.76,34.1318,30.43,31.3
5285,2020-11-02,32.87,34.5,32.29,33.74
5284,2020-10-30,32.79,33.3,31.23,31.93
5283,2020-10-29,34.47,34.88,32.63,32.85
5282,2020-10-28,35.98,36.225,34.69,34.75
5281,2020-10-27,37.55,38.435,36.65,36.84
5280,2020-10-26,38.93,39.18,37.36,37.77
5279,2020-10-23,39.87,40.22,38.92,39.33
5278,2020-10-22,39.2,40.105,39.2,39.62
5277,2020-10-21,40.43,40.6766,39.17,39.33
5276,2020-10-20,40.69,41.7,40.42,40.64
5275,2020-10-19,41.36,41.42,39.92,40.07
5274,2020-10-16,40.0,41.52,39.4013,40.7
5273,2020-10-15,37.83,42.27,37.75,40.25
5272,2020-10-14,38.66,39.55,38.14,38.46
5271,2020-10-13,37.86,38.7,37.79,38.59
5270,2020-10-12,38.33,38.335,37.32,37.96
5269,2020-10-09,38.81,39.7,38.12,38.45
5268,2020-10-08,38.19,38.58,37.35,38.43
5267,2020-10-07,38.61,39.21,37.295,37.54
5266,2020-10-06,40.24,40.33,38.25,38.27
5265,2020-10-05,39.46,40.08,39.05,39.75
5264,2020-10-02,38.41,39.68,38.39,39.04
5263,2020-10-01,38.51,39.3,37.5618,39.26
5262,2020-09-30,39.07,39.98,38.19,38.59
5261,2020-09-29,39.14,39.15,37.39,38.66
5260,2020-09-28,37.9,40.76,37.7,39.44
5259,2020-09-25,38.45,38.67,36.75,37.02
5258,2020-09-24,38.9,39.915,37.2,38.09
5257,2020-09-23,40.63,41.0,39.17,39.23
5256,2020-09-22,39.47,40.7334,38.91,40.54
5255,2020-09-21,38.22,39.38,36.91,39.21
5254,2020-09-18,40.09,40.7,39.1564,39.43
5253,2020-09-17,39.87,40.64,39.61,39.82
5252,2020-09-16,40.4,40.75,39.64,40.34
5251,2020-09-15,42.01,42.3,40.05,40.16
5250,2020-09-14,41.18,42.31,39.8,41.83
5249,2020-09-11,41.38,41.79,40.89,41.06
5248,2020-09-10,42.43,43.35,40.49,41.13
5247,2020-09-09,45.23,45.24,42.09,42.29
5246,2020-09-08,46.23,47.03,45.34,45.88
5245,2020-09-04,47.34,47.8928,45.48,46.71
5244,2020-09-03,48.46,48.46,45.92,46.68
5243,2020-09-02,48.12,49.01,47.84,48.22
5242,2020-09-01,45.95,48.52,45.7584,48.43
5241,2020-08-31,46.39,47.03,45.9,45.94
5240,2020-08-28,47.25,47.25,46.09,46.76
5239,2020-08-27,45.47,46.715,45.07,46.19
5238,2020-08-26,45.86,45.92,45.14,45.39
5237,2020-08-25,46.95,46.975,45.77,46.13
5236,2020-08-24,45.79,46.96,45.74,46.5
5235,2020-08-21,44.88,47.0,44.88,45.98
5234,2020-08-20,45.58,45.6,44.39,45.01
5233,2020-08-19,43.6,46.34,43.41,46.14
5232,2020-08-18,44.4,45.5917,42.97,43.61
5231,2020-08-17,44.22,44.4,43.16,44.13
5230,2020-08-14,43.81,44.72,43.5082,44.28
5229,2020-08-13,43.91,45.02,42.9,44.33
5228,2020-08-12,44.71,45.535,43.8,44.23
5227,2020-08-11,44.79,45.74,43.36,43.63
5226,2020-08-10,43.37,44.59,43.18,44.21
5225,2020-08-07,46.02,46.18,42.52,42.98
5224,2020-08-06,42.54,47.545,42.11,46.25
5223,2020-08-05,36.47,40.03,36.44,39.38
5222,2020-08-04,36.11,36.42,35.33,36.2
5221,2020-08-03,36.48,36.555,35.73,36.17
5220,2020-07-31,35.52,36.7,34.6,36.53
5219,2020-07-30,35.76,35.94,35.37,35.7
5218,2020-07-29,35.79,36.61,35.6666,36.57
5217,2020-07-28,35.17,35.8899,35.015,35.51
5216,2020-07-27,34.6,35.2,34.36,35.14
5215,2020-07-24,35.17,35.4,34.68,34.82
5214,2020-07-23,34.95,35.8,34.81,35.33
5213,2020-07-22,34.45,35.05,34.38,34.92
5212,2020-07-21,35.68,35.97,34.26,34.85
5211,2020-07-20,34.35,35.33,34.35,35.17
5210,2020-07-17,35.97,36.32,34.66,34.67
5209,2020-07-16,35.09,36.6,34.63,36.06
5208,2020-07-15,34.0,35.38,33.45,35.34
5207,2020-07-14,32.48,33.3,32.01,33.29
5206,2020-07-13,32.56,33.39,32.16,32.39
5205,2020-07-10,30.87,32.11,30.55,32.05
5204,2020-07-09,33.05,33.72,30.78,30.87
5203,2020-07-08,32.32,33.35,32.11,33.35
5202,2020-07-07,33.9,33.93,32.45,32.51
5201,2020-07-06,34.79,34.81,33.87,34.28
5200,2020-07-02,34.59,34.78,33.65,33.82
5199,2020-07-01,34.1,34.67,33.26,33.65
5198,2020-06-30,33.84,34.74,33.79,34.18
5197,2020-06-29,33.13,34.26,32.25,34.08
5196,2020-06-26,34.6,34.85,32.19,32.445
5195,2020-06-25,33.74,34.735,33.03,34.52
5194,2020-06-24,34.5,34.79,33.69,34.08
5193,2020-06-23,36.44,36.54,34.64,34.74
5192,2020-06-22,35.62,36.55,35.2022,36.0
5191,2020-06-19,37.03,37.1549,35.58,35.97
5190,2020-06-18,36.83,37.65,36.17,36.5
5189,2020-06-17,37.19,37.85,36.8007,37.25
5188,2020-06-16,39.13,39.25,35.41,37.24
5187,2020-06-15,33.83,37.605,33.83,37.53
5186,2020-06-12,36.4,36.56,33.65,35.71
5185,2020-06-11,33.65,35.36,33.16,34.91
5184,2020-06-10,36.77,36.77,34.32,35.14
5183,2020-06-09,35.83,37.27,35.83,36.67
5182,2020-06-08,38.23,38.355,36.16,36.83
5181,2020-06-05,35.25,37.82,35.25,37.27
5180,2020-06-04,33.11,34.44,32.69,34.29
5179,2020-06-03,33.07,34.15,32.94,33.33
5178,2020-06-02,32.6,32.98,32.26,32.49
5177,2020-06-01,31.74,32.92,31.74,32.24
5176,2020-05-29,32.01,33.09,31.3,31.77
5175,2020-05-28,33.52,33.92,32.69,32.82
5174,2020-05-27,33.66,34.03,32.87,33.39
5173,2020-05-26,33.8,33.8,32.06,32.64
5172,2020-05-22,32.15,32.15,31.33,31.92
5171,2020-05-21,32.2,32.74,31.815,31.86
5170,2020-05-20,32.45,33.06,31.75,32.08
5169,2020-05-19,32.65,33.5,31.42,31.59
5168,2020-05-18,32.81,33.5,32.32,32.745
5167,2020-05-15,31.26,31.45,30.265,31.0
5166,2020-05-14,30.42,31.53,29.23,31.27
5165,2020-05-13,31.23,32.0586,29.94,30.88
5164,2020-05-12,28.28,32.55,28.28,30.56
5163,2020-05-11,30.96,30.96,28.19,28.63
5162,2020-05-08,24.62,31.205,24.62,31.05
5161,2020-05-07,22.91,24.44,22.91,24.06
5160,2020-05-06,23.4,24.07,22.5,22.56
5159,2020-05-05,23.82,25.12,23.38,23.39
5158,2020-05-04,22.97,24.17,22.1,23.23
5157,2020-05-01,24.8,25.53,23.15,23.56
5156,2020-04-30,27.9,27.9,25.53,25.98
5155,2020-04-29,27.64,29.42,26.99,28.92
5154,2020-04-28,25.35,26.9,25.35,26.31
5153,2020-04-27,23.9,25.02,23.44,24.75
5152,2020-04-24,23.51,24.08,22.91,23.71
5151,2020-04-23,22.46,24.1,22.28,23.33
5150,2020-04-22,25.5,25.5,22.17,22.48
5149,2020-04-21,25.34,26.04,24.53,24.98
5148,2020-04-20,26.21,27.44,25.95,26.34
5147,2020-04-17,25.9,27.17,25.4288,27.07
5146,2020-04-16,25.45,25.99,23.55,24.255
5145,2020-04-15,24.88,26.26,24.27,25.41
5144,2020-04-14,27.09,28.41,25.21,26.21
5143,2020-04-13,28.55,28.84,25.405,26.49
5142,2020-04-09,26.88,29.87,26.88,28.68
5141,2020-04-08,23.54,26.56,22.55,25.83
5140,2020-04-07,21.58,24.02,21.58,23.62
5139,2020-04-06,18.04,20.69,18.03,20.55
5138,2020-04-03,18.88,19.64,16.51,16.94
5137,2020-04-02,21.09,21.99,18.73,19.12
5136,2020-04-01,22.4,23.305,21.14,21.28
5135,2020-03-31,27.11,28.0079,22.0,23.38
5134,2020-03-30,27.07,28.24,26.215,26.94
5133,2020-03-27,28.22,28.83,26.5,27.59
5132,2020-03-26,27.64,30.915,27.64,29.65
5131,2020-03-25,23.15,30.16,23.15,27.84
5130,2020-03-24,17.75,23.26,17.68,23.15
5129,2020-03-23,20.22,20.45,16.3001,16.84
5128,2020-03-20,17.1598,22.63,17.1598,20.06
5127,2020-03-19,18.72,18.72,15.27,16.95
5126,2020-03-18,29.33,29.33,17.775,18.72
5125,2020-03-17,35.3,35.3,30.4,30.55
5124,2020-03-16,33.63,35.88,32.4101,34.5
5123,2020-03-13,34.48,35.72,33.08,35.45
5122,2020-03-12,33.68,35.24,32.41,33.29
5121,2020-03-11,36.53,38.02,34.96,35.3
5120,2020-03-10,39.3,39.39,35.95,37.34
5119,2020-03-09,36.44,38.42,35.11,38.29
5118,2020-03-06,38.31,38.885,37.45,38.64
5117,2020-03-05,39.2,40.16,38.68,39.34
5116,2020-03-04,38.42,40.07,37.5011,40.05
5115,2020-03-03,38.5,39.07,37.59,38.18
5114,2020-03-02,37.44,39.18,37.17,38.61
5113,2020-02-28,34.31,37.36,34.27,37.16
5112,2020-02-27,34.99,36.73,32.54,34.61
5111,2020-02-26,31.48,31.74,30.645,30.905
5110,2020-02-25,33.11,33.2,31.21,31.25
5109,2020-02-24,32.92,33.24,32.575,33.04
5108,2020-02-21,34.84,34.84,33.95,34.3
5107,2020-02-20,34.5,35.06,34.16,34.98
5106,2020-02-19,35.06,35.14,34.51,34.53
5105,2020-02-18,35.66,35.81,34.88,35.0
5104,2020-02-14,36.81,36.9,35.77,35.82
5103,2020-02-13,36.32,36.96,35.43,36.88
5102,2020-02-12,36.57,36.77,36.39,36.55
5101,2020-02-11,35.84,36.63,35.76,36.3
5100,2020-02-10,35.62,35.81,35.45,35.64
5099,2020-02-07,35.76,36.0,35.5,35.73
5098,2020-02-06,36.37,36.37,35.92,35.99
5097,2020-02-05,35.6,36.18,35.03,36.17
5096,2020-02-04,34.67,35.28,34.19,35.14
