,Date,Open,High,Low,Close
3081,2020-12-14,13.6,13.67,13.1786,13.29
3080,2020-12-11,13.52,13.52,13.142,13.4
3079,2020-12-10,12.87,13.56,12.87,13.52
3078,2020-12-09,12.82,13.0615,12.69,12.89
3077,2020-12-08,12.65,13.04,12.56,12.67
3076,2020-12-07,12.81,12.83,12.43,12.7
3075,2020-12-04,12.4,12.875,12.4,12.86
3074,2020-12-03,12.15,12.45,12.12,12.26
3073,2020-12-02,12.04,12.4215,11.95,12.13
3072,2020-12-01,11.78,12.06,11.765,12.01
3071,2020-11-30,12.01,12.06,11.52,11.52
3070,2020-11-27,12.39,12.415,12.005,12.05
3069,2020-11-25,12.35,12.55,12.235,12.53
3068,2020-11-24,12.28,12.42,12.22,12.39
3067,2020-11-23,12.05,12.13,11.98,12.13
3066,2020-11-20,11.76,11.88,11.665,11.87
3065,2020-11-19,11.56,11.87,11.51,11.84
3064,2020-11-18,11.92,11.96,11.61,11.61
3063,2020-11-17,11.56,11.82,11.4,11.81
3062,2020-11-16,11.55,11.68,11.34,11.67
3061,2020-11-13,10.78,10.995,10.78,10.99
3060,2020-11-12,10.94,11.095,10.69,10.78
3059,2020-11-11,11.08,11.19,10.9986,11.07
3058,2020-11-10,10.76,10.99,10.57,10.98
3057,2020-11-09,10.7,11.04,10.53,10.6
3056,2020-11-06,9.755,9.97,9.755,9.8
3055,2020-11-05,9.73,10.06,9.73,9.8
3054,2020-11-04,9.55,9.885,9.44,9.73
3053,2020-11-03,9.51,9.68,9.39,9.54
3052,2020-11-02,9.38,9.44,9.15,9.36
3051,2020-10-30,9.03,9.26,8.94,9.25
3050,2020-10-29,8.8,9.08,8.5,9.05
3049,2020-10-28,9.3,9.44,8.91,8.92
3048,2020-10-27,9.53,9.62,9.465,9.53
3047,2020-10-26,9.64,9.64,9.455,9.57
3046,2020-10-23,9.96,9.96,9.6953,9.78
3045,2020-10-22,9.72,9.92,9.685,9.88
3044,2020-10-21,9.76,9.97,9.705,9.72
3043,2020-10-20,9.8,9.9086,9.76,9.84
3042,2020-10-19,9.71,9.96,9.67,9.71
3041,2020-10-16,9.67,9.755,9.5786,9.66
3040,2020-10-15,9.66,9.795,9.53,9.72
3039,2020-10-14,9.71,9.9034,9.71,9.81
