,Date,Open,High,Low,Close
5314,2020-12-14,4.65,4.8,4.53,4.53
5313,2020-12-11,4.74,4.8,4.51,4.57
5312,2020-12-10,4.76,4.76,4.45,4.62
5311,2020-12-09,4.45,4.74,4.26,4.73
5310,2020-12-08,4.27,4.33,4.2,4.245
5309,2020-12-07,4.2,4.27,4.13,4.25
5308,2020-12-04,4.01,4.2313,4.01,4.18
5307,2020-12-03,3.98,4.22,3.98,4.03
5306,2020-12-02,3.95,4.076,3.95,4.02
5305,2020-12-01,4.0,4.0,3.85,3.91
5304,2020-11-30,4.06,4.1,3.8809,3.98
5303,2020-11-27,4.14,4.14,4.05,4.12
5302,2020-11-25,4.21,4.21,4.03,4.19
5301,2020-11-24,4.08,4.31,4.03,4.24
5300,2020-11-23,4.25,4.25,4.01,4.09
5299,2020-11-20,4.18,4.37,4.16,4.17
5298,2020-11-19,4.26,4.3,3.75,4.13
5297,2020-11-18,4.5,4.51,4.25,4.47
5296,2020-11-17,4.36,4.54,4.35,4.4
5295,2020-11-16,4.55,4.6,4.4,4.4
5294,2020-11-13,4.45,4.55,4.37,4.5
5293,2020-11-12,4.39,4.45,4.35,4.4
5292,2020-11-11,4.45,4.45,4.37,4.4
5291,2020-11-10,4.3,4.45,4.3,4.405
5290,2020-11-09,4.1,4.52,4.1,4.3504
5289,2020-11-06,4.3293,4.385,4.1899,4.285
5288,2020-11-05,4.33,4.44,4.21,4.35
5287,2020-11-04,4.345,4.345,4.25,4.28
5286,2020-11-03,4.4,4.4,4.21,4.235
5285,2020-11-02,4.21,4.44,4.21,4.37
5284,2020-10-30,4.2,4.33,4.17,4.24
5283,2020-10-29,4.31,4.44,4.15,4.38
5282,2020-10-28,4.31,4.36,4.1,4.35
5281,2020-10-27,4.5,4.79,4.3302,4.43
5280,2020-10-26,4.6,4.6,4.33,4.45
5279,2020-10-23,4.6779,4.9299,4.6,4.63
5278,2020-10-22,4.75,4.7527,4.55,4.635
5277,2020-10-21,4.98,4.98,4.6201,4.75
5276,2020-10-20,4.85,5.02,4.7775,4.92
5275,2020-10-19,4.66,4.75,4.61,4.73
5274,2020-10-16,4.49,4.6,4.33,4.545
5273,2020-10-15,4.4,4.55,4.4,4.475
5272,2020-10-14,4.45,4.64,4.45,4.48
5271,2020-10-13,4.62,4.65,4.44,4.44
5270,2020-10-12,4.25,4.65,4.22,4.57
5269,2020-10-09,4.5,4.5,4.32,4.4186
5268,2020-10-08,4.5,4.5154,4.4,4.5
5267,2020-10-07,4.42,4.55,4.35,4.45
5266,2020-10-06,4.7,4.7,4.52,4.565
5265,2020-10-05,4.57,4.73,4.55,4.67
5264,2020-10-02,4.49,4.5599,4.4,4.5
5263,2020-10-01,4.6,4.68,4.4,4.505
5262,2020-09-30,4.58,4.74,4.51,4.6
5261,2020-09-29,4.6,4.75,4.49,4.64
5260,2020-09-28,4.33,4.59,4.2,4.51
5259,2020-09-25,4.05,4.06,3.895,3.965
5258,2020-09-24,4.33,4.33,3.88,4.0
5257,2020-09-23,4.3,4.4199,4.2,4.32
5256,2020-09-22,3.93,4.425,3.93,4.24
5255,2020-09-21,4.15,4.15,3.85,3.95
5254,2020-09-18,4.22,4.3,4.051,4.21
5253,2020-09-17,3.84,4.3,3.84,4.165
5252,2020-09-16,3.76,3.95,3.76,3.93
5251,2020-09-15,3.9,3.9,3.75,3.8
5250,2020-09-14,3.84,3.94,3.65,3.92
5249,2020-09-11,3.86,3.98,3.77,3.93
5248,2020-09-10,3.92,3.93,3.85,3.9
5247,2020-09-09,3.94,4.05,3.86,3.93
5246,2020-09-08,4.0,4.13,3.685,3.85
5245,2020-09-04,4.16,4.27,3.86,3.98
5244,2020-09-03,4.27,4.305,4.16,4.21
5243,2020-09-02,4.19,4.2655,4.03,4.245
5242,2020-09-01,4.02,4.23,3.92,4.2
5241,2020-08-31,3.68,4.0902,3.61,4.02
5240,2020-08-28,3.73,3.75,3.55,3.75
5239,2020-08-27,3.45,3.85,3.45,3.73
5238,2020-08-26,3.37,3.58,3.35,3.37
5237,2020-08-25,3.27,3.66,3.27,3.4279
5236,2020-08-24,3.28,3.3,3.2,3.235
5235,2020-08-21,3.25,3.34,3.23,3.3
5234,2020-08-20,3.28,3.34,3.26,3.31
5233,2020-08-19,3.26,3.38,3.26,3.3333
5232,2020-08-18,3.35,3.39,3.25,3.3
5231,2020-08-17,3.26,3.4,3.25,3.27
5230,2020-08-14,3.28,3.47,3.25,3.305
5229,2020-08-13,3.27,3.4199,3.25,3.31
5228,2020-08-12,3.415,3.51,3.3301,3.375
5227,2020-08-11,3.22,3.72,3.22,3.43
5226,2020-08-10,3.325,3.35,3.19,3.25
5225,2020-08-07,3.15,3.34,3.1,3.28
5224,2020-08-06,3.1836,3.25,3.09,3.2
5223,2020-08-05,3.02,3.34,3.02,3.15
5222,2020-08-04,3.13,3.13,3.02,3.06
5221,2020-08-03,3.02,3.26,3.02,3.1
5220,2020-07-31,3.08,3.1,3.0,3.07
5219,2020-07-30,3.09,3.2,3.0,3.07
5218,2020-07-29,3.19,3.2,3.05,3.13
5217,2020-07-28,3.1,3.25,3.07,3.14
5216,2020-07-27,3.26,3.26,3.05,3.14
5215,2020-07-24,3.27,3.3,3.2001,3.25
5214,2020-07-23,3.2702,3.31,3.21,3.2859
5213,2020-07-22,3.4066,3.42,3.27,3.305
5212,2020-07-21,3.46,3.46,3.33,3.42
5211,2020-07-20,3.38,3.41,3.27,3.34
5210,2020-07-17,3.32,3.45,3.11,3.36
5209,2020-07-16,2.93,3.14,2.85,3.13
5208,2020-07-15,2.54,3.47,2.54,2.93
5207,2020-07-14,2.48,2.49,2.25,2.36
5206,2020-07-13,2.44,2.53,2.41,2.41
5205,2020-07-10,2.49,2.54,2.42,2.46
5204,2020-07-09,2.46,2.5,2.43,2.46
5203,2020-07-08,2.51,2.54,2.4,2.48
5202,2020-07-07,2.49,2.7,2.43,2.49
5201,2020-07-06,2.53,2.7,2.43,2.47
5200,2020-07-02,2.5,2.59,2.43,2.56
5199,2020-07-01,2.43,2.61,2.43,2.5
5198,2020-06-30,2.5,2.54,2.43,2.47
5197,2020-06-29,2.44,2.6,2.44,2.51
5196,2020-06-26,2.59,2.6,2.44,2.515
5195,2020-06-25,2.51,2.83,2.43,2.5596
5194,2020-06-24,2.74,2.74,2.5,2.54
5193,2020-06-23,2.64,2.7668,2.52,2.735
5192,2020-06-22,2.71,2.76,2.62,2.71
5191,2020-06-19,2.89,2.89,2.63,2.645
5190,2020-06-18,2.64,2.74,2.5772,2.6668
5189,2020-06-17,2.85,2.875,2.6501,2.6796
5188,2020-06-16,2.755,2.84,2.71,2.805
