,Date,Open,High,Low,Close
226,2020-12-14,45.37,45.64,45.3088,45.38
225,2020-12-11,45.64,45.64,44.7,45.36
224,2020-12-10,45.58,45.8228,45.42,45.51
223,2020-12-09,46.49,46.85,45.5757,45.6
222,2020-12-08,46.27,46.85,46.27,46.6
221,2020-12-07,46.41,46.41,46.06,46.27
220,2020-12-04,46.1,46.15,45.7,45.8246
219,2020-12-03,47.0,47.06,45.9,46.0
218,2020-12-02,46.32,46.99,46.23,46.78
217,2020-12-01,47.75,47.75,45.87,46.12
216,2020-11-30,48.42,48.7,47.09,47.46
215,2020-11-27,48.46,48.635,48.46,48.63
214,2020-11-25,48.28,49.48,48.1,49.19
213,2020-11-24,49.84,49.84,48.37,49.05
212,2020-11-23,47.45,48.43,47.45,48.08
211,2020-11-20,46.06,46.48,45.84,46.125
210,2020-11-19,46.55,46.55,46.1,46.14
209,2020-11-18,47.21,47.24,45.96,46.09
208,2020-11-17,47.0,48.19,47.0,47.37
207,2020-11-16,47.45,48.17,46.43,47.27
206,2020-11-13,46.93,47.2,46.58,47.1
205,2020-11-12,46.461,47.3,46.461,46.72
204,2020-11-11,47.81,47.81,46.57,47.1
203,2020-11-10,48.02,48.43,46.6645,48.43
202,2020-11-09,46.65,48.43,46.65,48.33
201,2020-11-06,46.84,49.39,43.84,46.47
200,2020-11-05,49.98,50.01,49.55,50.01
199,2020-11-04,48.62,49.1639,48.62,49.11
198,2020-11-03,48.98,49.33,48.3962,48.3962
197,2020-11-02,48.8,49.2487,48.7,49.05
196,2020-10-30,48.88,48.88,47.88,48.37
195,2020-10-29,47.7741,48.79,47.7741,48.79
194,2020-10-28,48.3,48.9138,47.79,47.85
193,2020-10-27,48.03,48.93,47.98,48.93
192,2020-10-26,47.85,48.2478,47.85,48.055
191,2020-10-23,48.5,48.92,48.5,48.92
190,2020-10-22,48.07,48.4638,48.03,48.41
189,2020-10-21,48.3178,49.05,47.31,47.38
188,2020-10-20,48.34,48.7,48.32,48.58
187,2020-10-19,48.0056,48.0056,47.76,47.99
186,2020-10-16,49.72,49.72,49.12,49.12
185,2020-10-15,49.4,49.48,48.77,49.4
184,2020-10-14,50.1,50.21,49.4,49.4
183,2020-10-13,52.05,52.29,50.4,51.07
182,2020-10-12,51.91,52.49,51.8,52.32
181,2020-10-09,51.07,52.22,51.07,51.375
180,2020-10-08,49.49,50.6258,49.16,50.3
179,2020-10-07,45.7532,50.65,45.73,49.83
178,2020-10-06,45.27,46.01,45.07,45.17
177,2020-10-05,44.93,45.18,44.92,44.94
176,2020-10-02,43.35,44.93,43.35,44.54
175,2020-10-01,44.94,44.94,43.89,44.25
174,2020-09-30,43.55,45.53,43.54,44.36
173,2020-09-29,43.77,43.77,43.11,43.11
172,2020-09-28,43.52,44.04,43.22,43.39
171,2020-09-25,42.59,43.22,42.59,43.14
170,2020-09-24,42.04,42.92,42.04,42.9
169,2020-09-23,43.62,43.62,42.64,42.88
168,2020-09-22,43.26,43.97,43.26,43.97
167,2020-09-21,43.0,43.0,43.0,43.0
166,2020-09-18,43.26,43.26,43.26,43.26
165,2020-09-17,44.24,44.29,44.16,44.21
164,2020-09-16,44.04,44.87,44.04,44.17
163,2020-09-15,45.22,45.22,43.38,43.85
162,2020-09-14,44.67,44.95,44.5,44.95
161,2020-09-11,43.95,43.95,43.95,43.95
160,2020-09-10,45.1293,45.1293,43.86,43.95
159,2020-09-09,45.73,46.1639,45.73,45.92
158,2020-09-08,44.16,45.545,44.16,44.91
157,2020-09-04,45.35,45.35,44.7,45.19
156,2020-09-03,46.28,46.38,45.3516,45.3516
155,2020-09-02,46.0587,46.35,46.0,46.35
154,2020-09-01,46.38,46.48,46.05,46.43
153,2020-08-31,46.85,47.14,46.31,46.31
152,2020-08-28,46.0,46.67,46.0,46.67
151,2020-08-27,46.06,46.06,45.84,45.86
150,2020-08-26,46.31,46.31,45.38,45.38
149,2020-08-25,45.0,46.81,45.0,46.73
148,2020-08-24,44.435,44.66,44.435,44.59
147,2020-08-21,43.76,43.9,43.75,43.8
146,2020-08-20,42.5,44.85,42.5,44.72
145,2020-08-19,43.14,43.19,42.59,42.59
144,2020-08-18,42.41,43.07,42.3,42.96
