,Date,Open,High,Low,Close
947,2020-12-14,3.01,3.24,2.85,3.12
946,2020-12-11,3.0,3.25,2.93,2.98
945,2020-12-10,2.89,3.1,2.8,3.05
944,2020-12-09,3.12,3.125,2.76,2.9
943,2020-12-08,3.46,3.48,3.05,3.16
942,2020-12-07,3.48,3.48,3.0554,3.4
941,2020-12-04,2.95,3.41,2.945,3.3
940,2020-12-03,2.95,2.97,2.69,2.81
939,2020-12-02,2.58,2.93,2.43,2.84
938,2020-12-01,2.57,2.62,2.34,2.62
937,2020-11-30,2.45,2.5901,2.1658,2.5
936,2020-11-27,2.1,2.2,2.0,2.09
935,2020-11-25,1.41,2.65,1.41,2.25
934,2020-11-24,1.4,1.49,1.4,1.41
933,2020-11-23,1.5,1.54,1.4315,1.49
932,2020-11-20,1.41,1.5,1.36,1.43
931,2020-11-19,1.44,1.45,1.36,1.37
930,2020-11-18,1.52,1.58,1.405,1.45
929,2020-11-17,1.49,1.565,1.44,1.54
928,2020-11-16,1.54,1.565,1.4227,1.49
927,2020-11-13,1.44,1.55,1.44,1.54
926,2020-11-12,1.565,1.5799,1.4673,1.5
925,2020-11-09,1.56,1.64,1.46,1.5
924,2020-11-06,1.57,1.57,1.49,1.52
923,2020-11-05,1.6,1.6499,1.52,1.56
922,2020-11-04,1.6,1.62,1.51,1.6
921,2020-11-03,1.46,1.58,1.4584,1.58
920,2020-11-02,1.49,1.57,1.42,1.43
919,2020-10-30,1.56,1.59,1.4,1.51
918,2020-10-29,1.59,1.6788,1.53,1.56
917,2020-10-28,1.65,1.6501,1.5,1.595
916,2020-10-27,1.76,1.8099,1.65,1.67
915,2020-10-26,1.89,1.8995,1.72,1.76
914,2020-10-23,1.78,1.85,1.7,1.81
913,2020-10-22,1.74,1.82,1.7,1.76
912,2020-10-21,1.66,1.75,1.66,1.72
911,2020-10-20,1.75,1.7898,1.65,1.66
910,2020-10-19,1.92,1.95,1.7,1.75
909,2020-10-16,1.94,2.0496,1.91,1.91
908,2020-10-15,1.9,1.97,1.87,1.92
907,2020-10-14,1.97,2.05,1.9,1.95
906,2020-10-13,2.04,2.09,2.0,2.0
905,2020-10-12,2.0,2.11,2.0,2.05
904,2020-10-09,2.04,2.04,1.95,2.0
903,2020-10-08,2.05,2.11,1.94,2.04
902,2020-10-07,2.13,2.18,2.0,2.06
901,2020-10-06,2.35,2.37,2.06,2.14
900,2020-10-05,2.24,2.37,2.18,2.28
899,2020-10-02,2.0,2.25,1.9101,2.21
898,2020-10-01,2.06,2.1369,2.01,2.03
897,2020-09-30,2.15,2.19,2.06,2.06
896,2020-09-29,2.08,2.15,2.02,2.14
895,2020-09-28,1.98,2.08,1.95,2.05
894,2020-09-25,1.91,2.0,1.87,1.94
893,2020-09-24,1.9,1.905,1.76,1.85
892,2020-09-23,2.0,2.1,1.86,1.86
891,2020-09-22,1.88,1.97,1.8,1.96
890,2020-09-21,1.9,1.9,1.71,1.84
889,2020-09-18,1.83,2.0,1.8,1.9
888,2020-09-17,1.73,1.8,1.66,1.74
887,2020-09-16,1.72,1.745,1.61,1.64
886,2020-09-15,1.65,1.7699,1.61,1.67
885,2020-09-14,1.77,1.77,1.65,1.6999
884,2020-09-11,1.83,1.94,1.72,1.77
883,2020-09-10,1.7,1.92,1.67,1.92
882,2020-09-09,1.93,2.2,1.66,1.82
881,2020-09-08,1.6,1.65,1.5501,1.6
880,2020-09-04,1.57,1.62,1.46,1.57
879,2020-09-03,1.62,1.65,1.55,1.56
878,2020-09-02,1.68,1.88,1.59,1.61
877,2020-09-01,1.73,1.769,1.63,1.73
876,2020-08-31,1.75,1.79,1.7235,1.75
875,2020-08-28,1.75,1.7999,1.7,1.75
874,2020-08-27,1.76,1.8,1.7101,1.75
873,2020-08-26,1.72,1.79,1.63,1.79
872,2020-08-25,1.69,1.75,1.6694,1.71
871,2020-08-24,1.64,1.6745,1.56,1.6413
870,2020-08-21,1.64,1.6799,1.55,1.62
869,2020-08-20,1.67,1.6809,1.53,1.59
868,2020-08-19,1.51,1.69,1.5,1.6
867,2020-08-18,1.8,1.8102,1.3,1.41
866,2020-08-17,2.02,2.02,1.79,1.83
865,2020-08-14,2.0,2.03,1.76,1.98
864,2020-08-13,2.12,2.2,1.96,2.0
863,2020-08-12,2.78,2.96,2.67,2.67
862,2020-08-11,2.72,2.935,2.38,2.78
861,2020-08-10,2.95,2.99,2.43,2.7699
860,2020-08-07,2.71,2.99,2.61,2.95
859,2020-08-06,2.56,2.95,2.16,2.95
858,2020-08-05,2.79,2.79,2.5,2.63
857,2020-08-04,2.75,2.8193,2.555,2.7902
856,2020-08-03,2.7,2.79,2.3649,2.79
855,2020-07-31,2.6,2.69,2.5275,2.6899
854,2020-07-30,2.44,2.68,2.44,2.565
853,2020-07-29,2.62,2.6984,2.44,2.44
852,2020-07-28,2.81,2.81,2.62,2.7
851,2020-07-27,2.98,2.98,2.8,2.8
850,2020-07-24,2.98,2.98,2.59,2.98
849,2020-07-23,2.05,2.86,2.05,2.76
848,2020-07-22,2.08,2.085,1.9,2.02
847,2020-07-21,2.11,2.15,1.99,2.0
846,2020-07-20,2.04,2.146,1.93,2.146
845,2020-07-17,2.24,2.24,2.014,2.195
844,2020-07-16,2.075,2.35,2.03,2.24
843,2020-07-15,2.0,2.29,1.98,1.98
842,2020-07-14,2.15,2.15,1.86,1.954
841,2020-07-13,2.3,2.3,2.0,2.0
840,2020-07-10,2.3,2.325,1.886,2.325
839,2020-07-09,2.31,2.32,1.936,2.3
838,2020-07-08,2.5,2.5,2.3,2.302
837,2020-07-07,2.6,2.6,2.5,2.5
836,2020-07-06,2.79,2.79,2.41,2.6
835,2020-07-02,2.722,2.79,2.722,2.78
834,2020-07-01,2.59,2.657,2.474,2.62
833,2020-06-30,2.585,2.607,2.585,2.589
832,2020-06-29,2.57,2.795,2.56,2.57
831,2020-06-26,2.64,2.64,2.565,2.62
830,2020-06-25,2.5,2.6512,2.4,2.64
829,2020-06-24,2.55,2.7,2.48,2.5113
828,2020-06-23,2.61,2.7,2.575,2.59
827,2020-06-22,2.62,2.8,2.5802,2.6515
826,2020-06-19,2.75,2.8399,2.5901,2.8
825,2020-06-18,2.85,2.85,2.7188,2.7188
824,2020-06-17,2.85,2.85,2.58,2.8499
823,2020-06-16,3.0,3.0,2.78,2.78
822,2020-06-15,2.56,2.85,2.56,2.78
821,2020-06-12,2.83,2.85,2.52,2.688
820,2020-06-11,3.0,3.0,2.504,2.71
819,2020-06-10,3.22,3.6,2.75,2.8399
818,2020-06-09,3.0201,3.21,2.855,2.9799
817,2020-06-08,3.2,3.2,3.0,3.1557
816,2020-06-05,3.17,3.17,3.05,3.05
815,2020-06-04,3.35,3.35,2.92,3.027
814,2020-06-03,3.13,3.7,2.92,3.2
813,2020-06-02,3.81,4.0,2.89,3.13
812,2020-06-01,3.0,3.62,2.85,3.62
811,2020-05-29,3.0,3.29,2.85,2.85
810,2020-05-28,3.08,3.2,2.75,2.75
809,2020-05-27,3.0,3.2848,2.9463,3.1966
808,2020-05-26,3.0,3.085,2.8502,3.0
807,2020-05-22,3.0135,3.0135,3.0135,3.0135
806,2020-05-21,3.03,3.0641,3.0,3.0
805,2020-05-20,3.01,3.165,3.01,3.15
804,2020-05-19,3.1729,3.1729,3.1729,3.1729
803,2020-05-18,3.4013,3.4013,3.01,3.3251
802,2020-05-15,3.08,3.4472,3.0,3.43
801,2020-05-14,3.2,3.25,3.06,3.1
800,2020-05-13,3.4611,3.4611,3.25,3.25
799,2020-05-12,3.75,3.775,3.45,3.523
798,2020-05-11,3.8741,3.8741,3.6,3.75
797,2020-05-08,3.75,3.8895,3.75,3.81
796,2020-05-07,3.835,3.835,3.835,3.835
795,2020-05-06,3.76,3.76,3.75,3.75
794,2020-05-05,3.9012,3.9012,3.7607,3.8298
793,2020-05-04,3.8945,3.8945,3.85,3.85
792,2020-05-01,3.9,4.0264,3.9,4.0264
791,2020-04-30,3.99,4.035,3.79,4.035
790,2020-04-29,3.95,3.95,3.9,3.95
789,2020-04-28,3.9448,3.95,3.6419,3.95
788,2020-04-27,3.75,3.8207,3.65,3.8207
787,2020-04-24,3.95,3.95,3.6288,3.6463
786,2020-04-23,3.3201,4.0,3.3201,3.95
785,2020-04-22,3.69,3.75,3.25,3.5
784,2020-04-21,3.39,3.75,3.3048,3.75
