,Date,Open,High,Low,Close
4270,2020-12-14,13.68,13.82,13.68,13.8
4269,2020-12-11,13.68,13.73,13.6,13.67
4268,2020-12-10,13.46,13.69,13.45,13.68
4267,2020-12-09,13.77,13.77,13.49,13.56
4266,2020-12-08,13.84,13.8827,13.6602,13.7
4265,2020-12-07,13.81,13.88,13.75,13.84
4264,2020-12-04,13.7,13.82,13.7,13.81
4263,2020-12-03,13.7,13.75,13.64,13.74
4262,2020-12-02,13.5,13.73,13.5,13.67
4261,2020-12-01,13.49,13.63,13.45,13.49
4260,2020-11-30,13.34,13.47,13.3356,13.4
4259,2020-11-27,13.5,13.6,13.38,13.38
4258,2020-11-25,13.48,13.55,13.41,13.43
4257,2020-11-24,13.48,13.54,13.46,13.46
4256,2020-11-23,13.38,13.52,13.3704,13.47
4255,2020-11-20,13.26,13.51,13.25,13.38
4254,2020-11-19,13.19,13.3599,13.1,13.25
4253,2020-11-18,13.45,13.54,13.32,13.35
4252,2020-11-17,13.42,13.54,13.35,13.43
4251,2020-11-16,13.36,13.42,13.33,13.42
4250,2020-11-13,13.17,13.33,13.15,13.31
4249,2020-11-12,13.14,13.19,13.09,13.1
4248,2020-11-11,13.12,13.22,13.08,13.19
4247,2020-11-10,13.08,13.13,13.03,13.12
4246,2020-11-09,12.98,13.14,12.94,13.04
4245,2020-11-06,12.85,12.9,12.8,12.82
4244,2020-11-05,12.6,12.825,12.56,12.81
4243,2020-11-04,12.25,12.5207,12.25,12.51
4242,2020-11-03,12.15,12.25,12.12,12.18
4241,2020-11-02,12.05,12.15,12.05,12.08
4240,2020-10-30,12.05,12.13,11.96,12.0
4239,2020-10-29,12.01,12.15,12.0001,12.1
4238,2020-10-28,12.3,12.341,11.9,12.0
4237,2020-10-27,12.37,12.41,12.32,12.34
4236,2020-10-26,12.56,12.57,12.35,12.35
4235,2020-10-23,12.63,12.635,12.56,12.6
4234,2020-10-22,12.59,12.68,12.59,12.6
4233,2020-10-21,12.61,12.68,12.5177,12.64
4232,2020-10-20,12.51,12.66,12.51,12.66
4231,2020-10-19,12.7,12.72,12.45,12.47
4230,2020-10-16,12.74,12.7578,12.67,12.68
4229,2020-10-15,12.8,12.828,12.72,12.74
4228,2020-10-14,12.87,12.87,12.83,12.84
4227,2020-10-13,12.83,12.88,12.81,12.87
4226,2020-10-12,12.82,12.8899,12.82,12.88
4225,2020-10-09,12.83,12.89,12.76,12.77
4224,2020-10-08,12.7,12.8323,12.7,12.75
4223,2020-10-07,12.7,12.7,12.65,12.66
4222,2020-10-06,12.67,12.75,12.55,12.56
4221,2020-10-05,12.55,12.71,12.55,12.67
4220,2020-10-02,12.4,12.53,12.3,12.53
4219,2020-10-01,12.37,12.51,12.3,12.47
4218,2020-09-30,12.31,12.3572,12.29,12.32
4217,2020-09-29,12.45,12.45,12.3,12.31
4216,2020-09-28,12.4,12.41,12.3101,12.41
4215,2020-09-25,12.5,12.5,12.3,12.35
4214,2020-09-24,12.55,12.55,12.32,12.5
4213,2020-09-23,12.84,12.84,12.49,12.58
4212,2020-09-22,12.84,12.905,12.8,12.86
4211,2020-09-21,12.9,12.95,12.82,12.93
4210,2020-09-18,13.1,13.14,13.0361,13.05
4209,2020-09-17,13.1,13.15,13.04,13.06
4208,2020-09-16,13.13,13.15,13.0814,13.15
4207,2020-09-15,13.0,13.15,12.97,13.14
4206,2020-09-14,13.13,13.1399,12.96,12.99
4205,2020-09-11,13.19,13.23,13.1,13.13
4204,2020-09-10,13.21,13.23,13.15,13.18
4203,2020-09-09,13.17,13.19,13.1,13.19
4202,2020-09-08,13.04,13.13,12.9,13.13
4201,2020-09-04,12.96,13.1,12.86,13.09
4200,2020-09-03,13.07,13.09,12.84,12.91
4199,2020-09-02,13.14,13.21,13.06,13.1
4198,2020-09-01,13.03,13.27,12.9926,13.15
4197,2020-08-31,12.98,13.01,12.97,12.98
4196,2020-08-28,13.0,13.07,12.97,13.01
4195,2020-08-27,13.0,13.08,12.97,12.99
4194,2020-08-26,13.0,13.03,12.96,13.02
4193,2020-08-25,13.0,13.0,12.96,12.98
4192,2020-08-24,13.09,13.112,13.0,13.06
4191,2020-08-21,13.08,13.145,12.936,13.01
4190,2020-08-20,13.2,13.3,13.17,13.2
4189,2020-08-19,13.29,13.3,13.24,13.24
4188,2020-08-18,13.25,13.29,13.245,13.28
4187,2020-08-17,13.31,13.33,13.26,13.26
4186,2020-08-14,13.36,13.42,13.26,13.29
4185,2020-08-13,13.4,13.42,13.34,13.35
4184,2020-08-12,13.34,13.379,13.3,13.37
4183,2020-08-11,13.37,13.4155,13.25,13.26
4182,2020-08-10,13.31,13.4099,13.31,13.38
4181,2020-08-07,13.19,13.31,13.1823,13.31
4180,2020-08-06,13.21,13.24,13.09,13.16
4179,2020-08-05,13.15,13.25,13.13,13.25
