,Date,Open,High,Low,Close
1068,2020-12-14,26.53,26.62,26.53,26.62
1067,2020-12-11,26.38,26.57,26.275,26.53
1066,2020-12-10,26.57,26.58,26.22,26.36
1065,2020-12-09,26.52,26.58,26.4963,26.58
1064,2020-12-08,26.35,26.54,26.35,26.54
1063,2020-12-07,26.2613,26.41,26.2448,26.37
1062,2020-12-04,26.27,26.28,26.24,26.25
1061,2020-12-03,26.21,26.25,26.17,26.2
1060,2020-12-02,26.24,26.32,26.2,26.2355
1059,2020-12-01,26.33,26.33,26.24,26.24
1058,2020-11-30,26.26,26.34,26.12,26.25
1057,2020-11-27,26.27,26.28,26.2,26.28
1056,2020-11-25,26.54,26.56,26.27,26.32
1055,2020-11-24,26.45,26.55,26.36,26.55
1054,2020-11-23,26.52,26.53,26.37,26.435
1053,2020-11-20,26.5543,26.5543,26.36,26.45
1052,2020-11-19,26.51,26.57,26.455,26.57
1051,2020-11-18,26.64,26.65,26.51,26.55
1050,2020-11-17,26.68,26.74,26.54,26.62
1049,2020-11-16,26.63,26.68,26.47,26.62
1048,2020-11-13,26.61,26.63,26.42,26.63
1047,2020-11-12,26.58,26.73,26.58,26.61
1046,2020-11-11,26.68,26.68,26.49,26.62
1045,2020-11-10,26.75,26.75,26.52,26.7
1044,2020-11-09,26.62,27.1,26.495,26.93
1043,2020-11-06,26.76,26.7711,26.53,26.54
1042,2020-11-05,26.76,26.95,26.71,26.87
1041,2020-11-04,26.65,26.82,26.63,26.82
1040,2020-11-03,26.5,26.67,26.48,26.62
1039,2020-11-02,26.71,26.71,26.46,26.47
1038,2020-10-30,26.03,26.65,26.0224,26.56
1037,2020-10-29,26.09,26.3,26.03,26.03
1036,2020-10-28,25.95,26.2,25.95,26.09
1035,2020-10-27,25.83,26.26,25.82,26.14
1034,2020-10-26,25.79,25.83,25.71,25.77
1033,2020-10-23,25.75,25.89,25.75,25.86
1032,2020-10-22,25.72,25.78,25.7,25.77
1031,2020-10-21,25.72,25.76,25.68,25.72
1030,2020-10-20,25.68,25.79,25.68,25.75
1029,2020-10-19,25.78,25.78,25.66,25.69
1028,2020-10-16,25.73,25.78,25.7,25.77
1027,2020-10-15,25.63,25.76,25.63,25.76
1026,2020-10-14,25.8,25.83,25.69,25.74
1025,2020-10-13,25.79,25.815,25.67,25.8
1024,2020-10-12,25.92,25.93,25.8,25.82
1023,2020-10-09,25.9,25.93,25.77,25.84
1022,2020-10-08,25.88,25.96,25.83,25.89
1021,2020-10-07,25.82,25.92,25.81,25.87
1020,2020-10-06,25.99,25.99,25.6679,25.75
1019,2020-10-05,25.86,25.98,25.85,25.97
1018,2020-10-02,25.7,25.84,25.61,25.77
1017,2020-10-01,25.68,25.89,25.65,25.89
1016,2020-09-30,26.11,26.11,25.46,25.52
1015,2020-09-29,26.15,26.2636,25.92,25.99
1014,2020-09-28,26.42,26.65,26.34,26.35
1013,2020-09-25,26.58,26.6,26.3,26.33
1012,2020-09-24,26.81,26.81,26.62,26.62
1011,2020-09-23,27.0,27.0,26.57,26.57
1010,2020-09-22,27.19,27.19,27.01,27.01
1009,2020-09-21,27.06,27.19,26.88,27.11
1008,2020-09-18,27.19,27.26,26.88,27.26
1007,2020-09-17,27.2,27.345,27.15,27.16
1006,2020-09-16,27.3,27.33,27.22,27.22
1005,2020-09-15,27.25,27.33,27.25,27.33
1004,2020-09-14,27.04,27.21,27.04,27.19
1003,2020-09-11,27.11,27.11,27.0,27.04
1002,2020-09-10,27.01,27.19,26.9824,27.19
1001,2020-09-09,26.8,27.1,26.8,27.1
1000,2020-09-08,27.04,27.04,26.6,26.85
999,2020-09-04,27.29,27.29,26.95,27.04
998,2020-09-03,27.24,27.305,27.15,27.29
997,2020-09-02,27.18,27.37,27.145,27.24
996,2020-09-01,27.21,27.37,27.21,27.37
995,2020-08-31,27.2427,27.37,27.21,27.21
994,2020-08-28,27.26,27.36,27.26,27.2915
993,2020-08-27,27.21,27.37,27.21,27.35
992,2020-08-26,27.03,27.23,26.985,27.23
991,2020-08-25,26.91,27.06,26.86,27.06
990,2020-08-24,26.9214,26.94,26.91,26.91
989,2020-08-21,26.87,26.87,26.8,26.87
988,2020-08-20,26.69,26.87,26.69,26.87
987,2020-08-19,26.67,26.81,26.6665,26.69
986,2020-08-18,26.55,26.785,26.545,26.68
985,2020-08-17,26.51,26.6,26.4401,26.6
984,2020-08-14,26.43,26.6,26.43,26.49
983,2020-08-13,26.49,26.7,26.49,26.7
982,2020-08-12,26.39,26.65,26.39,26.65
981,2020-08-11,26.4993,26.5499,26.38,26.39
980,2020-08-10,26.44,26.59,26.44,26.5528
979,2020-08-07,26.39,26.51,26.32,26.51
978,2020-08-06,26.4,26.46,26.3537,26.415
977,2020-08-05,26.4,26.432,26.35,26.3746
976,2020-08-04,26.385,26.46,26.3137,26.44
975,2020-08-03,26.49,26.49,26.454,26.48
974,2020-07-31,26.27,26.51,26.1873,26.36
