,Date,Open,High,Low,Close
3454,2020-12-14,4.82,4.8302,4.77,4.78
3453,2020-12-11,4.81,4.82,4.76,4.81
3452,2020-12-10,4.87,4.98,4.84,4.98
3451,2020-12-09,4.93,4.96,4.9,4.91
3450,2020-12-08,4.92,4.93,4.88,4.93
3449,2020-12-07,4.91,4.94,4.88,4.92
3448,2020-12-04,4.88,4.92,4.84,4.9
3447,2020-12-03,4.83,4.8827,4.825,4.87
3446,2020-12-02,4.78,4.86,4.775,4.85
3445,2020-12-01,4.74,4.81,4.74,4.81
3444,2020-11-30,4.74,4.77,4.71,4.725
3443,2020-11-27,4.8,4.82,4.75,4.77
3442,2020-11-25,4.76,4.79,4.75,4.78
3441,2020-11-24,4.75,4.8299,4.74,4.76
3440,2020-11-23,4.68,4.7589,4.66,4.71
3439,2020-11-20,4.67,4.6899,4.67,4.67
3438,2020-11-19,4.65,4.7,4.65,4.68
3437,2020-11-18,4.62,4.69,4.62,4.69
3436,2020-11-17,4.59,4.6419,4.572,4.62
3435,2020-11-16,4.59,4.61,4.57,4.59
3434,2020-11-13,4.52,4.57,4.52,4.57
3433,2020-11-12,4.47,4.52,4.46,4.5
3432,2020-11-11,4.5,4.52,4.46,4.5
3431,2020-11-10,4.52,4.52,4.46,4.49
3430,2020-11-09,4.5,4.55,4.4771,4.49
3429,2020-11-06,4.39,4.415,4.3601,4.38
3428,2020-11-05,4.34,4.43,4.34,4.39
3427,2020-11-04,4.26,4.375,4.26,4.33
3426,2020-11-03,4.21,4.285,4.21,4.26
3425,2020-11-02,4.13,4.2,4.11,4.17
3424,2020-10-30,4.13,4.1659,4.08,4.09
3423,2020-10-29,4.11,4.18,4.08,4.18
3422,2020-10-28,4.22,4.22,4.09,4.11
3421,2020-10-27,4.25,4.28,4.25,4.27
3420,2020-10-26,4.31,4.33,4.24,4.26
3419,2020-10-23,4.36,4.39,4.34,4.35
3418,2020-10-22,4.37,4.37,4.32,4.34
3417,2020-10-21,4.37,4.39,4.35,4.36
3416,2020-10-20,4.33,4.41,4.33,4.38
3415,2020-10-19,4.35,4.41,4.32,4.33
3414,2020-10-16,4.39,4.4,4.35,4.37
3413,2020-10-15,4.37,4.4,4.3539,4.4
3412,2020-10-14,4.42,4.45,4.39,4.42
3411,2020-10-13,4.42,4.44,4.39,4.41
3410,2020-10-12,4.4,4.45,4.39,4.42
3409,2020-10-09,4.38,4.43,4.38,4.42
3408,2020-10-08,4.35,4.4,4.34,4.38
3407,2020-10-07,4.29,4.36,4.29,4.36
3406,2020-10-06,4.33,4.36,4.27,4.27
3405,2020-10-05,4.37,4.37,4.29,4.31
3404,2020-10-02,4.23,4.31,4.2064,4.31
3403,2020-10-01,4.32,4.32,4.25,4.28
3402,2020-09-30,4.19,4.27,4.19,4.23
3401,2020-09-29,4.18,4.21,4.15,4.2
3400,2020-09-28,4.18,4.21,4.15,4.16
3399,2020-09-25,4.11,4.16,4.085,4.15
3398,2020-09-24,4.15,4.17,4.03,4.13
3397,2020-09-23,4.26,4.28,4.16,4.16
3396,2020-09-22,4.25,4.27,4.21,4.27
3395,2020-09-21,4.27,4.28,4.21,4.28
3394,2020-09-18,4.33,4.36,4.31,4.33
3393,2020-09-17,4.35,4.36,4.31,4.34
3392,2020-09-16,4.37,4.4,4.32,4.37
3391,2020-09-15,4.36,4.41,4.33,4.36
3390,2020-09-14,4.38,4.38,4.3,4.37
3389,2020-09-11,4.36,4.38,4.31,4.36
3388,2020-09-10,4.53,4.56,4.46,4.47
3387,2020-09-09,4.46,4.519,4.45,4.5
3386,2020-09-08,4.47,4.47,4.4,4.46
3385,2020-09-04,4.53,4.53,4.42,4.5
3384,2020-09-03,4.6,4.6,4.4783,4.53
3383,2020-09-02,4.6,4.61,4.54,4.61
3382,2020-09-01,4.57,4.61,4.55,4.59
3381,2020-08-31,4.59,4.59,4.56,4.58
3380,2020-08-28,4.58,4.6099,4.545,4.57
3379,2020-08-27,4.6,4.62,4.55,4.61
3378,2020-08-26,4.66,4.66,4.57,4.58
3377,2020-08-25,4.6,4.62,4.56,4.61
3376,2020-08-24,4.58,4.6,4.55,4.58
3375,2020-08-21,4.57,4.57,4.54,4.56
3374,2020-08-20,4.57,4.59,4.53,4.59
3373,2020-08-19,4.53,4.59,4.51,4.56
3372,2020-08-18,4.54,4.56,4.52,4.53
3371,2020-08-17,4.55,4.58,4.514,4.55
3370,2020-08-14,4.53,4.55,4.47,4.53
3369,2020-08-13,4.55,4.57,4.5388,4.54
3368,2020-08-12,4.53,4.57,4.53,4.55
3367,2020-08-11,4.51,4.56,4.49,4.5
3366,2020-08-10,4.5,4.51,4.47,4.51
3365,2020-08-07,4.49,4.5299,4.485,4.5
3364,2020-08-06,4.47,4.53,4.47,4.51
3363,2020-08-05,4.48,4.52,4.47,4.5
3362,2020-08-04,4.45,4.48,4.43,4.45
3361,2020-08-03,4.39,4.45,4.39,4.44
3360,2020-07-31,4.43,4.43,4.37,4.39
3359,2020-07-30,4.4,4.44,4.38,4.43
3358,2020-07-29,4.39,4.45,4.3899,4.44
3357,2020-07-28,4.4,4.4098,4.38,4.38
3356,2020-07-27,4.44,4.44,4.39,4.41
3355,2020-07-24,4.4,4.42,4.35,4.4
3354,2020-07-23,4.45,4.45,4.41,4.43
3353,2020-07-22,4.42,4.45,4.42,4.45
3352,2020-07-21,4.41,4.45,4.41,4.44
