,Date,Open,High,Low,Close
1109,2020-12-14,3.23,3.36,3.2,3.26
1108,2020-12-11,3.3512,3.37,3.2306,3.31
1107,2020-12-10,3.21,3.375,3.21,3.28
1106,2020-12-09,3.38,3.38,3.2001,3.21
1105,2020-12-08,3.31,3.38,3.27,3.27
1104,2020-12-07,3.31,3.43,3.31,3.33
1103,2020-12-04,3.3,3.36,3.25,3.28
1102,2020-12-03,3.3273,3.3273,3.25,3.29
1101,2020-12-02,3.2579,3.33,3.2579,3.33
1100,2020-12-01,3.35,3.35,3.35,3.35
1099,2020-11-30,3.3188,3.325,3.27,3.27
1098,2020-11-27,3.24,3.27,3.17,3.26
1097,2020-11-25,3.2439,3.35,3.2439,3.33
1096,2020-11-24,3.21,3.24,3.15,3.24
1095,2020-11-23,3.27,3.27,3.11,3.12
1094,2020-11-20,3.2345,3.3,3.1,3.24
1093,2020-11-19,3.13,3.18,3.13,3.18
1092,2020-11-18,3.05,3.18,3.05,3.18
1091,2020-11-17,3.04,3.15,3.04,3.15
1090,2020-11-16,3.15,3.18,3.05,3.05
1089,2020-11-13,3.15,3.1502,3.1,3.15
1088,2020-11-12,3.04,3.19,3.04,3.1
1087,2020-11-11,3.3,3.3,3.155,3.19
1086,2020-11-10,3.2,3.25,3.1213,3.15
1085,2020-11-09,3.2428,3.251,3.2,3.24
1084,2020-11-06,3.2087,3.25,3.1,3.25
1083,2020-11-05,3.195,3.195,3.15,3.16
1082,2020-11-04,3.2381,3.2381,3.07,3.07
1081,2020-11-03,3.2,3.2,3.09,3.15
1080,2020-11-02,3.06,3.11,3.06,3.11
1079,2020-10-30,3.04,3.04,3.04,3.04
1078,2020-10-29,3.1,3.11,3.0839,3.09
1077,2020-10-28,3.06,3.18,3.0503,3.07
1076,2020-10-27,3.175,3.175,3.07,3.1
1075,2020-10-26,3.145,3.145,3.09,3.09
1074,2020-10-23,3.16,3.23,3.16,3.21
1073,2020-10-22,3.12,3.28,3.12,3.2
1072,2020-10-21,3.1,3.24,3.08,3.17
1071,2020-10-20,3.212,3.24,3.18,3.24
1070,2020-10-19,3.15,3.24,3.14,3.16
1069,2020-10-16,3.115,3.165,3.0652,3.15
1068,2020-10-15,3.08,3.2001,3.06,3.16
1067,2020-10-14,3.1816,3.22,3.15,3.22
1066,2020-10-13,3.11,3.26,3.11,3.1492
1065,2020-10-12,3.19,3.33,3.1,3.29
1064,2020-10-09,3.2,3.225,3.11,3.2
1063,2020-10-08,3.11,3.18,3.11,3.18
1062,2020-10-07,3.15,3.2,3.09,3.18
1061,2020-10-06,3.05,3.18,3.05,3.05
1060,2020-10-05,3.08,3.08,3.05,3.05
1059,2020-10-02,3.03,3.08,3.03,3.08
1058,2020-10-01,3.04,3.08,3.04,3.08
1057,2020-09-30,3.05,3.07,3.03,3.03
1056,2020-09-29,3.03,3.07,3.03,3.07
1055,2020-09-28,3.06,3.06,3.01,3.06
1054,2020-09-25,3.05,3.08,3.01,3.06
1053,2020-09-24,3.0202,3.1,3.01,3.09
1052,2020-09-23,3.1,3.1,3.01,3.03
1051,2020-09-22,3.03,3.07,3.03,3.07
1050,2020-09-21,3.07,3.0805,3.01,3.05
1049,2020-09-18,3.14,3.17,3.01,3.01
1048,2020-09-17,3.05,3.18,3.04,3.1
1047,2020-09-16,3.11,3.155,3.02,3.06
1046,2020-09-15,3.1,3.155,3.1,3.1
1045,2020-09-14,3.1,3.1,3.07,3.1
1044,2020-09-11,3.1,3.115,3.08,3.09
1043,2020-09-10,3.11,3.145,3.0819,3.09
1042,2020-09-09,3.08,3.18,3.07,3.18
1041,2020-09-08,3.05,3.205,3.05,3.1
1040,2020-09-04,3.1002,3.125,3.05,3.08
1039,2020-09-03,3.07,3.09,3.07,3.0727
1038,2020-09-02,3.0517,3.235,3.05,3.07
1037,2020-09-01,3.36,3.38,3.22,3.22
1036,2020-08-31,3.39,3.4,3.3552,3.37
1035,2020-08-28,3.3,3.5,3.24,3.45
1034,2020-08-27,3.25,3.305,3.25,3.254
1033,2020-08-26,3.21,3.25,3.17,3.23
1032,2020-08-25,3.24,3.2488,3.23,3.23
1031,2020-08-24,3.21,3.24,3.18,3.2
1030,2020-08-21,3.15,3.18,3.14,3.18
1029,2020-08-20,3.135,3.19,3.135,3.19
1028,2020-08-19,3.16,3.18,3.15,3.18
1027,2020-08-18,3.3,3.3,3.195,3.195
1026,2020-08-17,3.32,3.32,3.17,3.17
1025,2020-08-14,3.1575,3.1575,3.05,3.105
1024,2020-08-13,3.2,3.21,3.0101,3.0101
1023,2020-08-12,3.29,3.3,3.14,3.14
1022,2020-08-11,3.39,3.39,3.2,3.2
1021,2020-08-10,3.21,3.25,3.21,3.25
1020,2020-08-07,3.43,3.43,3.15,3.36
1019,2020-08-06,3.467,3.467,3.06,3.29
1018,2020-08-05,3.1499,3.3404,3.1167,3.24
1017,2020-08-04,3.07,3.14,3.07,3.11
1016,2020-08-03,3.1,3.15,3.05,3.13
1015,2020-07-31,3.0801,3.1,3.07,3.07
1014,2020-07-30,3.169,3.169,3.13,3.13
1013,2020-07-29,3.1301,3.18,3.13,3.13
1012,2020-07-28,3.115,3.2,3.0897,3.13
1011,2020-07-27,3.11,3.13,3.075,3.13
1010,2020-07-24,3.14,3.1496,3.06,3.12
1009,2020-07-23,3.14,3.14,3.06,3.06
1008,2020-07-22,3.05,3.14,3.03,3.12
1007,2020-07-21,2.93,3.04,2.92,3.04
1006,2020-07-20,2.93,2.93,2.93,2.93
1005,2020-07-17,3.11,3.11,3.03,3.03
1004,2020-07-16,3.03,3.15,3.02,3.06
1003,2020-07-15,3.02,3.05,2.95,3.05
1002,2020-07-14,2.9,3.02,2.9,2.93
1001,2020-07-13,2.95,2.95,2.91,2.91
1000,2020-07-10,2.91,2.99,2.91,2.99
999,2020-07-09,2.98,2.98,2.91,2.91
998,2020-07-08,2.95,3.01,2.95,2.99
997,2020-07-07,3.0,3.05,2.95,3.03
996,2020-07-06,3.1,3.14,3.05,3.05
995,2020-07-02,2.94,3.28,2.94,3.05
994,2020-07-01,2.92,2.94,2.92,2.92
993,2020-06-30,3.01,3.01,2.93,2.95
992,2020-06-29,3.06,3.06,2.98,3.01
991,2020-06-26,3.0,3.11,2.9827,3.1
990,2020-06-25,2.99,3.06,2.99,3.04
989,2020-06-24,2.99,3.06,2.99,3.0
988,2020-06-23,3.075,3.09,3.02,3.04
987,2020-06-22,3.01,3.09,2.968,3.05
986,2020-06-19,3.35,3.64,2.85,2.85
985,2020-06-18,3.16,3.32,3.12,3.31
984,2020-06-17,3.14,3.15,3.035,3.15
983,2020-06-16,3.09,3.15,3.05,3.05
982,2020-06-15,2.99,3.1,2.9,3.045
981,2020-06-12,2.9215,2.9215,2.9,2.9
980,2020-06-11,2.92,2.931,2.91,2.91
979,2020-06-10,2.98,2.98,2.91,2.93
978,2020-06-09,3.01,3.01,2.94,2.95
977,2020-06-08,3.0,3.02,2.985,3.01
976,2020-06-05,2.985,3.02,2.98,3.0027
975,2020-06-04,2.975,2.99,2.96,2.98
974,2020-06-03,2.95,3.03,2.95,2.96
973,2020-06-02,2.92,2.96,2.9154,2.96
972,2020-06-01,2.92,2.95,2.92,2.92
971,2020-05-29,2.905,2.92,2.86,2.91
970,2020-05-28,2.84,2.934,2.83,2.92
969,2020-05-27,2.73,2.92,2.73,2.84
968,2020-05-26,2.86,2.95,2.85,2.88
967,2020-05-22,2.9325,2.94,2.85,2.85
966,2020-05-21,2.95,2.95,2.91,2.91
965,2020-05-20,3.0,3.0,2.88,2.92
964,2020-05-19,3.0,3.02,2.89,2.9
963,2020-05-18,3.0,3.04,2.95,2.95
962,2020-05-15,2.85,3.11,2.85,2.95
961,2020-05-14,2.85,2.85,2.79,2.7984
960,2020-05-13,2.82,2.8536,2.79,2.85
959,2020-05-12,2.89,2.9128,2.83,2.83
958,2020-05-11,2.9,2.9173,2.88,2.89
957,2020-05-08,2.905,2.94,2.88,2.9
956,2020-05-07,2.8936,2.92,2.89,2.89
955,2020-05-06,2.9,2.95,2.88,2.905
954,2020-05-05,2.98,2.98,2.9,2.93
953,2020-05-04,2.89,2.98,2.875,2.975
952,2020-05-01,2.9,2.94,2.85,2.92
951,2020-04-30,2.9,2.9361,2.89,2.93
950,2020-04-29,2.89,3.02,2.86,3.0
949,2020-04-28,2.86,2.86,2.79,2.83
948,2020-04-27,2.887,2.9,2.843,2.85
947,2020-04-24,2.8101,2.9,2.81,2.81
946,2020-04-23,2.9,2.9,2.88,2.89
945,2020-04-22,2.85,2.9,2.84,2.85
944,2020-04-21,2.91,2.91,2.8,2.81
943,2020-04-20,2.73,2.9,2.73,2.875
942,2020-04-17,2.81,2.85,2.8,2.85
941,2020-04-16,2.89,2.89,2.89,2.89
940,2020-04-15,2.64,2.8999,2.64,2.89
939,2020-04-14,2.9,2.9,2.9,2.9
938,2020-04-13,3.0,3.0,2.845,2.9
937,2020-04-09,2.6699,2.9,2.6699,2.9
936,2020-04-08,2.65,2.67,2.6072,2.67
935,2020-04-07,2.67,2.67,2.47,2.59
934,2020-04-06,2.64,2.67,2.62,2.64
933,2020-04-03,2.67,2.67,2.55,2.65
932,2020-04-02,2.3168,2.54,2.3168,2.53
931,2020-04-01,2.67,2.67,2.4463,2.55
930,2020-03-31,2.67,2.67,2.48,2.67
929,2020-03-30,2.7,2.72,2.66,2.67
928,2020-03-27,2.4271,2.7,2.4271,2.625
927,2020-03-26,2.4501,2.65,2.45,2.65
926,2020-03-25,2.53,2.6,2.5,2.5
925,2020-03-24,2.52,2.71,2.52,2.59
924,2020-03-23,2.47,2.5,2.4001,2.5
923,2020-03-20,2.445,2.56,2.445,2.54
922,2020-03-19,2.55,2.68,2.4,2.49
921,2020-03-18,2.4,2.7,2.4,2.6
920,2020-03-17,2.7009,2.7009,2.7009,2.7009
