,Date,Open,High,Low,Close
1783,2020-12-14,2.03,2.06,1.95,1.99
1782,2020-12-11,2.03,2.08,1.97,2.04
1781,2020-12-10,2.01,2.16,1.955,2.09
1780,2020-12-09,2.15,2.17,2.01,2.04
1779,2020-12-08,2.2,2.27,2.09,2.14
1778,2020-12-07,2.15,2.3,2.125,2.21
1777,2020-12-04,2.15,2.23,2.1001,2.2
1776,2020-12-03,2.1,2.19,2.08,2.15
1775,2020-12-02,2.13,2.2,2.11,2.11
1774,2020-12-01,2.17,2.19,2.11,2.14
1773,2020-11-30,2.25,2.25,2.12,2.13
1772,2020-11-27,2.27,2.35,2.23,2.24
1771,2020-11-25,2.33,2.38,2.26,2.28
1770,2020-11-24,2.23,2.34,2.22,2.33
1769,2020-11-23,2.15,2.29,2.083,2.23
1768,2020-11-20,2.23,2.27,2.14,2.2
1767,2020-11-19,2.25,2.27,2.18,2.26
1766,2020-11-18,2.33,2.38,2.18,2.22
1765,2020-11-17,2.27,2.38,2.25,2.32
1764,2020-11-16,2.24,2.34,2.22,2.29
1763,2020-11-13,2.15,2.23,2.1488,2.22
1762,2020-11-12,2.28,2.34,2.1,2.15
1761,2020-11-11,2.34,2.35,2.22,2.29
1760,2020-11-10,2.3,2.31,2.19,2.28
1759,2020-11-09,2.24,2.33,2.19,2.29
1758,2020-11-06,2.12,2.125,2.045,2.08
1757,2020-11-05,2.1,2.15,1.9374,2.12
1756,2020-11-04,2.04,2.09,1.92,2.06
1755,2020-11-03,1.78,2.18,1.73,2.09
1754,2020-11-02,1.68,1.78,1.6,1.64
1753,2020-10-30,1.99,2.0,1.88,1.92
1752,2020-10-29,1.96,2.0,1.87,2.0
1751,2020-10-28,2.1,2.1399,1.93,1.95
1750,2020-10-27,2.25,2.2623,2.08,2.17
1749,2020-10-26,2.31,2.34,2.18,2.24
1748,2020-10-23,2.27,2.37,2.25,2.35
1747,2020-10-22,2.29,2.34,2.1612,2.31
1746,2020-10-21,2.29,2.31,2.22,2.25
1745,2020-10-20,2.42,2.45,2.32,2.33
1744,2020-10-19,2.32,2.52,2.32,2.42
1743,2020-10-16,2.37,2.4418,2.26,2.31
1742,2020-10-15,2.33,2.34,2.23,2.33
1741,2020-10-14,2.37,2.47,2.285,2.33
1740,2020-10-13,2.45,2.4899,2.34,2.45
1739,2020-10-12,2.54,2.57,2.43,2.47
1738,2020-10-09,2.62,2.6483,2.432,2.54
1737,2020-10-08,2.7,2.7,2.52,2.63
1736,2020-10-07,2.58,2.765,2.55,2.65
1735,2020-10-06,2.53,2.64,2.5,2.55
1734,2020-10-05,2.49,2.58,2.42,2.51
1733,2020-10-02,2.47,2.56,2.37,2.46
1732,2020-10-01,2.28,2.53,2.2402,2.45
1731,2020-09-30,2.17,2.29,2.16,2.21
1730,2020-09-29,2.18,2.2,2.04,2.16
1729,2020-09-28,2.3,2.3,2.09,2.17
1728,2020-09-25,2.05,2.39,2.02,2.26
1727,2020-09-24,2.02,2.23,1.4,2.22
1726,2020-09-23,2.54,2.58,2.2,2.26
1725,2020-09-22,2.5,2.57,2.38,2.56
1724,2020-09-21,2.56,2.62,2.44,2.49
1723,2020-09-18,2.57,2.73,2.53,2.59
1722,2020-09-17,2.62,2.68,2.54,2.55
1721,2020-09-16,2.51,2.7,2.5,2.61
1720,2020-09-15,2.57,2.6,2.46,2.52
1719,2020-09-14,2.61,2.68,2.47,2.53
1718,2020-09-11,2.73,2.7552,2.51,2.58
1717,2020-09-10,2.83,2.8498,2.67,2.73
1716,2020-09-09,2.84,2.95,2.73,2.8
1715,2020-09-08,2.91,3.3,2.82,2.83
1714,2020-09-04,2.91,2.95,2.7231,2.92
1713,2020-09-03,3.02,3.02,2.8101,2.89
1712,2020-09-02,3.03,3.0799,2.96,3.05
1711,2020-09-01,3.09,3.2941,3.02,3.1
1710,2020-08-31,3.24,3.33,3.0871,3.11
1709,2020-08-28,2.9,3.31,2.88,3.16
1708,2020-08-27,2.84,2.9468,2.82,2.9
1707,2020-08-26,2.76,2.94,2.75,2.81
1706,2020-08-25,2.72,2.8,2.66,2.78
1705,2020-08-24,2.59,2.77,2.51,2.71
1704,2020-08-21,2.59,2.67,2.55,2.56
1703,2020-08-20,2.74,2.77,2.66,2.67
1702,2020-08-19,2.82,2.84,2.71,2.77
1701,2020-08-18,2.7,2.8859,2.6986,2.79
1700,2020-08-17,2.66,2.75,2.5771,2.7
1699,2020-08-14,2.66,2.6873,2.63,2.65
1698,2020-08-13,2.7,2.76,2.58,2.67
1697,2020-08-12,2.67,2.735,2.59,2.68
1696,2020-08-11,2.7,2.83,2.59,2.6
1695,2020-08-10,2.67,2.7,2.53,2.66
1694,2020-08-07,2.42,2.7,2.41,2.66
1693,2020-08-06,2.63,2.68,2.46,2.48
1692,2020-08-05,2.73,2.78,2.605,2.68
1691,2020-08-04,2.9,2.92,2.6,2.73
1690,2020-08-03,2.9,3.02,2.8,2.88
1689,2020-07-31,2.96,3.1841,2.58,2.84
1688,2020-07-30,4.15,4.15,3.06,3.11
1687,2020-07-29,3.78,3.9601,3.7201,3.8
1686,2020-07-28,3.58,3.815,3.56,3.63
1685,2020-07-27,3.57,3.6,3.48,3.58
1684,2020-07-24,3.51,3.54,3.42,3.49
1683,2020-07-23,3.47,3.6257,3.44,3.53
1682,2020-07-22,3.53,3.53,3.38,3.45
1681,2020-07-21,3.61,3.78,3.49,3.54
1680,2020-07-20,3.41,3.72,3.35,3.68
1679,2020-07-17,3.41,3.43,3.2,3.3
1678,2020-07-16,3.19,3.46,3.19,3.41
1677,2020-07-15,3.35,3.37,3.16,3.24
1676,2020-07-14,3.38,3.46,3.11,3.3
1675,2020-07-13,3.86,3.93,3.36,3.41
1674,2020-07-10,3.54,3.76,3.43,3.73
1673,2020-07-09,3.74,4.06,3.5,3.55
1672,2020-07-08,3.15,4.0,3.1,3.71
1671,2020-07-07,3.06,3.21,3.01,3.2
1670,2020-07-06,3.2,3.23,3.07,3.11
1669,2020-07-02,3.04,3.19,3.0,3.13
1668,2020-07-01,3.16,3.16,2.9,3.02
1667,2020-06-30,3.0,3.16,2.93,3.16
1666,2020-06-29,3.0,3.04,2.88,2.96
1665,2020-06-26,2.94,3.0,2.7,2.9
1664,2020-06-25,2.98,3.075,2.93,2.93
1663,2020-06-24,3.12,3.14,2.94,3.02
1662,2020-06-23,3.14,3.22,3.09,3.15
1661,2020-06-22,3.2,3.2,3.04,3.14
1660,2020-06-19,3.17,3.29,3.11,3.12
1659,2020-06-18,3.1,3.1599,3.04,3.12
1658,2020-06-17,3.19,3.22,3.09,3.13
1657,2020-06-16,3.26,3.32,3.09,3.18
1656,2020-06-15,3.09,3.26,3.03,3.14
1655,2020-06-12,3.3,3.398,3.06,3.24
