,Date,Open,High,Low,Close
3936,2020-12-14,14.7,14.87,14.641,14.75
3935,2020-12-11,14.62,14.7,14.55,14.61
3934,2020-12-10,14.68,14.72,14.54,14.62
3933,2020-12-09,14.58,14.7,14.54,14.68
3932,2020-12-08,14.49,14.61,14.45,14.55
3931,2020-12-07,14.45,14.48,14.33,14.46
3930,2020-12-04,14.32,14.47,14.31,14.46
3929,2020-12-03,14.45,14.45,14.29,14.32
3928,2020-12-02,14.36,14.43,14.27,14.39
3927,2020-12-01,14.28,14.46,14.26,14.44
3926,2020-11-30,14.34,14.345,14.2,14.26
3925,2020-11-27,14.26,14.34,14.21,14.34
3924,2020-11-25,14.34,14.34,14.16,14.32
3923,2020-11-24,14.35,14.35,14.15,14.31
3922,2020-11-23,14.18,14.21,14.08,14.2
3921,2020-11-20,14.08,14.23,14.07,14.11
3920,2020-11-19,14.04,14.29,14.04,14.22
3919,2020-11-18,14.05,14.21,14.05,14.14
3918,2020-11-17,14.24,14.48,13.94,14.03
3917,2020-11-16,14.48,14.48,14.32,14.33
3916,2020-11-13,14.1,14.38,14.1,14.38
3915,2020-11-12,14.03,14.265,14.03,14.06
3914,2020-11-11,14.1,14.26,14.1,14.152
3913,2020-11-10,13.97,14.16,13.8083,14.03
3912,2020-11-09,14.1,14.2,13.9,13.97
3911,2020-11-06,13.86,13.8963,13.75,13.78
3910,2020-11-05,13.76,13.87,13.65,13.86
3909,2020-11-04,13.49,13.71,13.49,13.58
3908,2020-11-03,13.26,13.8,13.26,13.39
3907,2020-11-02,13.06,13.22,13.06,13.14
3906,2020-10-30,13.24,13.24,13.0,13.1
3905,2020-10-29,13.16,13.225,13.11,13.16
3904,2020-10-28,13.35,13.48,13.1,13.16
3903,2020-10-27,13.44,13.47,13.37,13.44
3902,2020-10-26,13.65,13.65,13.42,13.48
3901,2020-10-23,13.73,13.7645,13.68,13.68
3900,2020-10-22,13.62,13.73,13.62,13.65
3899,2020-10-21,13.72,13.84,13.72,13.78
3898,2020-10-20,13.72,13.95,13.7,13.75
3897,2020-10-19,13.81,13.9,13.675,13.72
3896,2020-10-16,13.81,13.9003,13.79,13.81
3895,2020-10-15,13.83,13.8899,13.73,13.81
3894,2020-10-14,13.93,13.97,13.77,13.89
3893,2020-10-13,14.06,14.086,13.87,13.95
3892,2020-10-12,13.98,14.1299,13.91,14.07
3891,2020-10-09,13.9,13.95,13.77,13.9
3890,2020-10-08,13.87,13.9421,13.8,13.81
3889,2020-10-07,13.71,13.91,13.71,13.89
3888,2020-10-06,13.81,13.86,13.65,13.67
3887,2020-10-05,13.7,13.7445,13.63,13.74
3886,2020-10-02,13.43,13.6832,13.4,13.64
3885,2020-10-01,13.66,13.76,13.66,13.715
3884,2020-09-30,13.67,13.69,13.55,13.64
3883,2020-09-29,13.43,13.55,13.41,13.53
3882,2020-09-28,13.54,13.65,13.4301,13.5
3881,2020-09-25,13.06,13.32,13.06,13.27
3880,2020-09-24,13.09,13.29,13.09,13.18
3879,2020-09-23,13.51,13.57,13.05,13.24
3878,2020-09-22,13.56,13.6207,13.49,13.55
3877,2020-09-21,13.87,14.01,13.51,13.69
3876,2020-09-18,14.15,14.15,13.9,13.95
3875,2020-09-17,14.04,14.1,13.95,14.05
3874,2020-09-16,14.09,14.2,14.07,14.16
3873,2020-09-15,14.13,14.16,13.94,14.01
3872,2020-09-14,13.92,14.07,13.92,14.01
3871,2020-09-11,13.89,13.922,13.754,13.89
3870,2020-09-10,13.91,14.03,13.83,13.87
3869,2020-09-09,13.62,14.12,13.61,13.87
3868,2020-09-08,13.5,13.59,13.45,13.49
3867,2020-09-04,13.72,13.9799,13.3801,13.69
3866,2020-09-03,14.3,14.3,13.7019,13.72
3865,2020-09-02,14.21,14.38,14.21,14.34
3864,2020-09-01,14.21,14.24,14.14,14.24
3863,2020-08-31,14.14,14.21,14.14,14.21
3862,2020-08-28,14.22,14.22,14.11,14.2
3861,2020-08-27,14.06,14.18,13.98,14.12
3860,2020-08-26,14.01,14.1299,13.99,14.02
3859,2020-08-25,14.08,14.08,13.96,14.0
3858,2020-08-24,14.14,14.18,14.0301,14.07
3857,2020-08-21,13.97,14.04,13.97,14.03
3856,2020-08-20,13.97,14.12,13.97,14.08
3855,2020-08-19,14.08,14.16,14.04,14.04
3854,2020-08-18,14.18,14.18,14.09,14.12
3853,2020-08-17,14.09,14.13,14.0,14.09
3852,2020-08-14,13.99,14.06,13.99,14.02
3851,2020-08-13,14.0,14.11,13.99,14.06
3850,2020-08-12,14.13,14.13,14.01,14.0537
3849,2020-08-11,14.02,14.1,13.99,14.06
3848,2020-08-10,14.0,14.03,13.9,13.93
3847,2020-08-07,13.98,13.99,13.88,13.97
3846,2020-08-06,13.86,13.95,13.8,13.94
3845,2020-08-05,14.0,14.07,13.76,13.92
3844,2020-08-04,13.87,14.05,13.8601,14.02
3843,2020-08-03,13.94,13.9899,13.87,13.96
3842,2020-07-31,14.19,14.19,13.83,13.9
3841,2020-07-30,13.85,14.1,13.66,14.02
3840,2020-07-29,13.89,13.96,13.84,13.93
3839,2020-07-28,13.59,13.845,13.5865,13.84
3838,2020-07-27,13.76,13.837,13.62,13.69
3837,2020-07-24,13.75,13.89,13.35,13.75
3836,2020-07-23,14.1,14.18,13.92,13.96
3835,2020-07-22,14.28,14.28,14.12,14.2299
3834,2020-07-21,14.24,14.3,14.19,14.25
3833,2020-07-20,14.36,14.39,14.19,14.24
3832,2020-07-17,14.37,14.4,14.3,14.33
3831,2020-07-16,14.42,14.42,14.2,14.3
3830,2020-07-15,14.24,14.39,14.21,14.39
3829,2020-07-14,14.04,14.17,14.04,14.14
3828,2020-07-13,14.2,14.29,14.0,14.12
3827,2020-07-10,14.15,14.22,14.07,14.19
3826,2020-07-09,14.26,14.26,14.04,14.09
3825,2020-07-08,14.2,14.29,14.15,14.21
3824,2020-07-07,14.2,14.22,14.12,14.17
3823,2020-07-06,14.18,14.24,14.1,14.22
3822,2020-07-02,14.12,14.29,14.06,14.07
3821,2020-07-01,14.03,14.08,13.97,14.07
3820,2020-06-30,14.09,14.09,13.94,13.94
3819,2020-06-29,13.84,13.95,13.76,13.95
3818,2020-06-26,14.06,14.08,13.78,13.81
3817,2020-06-25,13.96,14.03,13.86,14.02
3816,2020-06-24,14.05,14.18,13.89,13.96
