,Date,Open,High,Low,Close
733,2020-12-14,2.17,2.175,2.11,2.13
732,2020-12-11,2.1879,2.22,2.1,2.15
731,2020-12-10,2.17,2.18,2.11,2.15
730,2020-12-09,2.2,2.2,2.1,2.16
729,2020-12-08,2.2,2.23,2.17,2.19
728,2020-12-07,2.22,2.265,2.18,2.21
727,2020-12-04,2.23,2.26,2.2,2.22
726,2020-12-03,2.26,2.28,2.19,2.2
725,2020-12-02,2.21,2.28,2.1,2.19
724,2020-12-01,2.23,2.26,2.17,2.17
723,2020-11-30,2.15,2.295,2.15,2.24
722,2020-11-27,2.27,2.295,2.15,2.29
721,2020-11-25,2.31,2.36,2.25,2.26
720,2020-11-24,2.39,2.44,2.33,2.36
719,2020-11-23,2.33,2.47,2.33,2.4
718,2020-11-20,2.35,2.39,2.29,2.33
717,2020-11-19,2.34,2.371,2.25,2.33
716,2020-11-18,2.13,2.25,2.13,2.2
715,2020-11-17,2.2,2.2,2.13,2.15
714,2020-11-16,2.14,2.26,2.13,2.2
713,2020-11-13,2.19,2.23,2.08,2.19
712,2020-11-12,2.25,2.27,2.16,2.19
711,2020-11-11,2.34,2.4,2.19,2.28
710,2020-11-10,2.44,2.44,2.15,2.36
709,2020-11-09,2.5,2.61,2.34,2.34
708,2020-11-06,2.45,2.51,2.38,2.45
707,2020-11-05,2.46,2.49,2.36,2.48
706,2020-11-04,2.45,2.52,2.43,2.46
705,2020-11-03,2.38,2.48,2.365,2.45
704,2020-11-02,2.4,2.41,2.31,2.38
703,2020-10-30,2.45,2.49,2.32,2.37
702,2020-10-29,2.35,2.51,2.28,2.49
701,2020-10-28,2.33,2.43,2.235,2.38
700,2020-10-27,2.5,2.54,2.4,2.41
699,2020-10-26,2.52,2.58,2.38,2.49
698,2020-10-23,2.58,2.58,2.5,2.52
697,2020-10-22,2.51,2.57,2.48,2.56
696,2020-10-21,2.62,2.6248,2.45,2.49
695,2020-10-20,2.85,2.8701,2.6,2.64
694,2020-10-19,2.85,2.93,2.74,2.82
693,2020-10-16,2.83,2.94,2.82,2.86
692,2020-10-15,2.72,2.8889,2.65,2.87
691,2020-10-14,2.88,2.895,2.7132,2.76
690,2020-10-13,2.85,2.97,2.85,2.91
689,2020-10-12,2.89,2.97,2.81,2.91
688,2020-10-09,2.91,2.93,2.84,2.9
687,2020-10-08,2.81,2.98,2.81,2.91
686,2020-10-07,2.7,2.87,2.68,2.84
685,2020-10-06,2.75,2.82,2.6,2.7
684,2020-10-05,2.58,2.78,2.51,2.71
683,2020-10-02,2.27,2.6,2.26,2.56
682,2020-10-01,2.4,2.42,2.31,2.39
681,2020-09-30,2.36,2.48,2.32,2.36
680,2020-09-29,2.22,2.4,2.2094,2.37
679,2020-09-28,2.29,2.29,2.15,2.25
678,2020-09-25,2.11,2.24,2.11,2.23
677,2020-09-24,2.05,2.2,1.91,2.16
676,2020-09-23,2.27,2.28,2.08,2.12
675,2020-09-22,2.35,2.41,2.3,2.31
674,2020-09-21,2.36,2.42,2.23,2.34
673,2020-09-18,2.38,2.635,2.33,2.43
672,2020-09-17,2.19,2.419,2.17,2.36
671,2020-09-16,2.1749,2.32,2.11,2.23
670,2020-09-15,2.34,2.37,2.15,2.18
669,2020-09-14,2.17,2.45,2.15,2.35
668,2020-09-11,2.36,2.39,2.03,2.1
667,2020-09-10,3.0,3.01,2.63,2.72
666,2020-09-09,3.04,3.14,3.0,3.01
665,2020-09-08,3.39,3.46,3.09,3.11
664,2020-09-04,3.65,3.68,3.17,3.49
663,2020-09-03,3.57,3.84,3.37,3.58
662,2020-09-02,3.3,3.52,3.295,3.46
661,2020-09-01,3.39,3.44,3.12,3.23
660,2020-08-31,3.2704,3.43,3.15,3.32
659,2020-08-28,3.04,3.13,3.0,3.13
658,2020-08-27,3.09,3.11,3.0,3.04
