,Date,Open,High,Low,Close
5314,2020-12-14,31.88,32.69,31.74,31.99
5313,2020-12-11,31.45,31.75,31.21,31.59
5312,2020-12-10,30.13,31.51,30.05,31.49
5311,2020-12-09,35.22,35.6,30.53,30.53
5310,2020-12-08,34.84,35.37,34.84,35.2
5309,2020-12-07,35.6,35.6,34.5,34.52
5308,2020-12-04,34.84,35.9,34.45,35.9
5307,2020-12-03,33.55,35.09,33.55,34.9
5306,2020-12-02,33.58,34.0,33.43,33.9
5305,2020-12-01,34.25,34.5,33.62,33.89
5304,2020-11-30,33.86,34.24,33.485,33.84
5303,2020-11-27,34.09,34.24,33.66,33.66
5302,2020-11-25,33.3,34.4,32.8478,34.4
5301,2020-11-24,32.73,33.965,32.73,33.8
5300,2020-11-23,32.06,33.18,31.81,33.18
5299,2020-11-20,29.92,31.7,29.92,31.7
5298,2020-11-19,29.86,30.87,28.9,30.86
5297,2020-11-18,30.08,30.49,29.31,29.88
5296,2020-11-17,30.07,31.41,29.485,30.58
5295,2020-11-16,32.6,32.6,30.7,31.24
5294,2020-11-13,32.66,32.97,31.29,32.4
5293,2020-11-12,33.6,33.6,32.72,33.3
5292,2020-11-11,32.0,33.5,32.0,33.5
5291,2020-11-10,32.6,33.3,31.8054,32.8
5290,2020-11-09,30.3,32.65,30.3,32.26
5289,2020-11-06,30.7,31.28,30.55,31.12
5288,2020-11-05,30.67,31.0,30.67,30.85
5287,2020-11-04,30.17,30.8,30.17,30.76
5286,2020-11-03,30.26,30.67,30.0,30.61
5285,2020-11-02,29.0,30.1,28.88,30.1
5284,2020-10-30,28.21,29.43,28.21,29.21
5283,2020-10-29,26.29,28.5,26.29,28.26
5282,2020-10-28,25.42,27.15,25.36,26.98
5281,2020-10-27,29.52,29.52,27.21,27.21
5280,2020-10-26,29.53,29.95,29.25,29.52
5279,2020-10-23,29.17,29.95,28.92,29.94
5278,2020-10-22,29.53,29.84,28.8,28.8
5277,2020-10-21,29.5,30.0,28.5,29.97
5276,2020-10-20,28.93,29.9,28.8,29.5
5275,2020-10-19,27.96,29.1,27.96,28.5
5274,2020-10-16,27.81,28.75,27.38,27.38
5273,2020-10-15,27.1,28.24,26.0,28.24
5272,2020-10-14,26.83,28.1,26.83,27.21
5271,2020-10-13,26.49,27.1,26.49,26.9
5270,2020-10-12,27.45,28.31,26.46,26.46
5269,2020-10-09,27.28,27.92,26.27,26.97
5268,2020-10-08,28.13,28.13,26.66,26.69
5267,2020-10-07,27.39,28.3,26.87,28.13
5266,2020-10-06,28.42,28.75,27.16,27.29
5265,2020-10-05,27.36,28.58,27.2175,27.91
5264,2020-10-02,27.15,28.25,26.3,27.51
5263,2020-10-01,26.37,28.56,25.815,27.3
5262,2020-09-30,25.4,26.67,25.0,26.61
5261,2020-09-29,25.82,26.11,25.56,26.11
5260,2020-09-28,25.12,26.8,25.12,25.69
5259,2020-09-25,23.91,25.5,23.91,25.31
5258,2020-09-24,24.3,24.55,24.0,24.37
5257,2020-09-23,24.26,24.6,23.6,23.63
5256,2020-09-22,24.83,24.83,23.09,23.84
5255,2020-09-21,24.97,25.88,24.58,25.02
5254,2020-09-18,25.4,26.53,24.73,26.0
5253,2020-09-17,25.33,25.71,24.8,25.06
5252,2020-09-16,25.76,29.69,23.96,24.56
5251,2020-09-15,23.87,25.9,22.99,25.62
5250,2020-09-14,22.0,24.07,22.0,23.56
5249,2020-09-11,22.915,22.915,21.48,21.8
5248,2020-09-10,23.71,23.91,22.59,22.59
5247,2020-09-09,24.46,25.36,23.59,23.76
5246,2020-09-08,24.64,25.04,24.29,24.29
5245,2020-09-04,24.25,25.14,24.25,24.94
5244,2020-09-03,25.11,25.11,24.26,24.51
5243,2020-09-02,24.75,25.0,24.54,24.97
5242,2020-09-01,24.5,25.08,24.121,25.08
5241,2020-08-31,25.17,25.17,24.51,24.56
5240,2020-08-28,24.89,25.32,24.28,25.32
5239,2020-08-27,23.7078,24.95,23.7078,24.95
5238,2020-08-26,24.0,24.48,24.0,24.06
5237,2020-08-25,24.62,24.62,23.94,24.08
5236,2020-08-24,24.96,25.045,24.2,24.2
5235,2020-08-21,24.95,25.01,24.4,24.97
5234,2020-08-20,24.77,26.09,24.77,24.96
5233,2020-08-19,24.62,25.36,24.62,25.11
5232,2020-08-18,24.2351,25.0,24.17,24.69
5231,2020-08-17,24.1727,25.415,23.99,24.95
5230,2020-08-14,26.0,26.0,22.27,25.04
5229,2020-08-13,26.01,26.36,25.82,26.36
5228,2020-08-12,25.89,26.4799,25.57,25.95
5227,2020-08-11,26.5,27.0,25.08,25.08
5226,2020-08-10,26.51,26.65,26.2,26.43
5225,2020-08-07,26.74,26.83,24.92,26.6
5224,2020-08-06,26.8,27.25,26.35,27.1
5223,2020-08-05,26.5,27.0,25.9354,26.79
5222,2020-08-04,25.9999,26.5,25.63,26.41
5221,2020-08-03,24.17,25.9,24.17,25.9
5220,2020-07-31,24.85,25.86,24.11,25.28
5219,2020-07-30,23.96,25.41,23.6383,25.15
5218,2020-07-29,22.93,25.0,21.96,24.45
5217,2020-07-28,22.78,22.85,18.78,22.7
5216,2020-07-27,23.3,23.71,22.67,23.19
5215,2020-07-24,22.55,24.38,22.55,23.3
5214,2020-07-23,22.7,24.22,22.7,23.15
5213,2020-07-22,24.1,24.1,22.29,22.82
5212,2020-07-21,25.41,26.0,23.69,23.8
5211,2020-07-20,24.88,25.99,24.88,25.22
5210,2020-07-17,23.47,25.48,23.47,24.92
5209,2020-07-16,24.7,25.18,23.66,23.7
5208,2020-07-15,23.74,25.3,23.29,24.88
5207,2020-07-14,21.47,23.85,21.47,23.63
5206,2020-07-13,21.51,22.29,21.07,21.59
5205,2020-07-10,20.35,21.51,20.35,21.51
5204,2020-07-09,21.73,21.81,20.06,20.07
5203,2020-07-08,21.58,21.87,21.4,21.77
5202,2020-07-07,22.81,23.2,21.24,21.62
5201,2020-07-06,23.73,23.93,22.79,23.34
5200,2020-07-02,22.89,23.86,22.44,23.03
5199,2020-07-01,21.81,22.84,21.81,22.81
5198,2020-06-30,24.02,24.71,21.55,21.71
5197,2020-06-29,22.39,23.99,22.39,23.99
5196,2020-06-26,22.91,23.1,20.89,22.17
5195,2020-06-25,23.745,23.77,22.5,23.09
5194,2020-06-24,24.97,24.98,23.05,23.64
5193,2020-06-23,23.929,25.0,23.929,24.84
5192,2020-06-22,23.91,24.49,23.39,24.09
5191,2020-06-19,24.58,24.69,23.78,24.0
5190,2020-06-18,24.91,25.11,24.04,24.33
5189,2020-06-17,25.76,25.79,24.11,24.41
5188,2020-06-16,26.31,26.31,25.43,26.0
5187,2020-06-15,23.99,25.54,23.99,25.49
5186,2020-06-12,24.9,25.0,23.87,24.65
5185,2020-06-11,24.0,24.6,23.56,24.58
5184,2020-06-10,25.5,25.5,24.39,25.07
5183,2020-06-09,24.69,27.96,24.69,25.64
5182,2020-06-08,23.7,25.32,23.42,25.29
