,Date,Open,High,Low,Close
5213,2020-12-14,84.53,85.8,83.51,83.57
5212,2020-12-11,86.2,86.27,83.65,84.18
5211,2020-12-10,85.03,87.77,84.82,86.74
5210,2020-12-09,85.5,86.0,83.9,85.03
5209,2020-12-08,85.98,86.07,84.32,85.4
5208,2020-12-07,85.7,86.54,85.14,86.06
5207,2020-12-04,84.23,85.955,83.71,85.76
5206,2020-12-03,83.9,84.78,83.38,83.65
5205,2020-12-02,83.67,84.81,83.17,84.47
5204,2020-12-01,84.56,84.93,83.565,83.88
5203,2020-11-30,84.98,84.98,83.12,83.89
5202,2020-11-27,84.87,85.355,83.83,85.26
5201,2020-11-25,85.27,85.535,83.83,84.21
5200,2020-11-24,85.5,86.15,85.01,85.61
5199,2020-11-23,84.95,85.81,83.86,84.7
5198,2020-11-20,85.03,85.39,84.36,84.53
5197,2020-11-19,84.45,85.5447,84.07,85.24
5196,2020-11-18,84.85,87.235,84.6,85.24
5195,2020-11-17,85.25,88.0,83.89,85.18
5194,2020-11-16,82.9,83.2,81.13,82.17
5193,2020-11-13,80.34,82.28,79.89,81.78
5192,2020-11-12,79.38,80.6,78.34,80.35
5191,2020-11-11,81.76,81.76,79.21,80.03
5190,2020-11-10,83.7,83.96,81.0,81.21
5189,2020-11-09,82.0,85.83,81.595,84.0
5188,2020-11-06,77.69,78.51,77.16,78.03
5187,2020-11-05,76.96,78.44,76.14,77.55
5186,2020-11-04,76.24,77.49,75.13,75.97
5185,2020-11-03,73.5,74.8,73.1,74.21
5184,2020-11-02,73.11,73.84,72.14,72.6
5183,2020-10-30,72.48,72.81,70.92,71.69
5182,2020-10-29,73.42,73.99,72.1,72.91
5181,2020-10-28,75.01,75.4542,73.18,73.26
5180,2020-10-27,78.35,78.65,76.39,76.5
5179,2020-10-26,79.23,79.52,77.32,78.08
5178,2020-10-23,79.86,80.52,79.07,80.41
5177,2020-10-22,79.74,81.0,78.02,79.38
5176,2020-10-21,84.44,84.84,82.58,83.61
5175,2020-10-20,84.49,85.66,83.69,84.43
5174,2020-10-19,85.5,86.73,83.23,84.0
5173,2020-10-16,85.87,86.98,85.2,85.33
5172,2020-10-15,83.83,85.87,83.49,85.32
5171,2020-10-14,83.92,86.25,83.77,85.17
5170,2020-10-13,84.04,85.01,83.2,83.94
5169,2020-10-12,84.44,85.47,83.18,85.02
5168,2020-10-09,82.6,83.95,81.81,83.9
5167,2020-10-08,82.0,82.25,80.93,81.65
5166,2020-10-07,79.58,81.72,79.4526,81.5
5165,2020-10-06,80.28,80.43,78.474,78.59
5164,2020-10-05,79.12,80.5,79.04,80.15
5163,2020-10-02,77.95,79.92,77.67,78.81
5162,2020-10-01,80.38,80.7399,78.44,78.98
5161,2020-09-30,78.33,80.99,78.32,79.82
5160,2020-09-29,78.34,80.0321,77.9702,78.31
5159,2020-09-28,78.35,78.72,77.49,77.71
5158,2020-09-25,74.18,77.49,74.065,77.45
5157,2020-09-24,75.74,76.084,74.25,74.67
5156,2020-09-23,78.75,78.76,75.67,76.05
5155,2020-09-22,81.25,81.45,77.65,78.68
5154,2020-09-21,81.61,82.2,79.7,81.45
5153,2020-09-18,83.58,84.86,82.31,83.2
5152,2020-09-17,83.06,83.93,82.44,83.69
5151,2020-09-16,83.7,84.6868,83.535,83.87
5150,2020-09-15,83.48,84.28,82.94,83.3
5149,2020-09-14,82.08,83.5,81.93,82.95
5148,2020-09-11,83.0,83.05,80.98,81.78
5147,2020-09-10,85.14,85.14,82.43,82.64
5146,2020-09-09,83.31,85.71,83.07,84.84
5145,2020-09-08,82.75,83.54,82.025,82.16
5144,2020-09-04,85.77,86.0832,82.645,83.71
5143,2020-09-03,87.53,87.595,84.945,85.69
5142,2020-09-02,86.25,87.79,85.96,87.44
5141,2020-09-01,85.09,86.01,84.51,85.91
5140,2020-08-31,84.38,86.41,83.96,85.84
5139,2020-08-28,83.87,84.6,83.16,84.33
5138,2020-08-27,81.52,84.31,81.19,83.7
5137,2020-08-26,80.35,81.71,80.18,81.52
5136,2020-08-25,79.54,80.99,79.21,80.35
5135,2020-08-24,79.0,79.86,78.15,78.71
5134,2020-08-21,78.95,78.95,78.09,78.71
5133,2020-08-20,78.22,79.14,78.03,79.1
5132,2020-08-19,78.87,79.77,78.31,78.77
5131,2020-08-18,78.46,78.82,77.9238,78.59
5130,2020-08-17,78.15,79.06,78.07,78.44
5129,2020-08-14,78.69,79.14,77.67,78.07
5128,2020-08-13,78.24,79.84,77.98,79.4
5127,2020-08-12,77.0,78.84,76.955,78.58
5126,2020-08-11,76.47,77.6,75.55,76.66
5125,2020-08-10,76.82,77.13,75.49,75.78
5124,2020-08-07,77.27,77.64,76.16,76.94
5123,2020-08-06,77.53,77.76,76.5,77.41
5122,2020-08-05,76.85,78.4,76.73,78.12
5121,2020-08-04,77.82,77.9373,76.05,76.6
5120,2020-08-03,78.58,78.875,77.72,78.02
5119,2020-07-31,79.06,79.3,77.79,78.41
5118,2020-07-30,78.27,79.06,77.42,78.95
5117,2020-07-29,77.73,80.29,77.55,79.33
5116,2020-07-28,78.26,78.89,77.41,77.44
5115,2020-07-27,78.12,79.1755,77.4,78.69
5114,2020-07-24,80.0,80.5,76.1,78.13
5113,2020-07-23,77.98,78.92,77.16,77.32
5112,2020-07-22,75.87,78.56,75.625,77.91
5111,2020-07-21,75.39,76.58,75.0,75.94
5110,2020-07-20,74.05,75.81,74.01,74.64
5109,2020-07-17,72.04,74.6,71.25,74.11
5108,2020-07-16,71.96,72.19,71.16,71.85
5107,2020-07-15,72.19,73.61,71.43,72.47
5106,2020-07-14,67.66,71.25,67.51,71.22
5105,2020-07-13,68.49,68.86,66.95,67.19
5104,2020-07-10,68.27,68.38,66.87,67.82
5103,2020-07-09,68.64,69.23,67.27,68.26
