,Date,Open,High,Low,Close
3437,2020-12-14,8.55,8.588,8.53,8.54
3436,2020-12-11,8.47,8.53,8.42,8.53
3435,2020-12-10,8.41,8.52,8.381,8.5
3434,2020-12-09,8.48,8.49,8.4,8.44
3433,2020-12-08,8.45,8.4899,8.4,8.45
3432,2020-12-07,8.46,8.5,8.41,8.47
3431,2020-12-04,8.34,8.5,8.32,8.47
3430,2020-12-03,8.28,8.33,8.265,8.33
3429,2020-12-02,8.33,8.355,8.26,8.28
3428,2020-12-01,8.34,8.43,8.31,8.36
3427,2020-11-30,8.27,8.34,8.23,8.31
3426,2020-11-27,8.27,8.29,8.2402,8.29
3425,2020-11-25,8.2,8.29,8.182,8.27
3424,2020-11-24,8.2,8.26,8.18,8.2
3423,2020-11-23,8.2,8.25,8.15,8.18
3422,2020-11-20,8.23,8.25,8.15,8.17
3421,2020-11-19,8.18,8.3,8.15,8.28
3420,2020-11-18,8.21,8.28,8.2,8.21
3419,2020-11-17,8.18,8.32,8.1584,8.23
3418,2020-11-16,8.18,8.23,8.16,8.23
3417,2020-11-13,8.07,8.13,8.03,8.13
3416,2020-11-12,8.09,8.09,7.98,8.01
3415,2020-11-11,8.05,8.1,8.03,8.1
3414,2020-11-10,7.93,8.03,7.92,8.0099
3413,2020-11-09,8.01,8.04,7.91,7.92
3412,2020-11-06,7.83,7.84,7.75,7.79
3411,2020-11-05,7.75,7.85,7.72,7.85
3410,2020-11-04,7.48,7.71,7.45,7.62
3409,2020-11-03,7.29,7.45,7.29,7.42
3408,2020-11-02,7.21,7.28,7.2,7.22
3407,2020-10-30,7.24,7.26,7.09,7.13
3406,2020-10-29,7.29,7.35,7.19,7.25
3405,2020-10-28,7.37,7.4,7.2127,7.28
3404,2020-10-27,7.55,7.58,7.47,7.48
3403,2020-10-26,7.68,7.74,7.54,7.55
3402,2020-10-23,7.86,7.86,7.74,7.74
3401,2020-10-22,7.82,7.8301,7.77,7.83
3400,2020-10-21,7.81,7.92,7.81,7.88
3399,2020-10-20,7.78,7.89,7.78,7.85
3398,2020-10-19,7.83,7.845,7.75,7.77
3397,2020-10-16,7.79,7.8294,7.76,7.8
3396,2020-10-15,7.74,7.8,7.74,7.78
3395,2020-10-14,7.86,7.89,7.74,7.82
3394,2020-10-13,7.92,7.925,7.82,7.85
3393,2020-10-12,7.87,7.935,7.84,7.92
3392,2020-10-09,7.79,7.83,7.76,7.82
3391,2020-10-08,7.78,7.7827,7.725,7.74
3390,2020-10-07,7.67,7.74,7.653,7.74
3389,2020-10-06,7.7,7.72,7.58,7.58
3388,2020-10-05,7.55,7.64,7.55,7.63
3387,2020-10-02,7.36,7.53,7.34,7.51
3386,2020-10-01,7.4,7.45,7.38,7.41
3385,2020-09-30,7.4,7.45,7.34,7.36
3384,2020-09-29,7.39,7.4,7.34,7.34
3383,2020-09-28,7.37,7.42,7.37,7.37
3382,2020-09-25,7.25,7.29,7.225,7.27
3381,2020-09-24,7.3,7.36,7.24,7.27
3380,2020-09-23,7.53,7.55,7.3,7.33
3379,2020-09-22,7.6,7.625,7.49,7.51
3378,2020-09-21,7.62,7.63,7.46,7.63
3377,2020-09-18,7.73,7.75,7.63,7.69
3376,2020-09-17,7.7,7.76,7.68,7.71
3375,2020-09-16,7.79,7.84,7.78,7.78
3374,2020-09-15,7.76,7.79,7.74,7.77
3373,2020-09-14,7.71,7.79,7.67,7.72
3372,2020-09-11,7.69,7.72,7.6,7.68
3371,2020-09-10,7.73,7.785,7.6101,7.66
3370,2020-09-09,7.65,7.76,7.64,7.72
3369,2020-09-08,7.56,7.61,7.52,7.58
3368,2020-09-04,7.76,7.82,7.5,7.73
3367,2020-09-03,7.89,7.9199,7.71,7.77
3366,2020-09-02,7.89,7.96,7.86,7.96
3365,2020-09-01,7.81,7.89,7.81,7.89
3364,2020-08-31,7.86,7.89,7.8,7.82
3363,2020-08-28,7.86,7.86,7.8098,7.86
3362,2020-08-27,7.77,7.85,7.76,7.85
3361,2020-08-26,7.72,7.8,7.72,7.79
3360,2020-08-25,7.74,7.77,7.68,7.74
3359,2020-08-24,7.76,7.81,7.72,7.75
3358,2020-08-21,7.72,7.73,7.69,7.72
3357,2020-08-20,7.75,7.8027,7.74,7.78
3356,2020-08-19,7.72,7.82,7.72,7.77
3355,2020-08-18,7.8,7.81,7.75,7.77
3354,2020-08-17,7.75,7.8,7.73,7.8
3353,2020-08-14,7.71,7.74,7.69,7.71
3352,2020-08-13,7.72,7.75,7.69,7.7
3351,2020-08-12,7.66,7.76,7.66,7.74
3350,2020-08-11,7.71,7.73,7.615,7.63
3349,2020-08-10,7.69,7.7,7.64,7.66
3348,2020-08-07,7.66,7.69,7.62,7.69
3347,2020-08-06,7.61,7.68,7.6,7.66
3346,2020-08-05,7.6,7.65,7.6,7.63
3345,2020-08-04,7.52,7.6,7.52,7.59
3344,2020-08-03,7.53,7.59,7.52,7.55
3343,2020-07-31,7.57,7.57,7.43,7.51
3342,2020-07-30,7.48,7.52,7.39,7.5
3341,2020-07-29,7.46,7.56,7.46,7.55
3340,2020-07-28,7.47,7.4901,7.4501,7.48
3339,2020-07-27,7.47,7.5,7.44,7.465
3338,2020-07-24,7.41,7.44,7.37,7.44
3337,2020-07-23,7.51,7.53,7.42,7.42
3336,2020-07-22,7.57,7.6,7.57,7.6
3335,2020-07-21,7.53,7.61,7.53,7.58
3334,2020-07-20,7.43,7.53,7.43,7.5
3333,2020-07-17,7.45,7.47,7.39,7.46
3332,2020-07-16,7.43,7.49,7.39,7.46
3331,2020-07-15,7.46,7.5,7.44,7.46
3330,2020-07-14,7.33,7.43,7.3,7.43
3329,2020-07-13,7.5,7.51,7.33,7.34
3328,2020-07-10,7.43,7.44,7.37,7.44
3327,2020-07-09,7.49,7.49,7.36,7.39
3326,2020-07-08,7.44,7.47,7.39,7.45
3325,2020-07-07,7.46,7.53,7.42,7.42
3324,2020-07-06,7.5,7.5,7.44,7.48
3323,2020-07-02,7.46,7.49,7.4,7.43
3322,2020-07-01,7.4,7.42,7.33,7.41
3321,2020-06-30,7.2,7.38,7.18,7.38
3320,2020-06-29,7.16,7.21,7.1085,7.14
3319,2020-06-26,7.16,7.21,7.1,7.11
3318,2020-06-25,7.17,7.24,7.12,7.23
3317,2020-06-24,7.32,7.33,7.16,7.2
3316,2020-06-23,7.34,7.39,7.34,7.38
3315,2020-06-22,7.3,7.33,7.25,7.3
3314,2020-06-19,7.4,7.42,7.3,7.34
3313,2020-06-18,7.3,7.35,7.25,7.34
3312,2020-06-17,7.4,7.42,7.32,7.32
3311,2020-06-16,7.45,7.46,7.29,7.38
3310,2020-06-15,7.14,7.3,7.07,7.25
3309,2020-06-12,7.37,7.41,7.17,7.29
3308,2020-06-11,7.31,7.36,7.13,7.13
3307,2020-06-10,7.52,7.54,7.43,7.53
3306,2020-06-09,7.61,7.62,7.43,7.46
3305,2020-06-08,7.58,7.63,7.53,7.63
3304,2020-06-05,7.47,7.55,7.46,7.51
3303,2020-06-04,7.34,7.44,7.33,7.37
3302,2020-06-03,7.31,7.43,7.31,7.39
3301,2020-06-02,7.23,7.29,7.2,7.29
3300,2020-06-01,7.17,7.26,7.15,7.22
3299,2020-05-29,7.21,7.21,7.09,7.21
3298,2020-05-28,7.2,7.25,7.16,7.19
3297,2020-05-27,7.09,7.18,7.04,7.17
3296,2020-05-26,7.06,7.1,7.05,7.06
3295,2020-05-22,6.88,6.96,6.87,6.95
3294,2020-05-21,6.99,7.04,6.92,6.92
3293,2020-05-20,7.02,7.11,7.02,7.08
3292,2020-05-19,6.95,7.02,6.9,6.96
3291,2020-05-18,6.85,6.98,6.83,6.96
3290,2020-05-15,6.63,6.72,6.63,6.7
3289,2020-05-14,6.58,6.7,6.52,6.7
3288,2020-05-13,6.76,6.81,6.61,6.66
3287,2020-05-12,6.95,6.95,6.78,6.79
3286,2020-05-11,6.92,6.97,6.89,6.93
3285,2020-05-08,6.92,6.97,6.89,6.96
3284,2020-05-07,6.77,6.87,6.75,6.87
3283,2020-05-06,6.79,6.8,6.72,6.74
3282,2020-05-05,6.73,6.85,6.73,6.76
3281,2020-05-04,6.64,6.67,6.55,6.67
3280,2020-05-01,6.69,6.73,6.62,6.67
3279,2020-04-30,6.87,6.87,6.74,6.8
3278,2020-04-29,6.85,6.88,6.77,6.85
3277,2020-04-28,6.74,6.76,6.66,6.7
3276,2020-04-27,6.66,6.67,6.59,6.63
3275,2020-04-24,6.56,6.61,6.49,6.59
3274,2020-04-23,6.61,6.68,6.51,6.53
3273,2020-04-22,6.66,6.66,6.54,6.62
3272,2020-04-21,6.69,6.73,6.54,6.61
3271,2020-04-20,6.8,6.95,6.73,6.82
3270,2020-04-17,6.88,6.94,6.79,6.94
3269,2020-04-16,6.73,6.77,6.61,6.76
3268,2020-04-15,6.77,6.77,6.59,6.76
3267,2020-04-14,6.81,6.92,6.77,6.9
3266,2020-04-13,6.93,6.93,6.5,6.69
3265,2020-04-09,7.03,7.03,6.76,6.86
3264,2020-04-08,6.42,6.69,6.38,6.69
3263,2020-04-07,6.54,6.57,6.35,6.35
3262,2020-04-06,6.03,6.25,6.02,6.22
3261,2020-04-03,5.92,5.97,5.79,5.81
3260,2020-04-02,5.9,6.09,5.86,5.93
3259,2020-04-01,6.21,6.25,5.83,5.91
3258,2020-03-31,6.55,6.64,6.38,6.38
3257,2020-03-30,6.68,6.68,6.28,6.49
