,Date,Open,High,Low,Close
276,2020-12-14,34.2,34.386,34.1673,34.1673
275,2020-12-11,34.21,34.22,34.1,34.2108
274,2020-12-10,34.26,34.34,34.2508,34.3146
273,2020-12-09,34.421,34.421,34.2461,34.37
272,2020-12-08,34.4,34.55,34.341,34.5
271,2020-12-07,34.4,34.46,34.35,34.3841
270,2020-12-04,34.37,34.46,34.3561,34.4418
269,2020-12-03,34.36,34.399,34.1858,34.2449
268,2020-12-02,34.22,34.34,34.22,34.2519
267,2020-12-01,34.36,34.36,34.23,34.32
266,2020-11-30,34.19,34.19,33.965,34.05
265,2020-11-27,34.37,34.37,34.119,34.119
264,2020-11-25,34.0599,34.12,33.9999,34.0666
263,2020-11-24,33.89,34.11,33.89,34.1079
262,2020-11-23,33.58,33.849,33.58,33.7548
261,2020-11-20,33.6998,33.8,33.6215,33.7175
260,2020-11-19,33.85,33.85,33.63,33.7749
259,2020-11-18,34.15,34.15,33.7356,33.7356
258,2020-11-17,34.06,34.06,33.8101,33.9411
257,2020-11-16,34.23,34.23,33.87,34.06
256,2020-11-13,33.69,33.82,33.6793,33.7993
255,2020-11-12,33.6922,33.6922,33.41,33.4962
254,2020-11-11,33.92,33.92,33.595,33.76
253,2020-11-10,33.74,33.74,33.39,33.5884
252,2020-11-09,34.51,34.51,33.55,33.55
251,2020-11-06,33.25,33.36,33.1,33.27
250,2020-11-05,33.52,33.52,33.22,33.26
249,2020-11-04,32.9601,33.17,32.932,32.932
248,2020-11-03,32.49,32.56,32.355,32.5
247,2020-11-02,32.31,32.31,31.93,32.0558
246,2020-10-30,31.69,31.7801,31.5601,31.7801
245,2020-10-29,31.74,32.26,31.74,32.16
244,2020-10-28,32.08,32.15,31.8016,31.82
243,2020-10-27,32.64,32.64,32.5885,32.5885
242,2020-10-26,32.91,32.91,32.52,32.6253
241,2020-10-23,33.03,33.0541,32.96,33.0541
240,2020-10-22,32.75,33.04,32.744,32.9729
239,2020-10-21,32.81,32.97,32.81,32.8643
238,2020-10-20,32.925,32.9879,32.835,32.8582
237,2020-10-19,33.0086,33.01,32.7244,32.7244
236,2020-10-16,33.1201,33.2966,33.1023,33.1023
235,2020-10-15,33.02,33.13,32.9201,33.0827
234,2020-10-14,33.43,33.43,33.0801,33.14
233,2020-10-13,33.31,33.31,33.1493,33.2499
232,2020-10-12,33.271,33.459,33.271,33.38
231,2020-10-09,32.96,33.06,32.9045,33.0042
230,2020-10-08,32.799,32.84,32.7046,32.8164
229,2020-10-07,32.5,32.71,32.49,32.6458
228,2020-10-06,32.61,32.65,32.289,32.34
227,2020-10-05,32.4,32.59,32.3941,32.58
226,2020-10-02,32.19,32.34,32.1501,32.2025
225,2020-10-01,32.52,32.52,32.3184,32.3672
224,2020-09-30,32.31,32.4501,32.2,32.319
223,2020-09-29,32.4,32.4,32.13,32.1575
222,2020-09-28,32.43,32.43,32.2,32.28
221,2020-09-25,31.59,31.98,31.55,31.9196
220,2020-09-24,31.355,31.75,31.355,31.5681
219,2020-09-23,32.01,32.01,31.5081,31.5138
218,2020-09-22,32.05,32.05,31.75,32.0113
217,2020-09-21,31.19,31.85,31.19,31.85
216,2020-09-18,32.29,32.29,31.9401,32.0425
215,2020-09-17,32.27,32.3899,32.11,32.2454
214,2020-09-16,32.76,32.76,32.46,32.46
213,2020-09-15,32.77,32.77,32.42,32.5179
212,2020-09-14,32.54,32.63,32.35,32.46
211,2020-09-11,32.08,32.28,32.0008,32.21
210,2020-09-10,32.69,32.69,32.0661,32.1513
209,2020-09-09,32.43,32.65,32.31,32.51
208,2020-09-08,32.21,32.32,32.0021,32.12
207,2020-09-04,32.5,32.75,32.048,32.61
206,2020-09-03,33.3,33.3,32.42,32.68
205,2020-09-02,33.2293,33.38,33.141,33.3188
204,2020-09-01,33.0,33.13,32.995,33.0975
203,2020-08-31,33.19,33.19,33.0393,33.0513
202,2020-08-28,33.16,33.18,32.95,33.18
201,2020-08-27,33.1,33.11,32.89,33.0
200,2020-08-26,32.869,33.05,32.7926,32.97
199,2020-08-25,33.0,33.0,32.7355,32.806
198,2020-08-24,32.75,32.75,32.6301,32.6908
197,2020-08-21,32.575,32.59,32.524,32.5252
