,Date,Open,High,Low,Close
774,2020-12-14,19.02,19.35,19.02,19.05
773,2020-12-11,19.2,19.2001,19.05,19.05
772,2020-12-10,18.97,19.3799,18.8601,19.01
771,2020-12-09,18.7,19.09,18.7,18.86
770,2020-12-08,18.969,19.1,18.86,18.9002
769,2020-12-07,18.9,19.0685,18.645,18.82
768,2020-12-04,19.2,19.4,18.94,18.94
767,2020-12-03,19.14,19.319,18.8001,19.17
766,2020-12-02,19.35,19.55,19.05,19.11
765,2020-12-01,19.25,19.275,19.11,19.15
764,2020-11-30,19.11,19.3999,19.11,19.25
763,2020-11-27,19.35,19.35,19.1,19.14
762,2020-11-25,19.39,19.39,19.0,19.16
761,2020-11-24,19.09,19.3409,19.09,19.24
760,2020-11-23,19.32,19.4,19.1999,19.1999
759,2020-11-20,19.21,19.4,19.02,19.325
758,2020-11-19,19.15,20.04,19.07,19.45
757,2020-11-18,19.0,19.13,18.9,19.07
756,2020-11-17,18.89,18.92,18.83,18.9
755,2020-11-16,18.6,18.89,18.31,18.8
754,2020-11-13,18.54,18.55,18.25,18.55
753,2020-11-12,18.415,18.59,18.3001,18.38
752,2020-11-11,18.7085,18.7085,18.4594,18.55
751,2020-11-10,18.17,18.636,17.954,18.52
750,2020-11-09,18.0,18.25,18.0,18.1
749,2020-11-06,17.9353,17.97,17.9353,17.97
748,2020-11-05,17.815,17.96,17.815,17.906
747,2020-11-04,17.8761,17.99,17.735,17.78
746,2020-11-03,17.76,17.8911,17.57,17.6
745,2020-11-02,17.8572,17.99,17.5,17.5564
744,2020-10-30,17.9,17.9,17.11,17.5
743,2020-10-29,17.88,17.96,17.75,17.96
742,2020-10-28,18.25,18.25,17.5,17.97
741,2020-10-27,18.08,18.2795,18.0,18.01
740,2020-10-26,18.225,18.4523,18.01,18.1
739,2020-10-23,18.3,18.44,18.14,18.25
738,2020-10-22,18.25,18.68,17.81,18.26
737,2020-10-21,18.59,18.59,18.21,18.23
736,2020-10-20,18.635,18.66,18.59,18.59
735,2020-10-19,18.75,18.75,18.61,18.664
734,2020-10-16,18.755,18.83,18.6,18.6
733,2020-10-15,18.86,18.86,18.6,18.75
732,2020-10-14,18.95,18.95,18.56,18.87
731,2020-10-13,19.08,19.08,18.75,18.83
730,2020-10-12,18.81,19.1,18.45,19.09
729,2020-10-09,19.14,19.14,18.95,19.14
728,2020-10-08,19.09,19.15,19.0,19.14
727,2020-10-07,19.1,19.15,18.9,18.97
726,2020-10-06,18.95,18.99,18.9,18.9
725,2020-10-05,19.0,19.0539,18.89,18.975
724,2020-10-02,18.95,18.95,18.75,18.89
723,2020-10-01,18.73,18.95,18.73,18.95
722,2020-09-30,18.69,18.9506,18.65,18.85
721,2020-09-29,18.66,18.7,18.4001,18.7
720,2020-09-28,18.7079,18.8877,18.56,18.66
719,2020-09-25,18.44,18.6881,18.44,18.55
718,2020-09-24,18.5,18.6309,18.25,18.44
717,2020-09-23,18.91,18.91,18.5,18.554
716,2020-09-22,18.7927,18.95,18.55,18.88
715,2020-09-21,18.75,18.966,18.47,18.835
714,2020-09-18,18.92,18.99,18.71,18.94
713,2020-09-17,18.88,19.0,18.66,18.79
712,2020-09-16,18.92,19.0362,18.75,18.93
711,2020-09-15,19.17,19.17,18.75,18.92
710,2020-09-14,18.55,19.15,18.55,19.12
709,2020-09-11,18.83,19.1999,18.71,18.94
708,2020-09-10,18.725,18.95,18.65,18.83
707,2020-09-09,18.39,18.74,18.38,18.73
706,2020-09-08,18.2147,18.35,18.2147,18.33
705,2020-09-04,18.38,18.38,17.9,18.36
704,2020-09-03,18.4,18.63,18.1,18.29
703,2020-09-02,18.48,18.4994,18.34,18.4154
702,2020-09-01,18.43,18.43,18.09,18.39
701,2020-08-31,18.5899,18.5899,18.25,18.35
700,2020-08-28,18.21,18.6,18.21,18.37
699,2020-08-27,18.0,18.3,17.93,18.19
698,2020-08-26,18.21,18.33,17.94,17.9613
697,2020-08-25,18.16,18.3094,18.05,18.25
696,2020-08-24,19.19,19.225,18.12,18.2499
695,2020-08-21,19.15,19.32,19.15,19.2049
694,2020-08-20,19.4,19.4176,19.0931,19.21
693,2020-08-19,19.1,19.89,19.1,19.55
692,2020-08-18,18.845,19.25,18.7387,19.1
691,2020-08-17,18.78,18.975,18.7,18.85
690,2020-08-14,18.74,18.74,18.66,18.718
689,2020-08-13,18.725,18.75,18.5937,18.701
688,2020-08-12,18.75,18.75,18.602,18.67
687,2020-08-11,18.68,18.72,18.55,18.69
686,2020-08-10,18.49,18.65,18.46,18.51
685,2020-08-07,18.47,18.47,18.415,18.45
684,2020-08-06,18.57,18.65,18.35,18.4999
683,2020-08-05,18.4498,18.68,18.4498,18.63
682,2020-08-04,18.3,18.48,18.3,18.35
681,2020-08-03,18.072,18.3,17.98,18.18
680,2020-07-31,18.12,18.12,18.03,18.05
679,2020-07-30,17.8501,18.07,17.8501,18.0595
678,2020-07-29,17.9,18.05,17.9,17.93
