,Date,Open,High,Low,Close
4519,2020-12-14,30.0,30.0,29.6,29.6
4518,2020-12-11,29.55,29.99,29.43,29.8
4517,2020-12-10,29.31,29.96,29.31,29.9
4516,2020-12-09,29.87,29.87,29.29,29.66
4515,2020-12-08,29.05,29.62,29.05,29.62
4514,2020-12-07,29.39,29.855,29.0,29.46
4513,2020-12-04,29.06,29.7,28.83,29.47
4512,2020-12-03,28.9,28.99,28.52,28.64
4511,2020-12-02,28.38,29.235,28.38,29.04
4510,2020-12-01,28.0,28.84,27.81,28.61
4509,2020-11-30,27.3,28.1,27.25,27.36
4508,2020-11-27,28.56,28.645,27.77,28.1
4507,2020-11-25,28.97,29.11,28.08,28.54
4506,2020-11-24,28.9,29.7,28.65,29.25
4505,2020-11-23,28.38,28.7,27.925,28.37
4504,2020-11-20,27.87,28.4283,27.7,28.36
4503,2020-11-19,28.02,28.25,27.55,28.16
4502,2020-11-18,28.83,28.9,28.05,28.05
4501,2020-11-17,28.5,28.94,27.8201,28.57
4500,2020-11-16,28.92,29.0,27.85,28.89
4499,2020-11-13,27.49,28.17,27.0801,27.92
4498,2020-11-12,27.0,27.87,26.7501,27.09
4497,2020-11-11,27.7,27.7,26.8601,27.54
4496,2020-11-10,26.95,28.4,26.95,27.74
4495,2020-11-09,25.3,28.7026,25.3,26.75
4494,2020-11-06,24.71,25.0,23.92,23.93
4493,2020-11-05,23.63,24.84,23.63,24.6
4492,2020-11-04,24.6,24.7,23.56,23.7
4491,2020-11-03,25.11,25.36,24.77,25.16
4490,2020-11-02,24.23,24.7,23.6635,24.52
4489,2020-10-30,24.96,24.96,23.5,23.84
4488,2020-10-29,22.98,23.95,22.95,23.9
4487,2020-10-28,23.09,23.51,22.875,23.1
4486,2020-10-27,24.31,24.725,23.21,23.32
4485,2020-10-26,24.56,24.7151,23.965,24.37
4484,2020-10-23,24.7,25.01,24.15,24.97
4483,2020-10-22,24.0,24.98,23.5954,24.61
4482,2020-10-21,23.72,23.94,23.72,23.94
4481,2020-10-20,23.66,23.95,23.53,23.87
4480,2020-10-19,23.42,23.96,22.855,23.46
4479,2020-10-16,23.26,23.86,22.925,23.52
4478,2020-10-15,22.1,23.6703,22.1,23.4
4477,2020-10-14,23.72,23.72,22.66,22.73
4476,2020-10-13,24.0,24.06,23.67,23.82
4475,2020-10-12,23.41,24.15,23.095,24.05
4474,2020-10-09,23.74,23.74,23.14,23.52
4473,2020-10-08,23.38,23.55,22.65,23.42
4472,2020-10-07,22.63,23.41,22.03,23.38
4471,2020-10-06,22.75,23.05,22.045,22.28
4470,2020-10-05,21.97,22.75,21.38,22.44
4469,2020-10-02,21.09,21.905,21.09,21.82
4468,2020-10-01,21.05,21.42,20.66,21.37
4467,2020-09-30,21.12,21.41,20.75,20.97
4466,2020-09-29,20.72,21.1,20.42,21.03
4465,2020-09-28,20.1,20.91,19.88,20.83
4464,2020-09-25,19.69,20.46,19.69,19.81
4463,2020-09-24,19.75,20.08,19.5,19.69
4462,2020-09-23,20.31,21.4187,19.52,19.71
4461,2020-09-22,20.61,20.88,20.15,20.25
4460,2020-09-21,21.1,22.27,20.43,20.49
4459,2020-09-18,21.97,22.345,21.41,21.6
4458,2020-09-17,21.67,22.0,21.39,21.76
4457,2020-09-16,21.715,22.09,21.65,21.86
4456,2020-09-15,21.98,22.16,21.595,21.79
4455,2020-09-14,21.36,21.8799,21.36,21.79
4454,2020-09-11,21.99,22.38,21.26,21.31
4453,2020-09-10,22.17,22.25,21.77,21.96
4452,2020-09-09,21.93,22.2,21.48,21.98
4451,2020-09-08,22.35,22.35,21.45,21.85
4450,2020-09-04,21.89,22.5,21.78,22.42
4449,2020-09-03,21.45,22.16,21.26,21.37
4448,2020-09-02,21.17,21.41,21.01,21.34
4447,2020-09-01,21.31,21.47,20.0801,21.31
4446,2020-08-31,21.7,21.72,21.36,21.44
4445,2020-08-28,21.96,22.01,21.3462,21.85
4444,2020-08-27,21.34,22.11,21.34,21.93
4443,2020-08-26,21.95,22.0,21.025,21.39
4442,2020-08-25,22.51,22.63,21.76,21.97
4441,2020-08-24,22.11,22.53,21.28,22.22
4440,2020-08-21,21.59,22.125,21.24,21.84
4439,2020-08-20,21.89,22.15,21.45,21.67
4438,2020-08-19,21.92,22.47,21.51,22.27
4437,2020-08-18,22.49,22.96,21.72,21.88
4436,2020-08-17,23.03,23.06,22.285,22.71
4435,2020-08-14,22.44,23.24,22.135,23.14
4434,2020-08-13,22.74,22.945,21.89,22.72
4433,2020-08-12,23.48,23.96,21.35,22.98
4432,2020-08-11,22.98,23.57,22.56,22.97
4431,2020-08-10,22.25,23.012,22.25,22.56
4430,2020-08-07,21.01,22.25,20.89,22.25
4429,2020-08-06,21.47,21.88,21.05,21.45
4428,2020-08-05,20.39,21.71,20.255,21.59
4427,2020-08-04,20.06,20.2,19.77,20.08
4426,2020-08-03,20.07,20.25,19.76,20.07
4425,2020-07-31,20.22,20.33,19.2,19.91
4424,2020-07-30,20.16,20.65,19.89,20.48
4423,2020-07-29,20.97,21.03,20.28,20.7
4422,2020-07-28,20.81,21.83,20.61,21.0
4421,2020-07-27,20.33,20.37,19.93,20.07
4420,2020-07-24,20.83,20.89,20.38,20.45
4419,2020-07-23,20.15,20.98,20.03,20.72
4418,2020-07-22,20.53,20.76,19.89,20.21
4417,2020-07-21,20.03,21.13,20.03,20.82
4416,2020-07-20,20.14,20.24,19.78,19.85
4415,2020-07-17,20.26,20.73,20.15,20.35
4414,2020-07-16,20.52,20.73,20.14,20.42
4413,2020-07-15,20.08,20.76,20.08,20.59
4412,2020-07-14,20.22,20.25,19.37,19.92
4411,2020-07-13,20.28,20.69,19.71,20.28
4410,2020-07-10,19.34,20.16,19.1,20.07
4409,2020-07-09,20.15,21.46,19.12,19.22
4408,2020-07-08,20.4,20.69,19.81,20.25
4407,2020-07-07,21.14,21.26,20.34,20.39
4406,2020-07-06,21.9,22.19,21.13,21.37
4405,2020-07-02,21.98,22.27,21.3,21.54
4404,2020-07-01,22.5,22.58,21.28,21.38
4403,2020-06-30,22.2,22.59,21.73,22.5
4402,2020-06-29,21.2,22.47,21.2,22.41
4401,2020-06-26,21.53,21.78,20.4,20.97
4400,2020-06-25,21.34,22.31,21.23,21.98
4399,2020-06-24,21.92,22.36,19.73,21.53
4398,2020-06-23,23.17,23.42,22.04,22.36
4397,2020-06-22,22.3,22.8,22.17,22.67
4396,2020-06-19,22.42,22.82,21.55,22.82
4395,2020-06-18,21.33,22.2,21.14,22.02
4394,2020-06-17,22.68,22.68,21.37,21.62
4393,2020-06-16,23.01,24.12,22.14,22.75
4392,2020-06-15,20.81,22.07,20.75,21.97
4391,2020-06-12,22.29,22.56,21.2,21.79
4390,2020-06-11,21.92,21.96,21.06,21.21
4389,2020-06-10,24.76,24.82,22.75,22.83
4388,2020-06-09,24.35,25.45,24.35,24.9
4387,2020-06-08,24.95,25.48,24.49,25.01
4386,2020-06-05,24.14,24.81,23.58,24.23
4385,2020-06-04,22.36,22.95,22.25,22.9
4384,2020-06-03,21.45,22.84,20.66,22.5
4383,2020-06-02,21.1,22.67,20.72,20.79
4382,2020-06-01,21.4,21.65,20.78,20.81
4381,2020-05-29,21.36,21.69,20.51,21.19
4380,2020-05-28,23.41,23.41,21.89,21.92
4379,2020-05-27,22.0,23.14,21.71,22.95
4378,2020-05-26,21.02,22.0,20.63,21.7
4377,2020-05-22,20.43,20.51,19.77,20.01
4376,2020-05-21,19.95,20.47,19.95,20.08
4375,2020-05-20,19.48,20.43,19.48,20.06
4374,2020-05-19,19.23,19.77,18.88,18.94
4373,2020-05-18,18.31,19.76,18.31,19.25
4372,2020-05-15,17.01,17.8,16.87,17.68
4371,2020-05-14,16.73,17.26,16.05,17.15
4370,2020-05-13,17.65,17.84,16.44,17.28
4369,2020-05-12,18.89,18.89,17.64,17.75
4368,2020-05-11,19.2,19.25,18.13,18.25
4367,2020-05-08,18.71,19.85,18.64,19.68
4366,2020-05-07,18.0,18.59,17.89,18.17
4365,2020-05-06,18.44,18.5,17.56,17.65
4364,2020-05-05,19.24,19.88,18.31,18.37
4363,2020-05-04,18.66,19.02,17.75,19.01
4362,2020-05-01,19.43,19.43,18.23,18.96
