,Date,Open,High,Low,Close
196,2020-12-14,26.37,26.46,26.3205,26.46
195,2020-12-11,26.36,26.38,26.24,26.38
194,2020-12-10,26.44,26.52,26.16,26.32
193,2020-12-09,26.46,26.47,26.395,26.44
192,2020-12-08,26.37,26.4,26.28,26.39
191,2020-12-07,26.37,26.39,26.17,26.33
190,2020-12-04,26.45,26.45,26.3204,26.36
189,2020-12-03,26.4,26.53,26.34,26.37
188,2020-12-02,26.23,26.45,26.23,26.35
187,2020-12-01,26.2,26.36,26.2,26.36
186,2020-11-30,26.34,26.475,26.11,26.18
185,2020-11-27,26.51,26.56,26.32,26.48
184,2020-11-25,26.95,26.95,26.71,26.81
183,2020-11-24,26.93,27.08,26.78,26.88
182,2020-11-23,26.86,26.91,26.8,26.91
181,2020-11-20,26.86,26.9,26.7842,26.89
180,2020-11-19,26.88,26.88,26.78,26.82
179,2020-11-18,26.89,26.985,26.78,26.78
178,2020-11-17,26.8,26.8,26.75,26.79
177,2020-11-16,26.805,26.8567,26.77,26.77
176,2020-11-13,26.82,26.82,26.75,26.77
175,2020-11-12,26.8,26.81,26.7999,26.8
174,2020-11-11,26.88,26.88,26.72,26.82
173,2020-11-10,26.72,27.13,26.7,26.89
172,2020-11-09,26.8,26.8,26.51,26.71
171,2020-11-06,26.6456,26.77,26.52,26.56
170,2020-11-05,26.93,26.93,26.61,26.71
169,2020-11-04,27.21,27.21,26.64,26.8
168,2020-11-03,26.92,27.345,26.64,26.73
167,2020-11-02,26.74,26.97,26.51,26.78
166,2020-10-30,26.51,26.83,26.51,26.83
165,2020-10-29,26.88,26.88,26.48,26.55
164,2020-10-28,26.37,26.67,26.32,26.59
163,2020-10-27,26.79,26.79,26.65,26.69
162,2020-10-26,26.67,26.77,26.65,26.77
161,2020-10-23,26.3601,26.78,26.3601,26.74
160,2020-10-22,26.84,26.84,26.5916,26.78
159,2020-10-21,26.52,26.697,26.51,26.53
158,2020-10-20,27.1935,27.1935,26.62,26.75
157,2020-10-19,27.01,27.04,26.48,26.65
156,2020-10-16,27.37,27.46,27.0,27.0
155,2020-10-15,27.58,27.78,27.58,27.78
154,2020-10-14,27.65,27.65,27.3,27.58
153,2020-10-13,27.66,27.77,27.65,27.7
152,2020-10-12,27.6192,27.79,27.6188,27.79
151,2020-10-09,27.66,27.73,27.5,27.73
150,2020-10-08,27.68,27.75,27.6,27.75
149,2020-10-07,27.49,27.6,27.47,27.6
148,2020-10-06,27.05,27.54,27.05,27.44
147,2020-10-05,27.03,27.05,26.9,27.0
146,2020-10-02,27.09,27.15,26.905,27.03
145,2020-10-01,26.83,27.1,26.72,27.02
144,2020-09-30,26.67,27.11,26.67,26.7
143,2020-09-29,26.69,26.96,26.61,26.705
142,2020-09-28,26.6,26.89,26.6,26.69
141,2020-09-25,26.5,26.81,26.5,26.6
140,2020-09-24,26.5,26.6695,26.45,26.5
139,2020-09-23,26.62,26.78,26.4,26.57
138,2020-09-22,26.49,26.65,26.45,26.65
137,2020-09-21,26.35,26.52,26.3106,26.45
136,2020-09-18,26.5,26.6491,26.4,26.49
135,2020-09-17,26.0,26.68,26.0,26.5
134,2020-09-16,26.23,26.43,26.23,26.25
133,2020-09-15,26.49,26.56,26.13,26.21
132,2020-09-14,26.63,26.63,26.428,26.428
131,2020-09-11,26.6,26.6,26.4,26.4359
130,2020-09-10,26.35,26.6,26.35,26.42
129,2020-09-09,26.27,26.34,26.22,26.3399
128,2020-09-08,26.25,26.3,26.16,26.16
127,2020-09-04,26.34,26.45,26.29,26.3
126,2020-09-03,26.5,26.5,26.34,26.34
125,2020-09-02,26.4,26.41,26.19,26.41
124,2020-09-01,26.41,26.56,26.22,26.33
123,2020-08-31,26.25,26.53,26.12,26.33
122,2020-08-28,26.53,26.556,26.15,26.15
121,2020-08-27,26.707,26.71,26.57,26.7
120,2020-08-26,26.49,26.67,26.46,26.5
119,2020-08-25,26.39,26.51,26.26,26.44
118,2020-08-24,26.3,26.35,26.22,26.29
