,Date,Open,High,Low,Close
4147,2020-12-14,11.39,11.47,11.1,11.115
4146,2020-12-11,11.32,11.36,11.21,11.33
4145,2020-12-10,11.33,11.42,11.21,11.32
4144,2020-12-09,11.48,11.49,11.153,11.22
4143,2020-12-08,11.26,11.46,11.23,11.32
4142,2020-12-07,11.42,11.43,11.21,11.31
4141,2020-12-04,11.15,11.5,11.14,11.42
4140,2020-12-03,10.8,11.12,10.75,11.04
4139,2020-12-02,10.55,10.81,10.55,10.75
4138,2020-12-01,10.82,10.9,10.64,10.66
4137,2020-11-30,10.74,10.8299,10.6,10.73
4136,2020-11-27,11.0,11.02,10.79,10.84
4135,2020-11-25,11.25,11.28,10.92,11.0
4134,2020-11-24,11.16,11.33,11.11,11.2
4133,2020-11-23,10.88,10.99,10.78,10.98
4132,2020-11-20,10.75,10.78,10.68,10.71
4131,2020-11-19,10.48,10.72,10.38,10.72
4130,2020-11-18,10.71,10.71,10.46,10.51
4129,2020-11-17,10.45,10.75,10.3576,10.52
4128,2020-11-16,10.43,10.81,10.43,10.51
4127,2020-11-13,10.16,10.32,10.09,10.32
4126,2020-11-12,10.18,10.29,10.0686,10.12
4125,2020-11-11,10.22,10.32,10.122,10.2
4124,2020-11-10,10.07,10.17,9.9699,10.13
4123,2020-11-09,9.73,10.055,9.73,9.97
4122,2020-11-06,9.66,9.66,9.4,9.43
4121,2020-11-05,9.45,9.6,9.45,9.6
4120,2020-11-04,9.53,9.57,9.3,9.44
4119,2020-11-03,9.38,9.46,9.35,9.39
4118,2020-11-02,9.29,9.3332,9.2307,9.3
4117,2020-10-30,9.52,9.52,9.23,9.23
4116,2020-10-29,9.1,9.35,9.1,9.35
4115,2020-10-28,9.56,9.66,9.21,9.26
4114,2020-10-27,9.49,9.57,9.49,9.55
4113,2020-10-26,9.86,9.86,9.45,9.56
4112,2020-10-23,10.0,10.03,9.9,9.93
4111,2020-10-22,9.77,10.0,9.77,9.99
4110,2020-10-21,10.12,10.16,10.0,10.05
4109,2020-10-20,10.16,10.24,10.05,10.11
4108,2020-10-19,10.05,10.1218,10.02,10.04
4107,2020-10-16,10.15,10.15,10.026,10.04
4106,2020-10-15,10.05,10.11,9.94,10.08
4105,2020-10-14,9.98,10.12,9.97,10.1
4104,2020-10-13,10.0,10.0,9.84,9.95
4103,2020-10-12,10.17,10.17,9.84,9.93
4102,2020-10-09,10.11,10.18,10.03,10.1
4101,2020-10-08,9.84,10.15,9.812,10.11
