,Date,Open,High,Low,Close
1850,2020-12-14,2.7,2.7,2.49,2.61
1849,2020-12-11,2.8,2.81,2.645,2.68
1848,2020-12-10,2.62,2.845,2.615,2.79
1847,2020-12-09,2.85,2.85,2.559,2.61
1846,2020-12-08,2.71,2.865,2.7,2.84
1845,2020-12-07,2.84,2.88,2.655,2.75
1844,2020-12-04,2.71,2.92,2.6655,2.86
1843,2020-12-03,2.44,2.665,2.265,2.64
1842,2020-12-02,2.34,2.53,2.3,2.43
1841,2020-12-01,2.28,2.4,2.22,2.31
1840,2020-11-30,2.39,2.43,2.2,2.23
1839,2020-11-27,2.5,2.527,2.39,2.42
1838,2020-11-25,2.66,2.68,2.5,2.56
1837,2020-11-24,2.63,2.725,2.58,2.68
1836,2020-11-23,2.22,2.51,2.2111,2.51
1835,2020-11-20,2.26,2.32,2.15,2.18
1834,2020-11-19,2.3,2.39,2.275,2.3
1833,2020-11-18,2.33,2.52,2.32,2.34
1832,2020-11-17,2.32,2.35,2.22,2.33
1831,2020-11-16,2.16,2.38,2.16,2.38
1830,2020-11-13,2.12,2.12,2.0049,2.06
1829,2020-11-12,2.05,2.135,2.0,2.09
1828,2020-11-11,2.15,2.16,2.03,2.11
1827,2020-11-10,2.07,2.19,2.04,2.15
1826,2020-11-09,1.78,2.11,1.76,2.06
1825,2020-11-06,1.77,1.78,1.67,1.67
1824,2020-11-05,1.72,1.79,1.71,1.76
1823,2020-11-04,1.79,1.81,1.65,1.71
1822,2020-11-03,1.82,1.9,1.7705,1.87
1821,2020-11-02,1.74,1.82,1.73,1.82
1820,2020-10-30,1.61,1.77,1.61,1.75
1819,2020-10-29,1.55,1.66,1.49,1.64
1818,2020-10-28,1.55,1.57,1.495,1.54
1817,2020-10-27,1.68,1.68,1.61,1.62
1816,2020-10-26,1.74,1.74,1.66,1.68
1815,2020-10-23,1.74,1.865,1.74,1.77
1814,2020-10-22,1.72,1.76,1.685,1.73
1813,2020-10-21,1.72,1.77,1.7,1.7
1812,2020-10-20,1.72,1.74,1.68,1.72
1811,2020-10-19,1.72,1.76,1.675,1.68
1810,2020-10-16,1.7,1.75,1.66,1.67
1809,2020-10-15,1.71,1.75,1.655,1.73
1808,2020-10-14,1.7,1.8,1.67,1.72
1807,2020-10-13,1.77,1.8,1.65,1.69
1806,2020-10-12,1.73,1.79,1.69,1.77
1805,2020-10-09,1.88,1.8862,1.69,1.73
1804,2020-10-08,1.7,1.85,1.69,1.83
1803,2020-10-07,1.67,1.71,1.65,1.69
1802,2020-10-06,1.71,1.73,1.615,1.65
1801,2020-10-05,1.65,1.735,1.65,1.68
1800,2020-10-02,1.53,1.68,1.51,1.64
1799,2020-10-01,1.56,1.6,1.5,1.57
1798,2020-09-30,1.63,1.65,1.51,1.54
1797,2020-09-29,1.7,1.7,1.6001,1.63
