,Date,Open,High,Low,Close
2516,2020-12-14,276.64,276.95,270.16,271.16
2515,2020-12-11,270.09,275.06,270.09,273.68
2514,2020-12-10,264.67,273.44,263.47,273.39
2513,2020-12-09,269.49,270.045,266.14,267.06
2512,2020-12-08,270.85,271.69,266.5,268.31
2511,2020-12-07,267.06,273.83,266.58,273.62
2510,2020-12-04,263.9,269.97,263.72,268.05
2509,2020-12-03,263.14,265.58,261.58,262.23
2508,2020-12-02,265.95,265.95,261.43,263.81
2507,2020-12-01,268.57,271.45,265.91,267.26
2506,2020-11-30,267.14,268.23,262.28,265.21
2505,2020-11-27,269.78,270.38,266.23,267.6
2504,2020-11-25,267.43,271.65,262.84,269.69
2503,2020-11-24,258.94,267.56,257.03,267.06
2502,2020-11-23,255.0,257.34,252.06,254.66
2501,2020-11-20,258.63,258.82,253.68,253.93
2500,2020-11-19,261.96,263.49,258.02,260.28
2499,2020-11-18,267.31,270.24,262.62,262.62
2498,2020-11-17,261.57,269.58,261.57,267.99
2497,2020-11-16,266.0,267.97,262.08,265.11
2496,2020-11-13,262.99,265.48,256.91,260.3
2495,2020-11-12,264.75,266.165,256.6,260.35
2494,2020-11-11,278.51,278.51,265.13,266.37
2493,2020-11-10,269.19,281.11,266.14,279.03
2492,2020-11-09,248.75,274.738,245.94,269.12
2491,2020-11-06,240.0,242.0225,229.79,232.11
2490,2020-11-05,241.03,242.345,238.8721,240.0
2489,2020-11-04,238.54,241.15,235.03,237.19
2488,2020-11-03,233.4,237.44,232.6,235.14
2487,2020-11-02,224.36,230.98,222.48,230.53
2486,2020-10-30,218.23,221.12,216.17,220.91
2485,2020-10-29,217.28,222.36,214.88,219.41
2484,2020-10-28,226.07,228.46,220.9327,221.62
2483,2020-10-27,241.6,242.8554,231.63,231.69
2482,2020-10-26,255.35,255.7,239.135,241.21
2481,2020-10-23,258.8,260.3,256.45,259.2
2480,2020-10-22,249.29,257.8,246.31,256.84
2479,2020-10-21,242.49,249.45,241.8,248.28
2478,2020-10-20,243.46,246.09,242.63,242.83
2477,2020-10-19,251.13,251.18,239.76,241.55
2476,2020-10-16,248.6,250.11,246.39,249.59
2475,2020-10-15,246.58,248.105,244.67,246.51
2474,2020-10-14,249.34,252.23,247.675,250.19
2473,2020-10-13,249.99,251.44,247.81,248.76
2472,2020-10-12,249.28,253.99,248.3628,251.2
2471,2020-10-09,247.75,250.215,245.02,247.11
2470,2020-10-08,241.41,245.86,241.41,245.12
2469,2020-10-07,240.93,241.92,239.1,240.9
2468,2020-10-06,241.06,246.255,236.84,238.94
2467,2020-10-05,236.63,239.1375,234.94,238.92
2466,2020-10-02,232.88,236.02,231.4,234.46
2465,2020-10-01,241.39,243.3,236.62,237.18
2464,2020-09-30,240.34,243.13,235.78,238.1
2463,2020-09-29,242.88,243.75,240.31,240.75
2462,2020-09-28,240.83,243.445,239.59,241.71
2461,2020-09-25,232.83,237.295,230.42,236.91
2460,2020-09-24,232.14,235.51,229.44,233.6
2459,2020-09-23,235.4,237.65,232.67,234.0
2458,2020-09-22,236.51,237.43,232.595,236.04
2457,2020-09-21,233.86,237.57,230.5,235.44
2456,2020-09-18,236.55,243.28,235.405,241.86
2455,2020-09-17,230.68,236.315,229.13,235.93
2454,2020-09-16,232.96,237.025,232.22,234.49
2453,2020-09-15,236.96,239.3433,231.54,232.32
2452,2020-09-14,234.11,236.31,232.795,235.04
2451,2020-09-11,234.71,235.505,228.01,231.0
2450,2020-09-10,236.48,239.63,232.405,233.21
2449,2020-09-09,235.48,237.41,230.99,234.96
2448,2020-09-08,232.53,237.16,230.81,231.91
2447,2020-09-04,248.29,249.0,237.59,238.04
2446,2020-09-03,253.69,253.69,241.405,246.16
2445,2020-09-02,251.41,254.78,247.77,253.65
2444,2020-09-01,251.43,255.03,249.68,249.99
2443,2020-08-31,255.64,257.11,251.38,251.45
2442,2020-08-28,248.05,255.0693,247.675,255.0
2441,2020-08-27,244.73,248.02,242.64,248.0
2440,2020-08-26,242.27,245.125,240.15,244.8
2439,2020-08-25,241.23,242.35,238.0,242.35
2438,2020-08-24,240.84,241.02,237.4,240.09
2437,2020-08-21,240.28,241.84,235.96,238.67
2436,2020-08-20,242.55,244.295,240.99,241.21
