,Date,Open,High,Low,Close
5314,2020-12-14,41.04,41.9,40.77,41.21
5313,2020-12-11,40.81,41.22,40.37,40.81
5312,2020-12-10,41.45,41.6,40.75,41.1
5311,2020-12-09,41.67,41.885,41.02,41.46
5310,2020-12-08,41.7,41.91,41.45,41.59
5309,2020-12-07,42.0,42.22,41.68,41.86
5308,2020-12-04,41.51,42.09,41.51,41.96
5307,2020-12-03,41.38,41.65,41.04,41.35
5306,2020-12-02,42.13,42.315,41.23,41.44
5305,2020-12-01,42.22,42.645,41.93,42.49
5304,2020-11-30,42.31,42.42,41.81,41.88
5303,2020-11-27,42.51,42.7,42.0,42.48
5302,2020-11-25,42.49,42.88,42.19,42.45
5301,2020-11-24,42.66,42.91,42.25,42.38
5300,2020-11-23,42.65,42.81,42.16,42.3
5299,2020-11-20,41.96,42.08,41.28,41.86
5298,2020-11-19,41.67,42.06,41.43,42.03
5297,2020-11-18,43.16,43.23,41.85,41.85
5296,2020-11-17,42.79,43.34,42.37,43.0
5295,2020-11-16,43.4,43.535,42.12,43.2
5294,2020-11-13,42.09,42.89,41.9801,42.83
5293,2020-11-12,43.66,43.66,41.52,41.83
5292,2020-11-11,42.04,42.68,41.76,42.63
5291,2020-11-10,40.74,41.95,40.26,41.8
5290,2020-11-09,43.97,44.79,40.47,40.74
5289,2020-11-06,42.49,42.58,41.73,41.74
5288,2020-11-05,42.57,42.58,41.99,42.24
5287,2020-11-04,42.12,42.54,41.39,42.39
5286,2020-11-03,41.27,41.99,40.94,41.74
5285,2020-11-02,40.26,40.86,39.82,40.86
5284,2020-10-30,39.98,40.45,39.4,39.81
5283,2020-10-29,39.71,40.42,39.24,40.21
5282,2020-10-28,40.05,40.605,39.43,39.75
5281,2020-10-27,41.38,41.6,40.81,40.81
5280,2020-10-26,41.71,42.015,40.99,41.33
5279,2020-10-23,42.06,42.34,41.65,42.02
5278,2020-10-22,41.66,42.0,40.9,41.91
5277,2020-10-21,41.52,41.91,41.165,41.47
5276,2020-10-20,41.47,41.79,41.25,41.62
5275,2020-10-19,41.94,42.12,41.05,41.16
5274,2020-10-16,42.5,42.5,41.81,41.82
5273,2020-10-15,41.5,42.73,41.5,42.28
5272,2020-10-14,43.32,43.48,41.87,41.88
5271,2020-10-13,44.04,44.15,43.33,43.57
5270,2020-10-12,43.64,44.465,43.34,44.3
5269,2020-10-09,43.74,43.8,43.01,43.49
5268,2020-10-08,42.85,43.49,42.76,43.36
5267,2020-10-07,42.86,42.91,42.5,42.64
5266,2020-10-06,43.11,43.38,42.42,42.67
5265,2020-10-05,42.07,43.11,41.74,42.92
5264,2020-10-02,40.12,42.0,39.88,41.86
5263,2020-10-01,40.12,40.71,39.7,40.7
5262,2020-09-30,40.47,40.55,39.36,39.8
5261,2020-09-29,40.38,40.63,39.95,40.26
5260,2020-09-28,40.25,40.83,40.13,40.78
5259,2020-09-25,38.91,39.85,38.855,39.77
5258,2020-09-24,39.2,39.96,39.05,39.19
5257,2020-09-23,40.26,40.44,39.26,39.26
5256,2020-09-22,39.56,40.68,39.55,40.28
5255,2020-09-21,40.16,40.16,39.32,39.53
5254,2020-09-18,41.24,41.52,40.66,40.68
5253,2020-09-17,41.58,41.59,40.82,41.07
5252,2020-09-16,42.45,42.66,41.89,41.95
5251,2020-09-15,41.32,42.23,41.315,42.13
5250,2020-09-14,40.44,41.29,40.11,41.18
5249,2020-09-11,40.79,40.79,39.88,40.11
5248,2020-09-10,41.09,41.16,40.48,40.52
5247,2020-09-09,41.04,41.66,40.94,41.13
5246,2020-09-08,41.41,41.5,40.66,40.79
5245,2020-09-04,42.39,42.62,40.88,41.58
5244,2020-09-03,43.09,43.34,42.06,42.27
5243,2020-09-02,42.68,43.08,42.36,43.08
5242,2020-09-01,42.45,42.795,42.11,42.58
5241,2020-08-31,42.88,43.16,42.64,42.65
5240,2020-08-28,43.23,43.23,42.69,42.8
5239,2020-08-27,43.49,43.6,42.9,43.06
5238,2020-08-26,43.25,43.42,42.74,43.3
5237,2020-08-25,43.09,43.31,42.66,43.28
5236,2020-08-24,42.86,43.01,42.25,42.98
5235,2020-08-21,42.59,42.82,42.09,42.75
5234,2020-08-20,42.36,43.02,42.34,42.55
5233,2020-08-19,43.03,43.19,42.4,42.51
5232,2020-08-18,42.78,43.095,42.4,42.88
5231,2020-08-17,42.24,42.98,42.0,42.9
5230,2020-08-14,42.49,42.9031,41.99,42.08
5229,2020-08-13,42.87,43.145,42.42,42.57
5228,2020-08-12,42.47,43.155,42.29,43.01
5227,2020-08-11,43.18,43.28,41.95,42.11
5226,2020-08-10,43.3,43.44,42.77,42.82
5225,2020-08-07,43.08,43.47,42.89,43.25
5224,2020-08-06,43.79,44.05,43.19,43.19
5223,2020-08-05,44.0,44.11,43.51,43.88
5222,2020-08-04,43.65,43.89,43.35,43.75
5221,2020-08-03,43.95,43.96,43.37,43.78
5220,2020-07-31,44.28,44.28,43.14,43.92
5219,2020-07-30,43.25,44.31,42.99,44.09
5218,2020-07-29,42.67,43.78,42.67,43.78
5217,2020-07-28,41.52,42.6125,41.38,42.31
5216,2020-07-27,40.82,41.77,40.68,41.72
5215,2020-07-24,40.96,41.16,40.63,40.99
5214,2020-07-23,40.19,41.84,40.19,40.81
5213,2020-07-22,39.01,40.39,38.91,40.29
5212,2020-07-21,39.49,39.7,39.2,39.33
5211,2020-07-20,39.05,39.29,38.74,39.04
5210,2020-07-17,38.57,39.49,38.45,39.28
5209,2020-07-16,38.49,38.99,37.88,38.4
5208,2020-07-15,39.11,39.11,38.35,38.72
5207,2020-07-14,37.98,38.46,37.91,38.44
5206,2020-07-13,38.66,38.82,37.94,37.99
5205,2020-07-10,38.31,38.55,37.87,38.31
5204,2020-07-09,38.26,38.51,37.74,38.38
5203,2020-07-08,38.39,38.8,38.19,38.32
5202,2020-07-07,38.76,39.19,38.36,38.37
5201,2020-07-06,40.98,40.98,39.29,39.38
5200,2020-07-02,40.64,40.74,39.62,40.03
5199,2020-07-01,38.71,40.21,38.36,40.09
5198,2020-06-30,37.9,38.72,37.81,38.44
5197,2020-06-29,37.77,37.91,37.14,37.84
5196,2020-06-26,36.79,37.96,36.53,37.58
5195,2020-06-25,36.5,37.08,36.11,37.03
5194,2020-06-24,37.33,37.83,36.12,36.71
5193,2020-06-23,39.01,39.12,37.8,37.84
5192,2020-06-22,37.89,38.54,36.92,38.48
5191,2020-06-19,39.47,39.49,37.75,38.19
5190,2020-06-18,39.22,39.66,38.71,38.8
5189,2020-06-17,40.56,40.56,39.43,39.75
5188,2020-06-16,40.9,41.25,39.74,40.29
5187,2020-06-15,37.67,39.68,37.49,39.33
5186,2020-06-12,39.25,39.28,38.05,39.07
5185,2020-06-11,38.39,38.94,37.73,37.8
5184,2020-06-10,40.46,40.68,39.71,40.04
5183,2020-06-09,40.15,41.22,39.85,40.73
5182,2020-06-08,41.2,41.46,40.52,40.93
5181,2020-06-05,41.13,41.63,39.95,40.53
5180,2020-06-04,39.24,39.61,38.65,39.54
5179,2020-06-03,39.17,39.67,39.08,39.55
5178,2020-06-02,38.56,38.91,38.21,38.66
5177,2020-06-01,37.87,38.67,37.56,38.11
5176,2020-05-29,37.56,38.18,37.26,37.88
5175,2020-05-28,38.57,38.57,37.66,38.07
5174,2020-05-27,38.9,38.9,37.68,38.01
5173,2020-05-26,37.95,38.11,37.48,37.85
5172,2020-05-22,36.25,36.42,35.73,36.26
5171,2020-05-21,35.72,36.45,35.7,36.23
5170,2020-05-20,36.12,36.25,35.56,35.91
5169,2020-05-19,35.91,36.26,35.33,35.46
5168,2020-05-18,35.48,36.53,35.48,36.25
5167,2020-05-15,33.79,34.11,32.92,33.98
5166,2020-05-14,32.58,34.14,31.65,34.05
5165,2020-05-13,33.63,34.04,33.08,33.35
5164,2020-05-12,36.19,36.45,33.91,33.93
5163,2020-05-11,36.09,36.61,35.66,36.21
5162,2020-05-08,36.69,36.92,35.98,36.82
5161,2020-05-07,36.13,36.43,35.66,35.82
5160,2020-05-06,36.05,36.2,35.51,35.58
5159,2020-05-05,36.31,36.5,35.89,35.93
5158,2020-05-04,35.6,35.86,35.08,35.77
5157,2020-05-01,36.7,36.87,35.68,36.26
5156,2020-04-30,37.41,37.9,36.77,37.77
5155,2020-04-29,38.6,38.85,37.85,38.36
5154,2020-04-28,38.68,39.24,37.4,37.53
5153,2020-04-27,36.22,37.74,36.12,37.58
5152,2020-04-24,35.59,36.17,34.7,36.03
5151,2020-04-23,34.57,35.76,34.53,35.01
5150,2020-04-22,34.11,34.55,33.54,34.13
5149,2020-04-21,33.6,34.43,32.85,33.4
5148,2020-04-20,34.71,35.33,34.38,34.82
5147,2020-04-17,34.99,35.82,34.71,35.57
5146,2020-04-16,34.81,35.49,33.72,34.43
5145,2020-04-15,34.43,35.37,33.99,34.66
5144,2020-04-14,36.31,37.04,35.84,36.36
5143,2020-04-13,36.06,36.61,35.16,35.25
5142,2020-04-09,35.5,37.07,35.23,36.75
5141,2020-04-08,33.68,35.05,33.01,34.28
5140,2020-04-07,34.52,35.27,32.91,33.17
5139,2020-04-06,32.22,33.4,31.83,33.01
5138,2020-04-03,30.58,31.3,29.78,30.73
5137,2020-04-02,29.82,31.48,29.82,31.06
5136,2020-04-01,31.48,31.48,28.9,30.52
5135,2020-03-31,33.29,33.41,31.82,33.23
5134,2020-03-30,32.28,33.92,30.94,33.7
5133,2020-03-27,29.72,32.88,29.36,32.01
5132,2020-03-26,29.24,31.05,28.62,30.92
5131,2020-03-25,28.5,30.62,27.06,28.73
5130,2020-03-24,28.58,29.35,27.0,28.7
5129,2020-03-23,27.86,28.81,25.89,27.09
5128,2020-03-20,30.26,30.27,27.43,27.74
5127,2020-03-19,28.92,31.04,28.88,30.07
5126,2020-03-18,28.64,30.18,26.67,29.23
5125,2020-03-17,29.0,30.89,27.76,30.71
5124,2020-03-16,28.04,30.89,27.67,28.34
5123,2020-03-13,32.61,34.71,31.02,34.59
5122,2020-03-12,29.86,32.89,29.81,30.79
5121,2020-03-11,35.62,35.83,33.46,33.93
5120,2020-03-10,36.52,37.0,34.11,36.89
5119,2020-03-09,37.22,37.74,35.26,35.48
5118,2020-03-06,39.21,39.72,37.96,39.62
5117,2020-03-05,41.19,41.6,40.05,40.6
5116,2020-03-04,41.02,42.32,40.84,42.12
5115,2020-03-03,40.11,41.28,39.61,40.43
5114,2020-03-02,38.74,40.15,38.13,40.13
5113,2020-02-28,38.91,39.17,37.32,38.5
5112,2020-02-27,42.01,42.15,39.97,39.97
5111,2020-02-26,43.16,43.47,42.59,42.59
5110,2020-02-25,44.46,44.6,42.9,42.96
5109,2020-02-24,44.66,45.0,44.12,44.39
5108,2020-02-21,45.85,45.93,45.41,45.5
5107,2020-02-20,45.42,45.9,45.26,45.87
5106,2020-02-19,45.87,45.88,45.23,45.5
5105,2020-02-18,46.06,46.1,45.48,45.83
5104,2020-02-14,45.92,46.12,45.53,46.01
5103,2020-02-13,45.02,46.03,44.93,45.85
5102,2020-02-12,44.67,45.08,44.46,44.87
5101,2020-02-11,44.17,44.59,44.14,44.4
5100,2020-02-10,43.6,44.1,43.46,44.08
5099,2020-02-07,43.67,43.75,43.41,43.5
5098,2020-02-06,43.61,43.71,43.42,43.59
5097,2020-02-05,43.74,43.74,43.27,43.49
5096,2020-02-04,43.05,43.64,42.89,43.53
5095,2020-02-03,42.89,43.16,42.74,42.84
5094,2020-01-31,43.64,43.77,42.63,42.7
5093,2020-01-30,43.48,43.98,43.41,43.76
5092,2020-01-29,43.69,43.95,43.37,43.66
5091,2020-01-28,43.25,43.68,43.2,43.51
5090,2020-01-27,43.09,43.44,42.93,43.17
5089,2020-01-24,43.65,43.72,43.1,43.36
5088,2020-01-23,42.74,43.59,42.51,43.51
5087,2020-01-22,43.35,43.45,42.6,42.75
5086,2020-01-21,42.86,43.17,42.81,43.17
5085,2020-01-17,43.03,43.14,42.82,42.88
5084,2020-01-16,42.72,43.06,42.65,42.95
5083,2020-01-15,41.93,42.73,41.93,42.57
5082,2020-01-14,42.16,42.16,41.7,41.8
5081,2020-01-13,41.68,42.28,41.68,42.22
5080,2020-01-10,41.53,41.8,41.31,41.72
5079,2020-01-09,41.43,41.57,41.14,41.41
5078,2020-01-08,41.07,41.52,40.96,41.36
5077,2020-01-07,41.02,41.21,40.79,41.13
5076,2020-01-06,41.37,41.85,41.23,41.27
5075,2020-01-03,40.93,41.79,40.33,41.64
5074,2020-01-02,41.73,41.73,40.74,41.23
5073,2019-12-31,41.29,41.63,41.29,41.51
5072,2019-12-30,40.99,41.33,40.93,41.31
5071,2019-12-27,41.23,41.35,40.97,41.32
5070,2019-12-26,40.61,40.92,40.51,40.92
5069,2019-12-24,40.67,40.87,40.56,40.58
5068,2019-12-23,41.26,41.28,40.63,40.68
5067,2019-12-20,41.06,41.29,40.87,41.12
5066,2019-12-19,41.02,41.2,40.65,40.93
5065,2019-12-18,40.82,41.24,40.59,41.05
5064,2019-12-17,41.05,41.22,40.63,40.8
5063,2019-12-16,40.88,41.07,40.49,41.02
5062,2019-12-13,40.83,41.0,40.4,40.8
5061,2019-12-12,41.38,41.61,40.75,40.85
5060,2019-12-11,42.06,42.06,41.3,41.4
5059,2019-12-10,42.16,42.39,41.84,41.93
5058,2019-12-09,42.33,42.33,41.99,42.11
5057,2019-12-06,42.52,42.69,42.26,42.31
5056,2019-12-05,42.47,42.64,42.19,42.38
5055,2019-12-04,42.88,43.24,42.48,42.56
5054,2019-12-03,42.17,42.8,42.15,42.77
5053,2019-12-02,42.55,42.74,42.18,42.25
5052,2019-11-29,42.99,43.18,42.54,42.58
5051,2019-11-27,42.75,43.07,42.49,43.07
5050,2019-11-26,41.95,42.64,41.87,42.61
5049,2019-11-25,41.84,42.27,41.75,41.96
5048,2019-11-22,42.02,42.02,41.44,41.55
5047,2019-11-21,42.37,42.37,41.73,41.78
5046,2019-11-20,42.22,42.51,42.04,42.42
5045,2019-11-19,41.9,42.31,41.79,42.23
5044,2019-11-18,42.0,42.24,41.89,42.03
5043,2019-11-15,42.15,42.3,42.04,42.08
5042,2019-11-14,41.7,42.13,41.7,42.08
5041,2019-11-13,41.26,41.83,41.23,41.65
5040,2019-11-12,41.45,41.77,41.26,41.28
5039,2019-11-11,41.36,41.65,41.15,41.39
5038,2019-11-08,41.57,41.83,41.42,41.42
5037,2019-11-07,41.77,41.89,41.43,41.73
5036,2019-11-06,41.56,41.82,41.42,41.77
5035,2019-11-05,42.24,42.27,41.26,41.43
5034,2019-11-04,42.29,42.41,41.97,42.32
5033,2019-11-01,42.28,42.36,41.74,42.2
5032,2019-10-31,42.44,42.53,41.97,42.11
5031,2019-10-30,41.84,42.24,41.66,42.2
5030,2019-10-29,41.57,42.2,41.53,41.7
5029,2019-10-28,41.51,42.02,41.3,41.7
5028,2019-10-25,41.31,41.31,40.94,41.19
5027,2019-10-24,40.93,41.44,40.6,41.31
