,Date,Open,High,Low,Close
746,2020-12-14,28.5,28.98,25.55,27.15
745,2020-12-11,28.5,29.27,26.5466,27.58
744,2020-12-10,28.69,29.99,28.11,28.9
743,2020-12-09,29.0,32.73,27.77,29.79
742,2020-12-08,27.4,29.6539,27.1737,29.0
741,2020-12-07,27.89,29.76,27.0,27.6
740,2020-12-04,27.2,27.28,26.06,27.0
739,2020-12-03,26.75,28.3,26.3,26.9
738,2020-12-02,28.5,29.21,26.03,27.4
737,2020-12-01,28.08,28.3,26.595,26.74
736,2020-11-30,27.91,28.66,26.9,27.7
735,2020-11-27,25.9,27.4199,25.6,27.1
734,2020-11-25,24.51,25.57,23.0,25.26
733,2020-11-24,27.61,27.61,22.7501,24.85
732,2020-11-23,24.87,27.9,24.38,25.75
731,2020-11-20,22.8,24.5,22.8,23.65
730,2020-11-19,22.13,22.48,19.85,22.2
729,2020-11-18,22.2,23.8799,20.53,20.83
728,2020-11-17,18.3,22.44,18.3,21.66
727,2020-11-16,15.72,18.71,15.65,18.59
726,2020-11-13,15.12,16.57,14.96,15.32
725,2020-11-12,16.4,16.65,14.87,15.42
724,2020-11-11,20.0002,20.35,15.95,16.03
723,2020-11-10,14.55,15.75,14.4,15.65
722,2020-11-09,14.96,15.2599,14.35,14.65
721,2020-11-06,15.2,15.35,14.29,14.92
720,2020-11-05,14.6,15.61,14.5991,14.78
719,2020-11-04,15.45,15.53,14.05,14.28
718,2020-11-03,14.06,15.69,14.0,14.93
717,2020-11-02,14.22,14.7,13.5501,13.8
716,2020-10-30,13.5,13.95,13.1801,13.49
715,2020-10-29,13.95,14.69,13.56,13.64
714,2020-10-28,13.0,14.2,12.4001,13.73
713,2020-10-27,13.46,14.04,13.1,13.8
712,2020-10-26,13.25,14.19,13.18,13.73
711,2020-10-23,12.99,13.64,12.61,13.49
710,2020-10-22,12.15,12.47,11.44,12.4
709,2020-10-21,12.17,12.55,11.5,12.5
708,2020-10-20,11.4,12.38,11.1,12.2
707,2020-10-19,12.65,13.2,11.92,11.97
706,2020-10-16,11.38,12.5,10.79,12.01
705,2020-10-15,9.45,10.79,9.26,10.79
704,2020-10-14,10.18,10.28,9.32,9.32
703,2020-10-13,9.8,9.8489,9.06,9.71
702,2020-10-12,10.25,10.3,9.5,9.86
701,2020-10-09,11.0,11.0,10.05,10.07
700,2020-10-08,11.0,12.0,10.01,10.26
699,2020-10-07,13.0,13.0,12.0,12.2
698,2020-10-06,13.75,13.85,12.75,12.925
697,2020-10-05,12.11,14.25,12.11,13.5
696,2020-10-02,10.74,12.48,10.74,12.09
695,2020-10-01,9.05,11.61,9.05,10.72
694,2020-09-30,9.0,9.4,8.72,9.0
693,2020-09-29,9.17,9.4,8.98,9.3
692,2020-09-28,9.4,9.5,8.9,9.17
691,2020-09-25,8.85,9.5,8.49,9.35
690,2020-09-24,9.29,9.29,8.26,8.85
689,2020-09-23,9.2,9.2,9.025,9.2
688,2020-09-22,9.6,9.75,9.1,9.35
687,2020-09-21,9.41,9.83,9.41,9.6
686,2020-09-18,10.39,10.39,9.5,9.6
685,2020-09-17,9.9,10.05,9.11,9.8
684,2020-09-16,9.98,10.05,9.4,9.86
683,2020-09-15,9.4,9.98,9.1,9.98
682,2020-09-14,9.35,9.35,9.2,9.3
681,2020-09-11,8.92,9.97,8.92,9.09
680,2020-09-10,9.0,9.575,8.8,9.0
679,2020-09-09,9.75,9.75,9.05,9.15
678,2020-09-08,9.36,9.73,9.0,9.2
677,2020-09-04,9.25,9.5,9.21,9.36
676,2020-09-03,9.99,10.0,9.36,9.7
675,2020-09-02,9.65,9.8,9.6,9.78
674,2020-09-01,9.6,9.8,9.6,9.77
673,2020-08-31,10.1,10.1,9.1,9.8
672,2020-08-28,9.75,9.75,9.02,9.75
671,2020-08-27,9.85,9.85,9.6,9.75
670,2020-08-26,10.0,10.0,9.85,9.9
669,2020-08-25,10.15,10.35,9.98,10.0
668,2020-08-24,10.5,10.5,10.05,10.5
667,2020-08-21,10.69,11.2,10.445,10.5
666,2020-08-20,11.33,11.33,10.44,10.7
665,2020-08-19,10.375,11.4,10.35,11.3
664,2020-08-18,9.75,11.23,9.75,10.5
663,2020-08-17,10.91,11.23,9.86,10.34
662,2020-08-14,10.925,11.95,10.85,10.87
661,2020-08-13,10.73,11.01,10.15,10.9899
660,2020-08-12,11.38,11.38,10.15,10.65
659,2020-08-11,10.6,11.45,10.08,11.2
658,2020-08-10,10.0,10.0,9.9,10.0
657,2020-08-07,10.08,10.5,9.86,10.2
656,2020-08-06,9.9,10.25,9.7,10.08
655,2020-08-05,9.85,9.98,9.7,9.7
654,2020-08-04,9.69,10.3,9.69,9.85
653,2020-08-03,10.0,10.0,9.51,9.95
652,2020-07-31,9.665,10.0499,9.42,10.0
651,2020-07-30,9.85,9.85,9.01,9.43
650,2020-07-29,9.5,9.85,9.08,9.8499
649,2020-07-28,9.8,9.8,9.07,9.5
648,2020-07-27,9.85,9.85,9.8,9.8
647,2020-07-24,9.99,10.0,9.01,9.85
646,2020-07-23,9.95,10.0,9.77,10.0
645,2020-07-22,10.0,10.25,9.88,10.0
644,2020-07-21,9.922,10.0,9.9,9.95
643,2020-07-20,9.95,10.05,9.82,9.88
642,2020-07-17,9.95,10.3,9.95,10.15
641,2020-07-16,10.07,10.12,9.98,10.01
640,2020-07-15,10.05,10.05,9.79,10.0
639,2020-07-14,10.45,10.45,9.9,10.05
638,2020-07-13,10.33,10.49,10.31,10.45
637,2020-07-10,10.5,10.75,9.8,10.33
636,2020-07-09,11.0,11.0,10.5,10.7
635,2020-07-08,9.25,10.95,8.85,10.51
634,2020-07-07,9.0,9.25,8.5,8.69
633,2020-07-06,10.0,10.15,8.12,9.17
632,2020-07-02,10.65,10.65,10.0,10.0
631,2020-07-01,10.65,12.6,10.65,10.65
630,2020-06-30,10.66,10.74,9.99,10.45
629,2020-06-29,10.02,10.78,10.0,10.49
628,2020-06-26,11.49,11.5975,10.81,11.15
627,2020-06-25,11.97,11.97,10.825,11.35
626,2020-06-24,10.0,12.25,9.95,11.6
625,2020-06-23,10.0,10.4,9.6,10.0
624,2020-06-22,10.35,10.35,10.0,10.0
623,2020-06-19,11.0,11.3,10.36,10.75
622,2020-06-18,11.75,11.75,11.0,11.34
621,2020-06-17,10.95,12.0,10.86,12.0
620,2020-06-16,11.9,12.0,11.0,11.05
619,2020-06-15,12.0,12.0,10.51,11.9
618,2020-06-12,10.12,11.98,10.12,11.98
617,2020-06-11,12.0,12.15,10.76,11.0
616,2020-06-10,12.0,12.07,11.01,12.0
615,2020-06-09,12.5,12.5,11.26,12.1
614,2020-06-08,11.25,12.27,10.75,12.25
613,2020-06-05,10.99,11.35,9.52,11.35
612,2020-06-04,11.0,11.0,9.92,10.99
611,2020-06-03,10.0,10.75,9.75,10.1
610,2020-06-02,11.1,11.24,10.5,10.6
609,2020-06-01,11.4,11.55,11.1,11.25
608,2020-05-29,11.83,12.0001,11.21,11.55
607,2020-05-28,12.97,12.97,11.31,11.83
606,2020-05-27,11.8,12.97,11.5,12.97
605,2020-05-26,11.5,12.99,11.5,12.0
604,2020-05-22,14.7,14.7,11.12,11.5
603,2020-05-21,13.25,13.25,11.12,13.104
602,2020-05-20,11.2,13.25,11.0,13.25
601,2020-05-19,9.01,11.0,9.01,11.0
600,2020-05-18,11.0,11.0,9.82,9.94
599,2020-05-15,10.24,11.5,10.0,10.8
598,2020-05-14,12.15,12.15,10.0,10.0
597,2020-05-13,15.75,15.99,12.0,12.15
596,2020-05-12,18.99,18.99,14.21,15.99
595,2020-05-11,16.01,22.0,16.01,18.1
594,2020-05-08,15.0,16.5,15.0,16.0
593,2020-05-07,13.89,17.06,13.89,15.25
592,2020-05-06,11.49,13.99,11.37,12.85
591,2020-05-05,10.25,11.25,10.25,10.99
590,2020-05-04,10.99,10.99,9.83,10.05
589,2020-05-01,11.25,11.6,11.0,11.25
588,2020-04-30,9.0,11.0,8.95,10.9999
587,2020-04-29,10.0,10.0,8.02,8.99
586,2020-04-28,7.528,10.0,7.51,10.0
585,2020-04-27,7.48,9.25,7.4,8.31
584,2020-04-24,7.0,7.48,6.9,7.48
583,2020-04-23,6.95,7.44,6.95,7.37
582,2020-04-22,7.0,7.0,6.8,6.97
581,2020-04-21,7.1,7.14,6.9,7.0
580,2020-04-20,7.5,7.6,7.0,7.0
579,2020-04-17,8.0,8.2,8.0,8.2
578,2020-04-16,7.85,8.0,7.85,8.0
577,2020-04-15,8.14,9.0,8.09,8.25
576,2020-04-14,8.0,8.1501,7.95,8.15
575,2020-04-13,7.0,8.14,7.0,8.0
574,2020-04-09,7.0,7.1,7.0,7.0
573,2020-04-08,7.1,7.2,7.0,7.2
572,2020-04-07,7.4,7.4,7.0,7.1
571,2020-04-06,8.77,8.77,7.03,7.4
570,2020-04-03,9.825,11.0,6.98,7.01
569,2020-04-02,6.8,10.48,5.0,9.25
568,2020-04-01,8.05,8.35,7.5,8.2
567,2020-03-31,8.4,8.4,8.01,8.35
566,2020-03-30,8.405,8.74,7.9,8.48
565,2020-03-27,7.51,7.51,7.51,7.51
564,2020-03-26,7.79,8.5,7.79,8.5
563,2020-03-25,7.75,7.78,7.75,7.78
562,2020-03-24,8.0,8.18,7.74,7.74
561,2020-03-23,7.74,7.74,7.74,7.74
560,2020-03-20,6.78,7.95,6.78,7.95
559,2020-03-19,8.15,8.15,8.15,8.15
558,2020-03-18,8.15,8.15,8.15,8.15
557,2020-03-17,8.15,8.15,8.15,8.15
556,2020-03-16,8.15,8.15,8.15,8.15
555,2020-03-13,8.15,8.15,8.15,8.15
554,2020-03-12,8.15,8.15,8.15,8.15
553,2020-03-11,7.21,8.2,7.21,8.15
552,2020-03-10,7.04,8.9,7.04,8.01
551,2020-03-09,7.87,8.5,7.86,8.5
550,2020-03-06,9.25,9.25,9.2,9.2
549,2020-03-05,8.83,9.2,8.83,9.2
548,2020-03-04,8.58,8.58,8.58,8.58
547,2020-03-03,8.5,8.85,8.5,8.85
546,2020-03-02,7.77,8.8,7.77,8.8
