,Date,Open,High,Low,Close
5314,2020-12-14,52.5,52.5,50.98,50.98
5313,2020-12-11,52.1,52.54,51.08,51.82
5312,2020-12-10,52.51,53.055,52.22,52.63
5311,2020-12-09,53.31,53.7,52.645,53.0
5310,2020-12-08,52.26,53.37,52.26,52.89
5309,2020-12-07,52.79,53.36,52.69,52.74
5308,2020-12-04,52.56,53.43,52.56,53.22
5307,2020-12-03,52.42,52.71,52.03,52.24
5306,2020-12-02,52.85,53.0,52.24,52.49
5305,2020-12-01,53.24,53.57,52.33,52.88
5304,2020-11-30,53.3,53.53,52.26,52.33
5303,2020-11-27,53.4,53.97,52.98,53.73
5302,2020-11-25,54.43,54.73,53.105,53.49
5301,2020-11-24,54.0,55.28,53.725,54.94
5300,2020-11-23,52.75,53.68,52.55,53.38
5299,2020-11-20,51.4,52.26,51.1,52.11
5298,2020-11-19,51.68,52.01,50.855,51.78
5297,2020-11-18,53.11,53.14,51.98,52.03
5296,2020-11-17,52.69,52.95,51.68,52.95
5295,2020-11-16,52.57,53.46,52.31,53.37
5294,2020-11-13,49.97,51.65,49.97,51.45
5293,2020-11-12,50.45,50.45,48.87,49.62
5292,2020-11-11,52.46,52.46,50.34,50.84
5291,2020-11-10,51.45,52.94,51.38,52.36
5290,2020-11-09,52.05,54.3,50.73,50.76
5289,2020-11-06,49.55,49.98,48.78,48.8
5288,2020-11-05,46.61,49.61,46.61,49.34
5287,2020-11-04,47.7,47.7,46.08,46.18
5286,2020-11-03,47.55,48.95,46.9,48.56
5285,2020-11-02,45.8,46.63,45.63,46.63
5284,2020-10-30,45.66,45.845,44.7,45.25
5283,2020-10-29,44.87,46.27,44.54,45.95
5282,2020-10-28,46.04,46.76,45.22,45.24
5281,2020-10-27,48.16,48.22,47.29,47.31
5280,2020-10-26,48.74,48.74,47.94,48.23
5279,2020-10-23,49.89,50.29,49.315,49.57
5278,2020-10-22,49.38,49.56,48.71,49.43
5277,2020-10-21,48.88,49.6087,48.88,49.12
5276,2020-10-20,49.05,49.8,48.98,49.04
5275,2020-10-19,49.84,50.13,48.51,48.72
5274,2020-10-16,49.56,50.02,49.41,49.74
5273,2020-10-15,47.96,49.48,47.76,49.48
5272,2020-10-14,48.74,49.22,48.69,48.75
5271,2020-10-13,48.95,49.19,48.64,48.8
5270,2020-10-12,49.5,49.8,49.17,49.41
5269,2020-10-09,50.5,50.55,49.06,49.42
5268,2020-10-08,49.69,50.37,49.53,49.99
5267,2020-10-07,48.73,49.4,48.405,49.14
5266,2020-10-06,48.15,49.51,47.81,48.07
5265,2020-10-05,46.6,47.93,46.6,47.76
5264,2020-10-02,43.93,46.63,43.91,46.21
5263,2020-10-01,46.09,46.545,44.54,44.82
5262,2020-09-30,45.9,47.03,45.41,45.78
5261,2020-09-29,46.84,47.06,45.68,45.84
5260,2020-09-28,46.65,47.44,46.225,46.74
5259,2020-09-25,45.26,45.82,44.42,45.71
5258,2020-09-24,47.0,47.52,43.93,45.44
5257,2020-09-23,47.82,48.44,46.08,46.13
5256,2020-09-22,47.25,47.93,46.96,47.77
