,Date,Open,High,Low,Close
5314,2020-12-14,6.33,6.35,6.13,6.16
5313,2020-12-11,6.36,6.37,6.22,6.26
5312,2020-12-10,6.42,6.47,6.38,6.41
5311,2020-12-09,6.73,6.84,6.64,6.72
5310,2020-12-08,6.63,6.765,6.6,6.74
5309,2020-12-07,6.6,6.64,6.5744,6.625
5308,2020-12-04,6.52,6.58,6.52,6.58
5307,2020-12-03,6.43,6.5,6.41,6.49
5306,2020-12-02,6.33,6.4,6.3,6.39
5305,2020-12-01,6.28,6.33,6.27,6.33
5304,2020-11-30,6.25,6.26,6.2,6.23
5303,2020-11-27,6.21,6.22,6.19,6.21
5302,2020-11-25,6.16,6.22,6.13,6.2
5301,2020-11-24,6.19,6.19,6.11,6.13
5300,2020-11-23,6.11,6.18,6.09,6.14
5299,2020-11-20,6.04,6.08,6.02,6.07
5298,2020-11-19,6.01,6.06,5.98,6.03
5297,2020-11-18,6.04,6.0477,5.995,6.01
5296,2020-11-17,6.05,6.05,5.99,6.02
5295,2020-11-16,6.06,6.09,6.04,6.07
5294,2020-11-13,5.98,6.05,5.98,6.04
5293,2020-11-12,5.97,5.985,5.94,5.97
5292,2020-11-11,5.94,6.0,5.91,5.99
5291,2020-11-10,5.86,5.94,5.8201,5.9
5290,2020-11-09,5.96,6.01,5.8,5.82
5289,2020-11-06,5.72,5.74,5.65,5.7
5288,2020-11-05,5.66,5.8399,5.6401,5.72
5287,2020-11-04,5.55,5.64,5.48,5.6
5286,2020-11-03,5.5,5.63,5.44,5.48
5285,2020-11-02,5.41,5.48,5.38,5.41
5284,2020-10-30,5.45,5.469,5.29,5.33
5283,2020-10-29,5.56,5.5804,5.45,5.49
5282,2020-10-28,5.57,5.65,5.53,5.56
5281,2020-10-27,5.7,5.775,5.66,5.7
5280,2020-10-26,5.71,5.7123,5.59,5.71
5279,2020-10-23,5.75,5.7677,5.66,5.71
5278,2020-10-22,5.79,5.8,5.61,5.7
5277,2020-10-21,5.58,5.75,5.525,5.72
5276,2020-10-20,5.27,5.47,5.27,5.47
5275,2020-10-19,5.32,5.34,5.24,5.25
5274,2020-10-16,5.27,5.34,5.27,5.3
5273,2020-10-15,5.21,5.27,5.2,5.26
5272,2020-10-14,5.3,5.34,5.27,5.28
5271,2020-10-13,5.36,5.36,5.275,5.3
5270,2020-10-12,5.32,5.37,5.28,5.35
5269,2020-10-09,5.24,5.285,5.22,5.25
5268,2020-10-08,5.2,5.24,5.195,5.23
5267,2020-10-07,5.14,5.19,5.14,5.19
5266,2020-10-06,5.15,5.21,5.09,5.11
5265,2020-10-05,5.1,5.15,5.07,5.13
5264,2020-10-02,5.0,5.0887,5.0,5.06
5263,2020-10-01,5.13,5.16,5.07,5.07
5262,2020-09-30,5.11,5.19,5.06,5.09
5261,2020-09-29,5.18,5.2,5.11,5.11
5260,2020-09-28,5.16,5.24,5.16,5.18
5259,2020-09-25,5.07,5.13,5.05,5.1
5258,2020-09-24,5.17,5.24,5.07,5.1
5257,2020-09-23,5.28,5.35,5.19,5.21
5256,2020-09-22,5.13,5.2,5.075,5.2
5255,2020-09-21,5.18,5.2,5.07,5.13
5254,2020-09-18,5.34,5.36,5.22,5.23
5253,2020-09-17,5.35,5.3599,5.3,5.34
5252,2020-09-16,5.45,5.455,5.4,5.41
5251,2020-09-15,5.45,5.49,5.43,5.45
5250,2020-09-14,5.54,5.58,5.53,5.57
5249,2020-09-11,5.57,5.5777,5.48,5.54
5248,2020-09-10,5.55,5.59,5.52,5.55
