,Date,Open,High,Low,Close
927,2020-12-14,26.7696,26.7696,26.7148,26.755
926,2020-12-11,26.7004,26.7004,26.7004,26.7004
925,2020-12-10,26.56,26.8,26.56,26.723
924,2020-12-09,26.55,26.84,26.35,26.84
923,2020-12-08,26.62,26.62,26.53,26.62
922,2020-12-07,26.6,26.62,26.4552,26.62
921,2020-12-04,26.54,26.54,26.54,26.54
920,2020-12-03,26.46,26.46,26.4417,26.4417
919,2020-12-02,26.5,26.62,26.5,26.62
918,2020-12-01,26.42,26.5,26.42,26.5
917,2020-11-30,26.57,26.67,26.33,26.57
916,2020-11-27,26.4581,26.4581,26.4581,26.4581
915,2020-11-25,26.4642,26.5087,26.4642,26.49
914,2020-11-24,26.58,26.58,26.448,26.56
913,2020-11-23,26.38,26.54,26.22,26.54
912,2020-11-20,26.4485,26.57,26.435,26.57
911,2020-11-19,26.3,26.58,26.3,26.435
910,2020-11-18,26.24,26.58,26.24,26.5
909,2020-11-17,26.367,26.6,26.35,26.48
908,2020-11-16,26.16,26.46,25.98,26.46
907,2020-11-13,26.12,26.3325,26.12,26.27
906,2020-11-12,26.1999,26.3479,26.132,26.18
905,2020-11-11,26.2807,26.42,26.2597,26.42
904,2020-11-10,26.1995,26.42,26.08,26.41
903,2020-11-09,25.81,26.46,25.81,26.42
902,2020-11-06,25.9943,26.106,25.92,25.92
901,2020-11-05,26.1479,26.2,26.003,26.13
900,2020-11-04,25.94,26.13,25.94,26.01
899,2020-11-03,25.9,26.0,25.83,25.94
898,2020-11-02,25.85,25.9449,25.85,25.86
897,2020-10-30,25.8,25.8631,25.7,25.85
896,2020-10-29,25.87,25.94,25.78,25.8
895,2020-10-28,25.9308,26.0,25.77,25.77
894,2020-10-27,26.0,26.0,25.84,25.86
893,2020-10-26,25.99,26.14,25.89,25.89
892,2020-10-23,25.9,26.0027,25.85,25.995
891,2020-10-22,25.99,25.99,25.95,25.95
890,2020-10-21,26.06,26.07,25.81,25.81
889,2020-10-20,26.0,26.14,25.86,26.0
888,2020-10-19,26.08,26.08,25.8127,25.9
887,2020-10-16,25.9535,26.12,25.85,25.94
886,2020-10-15,26.1799,26.1799,26.05,26.08
885,2020-10-14,26.0588,26.1668,26.0588,26.06
884,2020-10-13,26.13,26.13,26.13,26.13
883,2020-10-12,26.1314,26.17,26.11,26.12
882,2020-10-09,26.0353,26.1157,26.0,26.08
881,2020-10-08,25.995,26.15,25.98,26.15
880,2020-10-07,25.98,26.07,25.94,26.0
879,2020-10-06,25.935,26.05,25.8,25.92
878,2020-10-05,25.89,26.17,25.88,26.04
877,2020-10-02,25.89,26.0077,25.75,25.89
876,2020-10-01,25.95,26.2499,25.86,26.07
875,2020-09-30,26.41,26.4628,25.72,25.75
874,2020-09-29,26.97,27.27,26.88,27.27
873,2020-09-28,26.85,26.985,26.76,26.965
872,2020-09-25,26.9,26.97,26.7,26.85
871,2020-09-24,27.24,27.24,26.5,26.71
870,2020-09-23,26.87,26.87,26.55,26.55
869,2020-09-22,27.0,27.0,26.8,26.95
868,2020-09-21,26.55,27.0,26.55,27.0
867,2020-09-18,26.615,27.86,26.53,27.74
866,2020-09-17,26.29,26.7,26.2803,26.7
865,2020-09-16,26.58,26.6,26.12,26.6
864,2020-09-15,26.7584,26.7584,26.22,26.69
863,2020-09-14,26.5,26.79,26.5,26.76
862,2020-09-11,26.78,26.78,25.65,26.6
861,2020-09-10,26.61,26.8,26.2873,26.8
860,2020-09-09,26.2,26.8,26.14,26.8
859,2020-09-08,26.0,26.78,25.95,26.01
858,2020-09-04,26.353,26.353,25.85,25.9454
857,2020-09-03,26.53,26.53,25.86,26.1197
856,2020-09-02,26.37,26.4165,26.21,26.39
855,2020-09-01,25.69,26.44,25.69,26.44
854,2020-08-31,25.65,26.15,25.65,26.05
853,2020-08-28,25.81,26.2,25.81,26.15
852,2020-08-27,26.7,26.7098,24.52,25.9
851,2020-08-26,26.675,26.7,26.24,26.29
850,2020-08-25,26.3,26.5118,26.3,26.48
849,2020-08-24,26.51,26.54,26.2,26.28
848,2020-08-21,26.38,26.72,26.14,26.51
847,2020-08-20,26.01,26.38,26.01,26.2
846,2020-08-19,26.1499,26.2,26.123,26.2
