,Date,Open,High,Low,Close
5314,2020-12-14,15.25,15.25,14.64,15.0
5313,2020-12-11,15.21,15.4,15.0301,15.26
5312,2020-12-10,15.13,15.33,14.8,15.24
5311,2020-12-09,15.09,15.33,14.62,15.2
5310,2020-12-08,14.58,15.11,14.36,15.1
5309,2020-12-07,14.9,14.99,14.295,14.74
5308,2020-12-04,15.01,15.01,14.49,14.93
5307,2020-12-03,14.7,15.42,14.7,15.01
5306,2020-12-02,14.71,15.73,14.71,15.6
5305,2020-12-01,14.5,15.01,14.03,14.85
5304,2020-11-30,14.14,14.4571,14.14,14.28
5303,2020-11-27,14.0,14.48,13.87,14.21
5302,2020-11-25,14.3,14.34,13.77,13.92
5301,2020-11-24,13.55,14.92,13.55,13.71
5300,2020-11-23,13.44,13.5,13.12,13.14
5299,2020-11-20,13.35,13.87,13.19,13.23
5298,2020-11-19,12.93,13.66,12.88,13.66
5297,2020-11-18,13.42,13.46,12.89,12.9
5296,2020-11-17,13.19,13.68,13.19,13.25
5295,2020-11-16,13.67,13.7,13.09,13.3
5294,2020-11-13,13.17,13.7,13.14,13.32
5293,2020-11-12,13.58,13.635,12.74,12.86
5292,2020-11-11,13.4,13.75,13.3,13.7
5291,2020-11-10,13.7,13.7,12.88,13.39
5290,2020-11-09,13.27,13.33,12.8,12.8
5289,2020-11-06,12.8,12.8775,12.37,12.44
5288,2020-11-05,12.79,13.1124,12.71,12.8
5287,2020-11-04,12.55,13.14,11.84,12.79
5286,2020-11-03,12.89,14.22,12.73,12.73
5285,2020-11-02,12.53,12.72,12.53,12.7
5284,2020-10-30,12.55,13.03,12.28,12.3
5283,2020-10-29,12.35,12.96,12.35,12.41
5282,2020-10-28,12.24,12.505,11.77,12.32
5281,2020-10-27,12.45,12.88,12.44,12.44
5280,2020-10-26,12.62,12.95,12.4,12.46
5279,2020-10-23,13.02,13.15,12.63,12.63
5278,2020-10-22,12.8,13.14,12.79,12.79
5277,2020-10-21,12.65,13.1,12.63,12.63
5276,2020-10-20,12.38,12.89,12.38,12.56
5275,2020-10-19,12.45,12.6,12.17,12.17
5274,2020-10-16,12.18,12.75,12.18,12.49
