,Date,Open,High,Low,Close
1033,2020-12-14,4.01,4.1,3.91,4.04
1032,2020-12-11,3.95,4.12,3.94,3.97
1031,2020-12-10,3.88,4.0,3.79,3.94
1030,2020-12-09,3.9,4.08,3.9,3.99
1029,2020-12-08,3.82,3.88,3.76,3.88
1028,2020-12-07,3.76,3.84,3.7,3.84
1027,2020-12-04,3.78,3.84,3.74,3.76
1026,2020-12-03,3.67,3.79,3.67,3.78
1025,2020-12-02,3.61,3.675,3.57,3.66
1024,2020-12-01,3.61,3.64,3.5477,3.62
1023,2020-11-30,3.68,3.68,3.47,3.59
1022,2020-11-27,3.71,3.72,3.6425,3.69
1021,2020-11-25,3.81,3.8134,3.69,3.77
1020,2020-11-24,3.8,3.85,3.72,3.79
1019,2020-11-23,3.51,3.74,3.5,3.73
1018,2020-11-20,3.45,3.5,3.4,3.49
1017,2020-11-19,3.28,3.43,3.263,3.42
1016,2020-11-18,3.29,3.34,3.2505,3.27
1015,2020-11-17,3.13,3.28,3.0801,3.25
1014,2020-11-16,3.06,3.2,3.02,3.12
1013,2020-11-13,2.97,3.12,2.94,3.03
1012,2020-11-12,2.93,3.0,2.89,2.96
1011,2020-11-11,2.87,2.92,2.81,2.9
1010,2020-11-10,2.7,2.89,2.69,2.86
1009,2020-11-09,2.79,2.82,2.6569,2.7
1008,2020-11-06,2.58,2.63,2.55,2.6
1007,2020-11-05,2.55,2.59,2.52,2.57
1006,2020-11-04,2.52,2.59,2.5,2.51
1005,2020-11-03,2.68,2.68,2.56,2.56
1004,2020-11-02,2.68,2.6969,2.53,2.62
1003,2020-10-30,2.76,2.7676,2.57,2.63
1002,2020-10-29,2.85,2.85,2.5501,2.61
1001,2020-10-28,2.94,2.95,2.86,2.93
1000,2020-10-27,3.0,3.0,2.94,2.95
999,2020-10-26,3.0,3.0,2.95,2.97
998,2020-10-23,2.98,3.03,2.96,2.99
997,2020-10-22,2.94,2.99,2.93,2.96
996,2020-10-21,2.99,3.01,2.93,2.95
995,2020-10-20,3.03,3.03,2.96,2.99
994,2020-10-19,3.0,3.0391,2.96,3.01
993,2020-10-16,3.0,3.04,2.9601,2.97
992,2020-10-15,3.0,3.04,2.95,3.0
991,2020-10-14,2.96,3.06,2.96,2.98
990,2020-10-13,3.02,3.0456,2.98,2.98
989,2020-10-12,3.05,3.07,2.98,3.0
988,2020-10-09,3.01,3.06,2.95,3.0
987,2020-10-08,3.06,3.06,2.96,2.96
986,2020-10-07,2.95,3.1,2.95,2.99
985,2020-10-06,3.11,3.11,2.91,2.95
