,Date,Open,High,Low,Close
3636,2020-12-14,8.97,9.15,8.69,8.71
3635,2020-12-11,9.09,9.1,8.84,9.06
3634,2020-12-10,9.2,9.33,8.923,9.2
3633,2020-12-09,9.33,9.33,9.06,9.19
3632,2020-12-08,8.97,9.3,8.97,9.25
3631,2020-12-07,8.89,9.23,8.8644,9.07
3630,2020-12-04,8.76,8.95,8.4916,8.95
3629,2020-12-03,8.83,8.98,8.4342,8.7
3628,2020-12-02,8.5326,9.14,8.435,8.8
3627,2020-12-01,8.26,8.62,8.2279,8.58
3626,2020-11-30,8.21,8.21,8.1,8.14
3625,2020-11-27,8.02,8.23,8.02,8.13
3624,2020-11-25,7.63,8.25,7.6,8.09
3623,2020-11-24,7.56,8.19,7.4504,8.16
3622,2020-11-23,7.68,7.68,7.11,7.35
3621,2020-11-20,8.0,8.065,7.45,7.72
3620,2020-11-19,7.9,8.205,7.88,8.2
3619,2020-11-18,8.16,8.25,7.84,7.84
3618,2020-11-17,8.05,8.22,7.9826,8.17
3617,2020-11-16,8.06,8.09,8.0,8.09
3616,2020-11-13,7.05,8.01,7.05,7.89
3615,2020-11-12,7.63,7.885,7.07,7.12
3614,2020-11-11,8.14,8.14,7.65,7.81
3613,2020-11-10,8.0,8.43,7.6575,8.41
3612,2020-11-09,7.5,8.55,7.5,8.02
3611,2020-11-06,6.91,7.13,6.77,7.0
3610,2020-11-05,6.43,7.14,6.43,7.13
3609,2020-11-04,7.32,7.32,6.48,6.5
3608,2020-11-03,7.22,7.4,7.1,7.38
3607,2020-11-02,6.9,7.16,6.88,7.07
3606,2020-10-30,6.14,6.59,5.91,6.55
3605,2020-10-29,5.79,6.2,5.59,6.17
3604,2020-10-28,6.1,6.1,5.8,5.83
3603,2020-10-27,6.8,6.8,6.2,6.27
3602,2020-10-26,6.9185,6.97,6.83,6.85
3601,2020-10-23,7.15,7.19,7.04,7.08
3600,2020-10-22,7.04,7.25,6.97,7.15
3599,2020-10-21,7.08,7.08,6.9363,7.02
3598,2020-10-20,6.95,7.11,6.81,6.9
3597,2020-10-19,7.07,7.16,6.86,6.88
3596,2020-10-16,7.14,7.14,7.04,7.07
3595,2020-10-15,7.12,7.245,7.0835,7.19
3594,2020-10-14,7.31,7.45,7.1827,7.3
3593,2020-10-13,7.44,7.5,7.04,7.31
3592,2020-10-12,7.477,7.5,7.41,7.44
3591,2020-10-09,7.3,7.39,7.1859,7.36
3590,2020-10-08,7.35,7.35,6.7,7.08
3589,2020-10-07,6.58,10.15,6.5,7.04
3588,2020-10-06,6.58,6.65,6.3,6.45
