,Date,Open,High,Low,Close
5314,2020-12-14,457.74,463.805,454.44,454.46
5313,2020-12-11,450.36,462.365,450.1,454.43
5312,2020-12-10,448.0,458.92,446.9,454.49
5311,2020-12-09,451.44,455.375,451.44,453.04
5310,2020-12-08,453.72,459.26,451.63,451.63
5309,2020-12-07,468.82,468.82,458.0,458.51
5308,2020-12-04,456.73,469.99,453.0,463.45
5307,2020-12-03,447.83,463.96,447.83,456.94
5306,2020-12-02,446.87,451.84,445.0,450.0
5305,2020-12-01,453.59,456.0,449.46,450.0
5304,2020-11-30,462.5,465.69,446.86,447.02
5303,2020-11-27,459.46,464.05,459.46,464.05
5302,2020-11-25,459.99,461.97,456.54,461.97
5301,2020-11-24,472.82,472.82,463.34,463.49
5300,2020-11-23,452.2,472.4,452.2,466.77
5299,2020-11-20,452.48,454.8,447.0,448.32
5298,2020-11-19,453.81,458.415,452.66,454.67
5297,2020-11-18,462.11,462.1994,453.64,457.32
5296,2020-11-17,447.15,460.61,447.15,458.11
5295,2020-11-16,457.05,457.05,450.01,451.47
5294,2020-11-13,446.76,451.75,444.94,446.75
5293,2020-11-12,450.33,456.0,441.48,446.39
5292,2020-11-11,457.58,457.58,450.0,450.04
5291,2020-11-10,438.29,455.45,438.29,453.89
5290,2020-11-09,448.75,450.0,435.45,435.47
5289,2020-11-06,428.46,439.635,422.84,424.61
5288,2020-11-05,409.09,432.45,408.55,427.87
5287,2020-11-04,393.59,403.7,393.45,403.7
5286,2020-11-03,397.77,401.25,395.6,395.6
5285,2020-11-02,385.43,395.73,384.8,393.46
5284,2020-10-30,387.16,395.0,376.2,380.34
5283,2020-10-29,386.92,391.59,382.015,387.16
5282,2020-10-28,397.52,398.17,389.1,390.03
5281,2020-10-27,410.75,410.75,399.8,401.0
5280,2020-10-26,408.02,414.28,401.86,410.79
5279,2020-10-23,415.9,415.9,408.37,411.79
5278,2020-10-22,410.58,414.41,410.21,411.39
5277,2020-10-21,404.13,408.92,404.13,408.28
5276,2020-10-20,410.01,412.005,406.25,406.25
5275,2020-10-19,413.43,414.37,405.76,405.76
5274,2020-10-16,412.77,412.77,409.38,410.01
5273,2020-10-15,402.0,415.99,402.0,413.56
5272,2020-10-14,409.96,414.97,406.08,407.45
5271,2020-10-13,416.64,416.64,408.03,410.54
5270,2020-10-12,415.0,418.54,414.63,415.6
5269,2020-10-09,414.86,416.3,413.37,413.62
5268,2020-10-08,411.09,415.14,408.6782,414.57
5267,2020-10-07,416.01,416.01,407.99,407.99
5266,2020-10-06,411.82,420.92,409.95,414.61
5265,2020-10-05,413.95,413.95,404.07,409.68
5264,2020-10-02,394.39,415.3,393.93,408.14
5263,2020-10-01,406.37,406.795,398.894,402.32
5262,2020-09-30,396.0,410.97,396.0,404.11
5261,2020-09-29,402.0,402.76,393.54,396.8
5260,2020-09-28,417.4,417.4,403.46,404.94
5259,2020-09-25,403.72,415.92,403.72,410.07
5258,2020-09-24,398.0,411.63,396.2833,407.28
5257,2020-09-23,414.64,415.96,399.99,399.99
5256,2020-09-22,410.0,414.51,409.08,410.77
5255,2020-09-21,418.49,418.49,406.87,413.0
5254,2020-09-18,435.27,435.27,421.94,428.54
5253,2020-09-17,434.3,438.81,430.75,433.27
5252,2020-09-16,437.14,444.01,436.56,439.53
5251,2020-09-15,440.0,440.16,435.0,438.65
5250,2020-09-14,427.63,442.07,427.63,437.83
5249,2020-09-11,403.47,432.7,403.47,429.35
5248,2020-09-10,405.86,408.45,398.89,398.89
5247,2020-09-09,415.04,415.71,405.57,407.36
5246,2020-09-08,416.42,419.58,403.52,410.99
5245,2020-09-04,434.39,434.39,415.02,421.97
5244,2020-09-03,442.12,442.12,424.33,428.54
5243,2020-09-02,434.58,439.98,431.53,438.56
5242,2020-09-01,425.6,438.63,425.04,435.25
5241,2020-08-31,443.48,444.96,427.95,427.95
5240,2020-08-28,430.95,445.6,427.68,444.97
5239,2020-08-27,421.77,428.765,421.7,424.86
5238,2020-08-26,415.87,418.64,413.47,417.54
5237,2020-08-25,424.0,424.0,412.68,418.34
5236,2020-08-24,413.86,423.19,409.48,421.87
5235,2020-08-21,400.0,411.7,400.0,408.33
5234,2020-08-20,401.0,407.0,400.24,400.99
5233,2020-08-19,406.89,406.89,402.93,404.16
5232,2020-08-18,407.89,409.145,402.33,403.85
5231,2020-08-17,413.39,413.39,407.77,410.24
5230,2020-08-14,406.68,417.1241,406.68,410.56
5229,2020-08-13,413.2,414.4365,408.01,410.47
5228,2020-08-12,426.86,431.367,416.04,416.04
5227,2020-08-11,427.44,437.62,423.31,423.31
5226,2020-08-10,413.38,426.4,413.38,418.68
5225,2020-08-07,408.37,410.7,405.82,409.65
5224,2020-08-06,404.37,412.625,404.37,408.37
5223,2020-08-05,404.5,408.26,401.51,408.26
5222,2020-08-04,399.56,403.88,399.19,400.3
5221,2020-08-03,399.69,406.62,399.69,400.65
5220,2020-07-31,405.0,405.115,393.35,398.37
5219,2020-07-30,405.53,411.99,402.77,408.33
5218,2020-07-29,402.18,414.39,402.18,411.42
5217,2020-07-28,405.0,413.61,405.0,405.35
5216,2020-07-27,406.08,412.675,403.01,406.82
5215,2020-07-24,408.2,408.58,400.02,406.1
5214,2020-07-23,404.65,409.19,400.53,406.27
5213,2020-07-22,386.28,405.49,386.28,402.07
5212,2020-07-21,393.9,403.24,385.56,386.28
5211,2020-07-20,389.4,400.2,386.16,388.56
5210,2020-07-17,359.98,363.93,359.29,362.98
5209,2020-07-16,354.95,364.08,352.1,357.97
5208,2020-07-15,353.95,363.8,350.44,358.42
5207,2020-07-14,340.57,347.21,334.73,345.63
5206,2020-07-13,347.05,350.0,340.57,340.57
5205,2020-07-10,332.27,347.54,332.27,344.33
5204,2020-07-09,340.41,340.41,328.81,331.16
5203,2020-07-08,333.95,345.11,331.96,344.88
5202,2020-07-07,344.47,346.76,331.41,332.14
5201,2020-07-06,343.66,350.75,338.37,349.25
5200,2020-07-02,344.0,347.65,336.51,336.77
5199,2020-07-01,341.76,347.28,335.5,336.97
5198,2020-06-30,344.98,345.71,340.52,342.67
5197,2020-06-29,333.0,348.35,329.9519,346.49
5196,2020-06-26,320.06,331.02,313.1,327.38
5195,2020-06-25,318.81,325.52,316.1,322.66
5194,2020-06-24,319.63,327.0,317.0,322.79
5193,2020-06-23,331.22,331.22,322.55,325.86
5192,2020-06-22,323.08,328.29,321.42,326.06
5191,2020-06-19,335.0,337.77,323.89,325.85
5190,2020-06-18,332.71,345.81,332.02,334.12
5189,2020-06-17,352.3,352.3,337.64,340.02
5188,2020-06-16,365.85,365.85,347.3,348.94
5187,2020-06-15,331.94,356.0,331.94,350.43
5186,2020-06-12,353.43,363.43,336.29,347.84
5185,2020-06-11,358.9,358.9,341.27,345.3
5184,2020-06-10,385.0,385.0,372.0,372.92
5183,2020-06-09,400.5,401.03,384.01,389.8
5182,2020-06-08,388.57,411.24,388.57,407.57
5181,2020-06-05,388.25,398.44,385.03,386.73
5180,2020-06-04,365.0,379.15,365.0,374.28
5179,2020-06-03,369.87,377.99,366.94,370.87
5178,2020-06-02,359.52,378.42,359.52,360.17
5177,2020-06-01,357.97,367.48,356.69,358.6
5176,2020-05-29,352.12,359.03,349.67,358.23
5175,2020-05-28,386.0,386.0,354.77,356.83
5174,2020-05-27,364.52,382.19,362.36,379.07
5173,2020-05-26,362.78,369.99,351.08,356.91
5172,2020-05-22,342.88,348.64,339.51,347.92
5171,2020-05-21,344.01,349.05,339.26,340.68
5170,2020-05-20,333.15,344.44,333.15,340.43
5169,2020-05-19,335.32,341.79,329.0,329.42
5168,2020-05-18,336.34,348.84,333.22,334.07
5167,2020-05-15,328.76,330.22,314.31,325.33
5166,2020-05-14,311.35,331.4,296.39,329.87
5165,2020-05-13,333.75,333.75,312.34,317.54
5164,2020-05-12,346.81,356.67,333.5,335.6
5163,2020-05-11,361.97,361.97,340.49,342.97
5162,2020-05-08,352.98,373.74,349.99,372.2
5161,2020-05-07,344.09,357.43,340.25,345.87
5160,2020-05-06,354.8,359.78,337.69,339.43
5159,2020-05-05,357.9,369.16,355.17,355.17
5158,2020-05-04,356.15,371.0,356.15,366.71
5157,2020-05-01,383.0,383.45,364.28,366.62
5156,2020-04-30,393.02,400.82,390.01,390.01
5155,2020-04-29,393.08,410.03,384.0,401.07
5154,2020-04-28,373.22,389.0,366.56,376.37
5153,2020-04-27,349.17,373.08,349.17,367.19
5152,2020-04-24,336.9,351.99,332.28,347.14
5151,2020-04-23,340.53,344.35,329.37,332.27
5150,2020-04-22,347.23,348.31,331.92,336.31
5149,2020-04-21,333.65,350.32,327.21,339.19
5148,2020-04-20,348.03,358.67,331.6,335.3
5147,2020-04-17,345.85,362.78,344.81,357.51
5146,2020-04-16,342.4,350.24,334.08,335.03
5145,2020-04-15,353.48,356.69,340.42,342.41
5144,2020-04-14,380.11,380.11,361.11,364.36
5143,2020-04-13,390.0,391.65,352.22,369.53
5142,2020-04-09,364.28,393.44,358.0,391.75
5141,2020-04-08,385.0,385.005,355.92,355.92
5140,2020-04-07,368.8,391.31,356.7,378.37
5139,2020-04-06,352.88,357.63,348.13,352.48
5138,2020-04-03,336.74,339.36,329.04,339.36
5137,2020-04-02,327.73,340.25,323.22,337.84
5136,2020-04-01,329.55,334.71,314.56,327.08
5135,2020-03-31,343.13,349.1,325.67,341.17
5134,2020-03-30,352.81,353.0,337.82,344.99
5133,2020-03-27,333.2,353.2,331.0,350.81
5132,2020-03-26,342.37,352.35,339.87,341.72
5131,2020-03-25,313.52,351.04,310.02,338.98
5130,2020-03-24,298.22,311.49,298.22,308.52
5129,2020-03-23,319.26,319.26,280.91,281.01
5128,2020-03-20,325.53,334.06,311.27,317.12
5127,2020-03-19,273.96,327.08,273.96,323.13
5126,2020-03-18,320.46,320.46,267.89,277.62
5125,2020-03-17,379.05,379.05,330.9,341.72
5124,2020-03-16,388.59,401.39,367.89,367.9
5123,2020-03-13,420.34,431.47,390.77,430.32
5122,2020-03-12,422.26,431.7,403.0,403.98
5121,2020-03-11,468.23,468.49,443.0,448.85
5120,2020-03-10,463.62,479.64,453.75,478.89
5119,2020-03-09,464.99,464.99,448.04,455.13
5118,2020-03-06,473.45,488.25,472.98,485.03
5117,2020-03-05,489.83,489.83,477.85,486.58
5116,2020-03-04,493.6,498.6,483.64,494.83
5115,2020-03-03,502.22,507.95,477.67,489.73
5114,2020-03-02,506.24,514.47,493.14,501.07
5113,2020-02-28,481.31,508.44,481.31,502.88
5112,2020-02-27,469.94,504.37,463.0,492.33
