,Date,Open,High,Low,Close
4178,2020-12-14,10.3222,10.38,10.29,10.29
4177,2020-12-11,10.45,10.47,10.281,10.42
4176,2020-12-10,10.56,10.64,10.52,10.52
4175,2020-12-09,10.6259,10.6999,10.574,10.59
4174,2020-12-08,10.67,10.67,10.5202,10.54
4173,2020-12-07,10.6747,10.7545,10.4,10.542
4172,2020-12-04,10.62,10.62,10.6,10.6
4171,2020-12-03,10.7,10.735,10.59,10.61
4170,2020-12-02,10.58,10.59,10.5799,10.59
4169,2020-12-01,10.51,10.51,10.5,10.51
4168,2020-11-30,10.5,10.52,10.5,10.5
4167,2020-11-27,10.4673,10.4673,10.4301,10.4301
4166,2020-11-25,10.43,10.43,10.43,10.43
4165,2020-11-24,10.43,10.43,10.43,10.43
4164,2020-11-23,10.44,10.44,10.44,10.44
4163,2020-11-20,10.55,10.55,10.41,10.41
4162,2020-11-19,10.5,10.5,10.38,10.5
4161,2020-11-18,10.48,10.48,10.48,10.48
4160,2020-11-17,10.34,10.475,10.34,10.43
4159,2020-11-16,10.46,10.46,10.34,10.34
4158,2020-11-13,10.47,10.47,10.47,10.47
4157,2020-11-12,10.47,10.47,10.47,10.47
4156,2020-11-11,10.3065,10.39,10.29,10.39
4155,2020-11-10,10.2997,10.3,10.27,10.27
4154,2020-11-09,10.35,10.36,10.26,10.26
4153,2020-11-06,10.2999,10.3,10.2886,10.3
4152,2020-11-05,10.3,10.3,10.3,10.3
4151,2020-11-04,10.3,10.3,10.3,10.3
4150,2020-11-03,10.3,10.3,10.27,10.27
4149,2020-11-02,10.24,10.27,10.24,10.27
4148,2020-10-30,10.25,10.26,10.2198,10.2198
4147,2020-10-29,10.2301,10.2301,10.2301,10.2301
4146,2020-10-28,10.23,10.24,10.23,10.2301
4145,2020-10-27,10.36,10.36,10.24,10.24
4144,2020-10-26,10.3416,10.3416,10.26,10.26
4143,2020-10-23,10.38,10.38,10.24,10.24
4142,2020-10-22,10.35,10.35,10.35,10.35
4141,2020-10-21,10.32,10.32,10.23,10.2301
4140,2020-10-20,10.3,10.3,10.3,10.3
4139,2020-10-19,10.3,10.33,10.3,10.3172
4138,2020-10-16,10.31,10.31,10.31,10.31
4137,2020-10-15,10.35,10.35,10.21,10.2762
4136,2020-10-14,10.3743,10.3745,10.35,10.3501
4135,2020-10-13,10.33,10.35,10.33,10.35
4134,2020-10-12,10.2701,10.2701,10.2701,10.2701
4133,2020-10-09,10.2701,10.2701,10.2701,10.2701
4132,2020-10-08,10.25,10.2701,10.25,10.2701
4131,2020-10-07,10.2925,10.36,10.21,10.32
4130,2020-10-06,10.26,10.26,10.2349,10.25
4129,2020-10-05,10.22,10.342,10.15,10.17
4128,2020-10-02,10.4,10.4112,10.22,10.22
