,Date,Open,High,Low,Close
3256,2020-12-14,25.18,25.18,25.1,25.1
3255,2020-12-11,24.68,24.89,24.68,24.89
3254,2020-12-10,24.95,24.95,24.95,24.95
3253,2020-12-09,24.95,24.95,24.95,24.95
3252,2020-12-08,24.89,24.95,24.89,24.93
3251,2020-12-07,25.06,25.06,25.06,25.06
3250,2020-12-04,24.8,24.85,24.8,24.85
3249,2020-12-03,24.7854,24.7854,24.7854,24.7854
3248,2020-12-02,24.7854,24.7854,24.7854,24.7854
3247,2020-12-01,24.8,25.08,24.8,25.06
3246,2020-11-30,24.7501,24.7501,24.7501,24.7501
3245,2020-11-27,24.7501,24.7501,24.7501,24.7501
3244,2020-11-25,24.7501,24.7501,24.7501,24.7501
3243,2020-11-24,24.53,24.76,24.5,24.7501
3242,2020-11-23,24.8,24.8,24.2,24.2
3241,2020-11-20,24.9,24.9,24.2,24.2
3240,2020-11-19,24.65,24.65,24.65,24.65
3239,2020-11-18,24.65,24.65,24.65,24.65
3238,2020-11-17,24.9,24.9,24.8699,24.87
3237,2020-11-16,24.88,25.08,24.75,24.9
3236,2020-11-13,24.75,24.77,24.74,24.77
3235,2020-11-12,24.6,24.76,24.6,24.6807
3234,2020-11-11,24.2,24.45,24.2,24.45
3233,2020-11-10,23.9,23.9,23.9,23.9
3232,2020-11-09,23.78,23.95,23.78,23.9
3231,2020-11-06,23.7,23.85,23.7,23.7
3230,2020-11-05,23.49,23.7,23.49,23.7
3229,2020-11-04,23.6,23.64,23.1001,23.5
3228,2020-11-03,23.65,23.65,23.65,23.65
3227,2020-11-02,23.8702,23.8702,23.8702,23.8702
3226,2020-10-30,23.8702,23.8702,23.8702,23.8702
3225,2020-10-29,23.59,23.8277,23.59,23.8277
3224,2020-10-28,24.4555,24.4555,24.4555,24.4555
3223,2020-10-27,24.4555,24.4555,24.4555,24.4555
3222,2020-10-26,24.4555,24.4555,24.4555,24.4555
3221,2020-10-23,24.4555,24.4555,24.4555,24.4555
3220,2020-10-22,23.59,23.59,23.59,23.59
3219,2020-10-21,24.5,24.5,24.5,24.5
3218,2020-10-20,24.6499,24.6499,24.6499,24.6499
3217,2020-10-19,24.6499,24.6499,24.6499,24.6499
3216,2020-10-16,24.3994,24.3994,24.3994,24.3994
3215,2020-10-15,24.69,24.69,24.69,24.69
3214,2020-10-14,24.69,24.69,24.69,24.69
3213,2020-10-13,24.55,24.55,24.55,24.55
3212,2020-10-12,24.55,24.55,24.55,24.55
3211,2020-10-09,24.55,24.55,24.55,24.55
3210,2020-10-08,24.55,24.55,24.55,24.55
3209,2020-10-07,24.5,24.5,24.3,24.5
3208,2020-10-06,24.54,24.55,24.54,24.55
3207,2020-10-05,24.56,24.56,24.4,24.55
3206,2020-10-02,23.43,24.05,23.39,24.05
3205,2020-10-01,24.3,24.3,24.27,24.27
3204,2020-09-30,24.74,24.74,24.045,24.74
3203,2020-09-29,24.75,24.75,24.75,24.75
3202,2020-09-28,24.75,24.75,24.7,24.75
3201,2020-09-25,24.492,24.76,24.492,24.76
3200,2020-09-24,24.0,24.0,24.0,24.0
3199,2020-09-23,24.0005,24.0514,24.0,24.0
3198,2020-09-22,24.4,24.4,24.4,24.4
3197,2020-09-21,24.25,24.25,24.25,24.25
3196,2020-09-18,24.25,24.25,24.23,24.25
3195,2020-09-17,23.34,23.36,23.34,23.34
3194,2020-09-16,23.6,24.25,23.59,24.0499
3193,2020-09-15,23.26,23.5999,23.21,23.5999
3192,2020-09-14,24.07,24.07,24.07,24.07
3191,2020-09-11,24.13,24.13,24.07,24.07
3190,2020-09-10,23.7,24.19,23.7,24.19
3189,2020-09-09,23.7,23.7,23.7,23.7
3188,2020-09-08,23.2,23.2,23.2,23.2
3187,2020-09-04,23.52,23.52,23.2,23.2
3186,2020-09-03,23.54,23.54,23.5,23.5
3185,2020-09-02,23.51,23.51,23.51,23.51
3184,2020-09-01,23.88,23.88,23.51,23.51
3183,2020-08-31,23.93,23.93,23.8984,23.9
3182,2020-08-28,24.25,24.25,24.25,24.25
3181,2020-08-27,24.2499,24.25,24.2498,24.25
3180,2020-08-26,24.73,24.73,24.73,24.73
3179,2020-08-25,24.48,24.73,24.48,24.73
3178,2020-08-24,24.0,24.0,24.0,24.0
3177,2020-08-21,24.0,24.0,24.0,24.0
3176,2020-08-20,24.32,24.32,24.32,24.32
3175,2020-08-19,24.32,24.32,24.32,24.32
3174,2020-08-18,24.32,24.32,24.32,24.32
3173,2020-08-17,24.23,24.32,24.23,24.32
3172,2020-08-14,24.2265,24.2265,24.2265,24.2265
3171,2020-08-13,24.06,24.23,24.06,24.2265
3170,2020-08-12,24.05,24.05,24.05,24.05
3169,2020-08-11,24.05,24.05,24.05,24.05
3168,2020-08-10,24.05,24.05,24.05,24.05
3167,2020-08-07,23.8906,24.05,23.8906,24.05
3166,2020-08-06,23.85,23.85,23.85,23.85
3165,2020-08-05,23.85,23.85,23.85,23.85
3164,2020-08-04,23.85,23.85,23.85,23.85
3163,2020-08-03,23.85,23.85,23.85,23.85
3162,2020-07-31,23.8501,23.8501,23.85,23.85
3161,2020-07-30,24.04,24.04,24.04,24.04
3160,2020-07-29,24.04,24.04,24.04,24.04
3159,2020-07-28,24.05,24.05,24.05,24.05
3158,2020-07-27,24.05,24.05,24.05,24.05
3157,2020-07-24,23.8951,23.8951,23.8951,23.8951
3156,2020-07-23,23.8951,23.8951,23.8951,23.8951
3155,2020-07-22,23.8951,23.8951,23.8951,23.8951
3154,2020-07-21,23.9,23.9,23.9,23.9
3153,2020-07-20,23.9,23.9,23.9,23.9
3152,2020-07-17,23.9,23.9,23.9,23.9
3151,2020-07-16,23.9,23.9,23.9,23.9
3150,2020-07-15,23.9,23.9,23.9,23.9
3149,2020-07-14,23.85,23.9,23.85,23.9
3148,2020-07-13,23.63,23.63,23.63,23.63
3147,2020-07-10,23.63,23.63,23.63,23.63
3146,2020-07-09,23.9,23.9,23.85,23.9
3145,2020-07-08,23.43,23.5,23.33,23.5
3144,2020-07-07,23.44,23.44,23.44,23.44
3143,2020-07-06,23.5,23.5,23.5,23.5
3142,2020-07-02,23.5,23.5,23.5,23.5
3141,2020-07-01,23.3,23.3,23.3,23.3
3140,2020-06-30,23.3,23.3,23.3,23.3
3139,2020-06-29,23.55,23.55,23.55,23.55
3138,2020-06-26,23.55,23.55,23.55,23.55
3137,2020-06-25,23.5,23.6,23.5,23.55
3136,2020-06-24,23.19,23.22,23.19,23.22
3135,2020-06-23,23.49,23.49,23.49,23.49
3134,2020-06-22,23.8,23.8,23.8,23.8
3133,2020-06-19,23.8,23.8,23.8,23.8
3132,2020-06-18,23.8,23.8,23.8,23.8
3131,2020-06-17,23.5,23.8,23.5,23.8
3130,2020-06-16,23.5,23.5,23.47,23.5
3129,2020-06-15,23.29,23.29,23.29,23.29
3128,2020-06-12,23.29,23.29,23.29,23.29
3127,2020-06-11,23.48,23.48,23.48,23.48
3126,2020-06-10,23.01,23.01,23.01,23.01
3125,2020-06-09,23.01,23.01,23.01,23.01
3124,2020-06-08,23.01,23.01,23.01,23.01
3123,2020-06-05,23.01,23.01,23.01,23.01
3122,2020-06-04,23.01,23.01,23.01,23.01
3121,2020-06-03,23.45,23.5,23.45,23.49
3120,2020-06-02,23.0,23.0,23.0,23.0
3119,2020-06-01,23.0,23.0,23.0,23.0
3118,2020-05-29,22.71,22.71,22.71,22.71
3117,2020-05-28,23.11,23.11,23.0,23.02
3116,2020-05-27,23.0,23.0,23.0,23.0
3115,2020-05-26,22.87,22.87,22.87,22.87
3114,2020-05-22,22.85,22.87,22.85,22.87
3113,2020-05-21,22.75,22.75,22.74,22.75
3112,2020-05-20,22.75,22.75,22.63,22.63
3111,2020-05-19,22.7,22.7,22.7,22.7
3110,2020-05-18,22.71,22.71,22.71,22.71
3109,2020-05-15,22.69,22.69,22.69,22.69
3108,2020-05-14,22.69,22.69,22.69,22.69
3107,2020-05-13,22.87,22.87,22.87,22.87
3106,2020-05-12,22.63,22.87,22.63,22.87
3105,2020-05-11,22.2,22.2,22.2,22.2
3104,2020-05-08,22.2,22.2,22.2,22.2
3103,2020-05-07,22.2,22.2,22.2,22.2
3102,2020-05-06,22.2,22.2,22.2,22.2
3101,2020-05-05,21.9,21.9,21.77,21.77
3100,2020-05-04,21.77,21.8,21.77,21.8
3099,2020-05-01,21.74,21.84,21.73,21.78
3098,2020-04-30,21.75,22.05,21.72,21.8
3097,2020-04-29,21.56,21.93,21.56,21.73
3096,2020-04-28,21.85,21.85,21.85,21.85
3095,2020-04-27,21.75,21.75,21.75,21.75
3094,2020-04-24,21.75,21.75,21.75,21.75
3093,2020-04-23,21.75,21.75,21.75,21.75
3092,2020-04-22,21.75,21.75,21.75,21.75
3091,2020-04-21,21.285,21.8,21.285,21.75
3090,2020-04-20,21.0,21.0,21.0,21.0
3089,2020-04-17,21.0,21.0,21.0,21.0
3088,2020-04-16,21.0,21.0,21.0,21.0
3087,2020-04-15,21.5,21.5,21.5,21.5
3086,2020-04-14,21.5,21.5,21.5,21.5
3085,2020-04-13,21.5,21.5,21.5,21.5
3084,2020-04-09,21.3,21.3,21.3,21.3
3083,2020-04-08,21.3,21.3,21.3,21.3
3082,2020-04-07,21.5,21.5,21.3,21.3
3081,2020-04-06,22.0,22.0,22.0,22.0
3080,2020-04-03,22.0,22.0,22.0,22.0
3079,2020-04-02,22.0,22.0,22.0,22.0
3078,2020-04-01,22.0,22.0,22.0,22.0
3077,2020-03-31,22.0,22.0,22.0,22.0
3076,2020-03-30,22.47,22.47,22.47,22.47
3075,2020-03-27,22.47,22.47,22.47,22.47
3074,2020-03-26,22.47,22.47,22.47,22.47
3073,2020-03-25,22.47,22.47,22.47,22.47
3072,2020-03-24,22.47,22.47,22.47,22.47
3071,2020-03-23,22.47,22.47,22.47,22.47
3070,2020-03-20,22.47,22.47,22.47,22.47
3069,2020-03-19,22.47,22.47,22.47,22.47
3068,2020-03-18,22.47,22.47,22.47,22.47
3067,2020-03-17,23.1,23.1,23.1,23.1
3066,2020-03-16,23.1,23.22,21.02,23.1
3065,2020-03-13,23.65,23.65,23.65,23.65
3064,2020-03-12,23.65,23.65,23.65,23.65
3063,2020-03-11,23.81,23.81,23.65,23.81
3062,2020-03-10,23.85,23.85,23.85,23.85
3061,2020-03-09,23.85,23.85,23.85,23.85
3060,2020-03-06,24.05,24.05,23.96,23.96
3059,2020-03-05,24.5,24.5,24.5,24.5
3058,2020-03-04,24.25,25.25,24.25,24.5
3057,2020-03-03,23.419,24.25,23.419,24.25
3056,2020-03-02,23.58,23.58,23.58,23.58
3055,2020-02-28,23.58,23.58,23.58,23.58
3054,2020-02-27,23.24,23.24,23.24,23.24
3053,2020-02-26,23.7,23.7,23.58,23.68
3052,2020-02-25,23.94,23.94,23.94,23.94
3051,2020-02-24,23.94,23.94,23.94,23.94
3050,2020-02-21,23.88,23.88,23.88,23.88
3049,2020-02-20,23.88,23.88,23.88,23.88
3048,2020-02-19,23.94,23.94,23.94,23.94
3047,2020-02-18,23.94,23.94,23.94,23.94
3046,2020-02-14,23.94,23.94,23.94,23.94
3045,2020-02-13,23.94,23.94,23.94,23.94
3044,2020-02-12,23.4,23.94,23.4,23.94
3043,2020-02-11,23.15,23.2,23.15,23.2
3042,2020-02-10,23.89,23.9,23.86,23.86
3041,2020-02-07,23.9,23.9,23.9,23.9
3040,2020-02-06,23.9,23.9,23.9,23.9
3039,2020-02-04,23.8,23.9,23.8,23.9
3038,2020-02-03,23.8,23.8,23.8,23.8
3037,2020-01-31,23.8,23.8,23.8,23.8
3036,2020-01-30,23.79,23.8,23.79,23.8
3035,2020-01-29,23.8,23.8015,23.27,23.27
3034,2020-01-28,23.4254,23.9,23.4254,23.9
3033,2020-01-27,23.67,23.8,23.67,23.8
3032,2020-01-24,23.66,23.66,23.62,23.62
3031,2020-01-23,23.6,23.6,23.6,23.6
3030,2020-01-22,23.49,23.53,23.49,23.53
3029,2020-01-21,23.49,23.49,23.46,23.49
3028,2020-01-17,23.49,23.49,23.49,23.49
3027,2020-01-16,23.49,23.49,23.49,23.49
3026,2020-01-15,23.49,23.49,23.49,23.49
3025,2020-01-14,23.44,23.44,23.2646,23.35
3024,2020-01-13,23.05,23.05,23.05,23.05
3023,2020-01-10,23.03,23.15,23.0,23.03
3022,2020-01-09,23.16,23.16,23.16,23.16
3021,2020-01-08,23.16,23.16,23.16,23.16
3020,2020-01-07,23.16,23.16,23.16,23.16
3019,2020-01-06,23.16,23.16,23.16,23.16
3018,2020-01-03,23.15,23.16,23.15,23.16
3017,2020-01-02,22.94,22.94,22.94,22.94
3016,2019-12-31,22.94,22.94,22.94,22.94
3015,2019-12-30,22.94,22.94,22.94,22.94
3014,2019-12-27,22.94,22.94,22.94,22.94
3013,2019-12-26,22.93,23.18,22.93,22.94
3012,2019-12-24,22.93,22.93,22.93,22.93
3011,2019-12-23,22.93,22.93,22.93,22.93
3010,2019-12-20,22.93,22.93,22.93,22.93
3009,2019-12-19,22.93,22.93,22.93,22.93
3008,2019-12-18,22.92,22.94,22.88,22.93
3007,2019-12-17,22.82,22.82,22.82,22.82
3006,2019-12-16,22.82,22.82,22.82,22.82
3005,2019-12-13,22.92,22.92,22.92,22.92
3004,2019-12-12,22.8,22.85,22.8,22.85
3003,2019-12-11,22.66,22.66,22.66,22.66
3002,2019-12-10,22.77,22.91,22.66,22.66
3001,2019-12-09,22.62,22.65,22.62,22.65
3000,2019-12-06,22.7,22.85,22.55,22.85
2999,2019-12-05,22.34,22.37,22.34,22.37
2998,2019-12-04,22.5,22.62,22.5,22.61
2997,2019-12-03,22.5,22.5,22.5,22.5
2996,2019-12-02,22.5,22.5,22.5,22.5
2995,2019-11-29,22.51,22.51,22.51,22.51
2994,2019-11-27,22.49,22.59,22.45,22.51
2993,2019-11-26,22.19,22.19,22.19,22.19
2992,2019-11-25,22.21,22.21,22.19,22.19
2991,2019-11-22,22.22,22.23,22.19,22.19
2990,2019-11-21,22.32,22.33,22.2,22.26
2989,2019-11-20,22.33,22.33,22.33,22.33
2988,2019-11-19,22.28,22.28,22.28,22.28
2987,2019-11-18,22.28,22.28,22.28,22.28
2986,2019-11-15,22.28,22.28,22.28,22.28
2985,2019-11-14,22.18,22.28,22.18,22.28
2984,2019-11-13,22.3,22.3,22.3,22.3
2983,2019-11-12,22.33,22.33,22.26,22.31
2982,2019-11-11,22.33,22.33,22.33,22.33
2981,2019-11-08,22.33,22.33,22.33,22.33
2980,2019-11-07,22.18,22.18,22.18,22.18
2979,2019-11-06,22.18,22.18,22.18,22.18
2978,2019-11-05,22.18,22.18,22.18,22.18
2977,2019-11-04,22.18,22.18,22.18,22.18
2976,2019-11-01,22.18,22.18,22.18,22.18
2975,2019-10-31,22.18,22.18,22.18,22.18
2974,2019-10-30,22.18,22.18,22.18,22.18
2973,2019-10-29,22.18,22.18,22.18,22.18
2972,2019-10-28,22.27,22.27,22.27,22.27
2971,2019-10-25,22.2,22.27,22.18,22.27
2970,2019-10-24,22.32,22.32,22.32,22.32
2969,2019-10-23,22.32,22.32,22.32,22.32
2968,2019-10-22,22.32,22.32,22.32,22.32
2967,2019-10-21,22.17,22.17,22.17,22.17
2966,2019-10-18,22.17,22.17,22.17,22.17
2965,2019-10-17,22.13,22.17,22.13,22.17
2964,2019-10-16,22.13,22.14,22.12,22.14
2963,2019-10-15,22.22,22.26,22.21,22.21
2962,2019-10-14,22.33,22.33,22.33,22.33
2961,2019-10-11,22.29,22.29,22.29,22.29
2960,2019-10-10,22.25,22.3,22.25,22.29
2959,2019-10-09,22.25,22.27,22.25,22.27
2958,2019-10-08,22.17,22.17,22.17,22.17
2957,2019-10-07,22.17,22.17,22.17,22.17
2956,2019-10-04,22.33,22.33,22.33,22.33
2955,2019-10-03,22.25,22.33,22.25,22.33
2954,2019-10-02,22.32,22.33,22.24,22.24
2953,2019-10-01,22.21,22.21,22.21,22.21
2952,2019-09-30,22.21,22.21,22.21,22.21
2951,2019-09-27,22.07,22.21,22.07,22.21
2950,2019-09-26,22.16,22.16,22.16,22.16
2949,2019-09-25,22.11,22.11,22.05,22.11
2948,2019-09-24,22.11,22.11,22.11,22.11
2947,2019-09-23,22.08,22.08,22.08,22.08
2946,2019-09-20,22.08,22.08,22.08,22.08
2945,2019-09-19,22.24,22.32,22.06,22.08
2944,2019-09-18,22.28,22.28,22.28,22.28
2943,2019-09-17,22.28,22.28,22.28,22.28
2942,2019-09-16,22.33,22.33,22.14,22.28
2941,2019-09-13,22.14,22.14,22.14,22.14
2940,2019-09-12,22.14,22.14,22.14,22.14
2939,2019-09-11,22.28,22.28,22.28,22.28
2938,2019-09-10,22.3,22.33,22.28,22.28
2937,2019-09-09,22.33,22.33,22.3,22.3
2936,2019-09-06,22.3,22.3,22.3,22.3
2935,2019-09-05,22.2,22.2,22.2,22.2
2934,2019-09-04,22.2,22.2,22.2,22.2
2933,2019-09-03,22.22,22.22,22.02,22.2
2932,2019-08-30,22.15,22.15,22.15,22.15
2931,2019-08-29,22.15,22.15,22.15,22.15
2930,2019-08-28,22.02,22.05,22.01,22.01
2929,2019-08-27,22.22,22.22,22.05,22.07
2928,2019-08-26,22.12,22.13,22.12,22.12
2927,2019-08-23,22.12,22.15,22.12,22.12
2926,2019-08-22,22.1,22.1,22.1,22.1
2925,2019-08-21,22.03,22.2,22.02,22.1
2924,2019-08-20,21.87,21.87,21.87,21.87
2923,2019-08-19,21.87,21.87,21.87,21.87
2922,2019-08-15,21.87,21.87,21.87,21.87
2921,2019-08-14,21.94,21.94,21.94,21.94
2920,2019-08-13,21.94,21.94,21.94,21.94
2919,2019-08-12,21.94,21.94,21.94,21.94
2918,2019-08-09,21.94,21.94,21.94,21.94
2917,2019-08-08,21.94,21.94,21.94,21.94
2916,2019-08-07,21.94,21.94,21.94,21.94
2915,2019-08-06,22.11,22.11,22.11,22.11
2914,2019-08-05,22.11,22.11,22.11,22.11
2913,2019-08-02,22.1142,22.1142,22.1142,22.1142
2912,2019-08-01,22.4433,22.4433,22.4433,22.4433
2911,2019-07-31,22.22,22.22,22.22,22.22
2910,2019-07-30,22.22,22.22,22.22,22.22
2909,2019-07-29,22.22,22.22,22.22,22.22
2908,2019-07-26,22.22,22.22,22.22,22.22
2907,2019-07-25,22.22,22.22,22.22,22.22
2906,2019-07-24,22.22,22.22,22.22,22.22
2905,2019-07-23,22.15,22.15,22.15,22.15
2904,2019-07-22,22.15,22.15,22.15,22.15
2903,2019-07-19,22.15,22.15,22.15,22.15
2902,2019-07-18,22.17,22.22,22.15,22.15
2901,2019-07-17,22.05,22.05,22.05,22.05
2900,2019-07-16,22.05,22.05,22.05,22.05
2899,2019-07-15,22.12,22.12,22.05,22.05
2898,2019-07-12,22.0464,22.0464,22.0464,22.0464
