,Date,Open,High,Low,Close
3251,2020-12-14,23.26,23.26,23.26,23.26
3250,2020-12-11,23.26,23.26,23.26,23.26
3249,2020-12-10,23.26,23.26,23.26,23.26
3248,2020-12-09,23.26,23.26,23.26,23.26
3247,2020-12-08,23.8501,23.87,23.26,23.26
3246,2020-12-07,23.41,23.41,23.41,23.41
3245,2020-12-04,23.41,23.41,23.41,23.41
3244,2020-12-03,23.41,23.41,23.41,23.41
3243,2020-12-02,23.41,23.41,23.41,23.41
3242,2020-12-01,23.41,23.41,23.41,23.41
3241,2020-11-30,23.41,23.41,23.41,23.41
3240,2020-11-27,23.41,23.41,23.41,23.41
3239,2020-11-25,23.2,23.41,23.2,23.41
3238,2020-11-24,22.8998,22.8998,22.8998,22.8998
3237,2020-11-23,22.8998,22.8998,22.8998,22.8998
3236,2020-11-20,22.9,22.9,22.8998,22.8998
3235,2020-11-19,22.5,22.5,22.5,22.5
3234,2020-11-18,22.5,22.5,22.5,22.5
3233,2020-11-17,22.5,22.5,22.5,22.5
3232,2020-11-16,22.3,22.3,22.3,22.3
3231,2020-11-13,22.3,22.3,22.3,22.3
3230,2020-11-12,22.3,22.3,22.3,22.3
3229,2020-11-11,22.95,22.95,22.95,22.95
3228,2020-11-10,22.95,22.95,22.95,22.95
3227,2020-11-09,22.95,22.95,22.95,22.95
3226,2020-11-06,22.13,22.13,22.13,22.13
3225,2020-11-05,22.11,22.1112,22.11,22.1112
3224,2020-11-04,22.85,22.85,22.85,22.85
3223,2020-11-03,22.05,22.86,22.0,22.85
3222,2020-11-02,22.05,22.05,22.05,22.05
3221,2020-10-30,22.05,22.05,22.05,22.05
3220,2020-10-29,22.05,22.05,22.05,22.05
3219,2020-10-28,22.97,23.0,22.97,23.0
3218,2020-10-27,22.5,22.5,22.5,22.5
3217,2020-10-26,22.5,22.5,22.5,22.5
3216,2020-10-23,22.5,22.5,22.5,22.5
3215,2020-10-22,22.5,22.5,22.5,22.5
3214,2020-10-21,22.5,22.5,22.5,22.5
3213,2020-10-20,22.2,22.5,21.53,22.5
3212,2020-10-19,22.0,22.0,22.0,22.0
3211,2020-10-16,22.0,22.0,22.0,22.0
3210,2020-10-15,22.0,22.0,22.0,22.0
3209,2020-10-14,22.0,22.0,22.0,22.0
3208,2020-10-13,22.0,22.0,22.0,22.0
3207,2020-10-12,22.35,22.35,22.35,22.35
3206,2020-10-09,22.35,22.35,22.35,22.35
3205,2020-10-08,22.37,22.37,22.37,22.37
3204,2020-10-07,22.5162,22.5162,22.37,22.37
3203,2020-10-06,22.97,22.97,22.97,22.97
3202,2020-10-05,22.97,22.97,22.97,22.97
3201,2020-10-02,22.5,22.97,22.5,22.97
3200,2020-10-01,22.3,22.3,22.3,22.3
3199,2020-09-30,22.5,22.9998,22.5,22.9998
3198,2020-09-29,22.0,22.0,22.0,22.0
3197,2020-09-28,22.0,22.0,22.0,22.0
3196,2020-09-25,22.0,22.0,22.0,22.0
3195,2020-09-24,22.0,22.0,22.0,22.0
3194,2020-09-23,22.0,22.0,22.0,22.0
3193,2020-09-22,22.0,22.0,22.0,22.0
3192,2020-09-21,22.0,22.0,22.0,22.0
3191,2020-09-18,22.01,22.01,22.0,22.0
3190,2020-09-17,23.0,23.0084,23.0,23.0084
3189,2020-09-16,21.79,21.79,21.79,21.79
3188,2020-09-15,21.79,21.79,21.79,21.79
3187,2020-09-14,21.79,21.79,21.79,21.79
3186,2020-09-11,21.79,21.79,21.79,21.79
3185,2020-09-10,21.79,21.79,21.79,21.79
3184,2020-09-09,21.79,21.79,21.79,21.79
3183,2020-09-08,21.79,21.79,21.79,21.79
3182,2020-09-04,21.79,21.79,21.79,21.79
3181,2020-09-03,21.79,21.79,21.79,21.79
3180,2020-09-02,21.79,21.79,21.79,21.79
3179,2020-09-01,21.79,21.79,21.79,21.79
3178,2020-08-31,21.83,21.83,21.79,21.79
3177,2020-08-28,22.09,22.09,22.09,22.09
3176,2020-08-27,23.5,23.5,23.5,23.5
3175,2020-08-26,23.75,23.75,23.7,23.75
3174,2020-08-25,23.75,23.75,23.73,23.75
3173,2020-08-24,23.76,23.76,23.76,23.76
3172,2020-08-21,24.04,24.04,23.76,23.76
3171,2020-08-20,22.5,24.75,22.46,24.75
3170,2020-08-19,22.5,22.5,22.5,22.5
3169,2020-08-18,22.0,22.5,22.0,22.5
3168,2020-08-17,22.5,22.5,22.5,22.5
3167,2020-08-14,22.5,22.5,22.5,22.5
3166,2020-08-13,22.5,22.5,22.5,22.5
3165,2020-08-12,22.5,22.5,22.5,22.5
3164,2020-08-11,22.0,22.0,22.0,22.0
3163,2020-08-10,21.8,21.8,21.8,21.8
3162,2020-08-07,21.8,21.8,21.8,21.8
3161,2020-08-06,21.8016,21.8016,21.8,21.8
3160,2020-08-05,21.78,21.78,21.78,21.78
3159,2020-08-04,21.25,21.78,21.25,21.78
3158,2020-08-03,21.6922,21.6922,21.25,21.25
3157,2020-07-31,21.5,21.5,21.5,21.5
3156,2020-07-30,21.45,21.5,21.0,21.5
3155,2020-07-29,21.27,22.1,21.25,21.25
3154,2020-07-28,21.3,21.3,21.27,21.27
3153,2020-07-27,21.25,21.25,21.25,21.25
3152,2020-07-24,21.25,21.25,21.25,21.25
3151,2020-07-23,21.25,21.25,21.25,21.25
3150,2020-07-22,22.5,22.5,22.0,22.0
3149,2020-07-21,23.0,23.0,22.5956,22.5956
3148,2020-07-20,22.5,22.5,22.5,22.5
3147,2020-07-17,22.5,22.5,22.5,22.5
3146,2020-07-16,22.5,22.5,22.5,22.5
3145,2020-07-15,22.5,22.5,22.5,22.5
3144,2020-07-14,22.3,22.5,22.3,22.5
3143,2020-07-13,22.88,22.88,22.88,22.88
3142,2020-07-10,22.88,22.88,22.88,22.88
3141,2020-07-09,22.88,22.88,22.88,22.88
3140,2020-07-08,22.86,22.88,22.86,22.88
3139,2020-07-07,21.95,21.95,21.95,21.95
3138,2020-07-06,21.95,21.95,21.95,21.95
3137,2020-07-02,21.95,21.95,21.95,21.95
3136,2020-07-01,21.95,21.95,21.95,21.95
3135,2020-06-30,21.95,21.95,21.95,21.95
3134,2020-06-29,21.95,21.95,21.95,21.95
3133,2020-06-26,21.95,21.95,21.95,21.95
3132,2020-06-25,21.95,21.95,21.95,21.95
3131,2020-06-24,21.95,21.95,21.95,21.95
3130,2020-06-23,21.95,21.95,21.95,21.95
3129,2020-06-22,21.95,21.95,21.95,21.95
3128,2020-06-19,21.9,21.95,21.85,21.95
3127,2020-06-18,21.85,21.87,21.85,21.87
3126,2020-06-17,22.15,22.15,22.15,22.15
3125,2020-06-16,22.13,22.46,22.13,22.15
3124,2020-06-15,22.04,23.03,19.84,22.84
3123,2020-06-12,22.24,22.24,22.24,22.24
3122,2020-06-11,22.2223,22.2223,22.2223,22.2223
3121,2020-06-10,22.24,22.24,22.24,22.24
3120,2020-06-09,22.24,22.24,22.24,22.24
3119,2020-06-08,22.24,22.24,22.24,22.24
3118,2020-06-05,22.24,22.24,22.24,22.24
3117,2020-06-04,22.24,22.24,22.24,22.24
3116,2020-06-03,22.24,22.24,22.24,22.24
3115,2020-06-02,22.24,22.24,22.24,22.24
3114,2020-06-01,22.24,22.24,22.24,22.24
3113,2020-05-29,22.24,22.24,22.24,22.24
3112,2020-05-28,22.24,22.24,22.24,22.24
3111,2020-05-27,22.24,22.24,22.24,22.24
3110,2020-05-26,22.24,22.24,22.24,22.24
3109,2020-05-22,22.24,22.24,22.24,22.24
