,Date,Open,High,Low,Close
1702,2020-12-14,3.44,3.77,3.41,3.66
1701,2020-12-11,3.49,3.6199,3.46,3.47
1700,2020-12-10,3.49,3.56,3.4,3.49
1699,2020-12-09,3.81,3.81,3.418,3.51
1698,2020-12-08,3.48,3.55,3.38,3.54
1697,2020-12-07,3.69,3.73,3.48,3.52
1696,2020-12-04,3.87,3.99,3.6,3.67
1695,2020-12-03,3.95,4.0,3.84,3.88
1694,2020-12-02,3.8,3.91,3.75,3.89
1693,2020-12-01,4.03,4.03,3.8,3.84
1692,2020-11-30,4.22,4.32,3.8,3.85
1691,2020-11-27,3.82,4.21,3.82,4.17
1690,2020-11-25,3.82,3.8908,3.6759,3.77
1689,2020-11-24,4.02,4.05,3.7522,3.82
1688,2020-11-23,3.81,4.04,3.81,3.98
1687,2020-11-20,3.73,3.83,3.65,3.81
1686,2020-11-19,3.78,3.94,3.65,3.76
1685,2020-11-18,3.75,3.78,3.54,3.73
1684,2020-11-17,3.4,3.55,3.37,3.5
1683,2020-11-16,3.36,3.5,3.31,3.4
1682,2020-11-13,3.15,3.45,3.15,3.39
1681,2020-11-12,3.4,3.4516,3.14,3.17
1680,2020-11-11,3.24,3.3824,3.17,3.36
1679,2020-11-10,3.32,3.32,2.96,3.13
1678,2020-11-09,3.5,3.58,2.99,3.06
1677,2020-11-06,3.25,3.39,3.24,3.36
1676,2020-11-05,3.2608,3.45,3.25,3.29
1675,2020-11-04,3.17,3.4,3.17,3.26
1674,2020-11-03,3.17,3.23,3.11,3.19
1673,2020-11-02,3.16,3.271,3.1,3.13
1672,2020-10-30,3.11,3.12,3.03,3.11
1671,2020-10-29,3.11,3.19,3.07,3.07
1670,2020-10-28,3.14,3.26,3.07,3.07
1669,2020-10-27,3.19,3.25,3.08,3.14
1668,2020-10-26,3.3001,3.3001,3.16,3.21
1667,2020-10-23,3.37,3.37,3.25,3.32
1666,2020-10-22,3.18,3.36,3.18,3.34
1665,2020-10-21,3.3499,3.3499,3.16,3.2
1664,2020-10-20,3.33,3.4099,3.25,3.28
1663,2020-10-19,3.28,3.37,3.28,3.32
1662,2020-10-16,3.26,3.3665,3.1908,3.22
1661,2020-10-15,3.3,3.32,3.2,3.2
1660,2020-10-14,3.41,3.43,3.3,3.35
1659,2020-10-13,3.47,3.53,3.42,3.43
1658,2020-10-12,3.6,3.7172,3.43,3.44
1657,2020-10-09,3.7003,3.7003,3.55,3.55
1656,2020-10-08,3.75,3.853,3.5,3.53
1655,2020-10-07,3.44,3.74,3.4,3.69
1654,2020-10-06,3.64,3.64,3.28,3.36
1653,2020-10-05,3.63,3.69,3.55,3.58
1652,2020-10-02,3.55,3.62,3.49,3.61
1651,2020-10-01,3.59,3.6234,3.51,3.57
1650,2020-09-30,3.5,3.55,3.36,3.53
1649,2020-09-29,3.73,3.73,3.46,3.46
1648,2020-09-28,3.59,3.6916,3.52,3.54
1647,2020-09-25,3.65,3.7,3.57,3.58
1646,2020-09-24,3.86,3.9,3.5927,3.64
