,Date,Open,High,Low,Close
3680,2020-12-14,11.0,11.07,10.97,11.03
3679,2020-12-11,10.95,10.9889,10.88,10.97
3678,2020-12-10,10.88,10.98,10.8101,10.94
3677,2020-12-09,10.98,11.05,10.9,10.9501
3676,2020-12-08,10.84,10.95,10.82,10.94
3675,2020-12-07,10.72,10.85,10.72,10.83
3674,2020-12-04,10.7,10.75,10.63,10.73
3673,2020-12-03,10.58,10.655,10.56,10.61
3672,2020-12-02,10.47,10.5809,10.43,10.58
3671,2020-12-01,10.47,10.6,10.39,10.48
3670,2020-11-30,10.3,10.38,10.2601,10.37
3669,2020-11-27,10.17,10.3,10.17,10.3
3668,2020-11-25,10.13,10.19,10.09,10.16
3667,2020-11-24,10.1,10.16,10.03,10.12
3666,2020-11-23,9.98,10.1,9.936,10.03
3665,2020-11-20,9.93,9.96,9.9,9.93
3664,2020-11-19,9.88,9.92,9.83,9.92
3663,2020-11-18,10.06,10.12,9.98,9.99
3662,2020-11-17,9.86,10.02,9.81,10.02
3661,2020-11-16,9.94,9.98,9.88,9.88
3660,2020-11-13,9.68,9.87,9.65,9.87
3659,2020-11-12,9.61,9.688,9.53,9.555
3658,2020-11-11,9.68,9.68,9.57,9.58
3657,2020-11-10,9.7,9.7,9.48,9.59
3656,2020-11-09,9.82,9.97,9.73,9.73
3655,2020-11-06,9.68,9.68,9.46,9.66
3654,2020-11-05,9.45,9.65,9.36,9.65
3653,2020-11-04,9.12,9.3,9.0601,9.26
3652,2020-11-03,8.9,9.02,8.82,8.98
3651,2020-11-02,8.9,8.93,8.74,8.83
3650,2020-10-30,8.92,9.0,8.79,8.84
3649,2020-10-29,8.94,9.05,8.92,8.99
3648,2020-10-28,9.06,9.06,8.87,8.96
3647,2020-10-27,9.2,9.2451,9.14,9.14
3646,2020-10-26,9.35,9.38,9.12,9.23
3645,2020-10-23,9.43,9.485,9.3754,9.38
3644,2020-10-22,9.42,9.4699,9.36,9.43
3643,2020-10-21,9.6,9.6338,9.5,9.51
3642,2020-10-20,9.63,9.66,9.57,9.6
3641,2020-10-19,9.82,9.8433,9.6,9.63
3640,2020-10-16,9.88,9.94,9.81,9.88
3639,2020-10-15,9.86,9.8799,9.76,9.85
