,Date,Open,High,Low,Close
1395,2020-12-14,16.98,17.24,16.805,16.85
1394,2020-12-11,16.99,17.13,16.76,16.88
1393,2020-12-10,17.07,17.21,16.995,17.12
1392,2020-12-09,17.42,17.5,17.07,17.24
1391,2020-12-08,17.31,17.59,17.31,17.33
1390,2020-12-07,17.45,17.69,17.3,17.5
1389,2020-12-04,17.3,17.6,17.27,17.5
1388,2020-12-03,17.04,17.275,16.97,17.07
1387,2020-12-02,16.94,17.1,16.78,16.93
1386,2020-12-01,16.88,17.215,16.77,16.99
1385,2020-11-30,16.88,17.0589,16.64,16.69
1384,2020-11-27,17.12,17.12,16.79,16.98
1383,2020-11-25,17.51,17.51,17.02,17.12
1382,2020-11-24,17.39,17.92,17.38,17.6
1381,2020-11-23,16.78,17.44,16.695,17.1
1380,2020-11-20,16.59,16.71,16.43,16.6
1379,2020-11-19,16.67,16.82,16.42,16.79
1378,2020-11-18,16.83,17.19,16.67,16.67
1377,2020-11-17,16.79,17.03,16.52,16.82
1376,2020-11-16,16.94,17.225,16.78,17.03
1375,2020-11-13,16.1,16.57,16.08,16.51
1374,2020-11-12,16.07,16.08,15.66,15.89
1373,2020-11-11,16.5,16.5,15.98,16.2
1372,2020-11-10,15.64,16.6,15.56,16.5
1371,2020-11-09,15.17,16.39,15.12,15.55
1370,2020-11-06,14.79,14.9,14.19,14.27
1369,2020-11-05,14.95,15.0521,14.64,14.79
1368,2020-11-04,14.89,15.01,14.51,14.64
1367,2020-11-03,14.84,15.09,14.71,15.01
1366,2020-11-02,14.4,14.61,14.29,14.6
1365,2020-10-30,14.38,14.57,14.09,14.23
1364,2020-10-29,14.17,14.52,13.95,14.39
1363,2020-10-28,14.37,14.52,14.21,14.3
1362,2020-10-27,15.3,15.3703,14.54,14.55
1361,2020-10-26,15.61,15.61,15.1256,15.25
1360,2020-10-23,15.73,15.9,15.62,15.85
1359,2020-10-22,15.23,15.635,15.23,15.59
1358,2020-10-21,15.35,15.38,15.16,15.27
1357,2020-10-20,15.41,15.6359,15.3,15.38
1356,2020-10-19,15.64,15.73,15.26,15.28
1355,2020-10-16,16.03,16.03,15.56,15.64
1354,2020-10-15,15.63,16.2673,15.6,16.09
1353,2020-10-14,16.12,16.25,15.72,15.72
1352,2020-10-13,16.2,16.37,16.07,16.18
1351,2020-10-12,16.21,16.53,16.15,16.38
1350,2020-10-09,16.78,16.8159,16.2,16.28
1349,2020-10-08,16.32,16.67,16.24,16.61
1348,2020-10-07,16.82,16.92,16.63,16.68
1347,2020-10-06,16.85,17.15,16.6,16.73
1346,2020-10-05,16.8,16.9,16.63,16.71
1345,2020-10-02,16.19,16.87,16.09,16.7
1344,2020-10-01,15.98,16.47,15.96,16.45
1343,2020-09-30,15.81,16.22,15.69,15.9
1342,2020-09-29,16.21,16.21,15.72,15.84
1341,2020-09-28,15.64,16.47,15.605,16.22
1340,2020-09-25,15.21,15.5,15.11,15.4
1339,2020-09-24,15.22,15.6286,15.08,15.22
1338,2020-09-23,15.89,16.1,15.14,15.15
1337,2020-09-22,15.88,16.44,15.88,15.99
1336,2020-09-21,16.48,16.48,15.64,15.82
1335,2020-09-18,17.1,17.18,16.65,16.71
1334,2020-09-17,17.14,17.33,16.91,16.95
1333,2020-09-16,17.5,17.66,17.34,17.38
1332,2020-09-15,17.62,17.67,17.31,17.41
1331,2020-09-14,17.31,17.67,17.2,17.53
1330,2020-09-11,17.51,17.51,17.1,17.18
1329,2020-09-10,17.58,17.66,17.38,17.39
1328,2020-09-09,17.43,17.75,17.39,17.58
1327,2020-09-08,17.45,17.57,17.13,17.31
1326,2020-09-04,17.66,17.81,17.2,17.51
1325,2020-09-03,17.81,17.99,17.365,17.5
1324,2020-09-02,17.42,17.78,17.3,17.74
1323,2020-09-01,17.3,17.565,17.02,17.47
1322,2020-08-31,17.73,17.8,17.45,17.5
1321,2020-08-28,17.96,17.96,17.62,17.78
1320,2020-08-27,17.63,17.94,17.57,17.83
1319,2020-08-26,17.74,17.86,17.44,17.62
1318,2020-08-25,17.86,18.01,17.57,17.74
1317,2020-08-24,17.45,17.7645,17.15,17.75
1316,2020-08-21,17.51,17.68,17.1302,17.43
1315,2020-08-20,17.12,17.68,17.04,17.52
1314,2020-08-19,17.42,17.6,17.16,17.26
1313,2020-08-18,17.73,17.73,17.41,17.49
1312,2020-08-17,17.63,17.82,17.51,17.78
1311,2020-08-14,17.66,17.86,17.51,17.63
1310,2020-08-13,17.97,18.15,17.68,17.73
1309,2020-08-12,17.99,18.14,17.82,18.11
1308,2020-08-11,18.0,18.19,17.73,17.81
1307,2020-08-10,17.72,17.98,17.63,17.82
1306,2020-08-07,17.2,17.57,17.05,17.56
1305,2020-08-06,17.2,17.38,17.0,17.12
1304,2020-08-05,16.89,17.18,16.43,17.06
1303,2020-08-04,16.34,16.77,16.27,16.71
1302,2020-08-03,16.57,16.6,16.12,16.4
1301,2020-07-31,16.62,16.66,16.16,16.65
1300,2020-07-30,16.59,16.76,16.44,16.69
1299,2020-07-29,16.67,16.95,16.51,16.95
1298,2020-07-28,16.33,16.64,16.17,16.51
1297,2020-07-27,16.0,16.45,15.71,16.44
1296,2020-07-24,16.47,16.62,16.03,16.06
1295,2020-07-23,16.46,16.71,16.3,16.5
1294,2020-07-22,16.45,16.66,16.27,16.62
1293,2020-07-21,16.39,16.6,16.17,16.45
1292,2020-07-20,16.34,16.345,15.91,16.13
1291,2020-07-17,16.28,16.49,15.96,16.43
1290,2020-07-16,16.41,16.45,16.08,16.2
1289,2020-07-15,16.54,16.69,16.18,16.42
1288,2020-07-14,15.87,16.34,15.82,16.25
1287,2020-07-13,16.31,16.32,15.85,15.88
1286,2020-07-10,16.05,16.26,15.8,16.17
1285,2020-07-09,16.73,16.81,16.24,16.43
1284,2020-07-08,16.64,16.83,16.42,16.83
