,Date,Open,High,Low,Close
1377,2020-12-14,8.6,8.82,8.17,8.29
1376,2020-12-11,8.88,8.88,8.36,8.47
1375,2020-12-10,8.9026,8.9026,8.71,8.89
1374,2020-12-09,8.73,9.1,8.67,8.85
1373,2020-12-08,8.87,8.94,8.55,8.57
1372,2020-12-07,8.9,9.0999,8.83,8.83
1371,2020-12-04,8.66,9.08,8.51,8.95
1370,2020-12-03,8.6127,8.76,8.57,8.58
1369,2020-12-02,8.57,8.71,8.51,8.71
1368,2020-12-01,8.51,8.715,8.35,8.64
1367,2020-11-30,8.75,8.75,8.35,8.45
1366,2020-11-27,8.76,8.76,8.6,8.63
1365,2020-11-25,8.63,8.78,8.53,8.78
1364,2020-11-24,8.53,8.78,8.53,8.6
1363,2020-11-23,8.49,8.67,8.49,8.61
1362,2020-11-20,8.37,8.54,8.3679,8.47
1361,2020-11-19,8.36,8.445,8.19,8.31
1360,2020-11-18,8.32,8.45,8.218,8.3
1359,2020-11-17,7.85,8.2999,7.85,8.23
1358,2020-11-16,8.14,8.38,7.85,7.85
1357,2020-11-13,7.9,8.17,7.9,8.0
1356,2020-11-12,8.1,8.245,7.86,7.89
1355,2020-11-11,8.04,8.27,8.04,8.05
1354,2020-11-10,7.93,8.075,7.7937,7.96
1353,2020-11-09,7.95,8.1,7.75,7.85
1352,2020-11-06,7.98,8.03,7.58,7.77
1351,2020-11-05,7.9,8.125,7.9,8.04
1350,2020-11-04,8.14,8.14,7.7801,8.05
1349,2020-11-03,7.81,8.075,7.71,7.91
1348,2020-11-02,7.69,7.91,7.69,7.81
1347,2020-10-30,7.7,7.83,7.69,7.75
1346,2020-10-29,7.73,7.94,7.64,7.77
1345,2020-10-28,8.02,8.02,7.68,7.8
1344,2020-10-27,8.0323,8.0323,7.86,7.97
1343,2020-10-26,8.2,8.2908,7.88,8.18
1342,2020-10-23,8.18,8.3396,8.11,8.3
1341,2020-10-22,8.0227,8.3379,8.0227,8.14
1340,2020-10-21,7.91,8.06,7.91,8.02
1339,2020-10-20,7.9961,8.0164,7.86,7.8699
1338,2020-10-19,7.86,8.07,7.77,8.07
1337,2020-10-16,7.8022,7.9999,7.8022,7.86
1336,2020-10-15,7.7326,7.96,7.65,7.84
1335,2020-10-14,7.9,8.12,7.85,8.0
1334,2020-10-13,7.63,8.0,7.63,7.8
1333,2020-10-12,7.73,7.84,7.7,7.71
1332,2020-10-09,7.87,7.87,7.6191,7.74
1331,2020-10-08,7.7,7.79,7.4235,7.76
1330,2020-10-07,7.25,7.7399,7.19,7.66
1329,2020-10-06,7.405,7.4553,7.2101,7.2101
1328,2020-10-05,7.12,7.39,7.12,7.34
1327,2020-10-02,7.08,7.23,6.9601,7.22
1326,2020-10-01,7.01,7.26,6.91,7.21
1325,2020-09-30,7.19,7.39,7.0,7.0
1324,2020-09-29,7.19,7.19,6.84,7.0
1323,2020-09-28,6.805,7.31,6.76,7.1476
1322,2020-09-25,6.7,6.85,6.64,6.78
1321,2020-09-24,6.62,6.89,6.5101,6.71
1320,2020-09-23,7.05,7.05,6.61,6.63
1319,2020-09-22,6.95,7.2434,6.9,7.01
1318,2020-09-21,7.0,7.195,6.76,6.8
1317,2020-09-18,7.03,7.4,7.03,7.1
1316,2020-09-17,6.92,7.23,6.79,6.79
1315,2020-09-16,6.83,7.05,6.8203,6.99
1314,2020-09-15,6.87,7.15,6.77,6.81
1313,2020-09-14,6.87,6.96,6.8052,6.87
1312,2020-09-11,6.88,7.0,6.69,6.73
1311,2020-09-10,6.99,6.99,6.88,6.88
1310,2020-09-09,6.83,6.98,6.789,6.9
1309,2020-09-08,7.1,7.2649,6.73,6.87
1308,2020-09-04,7.27,7.41,7.025,7.05
1307,2020-09-03,7.14,7.42,7.05,7.2
1306,2020-09-02,7.4,7.5429,7.37,7.43
1305,2020-09-01,7.49,7.61,7.375,7.4
1304,2020-08-31,7.65,7.67,7.36,7.5
1303,2020-08-28,7.69,7.995,7.5701,7.64
1302,2020-08-27,7.75,8.055,7.65,7.69
1301,2020-08-26,8.41,8.41,7.7701,7.78
1300,2020-08-25,8.54,8.61,8.4286,8.45
1299,2020-08-24,8.62,8.7,8.49,8.61
1298,2020-08-21,8.65,8.65,8.4801,8.6
1297,2020-08-20,8.46,8.65,8.46,8.63
1296,2020-08-19,8.51,8.59,8.37,8.59
1295,2020-08-18,8.63,8.63,8.26,8.58
1294,2020-08-17,8.59,8.685,8.5301,8.67
1293,2020-08-14,8.32,8.82,8.2957,8.5601
1292,2020-08-13,8.24,8.51,8.24,8.36
1291,2020-08-12,8.13,8.31,8.13,8.31
1290,2020-08-11,8.23,8.27,8.03,8.13
1289,2020-08-10,8.05,8.23,8.0341,8.1
1288,2020-08-07,7.97,8.11,7.85,8.09
1287,2020-08-06,7.75,7.95,7.75,7.86
1286,2020-08-05,7.9,7.92,7.7,7.75
1285,2020-08-04,7.38,7.97,7.1897,7.81
1284,2020-08-03,7.13,7.27,6.98,7.25
1283,2020-07-31,7.06,7.11,6.9102,7.08
1282,2020-07-30,7.15,7.15,6.97,7.05
1281,2020-07-29,7.17,7.2907,7.1202,7.25
1280,2020-07-28,7.21,7.25,7.01,7.18
1279,2020-07-27,7.52,7.59,7.25,7.25
1278,2020-07-24,7.48,7.52,7.4,7.4
1277,2020-07-23,7.31,7.54,7.22,7.54
1276,2020-07-22,7.41,7.55,7.24,7.31
1275,2020-07-21,7.14,7.73,7.14,7.51
1274,2020-07-20,7.19,7.235,7.084,7.14
1273,2020-07-17,7.5,7.5,7.21,7.3
1272,2020-07-16,7.64,7.761,7.086,7.5
1271,2020-07-15,7.01,7.84,7.0,7.71
1270,2020-07-14,7.07,7.3,6.85,7.01
1269,2020-07-13,6.75,7.44,6.75,7.25
1268,2020-07-10,6.48,6.71,6.42,6.65
1267,2020-07-09,6.54,6.564,6.41,6.54
1266,2020-07-08,6.47,6.63,6.47,6.56
1265,2020-07-07,6.66,6.66,6.49,6.51
1264,2020-07-06,6.6,6.69,6.4,6.67
1263,2020-07-02,6.8,6.92,6.5,6.52
1262,2020-07-01,6.68,6.8,6.49,6.72
1261,2020-06-30,6.63,6.695,6.42,6.68
1260,2020-06-29,6.52,6.89,6.48,6.73
1259,2020-06-26,6.4,6.48,6.26,6.44
1258,2020-06-25,6.39,6.68,6.34,6.55
1257,2020-06-24,6.7,6.82,6.42,6.45
1256,2020-06-23,6.89,6.962,6.75,6.82
1255,2020-06-22,7.02,7.169,6.85,6.86
1254,2020-06-19,6.98,7.13,6.83,6.94
1253,2020-06-18,6.88,7.15,6.692,6.9
1252,2020-06-17,7.25,7.46,6.94,7.02
1251,2020-06-16,7.39,7.42,6.962,7.25
1250,2020-06-15,6.12,7.27,6.11,7.08
1249,2020-06-12,6.62,7.2,6.57,6.61
1248,2020-06-11,6.98,7.4,6.11,6.45
1247,2020-06-10,7.81,8.03,7.52,7.7
1246,2020-06-09,8.32,8.32,7.83,8.03
1245,2020-06-08,9.48,9.878,8.3,8.34
1244,2020-06-05,7.39,8.99,7.39,8.8
1243,2020-06-04,7.19,7.53,7.016,7.35
1242,2020-06-03,6.65,7.21,6.598,7.185
1241,2020-06-02,6.51,6.87,6.34,6.65
1240,2020-06-01,6.61,6.65,6.45,6.45
1239,2020-05-29,6.2,6.8,6.2,6.61
1238,2020-05-28,7.1,7.312,6.25,6.25
1237,2020-05-27,6.48,7.1,6.45,7.1
1236,2020-05-26,6.16,6.8,6.16,6.35
1235,2020-05-22,6.12,6.35,6.01,6.18
1234,2020-05-21,6.07,6.26,6.021,6.18
1233,2020-05-20,5.51,6.31,5.51,6.12
1232,2020-05-19,5.09,5.75,5.06,5.66
1231,2020-05-18,5.01,5.39,5.01,5.18
1230,2020-05-15,4.84,5.08,4.78,4.81
1229,2020-05-14,4.98,5.04,4.77,4.93
1228,2020-05-13,5.0,5.19,4.85,5.01
1227,2020-05-12,5.27,5.4,5.05,5.05
1226,2020-05-11,5.4,5.48,5.265,5.29
1225,2020-05-08,5.49,5.59,5.45,5.51
1224,2020-05-07,5.45,5.45,5.33,5.41
1223,2020-05-06,5.6,5.62,5.281,5.37
1222,2020-05-05,5.25,5.65,5.25,5.48
1221,2020-05-04,4.9,5.46,4.81,5.43
1220,2020-05-01,5.3,5.3,4.67,4.839
1219,2020-04-30,5.76,5.76,5.1,5.33
1218,2020-04-29,5.2,5.789,5.15,5.68
