,Date,Open,High,Low,Close
2400,2020-12-14,19.02,19.29,18.7,18.84
2399,2020-12-11,18.72,18.89,18.58,18.74
2398,2020-12-10,18.88,19.11,18.76,19.03
2397,2020-12-09,18.73,18.76,18.435,18.59
2396,2020-12-08,18.41,18.76,18.33,18.59
2395,2020-12-07,18.63,18.675,18.34,18.41
2394,2020-12-04,18.75,18.88,18.72,18.84
2393,2020-12-03,18.88,18.925,18.67,18.77
2392,2020-12-02,18.98,19.04,18.74,18.82
2391,2020-12-01,18.68,19.33,18.63,19.25
2390,2020-11-30,18.68,18.77,18.43,18.53
2389,2020-11-27,18.52,18.74,18.49,18.69
2388,2020-11-25,18.38,18.44,18.17,18.21
2387,2020-11-24,18.44,18.645,18.335,18.4
2386,2020-11-23,18.76,18.98,18.45,18.66
2385,2020-11-20,18.92,19.11,18.75,18.83
2384,2020-11-19,18.76,19.28,18.66,19.21
2383,2020-11-18,19.0,19.11,18.76,18.88
2382,2020-11-17,18.88,19.22,18.7,19.04
2381,2020-11-16,19.07,19.31,18.98,19.25
2380,2020-11-13,18.91,19.32,18.86,19.04
2379,2020-11-12,18.8,19.23,18.71,18.89
2378,2020-11-11,18.81,19.07,18.68,18.83
2377,2020-11-10,19.2,19.33,18.95,19.01
2376,2020-11-09,19.25,19.82,19.12,19.6
2375,2020-11-06,18.88,18.94,18.3,18.42
2374,2020-11-05,18.12,18.48,17.97,18.42
2373,2020-11-04,17.55,17.9872,17.43,17.59
2372,2020-11-03,17.3,17.46,17.17,17.3
2371,2020-11-02,17.03,17.35,16.93,17.22
2370,2020-10-30,16.65,17.0,16.55,16.98
2369,2020-10-29,17.1,17.11,16.67,16.86
2368,2020-10-28,17.52,17.72,17.26,17.33
2367,2020-10-27,17.86,18.09,17.7,17.9
2366,2020-10-26,18.41,18.65,18.03,18.04
2365,2020-10-23,18.31,18.56,18.22,18.51
2364,2020-10-22,18.75,18.8,18.08,18.2
2363,2020-10-21,19.36,19.67,18.98,19.03
2362,2020-10-20,19.43,19.88,19.25,19.53
2361,2020-10-19,19.2,19.56,19.02,19.06
2360,2020-10-16,19.5,19.77,19.04,19.06
2359,2020-10-15,19.41,20.05,19.35,19.63
2358,2020-10-14,18.44,18.59,18.3,18.35
2357,2020-10-13,18.41,18.62,18.41,18.5
2356,2020-10-12,18.53,18.75,18.39,18.6
2355,2020-10-09,18.03,18.69,18.02,18.6
2354,2020-10-08,17.67,17.88,17.53,17.75
2353,2020-10-07,17.85,17.92,17.65,17.67
2352,2020-10-06,17.9,18.22,17.83,17.93
2351,2020-10-05,17.18,17.81,17.18,17.8
2350,2020-10-02,17.3,17.42,17.07,17.07
2349,2020-10-01,17.34,17.6,17.07,17.19
2348,2020-09-30,16.87,17.42,16.87,17.35
2347,2020-09-29,16.91,17.22,16.67,16.81
2346,2020-09-28,16.68,17.16,16.68,16.9
2345,2020-09-25,16.47,16.69,16.43,16.57
2344,2020-09-24,16.21,16.88,16.2,16.71
2343,2020-09-23,15.71,16.29,15.71,16.25
2342,2020-09-22,15.8,15.93,15.69,15.72
2341,2020-09-21,15.85,15.905,15.62,15.88
2340,2020-09-18,16.63,16.71,15.97,16.16
2339,2020-09-17,16.62,16.85,16.4635,16.68
2338,2020-09-16,16.86,16.96,16.61,16.62
2337,2020-09-15,17.06,17.1196,16.6,16.62
