,Date,Open,High,Low,Close
3277,2020-12-14,21.89,21.89,20.96,21.02
3276,2020-12-11,22.47,22.47,21.51,21.57
3275,2020-12-10,22.97,23.01,22.56,22.68
3274,2020-12-09,24.25,24.25,23.095,23.1
3273,2020-12-08,24.17,24.45,23.83,24.05
3272,2020-12-07,24.7,24.7,23.98,24.45
3271,2020-12-04,24.04,24.66,23.81,24.6
3270,2020-12-03,23.39,24.1275,23.27,23.94
3269,2020-12-02,22.93,23.44,22.72,23.27
3268,2020-12-01,22.72,23.48,22.72,22.83
3267,2020-11-30,22.63,22.87,22.32,22.41
3266,2020-11-27,22.4,22.905,22.3435,22.82
3265,2020-11-25,22.92,22.94,22.34,22.5
3264,2020-11-24,23.29,23.42,22.92,23.0
3263,2020-11-23,23.04,23.13,22.89,22.96
3262,2020-11-20,22.14,22.99,22.14,22.82
3261,2020-11-19,22.96,23.105,22.14,22.36
3260,2020-11-18,23.3,23.73,22.92,23.1
3259,2020-11-17,23.52,23.565,22.95,23.3
3258,2020-11-16,23.21,23.65,22.99,23.62
3257,2020-11-13,22.71,23.04,22.65,22.78
3256,2020-11-12,22.56,22.9,22.13,22.4
3255,2020-11-11,22.95,23.19,22.52,22.78
3254,2020-11-10,23.33,23.42,22.75,23.0
3253,2020-11-09,23.54,24.175,22.93,22.93
3252,2020-11-06,21.24,23.92,21.24,22.21
3251,2020-11-05,20.5,21.08,20.26,21.01
3250,2020-11-04,20.5,21.02,20.02,20.25
3249,2020-11-03,19.65,20.92,19.65,20.76
3248,2020-11-02,18.8,19.3,18.76,19.26
3247,2020-10-30,18.43,18.53,18.135,18.52
3246,2020-10-29,18.41,18.7,18.12,18.46
3245,2020-10-28,18.52,18.82,18.25,18.44
3244,2020-10-27,19.29,19.29,18.36,18.86
3243,2020-10-26,19.63,19.63,19.16,19.4
3242,2020-10-23,19.62,20.11,19.62,19.86
3241,2020-10-22,19.4,19.625,19.1,19.5
3240,2020-10-21,19.31,19.63,19.15,19.29
3239,2020-10-20,19.87,19.87,19.3,19.4
3238,2020-10-19,20.37,20.87,19.44,19.64
3237,2020-10-16,19.99,20.68,19.99,20.44
3236,2020-10-15,19.85,20.45,19.65,20.17
3235,2020-10-14,20.4,20.49,20.03,20.13
3234,2020-10-13,20.64,20.64,20.2501,20.4
3233,2020-10-12,20.5,21.19,20.49,20.86
3232,2020-10-09,20.76,20.76,20.43,20.5
3231,2020-10-08,20.46,20.8,20.38,20.49
3230,2020-10-07,19.85,20.27,19.74,20.21
3229,2020-10-06,19.99,20.255,19.5,19.6
3228,2020-10-05,19.06,19.93,18.83,19.72
3227,2020-10-02,18.19,19.035,18.19,18.89
3226,2020-10-01,17.94,18.73,17.55,18.53
3225,2020-09-30,17.77,18.14,17.73,17.87
3224,2020-09-29,17.75,17.97,17.42,17.87
3223,2020-09-28,17.94,18.17,17.67,17.71
3222,2020-09-25,17.32,17.81,17.32,17.7
3221,2020-09-24,17.77,18.02,17.4,17.54
3220,2020-09-23,18.07,18.19,17.74,17.81
3219,2020-09-22,18.36,18.36,17.8,18.06
3218,2020-09-21,18.77,18.925,18.0,18.35
3217,2020-09-18,18.72,19.3797,18.37,19.21
3216,2020-09-17,17.99,18.45,17.9,18.35
3215,2020-09-16,17.76,18.44,17.68,18.25
3214,2020-09-15,18.41,18.58,17.79,17.8
3213,2020-09-14,18.23,18.525,18.16,18.29
3212,2020-09-11,19.09,19.09,18.0,18.12
3211,2020-09-10,18.78,19.12,18.58,18.97
3210,2020-09-09,18.79,19.06,18.62,18.81
3209,2020-09-08,18.83,18.88,18.29,18.62
3208,2020-09-04,19.13,19.17,18.35,19.0
3207,2020-09-03,19.39,19.41,18.76,18.83
3206,2020-09-02,18.8,19.46,18.69,19.37
3205,2020-09-01,18.41,18.9,18.28,18.87
3204,2020-08-31,18.73,18.85,18.29,18.6
3203,2020-08-28,18.57,18.89,18.27,18.88
3202,2020-08-27,18.5,18.85,18.3,18.35
3201,2020-08-26,18.85,18.85,18.07,18.34
3200,2020-08-25,19.66,19.82,18.32,18.9
3199,2020-08-24,19.9,19.96,19.22,19.65
3198,2020-08-21,18.95,19.67,18.84,19.64
3197,2020-08-20,18.54,19.395,18.54,19.11
3196,2020-08-19,19.0,19.34,18.67,18.79
3195,2020-08-18,18.74,18.86,18.36,18.81
3194,2020-08-17,18.51,18.83,18.32,18.74
3193,2020-08-14,18.47,18.71,18.44,18.56
3192,2020-08-13,18.58,18.86,18.5,18.7
3191,2020-08-12,18.89,18.91,18.15,18.79
3190,2020-08-11,19.44,19.73,18.51,18.61
3189,2020-08-10,19.09,19.665,19.05,19.14
3188,2020-08-07,18.7,19.782,18.7,18.99
3187,2020-08-06,19.5,19.5,17.11,18.73
3186,2020-08-05,20.0,20.48,19.62,20.47
3185,2020-08-04,19.23,19.78,19.21,19.75
3184,2020-08-03,19.69,19.73,19.06,19.24
3183,2020-07-31,20.05,20.32,18.88,19.46
3182,2020-07-30,19.9,20.82,19.64,20.21
3181,2020-07-29,19.52,20.41,19.52,20.25
3180,2020-07-28,19.33,19.8,19.33,19.44
3179,2020-07-27,18.77,19.57,18.77,19.37
3178,2020-07-24,19.11,19.35,18.79,18.83
3177,2020-07-23,19.28,19.83,19.22,19.26
3176,2020-07-22,19.46,19.78,19.04,19.35
3175,2020-07-21,19.37,19.79,19.32,19.53
3174,2020-07-20,19.32,19.36,19.06,19.11
3173,2020-07-17,19.39,20.06,19.35,19.42
3172,2020-07-16,19.22,19.39,18.72,19.37
3171,2020-07-15,18.9,19.27,18.66,19.22
3170,2020-07-14,17.97,18.59,17.76,18.53
3169,2020-07-13,17.81,18.36,17.65,17.98
3168,2020-07-10,17.3,17.64,17.01,17.63
3167,2020-07-09,18.23,18.26,17.25,17.32
3166,2020-07-08,18.67,18.83,18.12,18.36
3165,2020-07-07,19.11,19.21,18.67,18.75
3164,2020-07-06,19.5,19.5,18.75,19.33
