,Date,Open,High,Low,Close
3366,2020-12-14,40.66,41.37,40.5,40.5
3365,2020-12-11,40.55,40.725,40.23,40.38
3364,2020-12-10,40.77,41.14,40.47,40.86
3363,2020-12-09,41.0,41.2,40.635,40.95
3362,2020-12-08,40.4,41.04,40.37,40.9
3361,2020-12-07,40.83,40.98,40.47,40.68
3360,2020-12-04,40.25,41.02,40.0701,41.0
3359,2020-12-03,40.93,41.11,39.91,40.01
3358,2020-12-02,40.54,41.0,40.37,40.94
3357,2020-12-01,40.93,41.3,40.6,40.67
3356,2020-11-30,41.1,41.15,40.6,40.65
3355,2020-11-27,41.14,41.39,40.68,41.11
3354,2020-11-25,41.48,41.58,40.68,41.02
3353,2020-11-24,41.41,41.78,41.16,41.62
3352,2020-11-23,40.95,41.165,40.73,41.02
3351,2020-11-20,40.57,40.97,40.53,40.61
3350,2020-11-19,40.36,40.9,39.95,40.6
3349,2020-11-18,40.64,40.79,40.24,40.49
3348,2020-11-17,40.34,40.85,40.05,40.7
3347,2020-11-16,40.93,41.06,40.28,40.66
3346,2020-11-13,40.01,40.65,39.945,40.51
3345,2020-11-12,40.45,40.59,39.58,39.75
3344,2020-11-11,40.51,40.69,40.07,40.45
3343,2020-11-10,40.12,40.64,39.7,40.32
3342,2020-11-09,40.0,41.49,39.97,39.98
3341,2020-11-06,38.86,39.39,38.77,39.02
3340,2020-11-05,38.27,39.5,38.03,38.9
3339,2020-11-04,36.67,38.0,36.28,37.55
3338,2020-11-03,35.12,36.63,34.76,36.38
3337,2020-11-02,34.74,35.79,34.48,35.66
3336,2020-10-30,34.07,34.63,33.91,34.37
3335,2020-10-29,33.96,34.46,33.91,34.23
3334,2020-10-28,34.7,34.92,33.94,34.01
3333,2020-10-27,35.39,35.69,35.28,35.3
3332,2020-10-26,36.62,36.6922,35.085,35.55
3331,2020-10-23,37.31,37.48,36.98,37.0
3330,2020-10-22,37.04,37.2,36.43,36.98
3329,2020-10-21,37.41,37.61,36.82,36.92
3328,2020-10-20,37.61,38.0,37.3,37.35
3327,2020-10-19,38.6,38.75,37.37,37.4
3326,2020-10-16,39.02,39.27,38.38,38.41
3325,2020-10-15,38.39,38.97,38.33,38.78
3324,2020-10-14,39.19,39.57,38.85,38.92
3323,2020-10-13,40.03,40.09,39.05,39.2
3322,2020-10-12,39.74,40.22,39.345,40.11
3321,2020-10-09,39.32,39.6904,38.96,39.4
3320,2020-10-08,38.8,39.025,38.68,38.89
3319,2020-10-07,38.5,39.08,38.37,38.5
3318,2020-10-06,39.05,39.17,37.96,38.18
3317,2020-10-05,39.01,39.08,38.5,38.83
3316,2020-10-02,38.12,39.02,38.12,38.57
3315,2020-10-01,39.05,39.53,38.66,38.74
3314,2020-09-30,38.7,39.37,38.7,38.95
3313,2020-09-29,38.98,39.15,38.46,38.68
3312,2020-09-28,38.67,39.36,38.65,38.98
3311,2020-09-25,37.46,38.33,37.46,38.14
3310,2020-09-24,37.6,38.06,37.32,37.64
3309,2020-09-23,38.82,39.17,37.63,37.73
3308,2020-09-22,37.93,39.06,37.89,38.87
3307,2020-09-21,37.91,38.0578,37.25,37.63
3306,2020-09-18,39.74,40.21,38.61,38.71
3305,2020-09-17,39.13,39.79,39.03,39.56
3304,2020-09-16,39.81,40.31,39.68,39.73
3303,2020-09-15,39.42,39.77,39.265,39.59
3302,2020-09-14,38.74,39.41,38.74,38.96
3301,2020-09-11,38.64,38.72,38.01,38.32
3300,2020-09-10,39.07,39.42,38.39,38.47
3299,2020-09-09,38.77,39.07,38.59,38.83
3298,2020-09-08,38.56,39.16,38.11,38.42
3297,2020-09-04,40.43,40.67,38.86,39.26
3296,2020-09-03,41.88,41.88,39.84,40.16
3295,2020-09-02,41.67,42.08,41.35,42.04
3294,2020-09-01,42.0,42.21,41.38,41.48
3293,2020-08-31,42.68,42.68,41.99,42.18
3292,2020-08-28,42.28,42.72,42.16,42.71
3291,2020-08-27,42.1,42.355,41.97,42.18
3290,2020-08-26,42.25,42.25,41.73,41.82
3289,2020-08-25,41.98,42.15,41.76,42.12
3288,2020-08-24,41.52,42.015,41.45,41.9
3287,2020-08-21,41.27,41.46,40.99,41.16
3286,2020-08-20,41.74,41.965,41.25,41.3
3285,2020-08-19,42.14,42.21,41.87,41.94
3284,2020-08-18,41.7,41.915,41.25,41.79
3283,2020-08-17,42.17,42.17,41.7,41.75
3282,2020-08-14,41.78,42.08,41.59,41.83
3281,2020-08-13,41.76,42.36,41.72,41.95
3280,2020-08-12,41.75,42.18,41.65,42.03
3279,2020-08-11,42.03,42.15,41.39,41.5
3278,2020-08-10,41.6,42.32,41.4,41.86
3277,2020-08-07,41.77,42.4,40.04,41.38
3276,2020-08-06,41.0,41.81,40.745,41.76
3275,2020-08-05,41.0,41.23,40.27,41.1
3274,2020-08-04,40.49,40.98,40.35,40.77
3273,2020-08-03,40.0,40.61,39.7,40.55
3272,2020-07-31,39.77,39.94,39.15,39.82
3271,2020-07-30,39.31,39.885,38.795,39.81
3270,2020-07-29,39.39,40.19,39.37,39.76
3269,2020-07-28,39.69,39.94,39.04,39.17
3268,2020-07-27,39.15,39.86,38.915,39.83
3267,2020-07-24,38.66,39.15,38.38,39.09
3266,2020-07-23,39.1,39.6,38.61,38.67
3265,2020-07-22,38.51,39.235,38.51,39.2
3264,2020-07-21,38.7,39.0,38.44,38.61
3263,2020-07-20,38.28,38.63,38.14,38.49
3262,2020-07-17,37.95,38.54,37.65,38.38
3261,2020-07-16,36.14,37.99,36.06,37.74
3260,2020-07-15,35.51,36.48,35.51,36.31
3259,2020-07-14,35.09,35.22,34.52,34.93
3258,2020-07-13,35.79,36.08,35.13,35.15
