,Date,Open,High,Low,Close
5314,2020-12-14,3.37,3.5,3.31,3.44
5313,2020-12-11,3.28,3.37,3.2101,3.37
5312,2020-12-10,3.29,3.35,3.2264,3.29
5311,2020-12-09,3.38,3.4,3.28,3.3
5310,2020-12-08,3.43,3.4425,3.32,3.39
5309,2020-12-07,3.49,3.53,3.31,3.39
5308,2020-12-04,3.47,3.54,3.42,3.48
5307,2020-12-03,3.47,3.5523,3.38,3.41
5306,2020-12-02,3.34,3.46,3.25,3.44
5305,2020-12-01,3.34,3.4534,3.28,3.3
5304,2020-11-30,3.42,3.44,3.2,3.23
5303,2020-11-27,3.42,3.48,3.33,3.38
5302,2020-11-25,3.43,3.45,3.3,3.4
5301,2020-11-24,3.35,3.58,3.35,3.4
5300,2020-11-23,3.33,3.4099,3.22,3.29
5299,2020-11-20,3.43,3.44,3.2,3.28
5298,2020-11-19,3.56,3.56,3.32,3.41
5297,2020-11-18,3.43,3.65,3.43,3.52
5296,2020-11-17,3.63,3.63,3.21,3.4
5295,2020-11-16,3.42,3.87,3.34,3.69
5294,2020-11-13,3.05,3.39,3.05,3.29
5293,2020-11-12,3.12,3.12,2.95,3.05
5292,2020-11-11,3.07,3.14,2.91,3.13
5291,2020-11-10,3.0,3.09,2.91,3.02
5290,2020-11-09,2.91,3.1163,2.8,2.98
5289,2020-11-06,2.84,2.84,2.7,2.74
5288,2020-11-05,2.84,3.02,2.8316,2.96
5287,2020-11-04,2.93,2.94,2.82,2.83
5286,2020-11-03,2.85,3.0,2.85,2.92
5285,2020-11-02,2.74,2.82,2.68,2.82
5284,2020-10-30,2.83,2.88,2.67,2.71
5283,2020-10-29,2.69,2.92,2.65,2.81
5282,2020-10-28,2.74,2.79,2.61,2.72
5281,2020-10-27,2.95,2.9523,2.78,2.82
5280,2020-10-26,3.07,3.1,2.93,2.96
5279,2020-10-23,3.02,3.33,3.02,3.11
5278,2020-10-22,3.17,3.17,2.94,3.05
5277,2020-10-21,2.97,3.25,2.82,3.14
5276,2020-10-20,2.8,2.96,2.77,2.81
5275,2020-10-19,2.88,2.88,2.75,2.81
5274,2020-10-16,2.72,2.89,2.66,2.84
5273,2020-10-15,2.69,2.7499,2.645,2.71
5272,2020-10-14,2.73,2.78,2.67,2.68
5271,2020-10-13,2.79,2.82,2.68,2.71
5270,2020-10-12,2.75,2.8071,2.71,2.77
5269,2020-10-09,2.83,2.8433,2.7101,2.76
5268,2020-10-08,2.76,2.87,2.75,2.85
5267,2020-10-07,2.77,2.8,2.67,2.73
5266,2020-10-06,2.87,2.95,2.72,2.72
5265,2020-10-05,2.73,2.88,2.66,2.85
5264,2020-10-02,2.62,2.77,2.57,2.73
5263,2020-10-01,2.63,2.83,2.5895,2.67
5262,2020-09-30,2.75,2.83,2.595,2.62
5261,2020-09-29,2.68,2.95,2.58,2.75
5260,2020-09-28,2.75,2.8353,2.62,2.67
5259,2020-09-25,2.61,2.73,2.59,2.7
5258,2020-09-24,2.66,2.7,2.57,2.6
5257,2020-09-23,2.84,2.91,2.626,2.64
5256,2020-09-22,2.93,3.01,2.75,2.84
5255,2020-09-21,2.94,2.95,2.76,2.93
5254,2020-09-18,3.0,3.0547,2.91,2.91
5253,2020-09-17,3.1,3.14,2.95,3.02
5252,2020-09-16,2.97,3.0699,2.93,2.99
5251,2020-09-15,3.03,3.0399,2.91,2.97
5250,2020-09-14,3.01,3.06,2.96,3.02
5249,2020-09-11,3.05,3.1,2.97,3.0
5248,2020-09-10,3.05,3.079,2.99,3.04
5247,2020-09-09,3.09,3.14,2.99,3.05
5246,2020-09-08,3.1461,3.1461,2.95,3.07
5245,2020-09-04,3.08,3.2,3.01,3.06
5244,2020-09-03,3.14,3.27,2.96,3.12
5243,2020-09-02,3.15,3.27,3.1,3.14
5242,2020-09-01,3.33,3.3376,3.06,3.19
5241,2020-08-31,3.41,3.41,3.3,3.34
5240,2020-08-28,3.42,3.45,3.35,3.38
5239,2020-08-27,3.3,3.49,3.28,3.35
5238,2020-08-26,3.4,3.425,3.27,3.32
5237,2020-08-25,3.36,3.53,3.255,3.46
5236,2020-08-24,3.35,3.53,3.24,3.39
5235,2020-08-21,3.64,3.65,3.28,3.34
5234,2020-08-20,3.5,3.65,3.39,3.58
5233,2020-08-19,3.39,3.472,3.35,3.44
5232,2020-08-18,3.43,3.57,3.32,3.34
5231,2020-08-17,3.81,3.84,3.35,3.46
5230,2020-08-14,3.41,3.77,3.36,3.76
5229,2020-08-13,3.67,3.75,3.34,3.37
5228,2020-08-12,3.98,4.35,3.61,3.74
5227,2020-08-11,3.54,4.4415,3.4802,4.17
5226,2020-08-10,3.05,3.345,3.0269,3.28
5225,2020-08-07,3.02,3.08,2.87,3.02
5224,2020-08-06,3.06,3.06,2.9,3.03
5223,2020-08-05,2.85,3.06,2.8191,3.02
5222,2020-08-04,2.8,2.935,2.75,2.82
5221,2020-08-03,2.84,2.85,2.7,2.82
5220,2020-07-31,2.86,2.9,2.8,2.84
5219,2020-07-30,2.92,2.9799,2.79,2.88
5218,2020-07-29,3.04,3.15,2.9,2.91
5217,2020-07-28,3.02,3.06,2.885,3.02
5216,2020-07-27,3.21,3.2263,3.0,3.02
5215,2020-07-24,3.17,3.3271,3.16,3.19
5214,2020-07-23,3.38,3.47,3.25,3.34
5213,2020-07-22,3.13,3.36,3.12,3.35
5212,2020-07-21,3.06,3.24,3.05,3.11
5211,2020-07-20,3.16,3.19,3.02,3.05
5210,2020-07-17,3.13,3.25,3.08,3.15
5209,2020-07-16,3.13,3.2,3.02,3.11
5208,2020-07-15,3.06,3.19,3.0,3.17
5207,2020-07-14,3.05,3.13,2.93,2.96
5206,2020-07-13,3.28,3.3,3.03,3.07
5205,2020-07-10,3.01,3.27,2.92,3.24
5204,2020-07-09,3.01,3.02,2.86,2.97
5203,2020-07-08,3.02,3.09,2.88,3.04
5202,2020-07-07,3.01,3.07,2.82,3.04
5201,2020-07-06,3.12,3.2,2.97,3.0
5200,2020-07-02,3.41,3.41,3.01,3.04
5199,2020-07-01,3.47,3.6,3.16,3.28
5198,2020-06-30,3.54,3.83,3.21,3.49
5197,2020-06-29,2.8,3.57,2.8,3.36
5196,2020-06-26,2.93,2.98,2.73,2.82
5195,2020-06-25,2.98,3.09,2.905,2.95
5194,2020-06-24,3.24,3.24,2.95,3.08
5193,2020-06-23,3.4,3.435,3.24,3.28
5192,2020-06-22,3.34,3.5,3.2,3.3
5191,2020-06-19,3.76,3.76,3.35,3.45
5190,2020-06-18,3.6,3.788,3.57,3.59
5189,2020-06-17,3.78,3.91,3.61,3.74
5188,2020-06-16,4.5,4.5,3.76,3.9
5187,2020-06-15,3.51,4.09,3.5,3.98
5186,2020-06-12,4.12,4.29,3.535,3.88
5185,2020-06-11,3.61,4.29,3.42,3.46
5184,2020-06-10,5.71,5.79,3.9,4.22
5183,2020-06-09,6.09,6.64,5.35,5.45
5182,2020-06-08,4.68,6.21,4.67,5.97
5181,2020-06-05,4.3896,4.65,3.85,4.06
5180,2020-06-04,3.09,3.9,3.0001,3.75
5179,2020-06-03,2.91,3.52,2.8601,2.99
5178,2020-06-02,2.38,2.7992,2.31,2.79
5177,2020-06-01,2.33,2.54,2.28,2.3
5176,2020-05-29,2.6,2.67,2.32,2.33
5175,2020-05-28,2.69,2.7365,2.45,2.59
