,Date,Open,High,Low,Close
5314,2020-12-14,20.13,20.24,18.83,18.96
5313,2020-12-11,19.75,20.0,19.4,19.83
5312,2020-12-10,19.0,20.31,18.92,19.99
5311,2020-12-09,19.83,20.36,19.27,19.51
5310,2020-12-08,18.55,19.81,18.53,19.76
5309,2020-12-07,19.41,19.59,18.86,18.97
5308,2020-12-04,18.61,19.53,18.4186,19.43
5307,2020-12-03,17.79,18.31,17.5101,18.02
5306,2020-12-02,16.9,18.08,16.78,17.61
5305,2020-12-01,17.24,17.36,16.8249,17.08
5304,2020-11-30,17.36,17.55,16.56,16.59
5303,2020-11-27,17.66,17.97,17.47,17.56
5302,2020-11-25,17.5,17.945,17.4,17.86
5301,2020-11-24,18.0,18.28,17.715,17.91
5300,2020-11-23,16.26,17.49,16.15,17.32
5299,2020-11-20,15.92,16.07,15.57,15.9
5298,2020-11-19,15.21,16.08,15.04,16.0
5297,2020-11-18,15.85,16.28,15.38,15.39
5296,2020-11-17,15.09,15.835,14.96,15.81
5295,2020-11-16,15.04,15.57,14.8,15.46
5294,2020-11-13,14.02,14.43,13.87,14.33
5293,2020-11-12,13.9,14.31,13.78,13.92
5292,2020-11-11,14.57,14.59,13.87,14.18
5291,2020-11-10,14.23,14.69,13.85,14.38
5290,2020-11-09,14.2,15.12,14.1,14.38
5289,2020-11-06,12.5,12.79,12.265,12.28
5288,2020-11-05,12.69,13.03,12.55,12.57
5287,2020-11-04,12.96,13.25,12.37,12.71
5286,2020-11-03,13.13,13.26,12.755,12.99
5285,2020-11-02,12.35,12.99,11.98,12.8
5284,2020-10-30,11.58,12.09,11.48,12.06
5283,2020-10-29,11.25,11.92,10.99,11.62
5282,2020-10-28,11.96,12.11,11.42,11.42
5281,2020-10-27,12.71,12.75,12.38,12.51
5280,2020-10-26,13.04,13.07,12.72,12.79
5279,2020-10-23,13.22,13.5,13.04,13.31
5278,2020-10-22,12.68,13.11,12.635,13.04
5277,2020-10-21,12.61,12.9,12.5,12.67
5276,2020-10-20,12.44,13.14,12.3872,12.74
5275,2020-10-19,12.23,12.73,11.85,12.17
5274,2020-10-16,12.98,13.065,12.21,12.25
5273,2020-10-15,12.4,13.09,12.27,13.07
5272,2020-10-14,12.59,13.18,12.56,12.72
5271,2020-10-13,12.56,12.79,12.4,12.54
5270,2020-10-12,12.58,12.785,12.36,12.73
5269,2020-10-09,12.91,12.96,12.44,12.58
5268,2020-10-08,12.12,12.81,12.053,12.81
5267,2020-10-07,11.87,12.04,11.7,11.93
5266,2020-10-06,12.23,12.56,11.78,11.85
5265,2020-10-05,11.55,11.97,11.41,11.93
5264,2020-10-02,10.65,11.39,10.6,11.31
5263,2020-10-01,11.86,11.9,11.0,11.17
5262,2020-09-30,12.18,12.47,11.95,12.05
5261,2020-09-29,12.72,12.775,12.0,12.07
5260,2020-09-28,12.7,12.92,12.55,12.76
5259,2020-09-25,12.31,12.57,12.21,12.37
5258,2020-09-24,12.32,12.77,12.01,12.52
5257,2020-09-23,13.36,13.5,12.64,12.65
5256,2020-09-22,13.44,13.675,13.1,13.33
5255,2020-09-21,13.72,13.82,12.89,13.22
5254,2020-09-18,14.71,14.96,14.35,14.45
5253,2020-09-17,14.73,14.97,14.57,14.82
5252,2020-09-16,14.63,15.35,14.425,15.07
5251,2020-09-15,14.45,14.635,14.31,14.44
5250,2020-09-14,14.31,14.5,14.09,14.33
5249,2020-09-11,14.37,14.37,13.985,14.27
5248,2020-09-10,15.05,15.17,14.19,14.28
5247,2020-09-09,14.96,15.325,14.9,15.06
5246,2020-09-08,15.49,15.58,14.77,14.81
5245,2020-09-04,16.29,16.35,15.4862,15.99
5244,2020-09-03,16.14,16.68,15.83,16.12
5243,2020-09-02,16.17,16.29,16.04,16.25
5242,2020-09-01,15.93,16.345,15.83,16.23
5241,2020-08-31,16.2,16.34,15.9618,16.18
5240,2020-08-28,16.09,16.43,16.02,16.27
5239,2020-08-27,15.82,16.0599,15.58,16.02
5238,2020-08-26,16.11,16.255,15.775,15.81
5237,2020-08-25,16.62,16.689,16.06,16.15
5236,2020-08-24,15.88,16.635,15.77,16.29
5235,2020-08-21,15.88,15.985,15.61,15.74
5234,2020-08-20,16.27,16.29,15.95,16.01
5233,2020-08-19,16.45,16.87,16.38,16.49
5232,2020-08-18,16.61,16.89,16.34,16.45
5231,2020-08-17,16.52,16.85,16.5,16.65
5230,2020-08-14,16.31,16.66,16.15,16.63
5229,2020-08-13,16.64,16.79,16.35,16.65
5228,2020-08-12,16.46,16.82,16.38,16.71
5227,2020-08-11,16.0,16.695,15.98,16.14
5226,2020-08-10,14.98,15.66,14.93,15.61
5225,2020-08-07,14.65,14.89,14.42,14.89
5224,2020-08-06,15.34,15.435,14.8,14.82
5223,2020-08-05,15.53,15.75,15.26,15.32
5222,2020-08-04,14.5,15.2482,14.46,15.11
5221,2020-08-03,14.33,14.68,14.25,14.53
5220,2020-07-31,14.4,14.585,14.1,14.33
5219,2020-07-30,14.78,14.84,14.6,14.67
5218,2020-07-29,14.63,15.105,14.62,15.07
5217,2020-07-28,14.8,14.99,14.5801,14.65
