,Date,Open,High,Low,Close
1929,2020-12-14,56.79,57.47,56.2651,56.3
1928,2020-12-11,54.85,56.74,54.26,56.59
1927,2020-12-10,54.57,55.42,53.53,55.2
1926,2020-12-09,56.17,56.29,54.14,54.81
1925,2020-12-08,53.81,56.08,53.81,55.41
1924,2020-12-07,52.95,54.82,52.81,54.1
1923,2020-12-04,53.34,53.58,52.09,52.89
1922,2020-12-03,54.09,54.53,52.62,52.73
1921,2020-12-02,53.99,54.82,52.86,54.28
1920,2020-12-01,55.12,55.38,53.48,54.22
1919,2020-11-30,54.81,55.24,53.5,54.66
1918,2020-11-27,55.67,56.87,54.5,54.62
1917,2020-11-25,54.47,55.7,53.47,55.27
1916,2020-11-24,53.48,54.62,53.3848,54.26
1915,2020-11-23,52.72,53.15,52.19,52.35
1914,2020-11-20,52.39,52.82,51.68,52.26
1913,2020-11-19,52.09,52.65,51.58,52.58
1912,2020-11-18,52.67,52.99,51.93,52.11
1911,2020-11-17,51.28,52.55,51.05,52.45
1910,2020-11-16,51.0,51.83,50.2,51.77
1909,2020-11-13,49.51,49.97,49.13,49.75
1908,2020-11-12,50.55,50.8425,48.91,49.6
1907,2020-11-11,49.99,50.6914,48.71,50.27
1906,2020-11-10,47.5,47.98,46.04,47.74
1905,2020-11-09,51.01,54.41,46.95,47.03
1904,2020-11-06,46.84,49.92,46.61,47.21
1903,2020-11-05,43.49,45.62,43.3803,45.5
1902,2020-11-04,43.13,43.76,41.9,42.8
1901,2020-11-03,44.9,45.12,43.085,43.54
1900,2020-11-02,42.46,44.017,42.11,43.96
1899,2020-10-30,43.0,43.16,41.62,41.85
1898,2020-10-29,43.17,43.41,42.58,43.05
1897,2020-10-28,42.65,43.52,42.4,43.14
1896,2020-10-27,43.43,44.2,43.03,43.39
1895,2020-10-26,43.78,44.04,42.16,43.03
1894,2020-10-23,44.68,44.81,44.0,44.32
1893,2020-10-22,44.79,44.89,43.57,44.61
1892,2020-10-21,45.14,45.6,44.49,44.49
1891,2020-10-20,44.77,45.3618,44.27,44.78
1890,2020-10-19,45.7,46.1393,43.92,44.26
1889,2020-10-16,45.95,46.44,45.54,45.54
1888,2020-10-15,45.74,46.16,45.53,45.95
1887,2020-10-14,45.74,46.38,45.5414,46.17
1886,2020-10-13,45.52,45.89,45.3538,45.47
1885,2020-10-12,45.99,46.31,45.55,45.86
1884,2020-10-09,45.24,45.8459,44.8127,45.82
1883,2020-10-08,45.93,45.98,44.74,45.18
1882,2020-10-07,44.81,45.7,44.48,45.25
1881,2020-10-06,44.01,45.69,43.7501,44.14
1880,2020-10-05,43.52,44.95,43.27,44.03
1879,2020-10-02,42.06,43.5,41.85,43.18
1878,2020-10-01,42.24,43.28,40.81,43.1
1877,2020-09-30,41.83,43.01,41.83,42.27
1876,2020-09-29,41.15,42.22,40.73,41.88
1875,2020-09-28,40.33,41.2,40.0625,40.93
1874,2020-09-25,37.8,39.95,37.8,39.55
1873,2020-09-24,38.02,39.45,37.07,38.49
1872,2020-09-23,39.08,39.65,37.92,37.93
1871,2020-09-22,38.71,39.6899,38.57,39.42
1870,2020-09-21,38.55,39.24,37.525,38.79
1869,2020-09-18,39.84,40.325,39.11,39.16
1868,2020-09-17,40.01,40.3575,39.04,39.39
1867,2020-09-16,42.01,42.545,40.39,40.79
1866,2020-09-15,41.69,43.0,41.69,41.88
1865,2020-09-14,40.63,41.64,40.46,41.44
1864,2020-09-11,41.28,41.58,39.84,40.23
1863,2020-09-10,42.15,42.85,40.71,41.13
1862,2020-09-09,40.23,42.03,40.23,41.91
1861,2020-09-08,39.81,41.24,39.63,39.67
1860,2020-09-04,40.69,41.42,38.583,40.4
1859,2020-09-03,42.83,43.02,40.07,40.52
1858,2020-09-02,43.0,43.54,41.12,42.71
1857,2020-09-01,42.67,43.785,42.48,42.99
1856,2020-08-31,42.25,42.8,42.08,42.46
1855,2020-08-28,41.93,42.63,41.47,42.4
1854,2020-08-27,41.72,42.68,41.3201,41.81
1853,2020-08-26,42.25,42.49,41.19,41.39
1852,2020-08-25,42.14,42.565,41.44,42.36
1851,2020-08-24,41.41,41.96,41.1,41.85
1850,2020-08-21,41.53,42.29,40.97,41.23
1849,2020-08-20,38.59,41.88,38.585,41.64
1848,2020-08-19,37.73,39.44,37.5,38.95
1847,2020-08-18,38.89,39.22,37.11,37.93
1846,2020-08-17,38.76,39.93,38.5,39.59
1845,2020-08-14,38.35,38.67,37.87,38.61
1844,2020-08-13,39.0,39.305,38.14,38.41
1843,2020-08-12,38.32,40.17,38.04,40.05
1842,2020-08-11,39.6,39.6,37.54,37.74
1841,2020-08-10,38.49,39.6,38.38,39.24
1840,2020-08-07,37.06,38.86,37.0001,38.26
1839,2020-08-06,37.08,37.97,36.58,36.79
1838,2020-08-05,36.81,37.275,36.06,36.88
1837,2020-08-04,35.37,36.49,35.285,36.33
1836,2020-08-03,35.22,35.74,34.91,35.4
1835,2020-07-31,34.95,35.4,34.26,35.03
1834,2020-07-30,34.36,34.95,34.25,34.83
1833,2020-07-29,34.63,35.14,34.185,34.97
1832,2020-07-28,34.5,35.0,34.3,34.47
1831,2020-07-27,33.56,34.62,33.3501,34.37
1830,2020-07-24,34.08,34.14,33.16,33.56
1829,2020-07-23,34.49,35.67,34.14,34.28
1828,2020-07-22,33.78,34.77,33.675,34.65
1827,2020-07-21,33.5,34.21,33.3,34.08
1826,2020-07-20,33.28,33.45,32.8,33.03
1825,2020-07-17,32.41,33.56,32.4,33.37
1824,2020-07-16,33.13,33.39,32.3,32.37
1823,2020-07-15,32.68,33.49,32.34,33.41
1822,2020-07-14,30.03,32.04,30.01,31.72
1821,2020-07-13,30.01,31.34,29.9,30.0
1820,2020-07-10,29.51,29.87,28.93,29.86
1819,2020-07-09,30.11,31.17,29.51,29.61
1818,2020-07-08,28.78,30.1,28.78,30.1
1817,2020-07-07,28.65,29.16,28.55,28.62
1816,2020-07-06,28.88,29.55,28.82,28.93
1815,2020-07-02,28.81,29.29,28.27,28.38
1814,2020-07-01,28.27,28.68,27.88,28.24
1813,2020-06-30,28.05,28.49,27.63,28.46
1812,2020-06-29,27.54,28.36,27.2901,28.19
1811,2020-06-26,28.2,28.44,27.0,27.2
1810,2020-06-25,27.49,28.49,27.35,28.47
1809,2020-06-24,28.0,28.47,27.11,27.58
1808,2020-06-23,29.2,29.49,28.5,28.57
1807,2020-06-22,28.94,29.08,28.17,28.75
1806,2020-06-19,29.94,30.3,28.91,29.17
1805,2020-06-18,28.21,29.89,28.21,29.45
1804,2020-06-17,29.5,29.5,28.33,28.53
1803,2020-06-16,30.89,31.39,29.46,29.67
1802,2020-06-15,27.26,29.78,27.2,29.46
1801,2020-06-12,28.99,29.26,27.23,28.27
1800,2020-06-11,28.0,29.0,27.63,27.98
1799,2020-06-10,29.87,30.06,29.03,29.6
1798,2020-06-09,29.92,30.36,29.71,29.87
1797,2020-06-08,31.04,31.23,30.24,30.58
1796,2020-06-05,30.76,30.95,30.07,30.18
1795,2020-06-04,30.42,30.42,29.05,29.39
1794,2020-06-03,29.64,31.11,29.61,30.43
1793,2020-06-02,30.85,30.92,28.93,29.0
1792,2020-06-01,29.27,30.92,28.9,30.53
1791,2020-05-29,29.64,30.03,28.39,29.01
1790,2020-05-28,30.47,30.63,29.62,30.0
1789,2020-05-27,30.19,30.3,28.75,30.1
1788,2020-05-26,30.42,30.45,29.37,29.74
1787,2020-05-22,29.62,29.64,28.92,29.46
