,Date,Open,High,Low,Close
1880,2020-12-14,55.92,55.92,55.84,55.86
1879,2020-12-11,55.86,55.89,55.79,55.85
1878,2020-12-10,55.88,55.91,55.83,55.86
1877,2020-12-09,55.91,55.93,55.87,55.87
1876,2020-12-08,55.79,55.83,55.78,55.8
1875,2020-12-07,55.85,55.9,55.77,55.8
1874,2020-12-04,55.86,55.91,55.8,55.83
1873,2020-12-03,55.84,55.98,55.78,55.93
1872,2020-12-02,55.79,55.85,55.78,55.83
1871,2020-12-01,55.83,55.86,55.76,55.79
1870,2020-11-30,55.79,55.9,55.73,55.78
1869,2020-11-27,55.77,55.855,55.77,55.81
1868,2020-11-25,55.77,55.87,55.74,55.78
1867,2020-11-24,55.81,55.84,55.73,55.75
1866,2020-11-23,55.85,55.86,55.73,55.75
1865,2020-11-20,55.83,55.9,55.74,55.75
1864,2020-11-19,55.81,55.85,55.77,55.8
1863,2020-11-18,55.85,55.96,55.78,55.8
1862,2020-11-17,55.76,55.91,55.72,55.87
1861,2020-11-16,55.735,55.89,55.5803,55.77
1860,2020-11-13,43.79,45.0,43.79,44.81
1859,2020-11-12,44.28,44.28,43.5,43.64
1858,2020-11-11,44.32,44.43,43.54,44.31
1857,2020-11-10,44.15,44.75,43.53,44.18
1856,2020-11-09,45.61,46.93,43.74,43.75
1855,2020-11-06,43.03,43.64,42.75,43.47
1854,2020-11-05,42.59,43.285,42.59,42.89
1853,2020-11-04,42.31,42.94,41.32,42.05
1852,2020-11-03,42.21,42.85,41.99,42.65
1851,2020-11-02,40.46,41.67,40.34,41.64
1850,2020-10-30,40.05,40.38,39.62,39.86
1849,2020-10-29,39.92,40.53,39.76,40.21
1848,2020-10-28,39.71,40.59,39.54,40.1
1847,2020-10-27,40.84,41.0,40.2756,40.38
1846,2020-10-26,42.1,42.1,40.91,41.2
1845,2020-10-23,42.89,43.37,42.42,42.58
1844,2020-10-22,41.97,42.89,41.8,42.65
1843,2020-10-21,42.19,42.615,41.36,41.78
1842,2020-10-20,41.94,42.8996,41.8,42.14
1841,2020-10-19,42.34,42.765,41.61,41.7
1840,2020-10-16,42.67,43.12,42.03,42.17
1839,2020-10-15,41.71,42.29,41.25,42.18
1838,2020-10-14,42.35,42.99,41.4,42.23
1837,2020-10-13,42.71,42.71,41.116,42.2
1836,2020-10-12,43.0,43.56,42.8912,43.07
1835,2020-10-09,43.31,43.52,42.4239,42.88
1834,2020-10-08,42.58,42.98,42.19,42.92
1833,2020-10-07,41.98,42.49,40.9023,42.3
1832,2020-10-06,42.75,42.795,41.52,41.53
1831,2020-10-05,42.41,42.87,42.35,42.55
1830,2020-10-02,40.85,42.29,40.85,42.06
1829,2020-10-01,41.6,41.98,41.04,41.68
1828,2020-09-30,40.71,42.08,40.52,41.24
1827,2020-09-29,40.88,40.97,40.11,40.45
1826,2020-09-28,41.26,41.47,40.805,40.87
1825,2020-09-25,39.16,41.03,39.13,40.56
1824,2020-09-24,38.72,40.09,38.5,39.45
1823,2020-09-23,39.35,39.89,38.9,38.94
1822,2020-09-22,38.8,39.44,38.43,39.17
1821,2020-09-21,39.41,39.41,38.39,38.87
1820,2020-09-18,41.09,41.47,39.72,40.2
