,Date,Open,High,Low,Close
115,2020-12-14,1.34,1.4,1.34,1.36
114,2020-12-11,1.38,1.39,1.36,1.38
113,2020-12-10,1.37,1.4,1.35,1.38
112,2020-12-09,1.42,1.43,1.35,1.41
111,2020-12-08,1.43,1.45,1.38,1.42
110,2020-12-07,1.45,1.45,1.39,1.45
109,2020-12-04,1.46,1.46,1.39,1.42
108,2020-12-03,1.45,1.47,1.3834,1.45
107,2020-12-02,1.42,1.43,1.353,1.42
106,2020-12-01,1.45,1.5,1.36,1.38
105,2020-11-30,1.36,1.59,1.33,1.46
104,2020-11-27,1.35,1.39,1.32,1.34
103,2020-11-25,1.36,1.36,1.17,1.32
102,2020-11-24,1.39,1.4,1.33,1.37
101,2020-11-23,1.38,1.4,1.3,1.39
100,2020-11-20,1.28,1.4,1.21,1.35
99,2020-11-19,1.25,1.3,1.22,1.27
98,2020-11-18,1.19,1.28,1.17,1.22
97,2020-11-17,1.18,1.19,1.16,1.17
96,2020-11-16,1.15,1.18,1.09,1.15
95,2020-11-13,3.075,3.27,2.33,2.49
94,2020-11-12,2.22,2.49,2.0,2.04
93,2020-11-11,2.26,2.3,2.14,2.27
92,2020-11-10,2.2,2.46,2.06,2.3
91,2020-11-09,2.88,2.92,2.1636,2.29
90,2020-11-06,2.85,3.1,2.52,2.66
89,2020-11-05,3.04,6.45,2.96,3.41
88,2020-11-04,1.92,1.9275,1.8004,1.9
87,2020-11-03,1.84,1.9084,1.83,1.88
86,2020-11-02,1.88,1.9,1.81,1.81
85,2020-10-30,1.94,1.94,1.76,1.91
84,2020-10-29,1.95,1.95,1.8159,1.94
83,2020-10-28,2.04,2.05,1.9,1.92
82,2020-10-27,1.96,2.05,1.84,2.03
81,2020-10-26,2.14,2.175,1.96,2.02
80,2020-10-23,2.1,2.149,2.06,2.06
79,2020-10-22,2.12,2.12,2.02,2.1
78,2020-10-21,2.2,2.2,2.09,2.1
77,2020-10-20,2.1985,2.35,2.17,2.2
76,2020-10-19,2.39,2.39,2.18,2.21
75,2020-10-16,2.39,2.4685,2.39,2.4
74,2020-10-15,2.54,2.54,2.36,2.37
73,2020-10-14,2.4,2.5,2.36,2.46
72,2020-10-13,2.5808,2.5808,2.3098,2.4
71,2020-10-12,2.55,2.55,2.36,2.39
70,2020-10-09,2.38,2.59,2.2801,2.4
69,2020-10-08,2.45,2.45,2.2,2.28
68,2020-10-07,2.15,2.58,2.12,2.46
67,2020-10-06,2.1,2.19,2.0,2.12
66,2020-10-05,2.14,2.179,1.97,2.1
65,2020-10-02,2.1,2.2,2.05,2.08
64,2020-10-01,2.36,2.45,2.24,2.29
63,2020-09-30,2.38,2.53,2.31,2.49
62,2020-09-29,2.61,2.6399,2.42,2.52
61,2020-09-28,2.66,2.66,2.52,2.59
60,2020-09-25,2.5,2.62,2.5,2.55
59,2020-09-24,2.62,2.89,2.48,2.53
58,2020-09-23,2.68,2.69,2.385,2.56
57,2020-09-22,3.15,3.21,2.72,2.8
56,2020-09-21,3.54,3.58,3.14,3.14
55,2020-09-18,3.69,3.87,3.59,3.59
54,2020-09-17,3.66,3.79,3.6,3.65
53,2020-09-16,3.82,3.85,3.565,3.65
52,2020-09-15,4.08,4.08,3.815,3.91
51,2020-09-14,4.25,4.28,3.96,4.03
50,2020-09-11,4.15,4.39,4.12,4.275
49,2020-09-10,4.59,4.71,4.105,4.27
48,2020-09-09,3.93,4.8,3.8,4.5901
47,2020-09-08,3.86,3.995,3.71,3.75
46,2020-09-04,4.03,4.05,3.58,3.86
45,2020-09-03,4.11,4.19,3.7601,4.01
44,2020-09-02,4.16,4.2675,4.05,4.14
43,2020-09-01,4.26,4.3199,4.11,4.17
42,2020-08-31,4.42,4.44,4.23,4.33
41,2020-08-28,4.43,4.68,4.39,4.45
40,2020-08-27,4.44,4.64,4.25,4.43
39,2020-08-26,4.84,5.04,4.44,4.47
38,2020-08-25,4.3,4.9199,4.22,4.89
37,2020-08-24,4.45,4.58,4.21,4.29
36,2020-08-21,4.53,4.68,4.3501,4.44
35,2020-08-20,4.4,4.72,4.23,4.45
34,2020-08-19,4.17,4.498,4.1,4.34
33,2020-08-18,4.15,4.26,4.14,4.18
32,2020-08-17,4.41,4.41,4.08,4.16
31,2020-08-14,4.43,4.43,4.22,4.28
30,2020-08-13,4.31,4.49,4.3,4.44
29,2020-08-12,5.095,5.2,4.1,4.1
28,2020-08-11,5.49,5.49,5.06,5.08
27,2020-08-10,5.6,5.6,5.0701,5.3
26,2020-08-07,5.5,5.87,5.36,5.67
25,2020-08-06,5.9,6.25,5.4,5.65
24,2020-08-05,5.37,5.4099,5.25,5.32
23,2020-08-04,5.25,5.58,5.2,5.3
22,2020-08-03,5.39,5.42,5.11,5.25
21,2020-07-31,5.29,5.44,5.11,5.44
20,2020-07-30,5.45,5.5499,5.25,5.3
19,2020-07-29,5.58,5.71,5.25,5.56
18,2020-07-28,5.7,5.94,5.4,5.585
17,2020-07-27,5.75,6.15,5.5,5.72
16,2020-07-24,5.39,5.4899,5.2,5.44
15,2020-07-23,6.21,6.21,5.3,5.5
14,2020-07-22,6.08,6.08,5.5201,5.62
13,2020-07-21,6.58,6.63,6.0,6.05
12,2020-07-20,5.68,7.1,5.35,6.6
11,2020-07-17,5.55,5.64,5.192,5.6
10,2020-07-16,5.55,5.7,5.44,5.57
9,2020-07-15,5.67,5.89,5.26,5.71
8,2020-07-14,5.5,5.86,5.07,5.55
7,2020-07-13,6.3,6.35,5.34,5.36
6,2020-07-10,7.15,7.265,6.4,6.45
5,2020-07-09,7.79,8.2,7.15,7.35
4,2020-07-08,6.99,8.72,5.85,8.395
3,2020-07-07,7.03,7.48,6.69,6.76
2,2020-07-06,9.65,9.94,7.4,7.84
1,2020-07-02,10.74,12.31,8.51,9.3
0,2020-07-01,12.3,12.7,11.75,12.0
