,Date,Open,High,Low,Close
78,2020-12-14,1.5,2.74,1.07,2.27
77,2020-12-11,2.21,2.71,1.77,1.77
76,2020-12-10,1.4,3.02,1.4,2.23
75,2020-12-09,1.88,1.96,1.54,1.6
74,2020-12-08,1.24,1.89,1.155,1.65
73,2020-12-07,0.97,1.24,0.97,1.17
72,2020-12-04,1.2,1.37,0.95,0.95
71,2020-12-03,1.12,1.12,1.12,1.12
70,2020-12-02,1.14,1.15,1.045,1.12
69,2020-12-01,0.89,0.89,0.89,0.89
68,2020-11-30,0.88,0.96,0.88,0.89
67,2020-11-27,0.96,0.96,0.96,0.96
66,2020-11-25,0.8917,0.96,0.8917,0.96
65,2020-11-24,0.8,0.8,0.8,0.8
64,2020-11-23,0.8,0.8,0.8,0.8
63,2020-11-20,0.78,0.92,0.78,0.92
62,2020-11-19,0.73,0.8,0.73,0.8
61,2020-11-18,0.6,0.753,0.58,0.753
60,2020-11-17,0.96,0.96,0.96,0.96
59,2020-11-16,0.96,0.96,0.96,0.96
58,2020-11-13,0.7501,0.7501,0.7501,0.7501
57,2020-11-12,0.765,0.7651,0.7501,0.7501
56,2020-11-11,0.81,0.81,0.81,0.81
55,2020-11-10,0.82,0.99,0.7677,0.7677
54,2020-11-09,0.8,1.145,0.57,0.57
53,2020-11-06,0.57,0.58,0.55,0.55
52,2020-11-05,0.6,0.6,0.55,0.55
51,2020-11-04,0.56,0.675,0.54,0.54
50,2020-11-03,0.75,0.75,0.675,0.75
49,2020-11-02,0.78,0.798,0.78,0.798
48,2020-10-30,1.04,1.04,1.04,1.04
47,2020-10-29,1.96,1.96,0.6,1.96
46,2020-10-28,1.37,1.37,0.6207,0.6207
45,2020-10-27,0.52,0.52,0.52,0.52
44,2020-10-26,0.52,0.52,0.52,0.52
43,2020-10-23,0.52,0.52,0.52,0.52
42,2020-10-22,0.77,0.77,0.52,0.52
41,2020-10-21,0.86,0.86,0.85,0.85
40,2020-10-20,0.83,0.83,0.83,0.83
39,2020-10-19,0.83,0.83,0.83,0.83
38,2020-10-16,0.83,0.83,0.83,0.83
37,2020-10-15,0.83,0.83,0.83,0.83
36,2020-10-14,1.1,1.1,1.1,1.1
35,2020-10-13,1.1,1.1,1.1,1.1
34,2020-10-12,1.1,1.1,1.1,1.1
33,2020-10-09,1.1,1.1,1.1,1.1
32,2020-10-08,1.05,1.12,1.05,1.1
31,2020-10-07,0.9,0.9,0.9,0.9
30,2020-10-06,0.85,0.88,0.85,0.88
29,2020-10-05,0.8898,0.89,0.8898,0.8899
28,2020-10-02,0.8979,0.8979,0.8979,0.8979
27,2020-10-01,0.875,0.9,0.875,0.8979
26,2020-09-30,0.8502,0.8502,0.8502,0.8502
25,2020-09-29,0.85,0.8545,0.85,0.8502
24,2020-09-28,0.8998,0.8998,0.8998,0.8998
23,2020-09-25,0.8998,0.8998,0.8998,0.8998
22,2020-09-24,0.8998,0.8998,0.8998,0.8998
21,2020-09-23,0.8998,0.8998,0.8998,0.8998
20,2020-09-22,0.84,0.9,0.84,0.8998
19,2020-09-21,0.9007,0.9007,0.9007,0.9007
18,2020-09-18,0.9007,0.9007,0.9007,0.9007
17,2020-09-17,0.9,0.9007,0.9,0.9007
16,2020-09-16,0.9788,0.99,0.81,0.81
15,2020-09-15,0.94,0.94,0.75,0.8
14,2020-09-14,0.85,0.98,0.85,0.98
13,2020-09-11,0.75,0.8,0.75,0.8
12,2020-09-10,1.13,1.13,0.85,0.8883
11,2020-09-09,0.99,1.18,0.99,1.18
10,2020-09-08,1.07,1.07,0.99,0.99
9,2020-09-04,1.1,1.1001,0.99,0.99
8,2020-09-03,1.05,1.05,1.05,1.05
7,2020-09-02,1.09,1.09,1.09,1.09
6,2020-09-01,1.22,1.24,1.05,1.11
5,2020-08-31,1.1,1.3,1.1,1.24
4,2020-08-28,1.1325,1.1325,1.06,1.06
3,2020-08-27,1.16,1.1601,1.11,1.1436
2,2020-08-26,1.0,1.48,1.0,1.21
1,2020-08-25,0.8922,2.5,0.87,1.4
0,2020-08-24,0.77,0.8,0.77,0.8
