,Date,Open,High,Low,Close
5314,2020-12-14,23.12,23.515,23.12,23.21
5313,2020-12-11,23.01,23.345,22.9074,23.11
5312,2020-12-10,22.89,23.44,22.85,23.17
5311,2020-12-09,23.15,23.79,23.14,23.19
5310,2020-12-08,23.33,23.76,23.3,23.52
5309,2020-12-07,23.57,23.89,23.36,23.68
5308,2020-12-04,23.26,23.88,23.25,23.78
5307,2020-12-03,22.8,23.43,22.76,23.24
5306,2020-12-02,22.355,22.98,22.255,22.82
5305,2020-12-01,22.22,22.59,22.08,22.38
5304,2020-11-30,22.09,22.285,21.8,21.93
5303,2020-11-27,22.05,22.385,22.02,22.27
5302,2020-11-25,22.88,23.35,21.86,22.25
5301,2020-11-24,21.32,21.94,21.26,21.75
5300,2020-11-23,20.7,21.27,20.58,21.19
5299,2020-11-20,20.52,20.685,20.325,20.45
5298,2020-11-19,20.36,20.575,20.13,20.5
5297,2020-11-18,20.61,20.95,20.44,20.45
5296,2020-11-17,20.03,20.9,19.85,20.5
5295,2020-11-16,19.89,20.385,19.735,20.3
5294,2020-11-13,19.06,19.655,19.03,19.61
5293,2020-11-12,19.21,19.3581,18.69,18.93
5292,2020-11-11,19.92,19.95,19.2,19.36
5291,2020-11-10,19.77,20.075,19.66,19.87
5290,2020-11-09,19.92,20.6,19.64,19.73
5289,2020-11-06,19.1,19.34,18.97,19.25
5288,2020-11-05,18.6,19.195,18.59,19.13
5287,2020-11-04,18.64,18.665,18.25,18.28
5286,2020-11-03,18.68,18.79,18.555,18.62
5285,2020-11-02,18.18,18.49,18.02,18.41
5284,2020-10-30,17.63,17.97,17.52,17.96
5283,2020-10-29,17.28,17.91,17.25,17.78
5282,2020-10-28,17.45,17.75,17.3,17.35
5281,2020-10-27,18.28,18.38,17.96,17.98
5280,2020-10-26,18.88,19.0,18.065,18.25
5279,2020-10-23,19.3,19.45,19.06,19.12
5278,2020-10-22,19.17,19.445,18.98,19.35
5277,2020-10-21,19.31,19.47,19.21,19.22
5276,2020-10-20,19.51,19.76,19.36,19.37
5275,2020-10-19,19.67,19.77,19.315,19.36
5274,2020-10-16,19.62,19.82,19.585,19.6
5273,2020-10-15,19.27,19.58,19.11,19.56
5272,2020-10-14,19.68,19.93,19.47,19.5
5271,2020-10-13,19.96,19.97,19.55,19.68
5270,2020-10-12,19.57,19.845,19.335,19.83
5269,2020-10-09,19.61,19.68,19.24,19.37
5268,2020-10-08,19.36,19.51,19.275,19.4
5267,2020-10-07,19.16,19.31,19.04,19.23
5266,2020-10-06,19.5,19.6,18.945,18.96
5265,2020-10-05,19.32,19.59,19.1,19.31
5264,2020-10-02,18.53,19.305,18.5,19.09
5263,2020-10-01,19.1,19.28,18.93,19.0
5262,2020-09-30,18.88,19.32,18.84,18.99
5261,2020-09-29,18.85,19.15,18.835,18.92
5260,2020-09-28,18.6,18.945,18.56,18.86
5259,2020-09-25,18.0,18.46,17.97,18.3
5258,2020-09-24,18.12,18.415,17.83,18.15
5257,2020-09-23,18.71,18.95,18.26,18.32
5256,2020-09-22,18.42,18.59,18.27,18.44
5255,2020-09-21,18.52,18.58,18.09,18.34
5254,2020-09-18,19.09,19.25,18.875,18.95
5253,2020-09-17,19.14,19.26,18.885,19.14
5252,2020-09-16,19.43,19.755,19.37,19.41
5251,2020-09-15,19.43,19.755,19.245,19.26
5250,2020-09-14,19.5,19.63,19.28,19.33
5249,2020-09-11,19.19,19.465,19.035,19.29
5248,2020-09-10,19.78,19.84,18.975,19.01
5247,2020-09-09,19.51,19.83,19.45,19.7
5246,2020-09-08,18.87,19.98,18.73,19.45
5245,2020-09-04,19.25,19.5,18.92,19.23
5244,2020-09-03,19.67,20.045,19.11,19.3
5243,2020-09-02,19.38,19.9,19.3326,19.84
5242,2020-09-01,19.53,19.55,19.055,19.26
5241,2020-08-31,19.8,20.17,19.55,19.55
5240,2020-08-28,19.28,20.18,18.8501,19.85
5239,2020-08-27,18.5,18.8645,18.35,18.7
5238,2020-08-26,18.5,18.58,18.3,18.33
5237,2020-08-25,18.72,18.795,18.3,18.44
5236,2020-08-24,18.42,18.83,18.42,18.65
