,Date,Open,High,Low,Close
5314,2020-12-14,17.97,18.11,17.63,17.64
5313,2020-12-11,17.89,18.16,17.48,17.52
5312,2020-12-10,18.1,18.37,17.55,18.2
5311,2020-12-09,19.37,19.6,18.3,18.41
5310,2020-12-08,18.84,19.34,18.61,19.16
5309,2020-12-07,19.07,19.42,18.61,19.15
5308,2020-12-04,18.25,19.15,18.08,19.13
5307,2020-12-03,17.98,18.54,17.69,18.03
5306,2020-12-02,17.6,17.98,17.3,17.9
5305,2020-12-01,17.37,17.66,17.03,17.58
5304,2020-11-30,17.71,17.85,16.85,16.95
5303,2020-11-27,18.01,18.24,17.87,18.01
5302,2020-11-25,18.33,18.44,17.82,18.02
5301,2020-11-24,18.16,18.94,17.93,18.5
5300,2020-11-23,16.98,17.9,16.98,17.84
5299,2020-11-20,16.98,17.095,16.72,17.01
5298,2020-11-19,16.59,17.16,16.1758,17.11
5297,2020-11-18,16.19,17.44,15.99,16.73
5296,2020-11-17,15.96,16.05,15.47,15.97
5295,2020-11-16,15.96,16.6,15.64,16.23
5294,2020-11-13,15.19,15.45,14.9,15.31
5293,2020-11-12,14.79,15.18,14.63,14.97
5292,2020-11-11,15.62,15.62,14.7,15.11
5291,2020-11-10,15.35,15.88,14.91,15.56
5290,2020-11-09,14.0,15.58,13.83,14.92
5289,2020-11-06,13.23,13.3,12.65,12.76
5288,2020-11-05,12.95,13.12,12.67,13.11
5287,2020-11-04,13.1,13.2,12.12,12.76
5286,2020-11-03,14.05,14.37,13.51,13.53
5285,2020-11-02,13.28,13.61,12.94,13.41
5284,2020-10-30,13.35,13.47,12.69,12.9
5283,2020-10-29,13.37,13.58,13.01,13.39
5282,2020-10-28,14.02,14.33,13.49,13.54
5281,2020-10-27,14.75,14.9,14.49,14.61
5280,2020-10-26,15.42,15.45,14.65,14.82
5279,2020-10-23,15.95,16.04,15.675,15.76
5278,2020-10-22,15.34,15.85,15.31,15.77
5277,2020-10-21,15.24,15.56,15.061,15.28
5276,2020-10-20,15.09,15.41,15.035,15.23
5275,2020-10-19,15.28,15.52,14.86,14.89
5274,2020-10-16,15.25,15.5499,15.03,15.17
5273,2020-10-15,14.47,15.38,14.37,15.3
5272,2020-10-14,15.1,15.26,14.61,14.63
5271,2020-10-13,15.12,15.15,14.7103,14.98
5270,2020-10-12,15.08,15.49,14.93,15.41
5269,2020-10-09,15.48,15.56,15.0,15.11
5268,2020-10-08,15.17,15.32,14.92,15.25
5267,2020-10-07,14.9,15.24,14.62,14.89
5266,2020-10-06,15.1,15.5,14.67,14.68
5265,2020-10-05,14.53,14.93,14.53,14.85
5264,2020-10-02,13.6,14.54,13.5101,14.43
5263,2020-10-01,14.0,14.17,13.78,14.03
5262,2020-09-30,13.85,14.48,13.76,13.91
5261,2020-09-29,13.96,14.21,13.65,13.78
5260,2020-09-28,13.46,14.21,13.46,13.97
5259,2020-09-25,13.03,13.255,12.98,13.09
5258,2020-09-24,12.92,13.351,12.56,13.07
5257,2020-09-23,13.45,13.7,12.87,12.89
5256,2020-09-22,13.92,14.02,13.43,13.45
5255,2020-09-21,14.91,15.0,13.86,14.0
5254,2020-09-18,15.54,16.11,15.24,15.34
5253,2020-09-17,14.5,15.48,14.16,15.37
5252,2020-09-16,13.91,14.72,13.62,14.56
5251,2020-09-15,13.81,14.07,13.59,13.74
5250,2020-09-14,13.29,13.66,13.04,13.61
5249,2020-09-11,13.63,13.72,13.19,13.2
5248,2020-09-10,13.76,13.85,13.365,13.48
5247,2020-09-09,13.67,13.81,13.32,13.68
5246,2020-09-08,14.06,14.11,13.3,13.53
5245,2020-09-04,14.56,14.71,13.955,14.35
5244,2020-09-03,14.61,14.9,13.99,14.19
5243,2020-09-02,14.46,14.61,14.1001,14.55
5242,2020-09-01,14.0,14.525,13.77,14.5
5241,2020-08-31,14.47,14.47,14.15,14.15
5240,2020-08-28,14.56,14.63,14.24,14.54
5239,2020-08-27,14.33,14.72,14.27,14.41
5238,2020-08-26,14.25,14.41,14.04,14.2
5237,2020-08-25,14.88,14.88,14.16,14.31
5236,2020-08-24,14.64,14.995,14.44,14.71
5235,2020-08-21,14.36,14.61,14.235,14.44
5234,2020-08-20,14.49,14.67,14.37,14.54
5233,2020-08-19,14.66,15.06,14.56,14.76
5232,2020-08-18,14.75,15.22,14.6,14.65
5231,2020-08-17,15.31,15.46,14.85,14.87
5230,2020-08-14,15.43,15.71,15.195,15.34
5229,2020-08-13,15.98,16.13,15.5,15.63
5228,2020-08-12,16.62,16.64,15.81,16.06
5227,2020-08-11,17.22,17.47,16.25,16.34
5226,2020-08-10,15.73,17.02,15.73,16.95
5225,2020-08-07,15.02,15.67,14.8702,15.66
5224,2020-08-06,15.51,15.818,14.35,15.15
5223,2020-08-05,17.5,17.5,15.6,16.31
5222,2020-08-04,16.7,16.91,16.47,16.6
5221,2020-08-03,16.18,16.91,15.68,16.86
5220,2020-07-31,15.62,15.97,15.49,15.96
5219,2020-07-30,15.39,15.88,15.12,15.83
5218,2020-07-29,15.2,15.74,15.175,15.72
5217,2020-07-28,15.2,15.43,15.11,15.19
5216,2020-07-27,15.29,15.51,15.03,15.4
5215,2020-07-24,15.31,15.55,15.14,15.32
5214,2020-07-23,14.9,15.45,14.88,15.42
5213,2020-07-22,14.6,14.95,14.49,14.93
5212,2020-07-21,14.48,14.87,14.37,14.81
5211,2020-07-20,14.24,14.42,13.93,14.29
5210,2020-07-17,14.27,14.42,14.09,14.3
5209,2020-07-16,14.25,14.41,14.02,14.26
5208,2020-07-15,14.22,14.49,13.93,14.32
5207,2020-07-14,13.17,13.72,13.0,13.71
5206,2020-07-13,13.15,13.55,12.68,13.26
5205,2020-07-10,12.22,12.95,12.0,12.92
5204,2020-07-09,12.38,12.39,11.83,12.16
5203,2020-07-08,12.42,12.59,12.05,12.42
5202,2020-07-07,12.81,12.85,12.41,12.43
5201,2020-07-06,13.26,13.33,12.84,13.04
5200,2020-07-02,13.31,13.59,12.84,12.89
5199,2020-07-01,13.54,13.69,12.82,12.85
5198,2020-06-30,13.37,13.6,13.02,13.51
5197,2020-06-29,13.04,13.45,12.76,13.15
5196,2020-06-26,12.92,13.03,12.32,12.7
5195,2020-06-25,12.43,13.18,12.32,13.09
5194,2020-06-24,12.69,12.95,12.13,12.58
5193,2020-06-23,12.7,13.235,12.48,13.06
5192,2020-06-22,12.41,12.5,12.14,12.45
5191,2020-06-19,13.11,13.1543,12.46,12.54
5190,2020-06-18,12.62,13.205,12.53,12.81
5189,2020-06-17,13.55,13.55,12.81,12.85
5188,2020-06-16,13.9,13.9,13.04,13.54
5187,2020-06-15,11.47,12.97,11.4,12.64
5186,2020-06-12,12.48,12.54,11.64,12.23
5185,2020-06-11,12.13,12.645,11.28,11.44
5184,2020-06-10,13.51,13.63,12.73,13.15
5183,2020-06-09,13.84,14.0,13.44,13.67
5182,2020-06-08,13.94,14.58,13.75,14.15
5181,2020-06-05,13.59,13.9,13.09,13.28
5180,2020-06-04,12.22,13.04,12.1,12.64
5179,2020-06-03,12.41,12.8,12.28,12.39
5178,2020-06-02,11.54,12.2598,11.31,12.01
5177,2020-06-01,11.21,11.81,11.1,11.43
5176,2020-05-29,11.0,11.29,10.91,11.16
5175,2020-05-28,11.67,11.77,11.12,11.29
5174,2020-05-27,11.05,11.54,11.05,11.46
5173,2020-05-26,9.81,10.84,9.56,10.57
5172,2020-05-22,9.67,9.67,9.1,9.38
5171,2020-05-21,9.96,10.05,9.55,9.61
5170,2020-05-20,9.54,10.08,9.36,9.95
5169,2020-05-19,9.27,9.77,8.88,9.27
5168,2020-05-18,8.6,9.34,8.6,9.3
5167,2020-05-15,8.35,8.7,8.16,8.39
5166,2020-05-14,7.52,8.435,7.52,8.38
5165,2020-05-13,8.22,8.25,7.61,7.73
5164,2020-05-12,9.07,9.16,8.2,8.21
5163,2020-05-11,9.72,9.77,8.945,9.02
5162,2020-05-08,8.91,10.115,8.91,9.95
5161,2020-05-07,7.87,8.16,7.87,8.1
5160,2020-05-06,8.35,8.435,7.7,7.71
5159,2020-05-05,9.02,9.14,8.22,8.36
5158,2020-05-04,8.5,8.72,8.2,8.72
5157,2020-05-01,9.61,9.69,8.445,8.59
5156,2020-04-30,9.8,10.26,9.41,9.98
5155,2020-04-29,9.59,10.27,9.38,10.09
5154,2020-04-28,9.1,9.4,8.78,9.1
5153,2020-04-27,8.31,8.85,8.2,8.72
5152,2020-04-24,8.17,8.305,8.0,8.2
5151,2020-04-23,7.59,8.26,7.5,8.1
5150,2020-04-22,7.72,7.83,7.22,7.55
5149,2020-04-21,7.57,7.79,7.345,7.53
5148,2020-04-20,7.65,8.02,7.56,7.87
5147,2020-04-17,7.83,8.14,7.81,7.94
5146,2020-04-16,7.51,7.61,7.14,7.43
5145,2020-04-15,7.56,7.99,7.435,7.52
5144,2020-04-14,8.37,8.725,7.83,8.02
5143,2020-04-13,8.31,8.38,7.8,8.17
5142,2020-04-09,9.06,9.5,8.03,8.31
5141,2020-04-08,8.03,9.05,7.7,8.9
5140,2020-04-07,7.26,7.99,7.16,7.7
5139,2020-04-06,5.93,6.9,5.89,6.6
5138,2020-04-03,6.25,6.38,5.81,6.13
5137,2020-04-02,6.07,6.83,6.06,6.37
5136,2020-04-01,6.68,6.75,6.0,6.21
5135,2020-03-31,6.9,7.17,6.59,6.97
5134,2020-03-30,6.51,6.96,6.135,6.85
5133,2020-03-27,7.11,7.11,6.15,6.33
5132,2020-03-26,7.14,8.09,6.71,7.57
5131,2020-03-25,7.74,8.0,6.91,7.07
5130,2020-03-24,7.0,7.59,6.85,7.37
5129,2020-03-23,6.3,6.74,5.89,6.5
5128,2020-03-20,6.02,6.64,5.45,6.26
5127,2020-03-19,4.6,6.06,4.5,5.9
5126,2020-03-18,5.71,6.15,4.19,4.57
5125,2020-03-17,6.48,6.66,5.625,6.11
5124,2020-03-16,6.36,7.12,6.25,6.37
5123,2020-03-13,7.33,7.53,6.56,7.31
5122,2020-03-12,6.88,7.33,6.28,6.63
5121,2020-03-11,7.75,7.88,7.24,7.7
5120,2020-03-10,8.74,8.94,7.555,8.05
5119,2020-03-09,9.26,9.65,8.2,8.3
5118,2020-03-06,10.27,10.97,10.0,10.29
5117,2020-03-05,11.31,11.325,10.39,10.66
5116,2020-03-04,11.73,11.79,11.33,11.68
5115,2020-03-03,12.21,12.515,11.18,11.4
5114,2020-03-02,12.28,12.28,11.32,12.18
5113,2020-02-28,10.1,12.0,10.1,11.99
5112,2020-02-27,11.36,11.36,9.46,10.66
5111,2020-02-26,12.72,12.77,11.74,11.84
5110,2020-02-25,14.06,14.06,12.45,12.55
5109,2020-02-24,14.5,14.71,14.06,14.09
5108,2020-02-21,14.47,15.49,13.9,15.1
5107,2020-02-20,15.44,15.77,15.06,15.48
5106,2020-02-19,15.52,15.82,15.25,15.6
5105,2020-02-18,15.47,15.5298,14.995,15.45
5104,2020-02-14,15.75,15.93,15.43,15.54
5103,2020-02-13,15.74,15.92,15.37,15.81
5102,2020-02-12,14.58,15.8,14.52,15.76
5101,2020-02-11,13.65,14.38,13.65,14.37
5100,2020-02-10,13.69,13.93,13.15,13.53
5099,2020-02-07,15.09,15.1352,13.2,13.67
5098,2020-02-06,15.46,15.53,14.94,15.26
5097,2020-02-05,15.08,15.64,14.92,15.4
5096,2020-02-04,15.14,15.14,14.66,14.8
5095,2020-02-03,14.9,15.11,14.55,14.72
5094,2020-01-31,15.03,15.49,14.82,14.9
5093,2020-01-30,14.69,15.09,14.67,15.08
5092,2020-01-29,14.88,15.39,14.85,14.94
5091,2020-01-28,14.53,15.06,14.2,14.81
5090,2020-01-27,15.56,15.56,14.21,14.36
5089,2020-01-24,16.53,16.53,15.69,15.8
5088,2020-01-23,19.23,19.465,18.73,19.44
5087,2020-01-22,19.61,19.72,19.37,19.38
5086,2020-01-21,19.75,19.88,19.42,19.6
5085,2020-01-17,20.42,20.43,19.87,19.95
5084,2020-01-16,19.75,20.39,19.65,20.2
5083,2020-01-15,19.42,19.87,19.27,19.53
5082,2020-01-14,20.41,20.41,19.88,19.97
5081,2020-01-13,20.57,20.64,20.12,20.34
5080,2020-01-10,21.8,22.12,20.51,20.56
5079,2020-01-09,22.07,22.1899,21.39,21.5
5078,2020-01-08,22.16,22.28,21.91,21.96
5077,2020-01-07,22.39,22.39,21.71,22.1
5076,2020-01-06,22.4,22.59,22.19,22.24
5075,2020-01-03,22.84,23.26,22.55,22.62
5074,2020-01-02,23.18,23.44,22.9,23.42
5073,2019-12-31,22.89,23.43,22.89,23.01
5072,2019-12-30,22.91,23.25,22.85,23.07
5071,2019-12-27,23.3,23.3,22.835,22.89
5070,2019-12-26,23.11,23.301,23.04,23.22
5069,2019-12-24,23.57,23.57,22.89,23.1
5068,2019-12-23,22.99,23.61,22.97,23.51
5067,2019-12-20,23.03,23.31,22.83,23.0
5066,2019-12-19,22.75,22.995,22.66,22.93
