,Date,Open,High,Low,Close
4468,2020-12-14,10.6,10.6,10.3988,10.58
4467,2020-12-11,10.21,10.5516,10.21,10.5516
4466,2020-12-10,10.5378,10.83,10.21,10.51
4465,2020-12-09,11.04,11.04,10.41,10.52
4464,2020-12-08,11.055,11.87,10.95,11.14
4463,2020-12-07,10.89,11.96,10.89,11.08
4462,2020-12-04,11.5,11.93,11.5,11.83
4461,2020-12-03,10.88,10.88,10.5,10.88
4460,2020-12-02,10.49,10.8028,10.49,10.75
4459,2020-12-01,10.21,10.58,10.1413,10.58
4458,2020-11-30,10.07,10.18,10.02,10.17
4457,2020-11-27,10.12,10.15,10.0,10.02
4456,2020-11-25,10.15,10.16,10.12,10.12
4455,2020-11-24,10.08,10.18,9.81,9.81
4454,2020-11-23,10.1,10.1,9.81,9.81
4453,2020-11-20,10.2,10.2,9.77,9.77
4452,2020-11-19,10.31,10.32,10.3,10.3
4451,2020-11-18,10.31,10.31,10.31,10.31
4450,2020-11-17,9.76,10.31,9.72,10.31
4449,2020-11-16,10.08,10.08,10.0,10.01
4448,2020-11-13,10.07,10.09,9.7415,10.0
4447,2020-11-12,10.02,10.03,10.02,10.03
4446,2020-11-11,10.6,10.6,10.08,10.08
4445,2020-11-10,9.91,9.91,9.91,9.91
4444,2020-11-09,10.5,10.5,9.86,9.91
4443,2020-11-06,10.1,10.1204,9.71,9.71
4442,2020-11-05,9.89,9.97,9.5901,9.6
4441,2020-11-04,10.1,10.1,10.1,10.1
4440,2020-11-03,10.0973,10.1,10.0973,10.1
4439,2020-11-02,10.42,10.47,10.1,10.1
4438,2020-10-30,10.37,10.405,10.3,10.3
4437,2020-10-29,10.43,10.63,10.41,10.63
4436,2020-10-28,10.05,10.5668,10.05,10.52
4435,2020-10-27,10.15,10.18,10.15,10.18
4434,2020-10-26,10.14,10.14,10.04,10.04
4433,2020-10-23,10.17,10.17,10.17,10.17
4432,2020-10-22,9.8868,10.19,9.8868,10.1
4431,2020-10-21,10.04,10.12,9.71,9.8919
4430,2020-10-20,10.0921,10.12,10.0101,10.11
4429,2020-10-19,10.105,10.15,10.0135,10.03
