,Date,Open,High,Low,Close
643,2020-12-14,25.75,25.95,25.7416,25.9
642,2020-12-11,25.99,25.99,25.77,25.9556
641,2020-12-10,26.01,26.1,26.0,26.08
640,2020-12-09,25.95,26.1,25.95,26.1
639,2020-12-08,25.87,25.94,25.8604,25.938
638,2020-12-07,25.86,25.95,25.79,25.95
637,2020-12-04,25.56,25.94,25.56,25.94
636,2020-12-03,25.7081,25.76,25.7081,25.76
635,2020-12-02,25.5,25.79,25.45,25.79
634,2020-12-01,25.97,25.97,25.32,25.71
633,2020-11-30,26.05,26.05,25.44,25.83
632,2020-11-27,26.07,26.11,26.05,26.11
631,2020-11-25,26.005,26.1173,25.91,26.09
630,2020-11-24,26.0683,26.11,26.0,26.0
629,2020-11-23,25.9161,26.13,25.9161,26.12
628,2020-11-20,25.8,25.8592,25.8,25.8592
627,2020-11-19,25.7334,25.9299,25.72,25.92
626,2020-11-18,25.8084,26.0,25.8084,25.8514
625,2020-11-17,25.8,25.98,25.8,25.87
624,2020-11-16,25.5,25.88,25.5,25.82
623,2020-11-13,25.5781,25.69,25.5435,25.69
622,2020-11-12,25.72,25.72,25.49,25.49
621,2020-11-11,25.608,25.7486,25.48,25.625
620,2020-11-10,25.36,25.66,25.36,25.66
619,2020-11-09,25.69,25.69,25.47,25.67
618,2020-11-06,25.33,25.33,25.33,25.33
617,2020-11-05,25.33,25.33,25.33,25.33
616,2020-11-04,25.36,25.5429,25.32,25.33
615,2020-11-03,25.36,25.4114,25.32,25.35
614,2020-11-02,25.3117,25.42,25.2397,25.4
613,2020-10-30,25.2533,25.3177,24.99,25.24
612,2020-10-29,25.23,25.41,25.14,25.14
611,2020-10-28,25.21,25.39,25.11,25.11
610,2020-10-27,25.51,25.51,25.27,25.28
609,2020-10-26,25.55,25.6396,25.55,25.6396
608,2020-10-23,25.56,25.76,25.56,25.74
607,2020-10-22,25.33,25.65,25.33,25.54
606,2020-10-21,25.624,25.624,25.624,25.624
605,2020-10-20,25.75,25.77,25.7042,25.71
604,2020-10-19,25.6023,25.7046,25.52,25.52
603,2020-10-16,25.64,25.7894,25.4882,25.52
602,2020-10-15,25.46,25.8,25.46,25.65
601,2020-10-14,25.45,25.72,25.4309,25.6339
