,Date,Open,High,Low,Close
1374,2020-12-14,8.92,9.05,8.92,9.02
1373,2020-12-11,8.96,9.05,8.9,8.99
1372,2020-12-10,8.94,9.09,8.74,9.04
1371,2020-12-09,9.05,9.1,8.9438,9.04
1370,2020-12-08,8.88,9.18,8.82,9.01
1369,2020-12-07,8.6,8.98,8.15,8.91
1368,2020-12-04,8.42,8.68,8.3,8.55
1367,2020-12-03,7.95,8.28,7.86,8.2
1366,2020-12-02,7.34,7.93,7.25,7.93
1365,2020-12-01,7.23,7.49,7.17,7.39
1364,2020-11-30,7.59,7.6899,7.22,7.26
1363,2020-11-27,7.52,7.95,7.51,7.6
1362,2020-11-25,7.47,7.6802,7.47,7.59
1361,2020-11-24,7.42,7.5,7.25,7.43
1360,2020-11-23,7.09,7.41,7.08,7.35
1359,2020-11-20,6.85,7.1,6.83,7.07
1358,2020-11-19,7.0,7.1,6.85,6.88
1357,2020-11-18,7.02,7.11,6.77,6.95
1356,2020-11-17,7.08,7.18,6.94,7.01
1355,2020-11-16,6.94,7.18,6.8,7.14
1354,2020-11-13,6.51,6.98,6.505,6.82
1353,2020-11-12,6.18,6.54,6.12,6.37
1352,2020-11-11,5.9,6.34,5.9,6.18
1351,2020-11-10,5.95,6.21,5.9,5.91
1350,2020-11-09,6.4,6.4,5.9,5.93
1349,2020-11-06,6.0,6.24,5.75,6.1
1348,2020-11-05,5.9,6.7,5.9,6.09
1347,2020-11-04,5.98,6.135,5.93,6.09
1346,2020-11-03,6.05,6.22,5.9,5.97
1345,2020-11-02,5.77,5.94,5.529,5.87
1344,2020-10-30,6.04,6.05,5.54,5.62
1343,2020-10-29,5.68,6.02,5.68,6.02
1342,2020-10-28,5.7,5.76,5.51,5.59
1341,2020-10-27,6.05,6.05,5.7,5.76
1340,2020-10-26,5.91,5.92,5.67,5.83
1339,2020-10-23,6.35,6.4,5.26,5.94
1338,2020-10-22,5.85,6.4,5.85,6.28
1337,2020-10-21,5.9701,6.0,5.731,5.89
1336,2020-10-20,6.21,6.35,6.15,6.23
1335,2020-10-19,5.66,6.53,5.55,6.05
1334,2020-10-16,5.62,5.87,5.62,5.69
1333,2020-10-15,5.65,5.76,5.63,5.68
