,Date,Open,High,Low,Close
4386,2020-12-14,3.51,3.59,3.44,3.46
4385,2020-12-11,3.57,3.59,3.4916,3.54
4384,2020-12-10,3.58,3.66,3.511,3.57
4383,2020-12-09,3.61,3.655,3.5,3.56
4382,2020-12-08,3.73,3.74,3.615,3.65
4381,2020-12-07,3.52,3.77,3.5172,3.7
4380,2020-12-04,3.52,3.58,3.47,3.51
4379,2020-12-03,3.61,3.62,3.465,3.54
4378,2020-12-02,3.56,3.6,3.495,3.58
4377,2020-12-01,3.47,3.57,3.425,3.56
4376,2020-11-30,3.29,3.39,3.25,3.37
4375,2020-11-27,3.28,3.37,3.26,3.34
4374,2020-11-25,3.36,3.44,3.265,3.33
4373,2020-11-24,3.24,3.37,3.2,3.27
4372,2020-11-23,3.4,3.425,3.26,3.28
4371,2020-11-20,3.42,3.51,3.4,3.41
4370,2020-11-19,3.32,3.41,3.31,3.37
4369,2020-11-18,3.45,3.45,3.34,3.36
4368,2020-11-17,3.47,3.51,3.39,3.42
4367,2020-11-16,3.53,3.58,3.47,3.49
4366,2020-11-13,3.58,3.6,3.49,3.53
4365,2020-11-12,3.48,3.6,3.46,3.51
4364,2020-11-11,3.47,3.48,3.39,3.43
4363,2020-11-10,3.62,3.63,3.44,3.45
4362,2020-11-09,3.64,3.64,3.48,3.6
4361,2020-11-06,3.97,3.99,3.825,3.84
4360,2020-11-05,3.73,4.0,3.67,3.95
4359,2020-11-04,3.74,3.75,3.53,3.58
4358,2020-11-03,3.76,3.775,3.64,3.72
4357,2020-11-02,3.73,3.78,3.5,3.71
4356,2020-10-30,3.65,3.68,3.54,3.67
4355,2020-10-29,3.53,3.6487,3.51,3.6
4354,2020-10-28,3.87,3.88,3.53,3.56
4353,2020-10-27,3.94,3.99,3.88,3.97
4352,2020-10-26,3.92,4.03,3.88,3.89
4351,2020-10-23,3.96,3.975,3.855,3.94
4350,2020-10-22,3.9,3.94,3.83,3.94
4349,2020-10-21,3.9,4.025,3.88,3.96
4348,2020-10-20,3.83,3.925,3.8,3.86
4347,2020-10-19,3.95,3.99,3.83,3.83
4346,2020-10-16,4.03,4.06,3.9,3.92
4345,2020-10-15,4.03,4.1,4.0,4.02
4344,2020-10-14,4.14,4.2,4.08,4.1
4343,2020-10-13,4.06,4.1,3.96,4.07
4342,2020-10-12,4.07,4.295,4.05,4.16
4341,2020-10-09,3.99,4.09,3.96,4.08
4340,2020-10-08,3.77,3.94,3.75,3.92
4339,2020-10-07,3.77,3.8014,3.7,3.7
4338,2020-10-06,3.94,4.0,3.72,3.72
4337,2020-10-05,3.93,3.995,3.88,3.93
4336,2020-10-02,3.89,3.92,3.805,3.89
4335,2020-10-01,3.89,3.94,3.84,3.9
4334,2020-09-30,3.82,3.9181,3.775,3.83
4333,2020-09-29,3.82,3.9199,3.79,3.86
4332,2020-09-28,3.84,3.88,3.72,3.79
4331,2020-09-25,3.81,3.83,3.71,3.8
4330,2020-09-24,3.55,3.86,3.5309,3.84
4329,2020-09-23,3.8,3.82,3.58,3.61
4328,2020-09-22,3.96,4.0,3.825,3.84
