,Date,Open,High,Low,Close
5314,2020-12-14,1.17,1.2,1.09,1.1
5313,2020-12-11,1.22,1.22,1.12,1.16
5312,2020-12-10,1.08,1.23,1.07,1.22
5311,2020-12-09,1.1,1.13,1.08,1.11
5310,2020-12-08,1.11,1.14,1.08,1.09
5309,2020-12-07,1.1,1.18,1.05,1.15
5308,2020-12-04,1.2173,1.36,1.0,1.13
5307,2020-12-03,0.82,0.8994,0.81,0.877
5306,2020-12-02,0.9115,0.915,0.8179,0.8501
5305,2020-12-01,0.9135,0.93,0.8756,0.912
5304,2020-11-30,0.92,0.9454,0.8343,0.87
5303,2020-11-27,1.0,1.0,0.8838,0.9151
5302,2020-11-25,0.9836,1.0928,0.9304,0.979
5301,2020-11-24,0.835,1.04,0.82,0.9728
5300,2020-11-23,0.8067,0.8461,0.7901,0.8118
5299,2020-11-20,0.7798,0.7957,0.7538,0.79
5298,2020-11-19,0.7803,0.7963,0.76,0.7798
5297,2020-11-18,0.7606,0.828,0.74,0.78
5296,2020-11-17,0.75,0.7742,0.7302,0.7677
5295,2020-11-16,0.7652,0.7697,0.7001,0.7302
5294,2020-11-13,0.775,0.78,0.7349,0.7502
5293,2020-11-12,0.743,0.819,0.73,0.7699
5292,2020-11-11,0.75,0.77,0.715,0.74
5291,2020-11-10,0.66,0.76,0.66,0.7398
5290,2020-11-09,0.651,0.6998,0.6406,0.6633
5289,2020-11-06,0.6485,0.6537,0.62,0.63
5288,2020-11-05,0.6409,0.6799,0.605,0.6395
5287,2020-11-04,0.66,0.66,0.62,0.6251
5286,2020-11-03,0.64,0.6469,0.61,0.635
5285,2020-11-02,0.66,0.6866,0.6328,0.64
5284,2020-10-30,0.7,0.73,0.651,0.6612
5283,2020-10-29,0.675,0.8887,0.67,0.7299
5282,2020-10-28,0.71,0.71,0.65,0.6732
5281,2020-10-27,0.699,0.699,0.6521,0.6917
5280,2020-10-26,0.74,0.74,0.675,0.6991
5279,2020-10-23,0.72,0.75,0.703,0.728
5278,2020-10-22,0.7842,0.8599,0.7211,0.7657
5277,2020-10-21,0.698,0.7115,0.6825,0.6949
5276,2020-10-20,0.7097,0.7263,0.681,0.719
5275,2020-10-19,0.71,0.74,0.7,0.7035
5274,2020-10-16,0.75,0.75,0.717,0.74
5273,2020-10-15,0.7326,0.75,0.7,0.7489
5272,2020-10-14,0.7522,0.8154,0.72,0.73
5271,2020-10-13,1.01,1.04,0.77,0.79
5270,2020-10-12,0.7627,1.14,0.7348,1.03
5269,2020-10-09,0.73,0.756,0.7131,0.7264
5268,2020-10-08,0.7122,0.747,0.71,0.7361
5267,2020-10-07,0.7099,0.769,0.698,0.701
5266,2020-10-06,0.666,0.72,0.666,0.6983
5265,2020-10-05,0.699,0.7132,0.6856,0.6901
5264,2020-10-02,0.7,0.71,0.69,0.7003
5263,2020-10-01,0.704,0.73,0.6805,0.7
5262,2020-09-30,0.7,0.748,0.6965,0.713
5261,2020-09-29,0.75,0.78,0.75,0.7552
5260,2020-09-28,0.7222,0.77,0.7222,0.751
5259,2020-09-25,0.72,0.8053,0.7171,0.74
5258,2020-09-24,0.67,0.7192,0.6362,0.6779
5257,2020-09-23,0.73,0.7452,0.6543,0.662
5256,2020-09-22,0.75,0.7651,0.721,0.722
5255,2020-09-21,0.7437,0.819,0.7403,0.75
5254,2020-09-18,0.75,0.8164,0.7401,0.753
5253,2020-09-17,0.7309,0.76,0.7309,0.735
5252,2020-09-16,0.74,0.78,0.722,0.722
5251,2020-09-15,0.7088,0.7344,0.7088,0.7274
5250,2020-09-14,0.67,0.713,0.6672,0.71
5249,2020-09-11,0.7005,0.7237,0.672,0.69
5248,2020-09-10,0.72,0.72,0.683,0.695
5247,2020-09-09,0.72,0.72,0.6702,0.69
5246,2020-09-08,0.68,0.7159,0.6708,0.6811
5245,2020-09-04,0.7,0.74,0.67,0.68
5244,2020-09-03,0.7589,0.7721,0.69,0.69
5243,2020-09-02,0.84,0.85,0.7197,0.7603
5242,2020-09-01,0.8301,0.87,0.712,0.7759
5241,2020-08-31,0.8,0.8374,0.8,0.81
5240,2020-08-28,0.864,0.87,0.83,0.8405
5239,2020-08-27,0.8407,0.8859,0.83,0.8535
5238,2020-08-26,0.91,0.92,0.8365,0.8457
5237,2020-08-25,0.8943,0.9,0.85,0.8632
5236,2020-08-24,0.93,0.93,0.88,0.885
5235,2020-08-21,0.8849,0.9239,0.86,0.89
5234,2020-08-20,0.89,0.9261,0.87,0.88
5233,2020-08-19,0.947,0.947,0.91,0.9199
5232,2020-08-18,0.92,1.0499,0.91,0.91
5231,2020-08-17,0.984,1.0199,0.8949,0.9388
5230,2020-08-14,1.02,1.04,0.975,0.9976
5229,2020-08-13,1.05,1.0501,0.9119,0.9979
5228,2020-08-12,1.09,1.11,0.9999,1.04
5227,2020-08-11,1.11,1.1197,1.09,1.09
5226,2020-08-10,1.12,1.13,1.06,1.13
5225,2020-08-07,1.1,1.14,1.0711,1.12
5224,2020-08-06,1.15,1.15,1.05,1.12
5223,2020-08-05,1.07,1.19,1.07,1.18
5222,2020-08-04,1.2194,1.48,1.05,1.2
5221,2020-08-03,1.01,1.02,0.9549,0.993
5220,2020-07-31,1.02,1.03,1.0,1.015
5219,2020-07-30,1.0,1.03,0.9812,1.03
5218,2020-07-29,1.08,1.08,1.0,1.03
5217,2020-07-28,1.07,1.2,1.05,1.07
5216,2020-07-27,1.11,1.15,1.0659,1.09
5215,2020-07-24,1.02,1.14,1.02,1.12
5214,2020-07-23,1.03,1.08,1.02,1.06
5213,2020-07-22,1.07,1.09,1.03,1.03
5212,2020-07-21,1.02,1.09,1.02,1.09
5211,2020-07-20,1.05,1.08,0.98,1.02
5210,2020-07-17,1.04,1.11,1.02,1.05
5209,2020-07-16,1.08,1.12,1.04,1.12
5208,2020-07-15,0.91,1.2,0.91,1.16
5207,2020-07-14,1.53,1.53,1.0,1.04
5206,2020-07-13,0.83,0.84,0.74,0.78
5205,2020-07-10,0.83,0.89,0.81,0.84
5204,2020-07-09,0.91,0.91,0.8,0.82
5203,2020-07-08,0.79,0.9,0.78,0.86
5202,2020-07-07,0.79,0.83,0.74,0.75
5201,2020-07-06,0.88,0.93,0.71,0.83
5200,2020-07-02,0.92,0.94,0.91,0.93
5199,2020-07-01,0.93,0.96,0.9,0.94
5198,2020-06-30,0.92,0.97,0.9,0.93
5197,2020-06-29,1.0,1.0,0.9,0.92
5196,2020-06-26,1.0,1.0698,0.9,0.9271
5195,2020-06-25,1.13,1.16,0.9201,1.0199
5194,2020-06-24,1.09,1.1116,0.9608,1.0
5193,2020-06-23,1.17,1.17,1.09,1.115
5192,2020-06-22,1.1,1.24,1.08,1.13
5191,2020-06-19,1.11,1.14,1.06,1.08
5190,2020-06-18,1.17,1.17,1.05,1.11
5189,2020-06-17,1.13,1.19,1.12,1.16
5188,2020-06-16,1.15,1.209,1.1,1.14
5187,2020-06-15,1.03,1.16,1.0,1.1
5186,2020-06-12,1.09,1.2339,1.05,1.11
5185,2020-06-11,1.08,1.2837,1.05,1.05
5184,2020-06-10,1.52,1.65,1.36,1.43
5183,2020-06-09,1.13,1.92,1.05,1.77
5182,2020-06-08,0.94,1.19,0.93,1.09
5181,2020-06-05,0.9558,0.978,0.92,0.96
5180,2020-06-04,0.92,0.97,0.92,0.958
