,Date,Open,High,Low,Close
4231,2020-12-14,6.76,6.81,6.7335,6.77
4230,2020-12-11,6.71,6.735,6.65,6.71
4229,2020-12-10,6.68,6.78,6.68,6.7
4228,2020-12-09,6.77,6.77,6.7,6.74
4227,2020-12-08,6.67,6.75,6.61,6.75
4226,2020-12-07,6.81,6.85,6.66,6.69
4225,2020-12-04,6.72,6.82,6.705,6.79
4224,2020-12-03,6.61,6.695,6.61,6.68
4223,2020-12-02,6.62,6.675,6.6,6.62
4222,2020-12-01,6.72,6.75,6.55,6.65
4221,2020-11-30,6.61,6.7,6.585,6.65
4220,2020-11-27,6.67,6.68,6.61,6.64
4219,2020-11-25,6.68,6.71,6.6,6.62
4218,2020-11-24,6.59,6.74,6.5622,6.65
4217,2020-11-23,6.48,6.55,6.48,6.54
4216,2020-11-20,6.53,6.5467,6.46,6.47
4215,2020-11-19,6.45,6.55,6.44,6.54
4214,2020-11-18,6.57,6.64,6.52,6.52
4213,2020-11-17,6.46,6.55,6.46,6.54
4212,2020-11-16,6.47,6.52,6.43,6.5
4211,2020-11-13,6.34,6.415,6.31,6.41
4210,2020-11-12,6.33,6.38,6.3,6.31
4209,2020-11-11,6.24,6.375,6.234,6.33
4208,2020-11-10,6.17,6.25,6.13,6.2
4207,2020-11-09,6.16,6.3,6.11,6.14
4206,2020-11-06,6.0,6.0,5.895,5.93
4205,2020-11-05,5.88,6.0,5.875,6.0
4204,2020-11-04,5.78,5.87,5.76,5.82
4203,2020-11-03,5.7,5.78,5.7,5.75
4202,2020-11-02,5.66,5.69,5.62,5.66
4201,2020-10-30,5.63,5.656,5.57,5.6
4200,2020-10-29,5.57,5.63,5.52,5.62
4199,2020-10-28,5.71,5.73,5.49,5.57
4198,2020-10-27,5.81,5.83,5.76,5.76
4197,2020-10-26,5.87,5.87,5.77,5.84
4196,2020-10-23,5.93,5.955,5.89,5.89
4195,2020-10-22,5.87,5.93,5.87,5.92
4194,2020-10-21,5.91,5.95,5.89,5.89
4193,2020-10-20,5.94,5.97,5.92,5.94
4192,2020-10-19,5.98,6.0005,5.91,5.91
4191,2020-10-16,6.05,6.05,6.0,6.02
4190,2020-10-15,5.97,6.04,5.96,6.02
4189,2020-10-14,6.09,6.145,6.0,6.02
4188,2020-10-13,6.21,6.23,6.1,6.13
4187,2020-10-12,6.27,6.29,6.22,6.25
4186,2020-10-09,6.29,6.29,6.24,6.24
4185,2020-10-08,6.21,6.28,6.2003,6.28
4184,2020-10-07,6.18,6.235,6.17,6.19
4183,2020-10-06,6.21,6.235,6.16,6.16
4182,2020-10-05,6.18,6.23,6.12,6.23
