,Date,Open,High,Low,Close
5314,2020-12-14,41.23,41.7,40.6801,41.5
5313,2020-12-11,42.27,42.4,40.3901,40.95
5312,2020-12-10,42.66,42.73,41.97,42.51
5311,2020-12-09,41.79,43.11,41.5,42.71
5310,2020-12-08,39.68,41.89,38.12,41.77
5309,2020-12-07,37.81,38.06,37.36,37.41
5308,2020-12-04,37.72,37.84,37.31,37.68
5307,2020-12-03,37.53,37.92,36.98,37.54
5306,2020-12-02,37.62,37.9,37.01,37.65
5305,2020-12-01,37.68,38.43,37.31,37.81
5304,2020-11-30,37.61,37.91,37.15,37.59
5303,2020-11-27,37.99,37.99,37.11,37.67
5302,2020-11-25,37.44,38.12,37.1,37.96
5301,2020-11-24,38.0,38.55,37.7,37.95
5300,2020-11-23,37.77,38.0,37.219,37.69
5299,2020-11-20,37.36,37.9595,37.12,37.69
5298,2020-11-19,36.27,37.78,36.0907,37.64
5297,2020-11-18,37.34,37.985,36.3,36.4
5296,2020-11-17,38.32,38.51,37.145,37.22
5295,2020-11-16,38.34,38.63,38.01,38.32
5294,2020-11-13,37.93,38.01,37.085,37.72
5293,2020-11-12,38.95,39.1,36.915,37.79
5292,2020-11-11,38.24,39.16,37.62,39.16
5291,2020-11-10,36.51,38.67,36.26,38.09
5290,2020-11-09,36.86,37.49,36.3,36.34
5289,2020-11-06,36.84,37.34,36.035,36.34
5288,2020-11-05,36.35,36.98,36.25,36.71
5287,2020-11-04,36.48,36.79,35.99,36.18
5286,2020-11-03,35.96,36.77,35.82,36.59
5285,2020-11-02,36.26,36.88,35.075,35.59
5284,2020-10-30,35.57,36.26,35.5,35.86
5283,2020-10-29,35.33,36.15,35.05,35.72
5282,2020-10-28,35.88,36.09,35.37,35.42
5281,2020-10-27,36.55,36.92,36.02,36.09
5280,2020-10-26,36.14,36.82,36.09,36.77
5279,2020-10-23,36.62,37.0299,36.26,36.43
5278,2020-10-22,37.04,37.42,36.405,36.6
5277,2020-10-21,37.54,37.7326,37.17,37.22
5276,2020-10-20,38.41,38.5125,37.56,37.68
5275,2020-10-19,38.94,39.19,37.96,38.15
5274,2020-10-16,38.32,39.29,38.32,38.71
5273,2020-10-15,38.0,38.47,37.72,38.43
5272,2020-10-14,37.98,38.22,37.5501,38.1
5271,2020-10-13,37.81,38.43,37.54,38.31
5270,2020-10-12,38.54,38.772,37.9,37.97
5269,2020-10-09,38.08,38.81,38.01,38.55
5268,2020-10-08,38.86,38.86,37.85,38.07
5267,2020-10-07,39.27,39.32,38.5,38.56
5266,2020-10-06,39.5,39.67,38.775,39.03
5265,2020-10-05,38.8,39.5,38.8,39.21
5264,2020-10-02,38.7,39.2,38.11,38.86
5263,2020-10-01,38.11,39.28,38.065,39.17
5262,2020-09-30,37.88,38.23,37.6301,38.04
5261,2020-09-29,37.35,38.005,36.9,37.87
5260,2020-09-28,36.68,37.67,36.37,37.43
5259,2020-09-25,36.71,37.02,36.15,36.49
5258,2020-09-24,35.52,37.06,35.21,36.93
5257,2020-09-23,35.15,35.96,35.13,35.49
5256,2020-09-22,35.48,35.58,34.92,35.4
5255,2020-09-21,35.85,36.38,34.94,35.44
5254,2020-09-18,36.72,36.72,35.41,35.98
5253,2020-09-17,36.54,37.12,36.23,36.27
5252,2020-09-16,37.51,37.655,36.65,36.81
5251,2020-09-15,38.94,39.17,37.5,37.52
5250,2020-09-14,39.89,39.9528,38.75,38.75
5249,2020-09-11,39.89,40.06,39.14,39.9
5248,2020-09-10,39.59,39.78,39.05,39.6
5247,2020-09-09,38.86,39.69,38.64,39.52
5246,2020-09-08,39.12,39.26,37.79,38.65
5245,2020-09-04,40.33,40.34,39.03,39.05
5244,2020-09-03,40.73,41.26,39.83,40.07
5243,2020-09-02,40.13,40.79,39.9,40.64
5242,2020-09-01,40.51,40.715,39.7,39.96
5241,2020-08-31,40.35,40.89,40.0,40.4
5240,2020-08-28,41.71,41.71,40.14,40.25
5239,2020-08-27,41.08,41.765,41.08,41.43
5238,2020-08-26,41.88,41.995,40.835,41.2
5237,2020-08-25,42.16,42.2153,41.28,41.85
5236,2020-08-24,42.36,42.47,41.555,42.13
5235,2020-08-21,43.0,43.03,41.52,42.01
5234,2020-08-20,43.51,43.87,43.075,43.2
5233,2020-08-19,43.39,44.61,43.39,43.91
5232,2020-08-18,43.08,43.81,42.8,43.56
5231,2020-08-17,43.04,43.13,41.825,43.06
5230,2020-08-14,42.54,43.16,42.54,42.92
5229,2020-08-13,42.29,43.09,41.9518,42.66
5228,2020-08-12,42.41,42.745,42.05,42.49
5227,2020-08-11,43.19,43.34,41.94,42.1
5226,2020-08-10,43.0,43.12,42.06,42.8
5225,2020-08-07,40.38,43.21,40.38,42.97
5224,2020-08-06,41.12,42.505,40.32,40.64
5223,2020-08-05,41.0,41.0,39.46,39.9
5222,2020-08-04,39.46,41.28,39.46,40.93
5221,2020-08-03,40.13,40.27,38.93,39.62
5220,2020-07-31,41.0,41.72,39.85,40.25
5219,2020-07-30,43.63,43.76,40.82,40.87
5218,2020-07-29,43.78,44.49,43.5,44.01
5217,2020-07-28,43.32,44.05,43.09,43.69
5216,2020-07-27,41.29,43.46,41.0801,43.28
5215,2020-07-24,40.85,41.62,40.85,41.21
5214,2020-07-23,40.53,41.35,40.37,40.94
5213,2020-07-22,40.76,41.025,40.3,40.62
5212,2020-07-21,39.58,40.91,39.48,40.76
5211,2020-07-20,40.11,40.45,38.9,39.45
5210,2020-07-17,40.08,41.18,40.08,40.24
5209,2020-07-16,40.0,41.27,39.92,40.15
5208,2020-07-15,40.37,40.8,39.91,40.1
5207,2020-07-14,39.71,40.1,39.6,40.03
5206,2020-07-13,40.53,40.53,39.57,39.74
5205,2020-07-10,39.83,40.23,39.41,39.92
5204,2020-07-09,40.37,40.55,39.2,39.8
5203,2020-07-08,41.45,41.7,40.05,40.45
5202,2020-07-07,41.5,42.2,41.21,41.46
5201,2020-07-06,41.46,41.87,40.82,41.56
5200,2020-07-02,41.78,42.37,40.9,41.04
5199,2020-07-01,42.9,42.94,41.35,41.35
5198,2020-06-30,42.57,43.44,41.76,43.07
5197,2020-06-29,40.43,42.82,40.43,42.38
5196,2020-06-26,40.76,40.8,40.1,40.32
5195,2020-06-25,40.43,40.86,39.92,40.83
5194,2020-06-24,40.44,40.98,39.59,40.48
5193,2020-06-23,41.2,41.51,40.12,40.66
5192,2020-06-22,40.72,41.12,40.08,40.87
5191,2020-06-19,41.22,41.39,40.5,40.8
5190,2020-06-18,41.34,42.19,40.16,40.54
