,Date,Open,High,Low,Close
378,2020-12-14,26.9,26.9,25.54,26.65
377,2020-12-11,26.0,26.25,26.0,26.25
376,2020-12-10,25.8,25.8,25.8,25.8
375,2020-12-09,26.25,26.25,26.25,26.25
374,2020-12-08,25.94,26.25,25.77,25.77
373,2020-12-07,25.5701,25.5701,25.57,25.57
372,2020-12-04,25.92,25.94,25.92,25.94
371,2020-12-03,25.94,25.94,25.91,25.94
370,2020-12-02,25.8,25.92,25.8,25.8
369,2020-12-01,25.36,26.0,25.36,26.0
368,2020-11-30,25.34,25.8,25.33,25.34
367,2020-11-27,26.0,26.0,26.0,26.0
366,2020-11-25,26.0,26.0,26.0,26.0
365,2020-11-24,26.25,26.25,25.2518,26.0
364,2020-11-23,25.6,25.6,25.55,25.56
363,2020-11-20,26.0,26.0,26.0,26.0
362,2020-11-19,25.25,26.0,25.25,26.0
361,2020-11-18,25.99,25.99,25.418,25.6
360,2020-11-17,25.21,25.75,25.2,25.75
359,2020-11-16,25.18,25.5,25.18,25.5
358,2020-11-13,25.27,25.27,25.27,25.27
357,2020-11-12,25.75,25.75,25.75,25.75
356,2020-11-11,25.99,26.25,25.99,26.25
355,2020-11-10,24.93,24.93,24.93,24.93
354,2020-11-09,25.37,27.7,25.37,25.93
353,2020-11-06,25.37,25.37,25.37,25.37
352,2020-11-05,25.37,25.37,25.37,25.37
351,2020-11-04,25.2,25.37,25.2,25.37
350,2020-11-03,24.75,25.35,24.6,25.34
349,2020-11-02,25.37,25.37,25.37,25.37
348,2020-10-30,24.5,24.62,24.5,24.61
347,2020-10-29,25.3562,25.5,25.25,25.4246
346,2020-10-28,25.25,25.25,25.25,25.25
345,2020-10-27,25.4,25.4,25.4,25.4
344,2020-10-26,25.15,25.4,25.15,25.4
343,2020-10-23,25.25,25.25,25.25,25.25
342,2020-10-22,25.5,25.5,25.25,25.25
341,2020-10-21,25.5,25.5,25.5,25.5
340,2020-10-20,25.2,25.5,25.2,25.3
339,2020-10-19,25.1001,25.1001,25.1,25.1
338,2020-10-16,24.18,25.0,24.18,25.0
337,2020-10-15,24.99,25.0,24.99,25.0
336,2020-10-14,24.99,24.99,24.99,24.99
335,2020-10-13,24.99,24.99,24.99,24.99
334,2020-10-12,24.95,24.95,24.8822,24.8822
333,2020-10-09,24.89,24.99,24.89,24.99
332,2020-10-08,24.1287,24.99,24.1287,24.99
331,2020-10-07,24.1,24.1,24.1,24.1
330,2020-10-06,24.99,25.0,24.01,24.1
329,2020-10-05,24.96,24.96,24.96,24.96
328,2020-10-02,24.71,24.9,24.71,24.71
327,2020-10-01,24.7,24.7,24.7,24.7
326,2020-09-30,24.69,24.8,24.69,24.7
325,2020-09-29,24.25,24.65,24.25,24.65
324,2020-09-28,24.11,24.25,23.8,24.25
323,2020-09-25,23.08,23.2,23.02,23.2
322,2020-09-24,24.25,24.25,24.25,24.25
321,2020-09-23,24.2,24.25,24.0,24.25
320,2020-09-22,23.81,23.81,23.81,23.81
319,2020-09-21,24.0,24.0,24.0,24.0
318,2020-09-18,24.2,24.2,24.2,24.2
317,2020-09-17,24.2,24.2,24.2,24.2
316,2020-09-16,24.2,24.2,24.2,24.2
315,2020-09-15,24.2,24.2,24.031,24.2
314,2020-09-14,23.9192,24.2,23.8002,24.0
313,2020-09-11,23.99,23.99,23.8,23.8
312,2020-09-10,24.25,24.25,23.99,24.11
311,2020-09-09,23.9932,24.2,23.99,24.2
310,2020-09-08,24.23,24.24,24.2,24.2
309,2020-09-04,24.0,24.24,23.9,24.24
308,2020-09-03,23.91,23.91,23.6399,23.6399
307,2020-09-02,23.86,24.1178,23.86,23.97
306,2020-09-01,23.5,23.5,23.5,23.5
305,2020-08-31,24.25,24.25,23.5,23.5
304,2020-08-28,24.5,24.5,24.3938,24.3938
303,2020-08-27,24.5,24.5,24.0793,24.0793
302,2020-08-26,24.5,24.5,24.5,24.5
301,2020-08-25,24.15,24.15,24.1,24.15
300,2020-08-24,23.9,24.15,23.7998,24.075
299,2020-08-21,23.7501,23.7501,23.7501,23.7501
298,2020-08-20,23.75,23.7501,23.73,23.7501
297,2020-08-19,23.5,23.5,23.5,23.5
296,2020-08-18,23.03,23.5,23.03,23.5
295,2020-08-17,23.5,23.5,23.5,23.5
294,2020-08-14,23.75,23.75,23.75,23.75
293,2020-08-13,23.75,23.75,23.75,23.75
292,2020-08-12,23.35,23.75,23.25,23.75
291,2020-08-11,23.04,23.04,23.04,23.04
290,2020-08-10,23.0,23.0,23.0,23.0
289,2020-08-07,22.77,22.8,22.36,22.36
288,2020-08-06,22.5,22.77,22.14,22.75
287,2020-08-05,23.0,23.13,22.3967,22.5
286,2020-08-04,23.05,23.05,23.0,23.0
285,2020-08-03,22.75,23.5,22.75,23.0
284,2020-07-31,23.3,23.3,23.3,23.3
283,2020-07-30,23.2,23.2,22.41,22.41
282,2020-07-29,22.7502,22.7502,22.22,22.75
281,2020-07-28,23.0,23.05,23.0,23.05
280,2020-07-27,23.15,23.15,23.15,23.15
279,2020-07-24,23.0,23.15,23.0,23.15
278,2020-07-23,22.1,23.1,22.1,23.1
277,2020-07-22,23.05,23.125,23.05,23.125
276,2020-07-21,23.0,23.0,23.0,23.0
275,2020-07-20,23.2,23.2,23.2,23.2
274,2020-07-17,22.375,23.2,22.375,23.2
273,2020-07-16,21.75,23.0,21.75,22.21
272,2020-07-15,21.52,21.55,21.25,21.25
271,2020-07-14,22.35,22.35,21.25,22.25
270,2020-07-13,22.11,22.35,22.11,22.35
269,2020-07-10,22.1,22.1,22.1,22.1
268,2020-07-09,22.0,22.3,22.0,22.1
267,2020-07-08,22.0,22.0,21.75,21.75
266,2020-07-07,21.9,22.52,21.75,22.35
265,2020-07-06,21.15,21.15,21.15,21.15
264,2020-07-02,22.0,22.0,22.0,22.0
263,2020-07-01,21.06,21.06,21.05,21.05
262,2020-06-30,21.525,21.525,21.05,21.05
261,2020-06-29,21.55,21.58,21.01,21.01
260,2020-06-26,22.005,22.005,21.76,21.76
259,2020-06-25,21.76,21.76,21.76,21.76
258,2020-06-24,21.98,22.28,21.81,21.81
257,2020-06-23,21.81,21.81,21.81,21.81
256,2020-06-22,22.01,22.01,22.0,22.0
255,2020-06-19,22.4,22.4,22.4,22.4
254,2020-06-18,22.4,22.4,22.4,22.4
253,2020-06-17,21.55,21.99,21.55,21.7
252,2020-06-16,22.25,22.795,21.888,22.795
251,2020-06-15,23.0,23.0,23.0,23.0
250,2020-06-12,23.0,23.0,23.0,23.0
249,2020-06-11,23.0,23.0,22.36,22.6
248,2020-06-10,23.0,23.0,23.0,23.0
247,2020-06-09,22.805,22.85,22.805,22.85
246,2020-06-08,23.0,23.0,22.5,22.5
245,2020-06-05,22.25,23.08,22.25,22.97
244,2020-06-04,22.2,23.0,22.2,23.0
243,2020-06-03,22.05,22.05,22.05,22.05
242,2020-06-02,22.03,22.03,21.77,21.77
241,2020-06-01,22.25,22.25,22.25,22.25
240,2020-05-29,22.25,22.25,22.25,22.25
239,2020-05-28,22.6,22.6,22.6,22.6
238,2020-05-27,22.48,22.48,22.48,22.48
237,2020-05-26,22.5,22.5,22.052,22.47
236,2020-05-22,21.55,21.55,21.55,21.55
235,2020-05-21,22.5,22.5,22.5,22.5
234,2020-05-20,22.0,22.5,22.0,22.5
233,2020-05-19,22.14,22.14,21.0,21.5
232,2020-05-18,23.95,23.95,22.0,22.0
231,2020-05-15,22.3,22.3,22.3,22.3
230,2020-05-14,22.3,22.3,22.3,22.3
229,2020-05-13,22.25,22.25,22.25,22.25
228,2020-05-12,22.15,22.25,22.15,22.25
227,2020-05-11,22.5,23.0,22.5,23.0
226,2020-05-08,22.7,23.0,22.1,23.0
225,2020-05-07,22.75,22.75,22.75,22.75
224,2020-05-06,22.0,22.7,22.0,22.67
223,2020-05-05,22.75,22.75,22.54,22.54
222,2020-05-04,22.0,22.75,22.0,22.0
221,2020-05-01,22.69,22.69,22.69,22.69
220,2020-04-30,22.56,23.35,22.56,22.75
219,2020-04-29,22.6,22.87,22.42,22.532
218,2020-04-28,22.0,22.187,22.0,22.077
217,2020-04-27,22.1,22.1,22.1,22.1
216,2020-04-24,22.4,22.4,22.4,22.4
215,2020-04-23,22.4,22.4,22.4,22.4
214,2020-04-22,22.41,22.41,22.41,22.41
213,2020-04-21,21.0,21.0,21.0,21.0
212,2020-04-20,20.624,20.624,20.624,20.624
211,2020-04-17,21.71,21.71,21.71,21.71
210,2020-04-16,21.71,21.8,21.71,21.71
209,2020-04-15,21.05,21.05,21.05,21.05
208,2020-04-14,21.05,21.05,21.05,21.05
207,2020-04-13,20.75,21.25,20.75,21.05
206,2020-04-09,19.83,21.2,19.83,20.77
205,2020-04-08,18.8,19.8,18.5,19.8
204,2020-04-07,18.8,19.41,17.6,17.6
203,2020-04-06,18.11,18.79,17.8,18.79
202,2020-04-03,19.185,19.185,18.2,18.2
201,2020-04-02,19.49,19.49,19.49,19.49
200,2020-04-01,19.677,19.677,19.5,19.516
199,2020-03-31,19.505,19.85,19.5,19.52
198,2020-03-30,20.54,20.54,20.0,20.0
197,2020-03-27,19.36,20.97,18.0,20.97
196,2020-03-26,16.23,19.986,16.23,19.986
195,2020-03-25,16.5,16.626,15.13,16.25
194,2020-03-24,15.05,15.96,14.51,15.0
193,2020-03-23,14.41,14.51,13.17,14.51
192,2020-03-20,17.8,17.8,16.0,16.0
191,2020-03-19,17.5,17.5,16.0,16.22
190,2020-03-18,17.5,17.5,17.5,17.5
189,2020-03-17,20.0,21.608,19.5,19.5
188,2020-03-16,23.88,23.906,20.0,20.0
187,2020-03-13,23.97,24.072,23.0,24.0
186,2020-03-12,23.98,24.114,23.97,24.09
185,2020-03-11,24.95,25.4,24.89,25.4
184,2020-03-10,25.75,25.75,24.75,25.23
183,2020-03-09,25.55,25.8,25.55,25.7
182,2020-03-06,25.65,25.65,25.55,25.55
181,2020-03-05,25.504,25.504,25.504,25.504
180,2020-03-04,25.504,25.504,25.504,25.504
179,2020-03-03,25.504,25.504,25.504,25.504
178,2020-03-02,26.05,26.05,25.4,26.0
177,2020-02-28,26.0,26.102,25.5,26.0
176,2020-02-27,25.85,26.0,25.85,26.0
175,2020-02-26,25.95,26.19,25.94,26.0
174,2020-02-25,25.87,26.05,25.87,26.05
173,2020-02-24,26.14,26.25,26.0,26.0
