,Date,Open,High,Low,Close
1634,2020-12-14,89.86,90.52,88.89,88.97
1633,2020-12-11,89.03,90.54,89.02,89.33
1632,2020-12-10,90.22,90.79,89.33,89.71
1631,2020-12-09,92.13,92.43,89.34,90.27
1630,2020-12-08,92.03,93.0,92.01,92.08
1629,2020-12-07,93.1,93.81,91.97,92.82
1628,2020-12-04,91.34,93.66,91.16,93.64
1627,2020-12-03,92.63,93.0,90.4,90.61
1626,2020-12-02,93.9,94.9999,92.32,92.55
1625,2020-12-01,98.83,99.4,93.41,93.6
1624,2020-11-30,98.06,101.45,97.5,99.46
1623,2020-11-27,92.46,93.06,92.15,92.58
1622,2020-11-25,93.7,93.92,91.97,92.3
1621,2020-11-24,94.32,95.05,93.46,93.62
1620,2020-11-23,92.73,93.98,92.19,93.66
1619,2020-11-20,92.45,93.13,91.93,92.19
1618,2020-11-19,91.11,92.8,90.7,92.45
1617,2020-11-18,92.39,92.7,91.11,91.18
1616,2020-11-17,91.79,92.67,91.08,92.29
1615,2020-11-16,92.35,92.83,91.76,92.34
1614,2020-11-13,90.57,91.785,90.16,91.67
1613,2020-11-12,91.26,91.41,89.87,90.2
1612,2020-11-11,91.95,92.36,91.25,91.48
1611,2020-11-10,91.16,91.7,90.06,91.28
1610,2020-11-09,94.02,94.02,90.97,91.15
1609,2020-11-06,88.07,89.39,87.885,88.5
1608,2020-11-05,87.92,88.82,87.2,88.27
1607,2020-11-04,84.19,87.29,83.57,86.21
1606,2020-11-03,83.43,85.0,82.54,83.93
1605,2020-11-02,82.09,83.22,81.45,82.32
1604,2020-10-30,79.98,81.6,79.67,80.87
1603,2020-10-29,79.16,81.43,78.64,80.43
1602,2020-10-28,79.87,80.8,79.2,79.67
1601,2020-10-27,81.89,82.35,81.27,81.29
1600,2020-10-26,82.21,82.37,81.07,81.66
1599,2020-10-23,82.62,83.19,82.21,82.99
1598,2020-10-22,81.84,82.47,81.38,82.26
1597,2020-10-21,81.27,82.28,81.27,81.86
1596,2020-10-20,81.48,82.25,81.13,81.42
1595,2020-10-19,81.27,82.3,80.93,81.05
1594,2020-10-16,80.6,81.77,80.59,81.32
1593,2020-10-15,78.94,80.39,78.66,80.11
1592,2020-10-14,80.05,80.76,79.38,79.44
1591,2020-10-13,79.38,80.32,79.36,79.79
1590,2020-10-12,79.4,80.17,78.93,79.71
1589,2020-10-09,78.85,79.465,78.62,78.68
1588,2020-10-08,78.64,79.33,78.13,78.24
1587,2020-10-07,77.78,78.13,77.39,77.92
1586,2020-10-06,78.89,78.89,77.17,77.36
1585,2020-10-05,78.92,79.3895,78.5,78.59
1584,2020-10-02,77.7,78.96,77.29,78.52
1583,2020-10-01,78.62,79.32,78.06,78.56
1582,2020-09-30,79.2,79.92,77.82,78.51
1581,2020-09-29,79.7,80.52,77.41,77.42
1580,2020-09-28,79.03,80.64,78.99,80.06
1579,2020-09-25,76.16,77.925,76.045,77.78
1578,2020-09-24,76.53,77.49,76.16,76.6
1577,2020-09-23,78.82,78.82,76.59,76.73
1576,2020-09-22,77.93,79.015,77.92,78.64
1575,2020-09-21,78.39,78.52,77.025,78.05
1574,2020-09-18,78.66,79.72,78.28,79.11
1573,2020-09-17,78.6,79.16,77.82,78.89
