,Date,Open,High,Low,Close
5314,2020-12-14,7.51,7.6899,7.22,7.38
5313,2020-12-11,7.73,7.82,7.3,7.48
5312,2020-12-10,7.56,7.89,7.48,7.82
5311,2020-12-09,7.3,7.65,7.2,7.59
5310,2020-12-08,7.16,7.385,7.11,7.38
5309,2020-12-07,7.61,7.61,7.04,7.1
5308,2020-12-04,7.21,7.4,6.85,7.34
5307,2020-12-03,7.55,7.64,7.13,7.26
5306,2020-12-02,7.15,7.66,7.0101,7.66
5305,2020-12-01,7.0,7.25,7.0,7.16
5304,2020-11-30,6.8,6.925,6.6,6.89
5303,2020-11-27,7.03,7.15,6.86,6.9
5302,2020-11-25,7.27,7.27,7.0,7.05
5301,2020-11-24,6.84,7.32,6.84,7.22
5300,2020-11-23,6.94,7.03,6.75,6.85
5299,2020-11-20,6.49,7.0,6.48,6.93
5298,2020-11-19,6.57,6.7299,6.41,6.57
5297,2020-11-18,6.76,6.87,6.52,6.62
5296,2020-11-17,6.74,6.79,6.55,6.78
5295,2020-11-16,6.76,6.98,6.65,6.78
5294,2020-11-13,6.82,7.045,6.61,6.72
5293,2020-11-12,7.36,7.47,6.81,6.81
5292,2020-11-11,6.96,7.48,6.96,7.32
5291,2020-11-10,6.72,7.04,6.64,6.91
5290,2020-11-09,6.9,6.92,6.65,6.7
5289,2020-11-06,6.96,6.99,6.72,6.73
5288,2020-11-05,7.25,7.38,6.98,7.01
5287,2020-11-04,7.25,7.3699,7.1,7.19
5286,2020-11-03,7.0,7.25,6.9201,7.22
5285,2020-11-02,6.63,7.0,6.62,6.91
5284,2020-10-30,6.57,6.67,6.45,6.53
5283,2020-10-29,6.25,6.89,6.24,6.59
5282,2020-10-28,6.22,6.22,5.91,6.03
5281,2020-10-27,6.42,6.42,6.3,6.35
5280,2020-10-26,6.43,6.4601,6.22,6.38
5279,2020-10-23,6.34,6.47,6.23,6.445
5278,2020-10-22,6.34,6.39,6.25,6.31
5277,2020-10-21,6.55,6.5897,6.31,6.35
5276,2020-10-20,6.38,6.65,6.335,6.52
5275,2020-10-19,6.33,6.38,6.16,6.32
5274,2020-10-16,6.35,6.43,6.24,6.33
5273,2020-10-15,6.35,6.4,6.11,6.38
5272,2020-10-14,6.53,6.55,6.35,6.39
5271,2020-10-13,6.44,6.56,6.3648,6.48
5270,2020-10-12,6.48,6.55,6.35,6.48
5269,2020-10-09,6.475,6.54,6.32,6.43
5268,2020-10-08,6.73,6.79,6.36,6.48
5267,2020-10-07,6.43,6.75,6.43,6.64
5266,2020-10-06,6.13,6.62,6.13,6.34
5265,2020-10-05,6.06,6.2,6.02,6.13
